great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Nov 24 2009 	 great location- wonderful city . 	 husband go short ( week ) winter holiday ring new year . we enjoy aspect stay . the room comfortable , well appoint welcome hard day shopping / sightseeing ! happen go hotel hard go beyond hotel main street choc- -block full shopping diva every whim ! ( Inc. Macys ) go new year - nothing beat midnight firework extravaganza Navy Pier- ( walk distance hotel ) - come prepared winter chill though- get cold Chicago get REALLY cold.- block ice puncuate pavement like carerra marble teeth- first hard ascertain exactly are- masse compact ice refuse melt , periodically come accross sign warn danger fall ice ! ( try dodging ! ) .We make trip Aurora ( remember Waynes World ? ? ? ) - well also great retail shopping outlet- train alone treat ( eye opener ) - sale also happen get ( double joy ! ) .needless say not spend lot time hotel - I think location super , room good , really there s much see enjoy much give much think room detail ! ! thing could review next New Years Eve early closure bar- come back Navy Pier New Years Eve Night tell bar closed- yes - even resident ? ? ( actually a-v.handy Starbucks lobby - I think even open ! ) p - l - e - n - t - y excellent eatieries- check rooftop ( see conservatory type feature protrusion ) -accros rightfrom te hotel ( can not recollect name- excellent- go evening meal- snowed- like hover cloud ( -oh fond g n tonic water bombay sapphire gin toxic / explosive .. flat- warn ) . good- hard get everything done- go Easter family ( gd child ) - must sees- Shedd Acquarium ( A1 ) , Planetarium , Museum Natural History , Chicago Institute Modern Art ( full pointillist study ) , Sears Tower - excellent , Chicago Bulls ( a+++++++++++==f - a - N - T - A - S - T - i - C ) , Chicago White Sox- bring blanket go winter- kid thee not- although avail hot chocolate . river Tour- later season- th e notion takes also prebook /view Oprah show . go Musical- A1 2 - so many thing .. little time .. city FEAST ! enjoy ! ! 
 Nov 20 2009 	 another bright spot Downtown Chicago 	 guest InterContinental May 2009 Society Hospitalist Medicine Conference- venue hotel book . enjoy stay immensely . staff attentive -- especially rainstorm greet upon arrival . umbrella keep dry cab driver unload luggage . room problem thermostat , front desk receptive bring attention . despite busy downtown activity , staff give excellent individual attention . return InterContinental whenever travel plan lead Chicago . 
 Nov 16 2009 	 could not well ! ! 	 stay one night , service excellent , location well imagine , flexible ! arrive Chicago three half hour early nice enough let we check early ! concierge helpful direction food recommendation . would love go back ! highly recommend . 
 Nov 14 2009 	 Chicago Intercontinental starting feel like luxurious second home 	 Superb service luxury without snobbish attitude . stay frequently always feel well care . fortunate enough travel world place favorite understate luxury comfort ... POOL ! simply fantastic ! 
 Nov 13 2009 	 love location 	 get really good rate thru Hotwire location right Michigan Avenue perfect . everything short walk away . parking $ 53 night lot , parking downtown expensive . able leave car park day long go shop sightseeing not bad deal . comfortable bed lovely bathroom . think & quot ; Hotwire Special & quot ; room really small , look onto rooftop A / c unit next elevator . however , room lovely quiet care : ) staff smart , efficient pleasant . 
 Nov 10 2009 	 Girl 's Weekend American Girl 	 take yearly & quot ; Girl 's Weekend . eight we range age eight eighty . call Intercontinental Hotel ahead request ajoine room , two bed room non - smoking . mention going visit american Girl Store two girl doll . arrive around noon amazement , two hot pink star cookie milk room ! wait bed personal invitation girl visit store fold bed one doll complimentary gift girl . imagine excited girl be . the hotel staff great . girl fun time pool take shower Athletic Club - they supply everything shampoo conditioner blow dryer . one girl pack toothbrush call front desk send toothbrush paste . receive & quot ; Red Carpet & quot ; treatment ! & quot ; Pricelined & quot ; hotel sometimes get inferior service . ! staff awesome would go . 
 Nov 4 2009 	 never ! 	 well . think InterContinental upscale chain , stay one Hong Kong ( formerly Regent ) . mistaken . stay one 2 day attend meeting disappoint . positive first : location , staff , lobby , food / drink . starbuck lobby . fine well fine . suppose $ 276 / night feature . and negative .... room deplorable . Crowne Plaza Minneapolis stay last month far well . & quot ; nonhistoric & quot ; side hotel -- room tiny need serious renovation . bathroom small , dingy , peel wallpaper , cheap worn fixture , scratchy towel , sink faucet go wrong direction . bed fine , however , comfortable good linen . fee use hotel gym another unpleasant little surprise . not even know begin one , encounter problem . basically $ 300 / night , seem insult ask hotel guest pay extra that . I guess shocked discrepancy attention nice lobby area , public space / service , customer service ( excellent front desk curb ) , poor condition room . understand big city hotel great location , feel like deceive . plenty hotel choose Chicago . next time , even spend little , go elsewhere . 
 Nov 2 2009 	 Great Location 	 great location - lot ammenitieszest - great restaurant - Staff ( Frank & amp ; Louis ) great . lisa front desk accommodatingWish know historical tower . would book room . look one room impressed ( roomy ) room new section small require refurbish 
 Oct 14 2009 	 hotel measure 4 star quality . lack several area . 	 upon check - in , staff polite offer information hotel . suppose Magnificent Mile Suite pay ; however , could see side street . bathroom small . I stay Wed.-Sun . day something miss room . shampoo , washclothe , glass . restaurant great good service . customer service lack many area . hotel price get . 
 Oct 13 2009 	 fine nothing special . 	 Hotel InterContinental ideal location , right Michigan Avenue . everything good condition , perhaps recently renovate . room average size city hotel , build sofa window convenient . bathroom small tub small shallow would well idea rip build nice shower . bed comfortable , towel scratchy . skip in - room coffee , bad , go downstairs get cup SBUX lobby . be hungry , warn room service pricey . fun place behind hotel call Reagle Beagle . burger great drink inexpensive . bad hotel , nothing special . 
