Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 Nov 17 2009 	 great price good service 	 stay 5 night , Nov 9 - 14 , room 1004.It 's 2 queen bed room , book hotel website , internet special offer ( 119 $ /night include taxis ) .The room clean , nicely furnished , large ( expect , desk ) , lot amenity , comfortable bed . the main room light bed : either ( make quite bit light one person want sleep ) , be ( can not read ) .I break mug first day , leave another mug remain 4 day . these ( minor ) fault find James hotel Chicago . the location perfect , price cheap , staff friendly . room clean bed great . free wi - fi room . I ask late check ( 12 1 pm ) , give another extra hour time , hassle . I will certainly go back Chicago . 
 Nov 12 2009 	 great hotel pity noise ! 	 good thing James isthe location , 1 minute away magnificent mile shop . room beautifully design , although bathroom not particularly comfortable ( beautiful thought ) great enormous plasma tv ! pity noise , buy earplug able sleep night traffic noise room , really consider soundproof window . otherwise , good option certainly elegant . 
 Nov 2 2009 	 stylish LOUD 	 mom 's weekend away , fun , hip conveniently locate getaway . would 4 star rating across board , noisy noisy room . first 6th floor , street noise ( car go , alarm go , people talk / yell ) unbearable . usually sleep LOT , could not even begin due noise . imagine flimsy window something . move & quot ; penthouse & quot ; ask 1 ) ear plugs ( sorry , not ) 2 ) room change ( perhaps , morning ) . penthouse similarly thin - windowe , much , street noise subdue . tip : visit James , bring earplug sleep . never know get room near street level ( even sixth floor terrible ! ! ! ) & quot ; wed party floor & quot ; . btw lobby bar close early bar , like around corner . strange . must mention excellent concierge service - great access restaurant info . , friendly non - pretentious , professional service . cab hotel car super easy obtain , fun able walk lot terrific place . bed pillow also incredibly comfortable . aware typical room tub ( nice stand shower ) . stand shower penthouse break attachment , forgot report staff . 
 Nov 1 2009 	 surface nice hotel 	 stay James weekend getaway . partner stay two previous occasion business like property . location ideal like wander Michigan Ave . room comfortably appoint clean . King Suite provide ample room bit oddly shape . bed pillow top - notch . bar comfortable bit small hotel size hard time get seat Friday Saturday night pre - dinner drink . gym nice spacious high quality equipment . staff friendly accommodating . two complaint . spend Saturday shopping return room drop bag 1 pm . room refresh . notify front desk tell someone would clean immediately . go back 2 hour return still - dirty room . call front desk . time someone send clean room albeit still it . the night early - morning departure , place breakfast order request delivery 6 6:30 . leave hotel 6:50 , little time spare . breakfast arrive 6:35 , place multiple call room service ( answer ) front desk . assure breakfast way . finally arrive less 10 minute eat . needless say , pleasant $ 45 meal ( taxis & amp ; service charge ) . mention front desk upon check - out believe hotel would waive cost -- didn't . all , enough negative dissuade stay certainly yet top - of - the - line hotel term service . 
 Oct 27 2009 	 Perfect Location 	 return 5 night stay James . go hotel trip Chicago . love ! hotel perfectly locate . heart Chicago , one block Magnificent Mile . walk everywhere Art Institute Gold Coast . the room add hotel 's charm . studio loft like little apartment . stylish sit area , fully stock bar , comfortable bed . hotel amenity luxury hotel half cost . spa , restaurant , 24 hour room service , turn - down service cookie bed every night . truly enjoy stay , look forward return soon ! 
 Oct 26 2009 	 room retain strange smell .. not .. 	 choose hotel basis location positive review . find location fantastic - close want , close Metro good food . staff pleasant helpful . tv remote need fix , mere minute battery replacement . need cab , quick easy . issue room distinct negative odor . quickly switch different floor room , sadly less version odor follow . something travel vent ? not know , enough make want stay . land right wedding party floor . crazy loud 4 am . fault complain , certainly talk hotel morning . good J Bar kind talk . perhaps James little classy , next time will take one major chain area . 
 Oct 26 2009 	 excellent city hotel perhaps bit full 	 James Hotel excellent . doubt . great loctaion , great room bit boutique spunk go . definately beat boring & quot ; chain brand & quot ; experience day week . main issue service OK 's marketer make . nothing infuriate get cheap rate online reception . even give 2nd chance match rate tell lady Reception would pay commission make $ ( response - & quot ; hand , would not know anything & quot ; ) . rest service pretty good , really excellent . claer , would definately stay Chicago guy take tip Boutique Hotel operator Firmdale UK live hype one world good boutique hotel 
 oct 24 2009 	 James GREAT 	 place fantastic deal . get great rate 3rd party travel website . staff attentive , room great , bed excellent . outstanding location , great restaurant close . stay several time Lennox House Suites really jump stratosphere . 
 oct 22 2009 	 FANTASTIC Hotel Wonderful Location 	 return several day stay James . 's two block Michigan avenue- Maginificent Mile . bathroom stock Khiel 's product , decorate clean line . staff could not nicer . get quiet room end hall- easy walk either Michigan Avenue , Millenium Park catch & quot ; L & quot ; /CTA / Metra . would definitely return highly recommend hotel . bed comfortable . 
 Oct 18 2009 	 chic modern elegant 	 James fantastic . hotel room spacious , bathroom . great service great location make good choice we . within comfortable walk distance shopping , restaurant Millenium Park . bed probably comfortable hotel bed ' ve ever sleep love modern feel furnishing platform - style bed . bar little small , otherwise , really like hotel would stay . 
 Oct 15 2009 	 Great Stay 	 really enjoy stay James . check easy , gym fantastic bed comfy . two thumb ! 
