great 	 favorable review , free WiFi , free breakfast , pool , location , discount parking reason decide stay hotel . book standard room 2 full bed . check - in , friendly receptionist upgrade we Executive room King bed pullout sofa . room spacious corner room top floor 2 wall window impressive view surround city . bathroom large modern . deskspace 10 foot long 2 leather executive chair . great experience . everything hotel new modern . downside pool hottub really small ! kid fun , not matter . everything else excellent . 
 Nov 18 2009 	 HIGHLY RECOMMEND STAYING 	 stay 2 night Nov. definetly return . hotel spotless , great location , up - to - date . mention front desk staff nice , helpful people encounter trip . room , could satisfied cleanliness amenity . bed comfy , shower spacious modern , TV 's awesome ( tiny one see many hotel ) . overall great place stay . 
 Nov 5 2009 	 Great Location 	 work book hotel due fact basically across street corporate office . hotel easy find , great location , people wonderful . view 5th floor room window cover parking - would like see sight . real complaint need refrigerator medication . hotel feature mini fridge / microwave . hotel mini - fridge . since room pay someone else , could add one . turn big deal fill ice bucket ice keep medication night way refreeze ice pack keep bag . issue , would definately stay proximity & quot ; EL & quot ; office can not beat . 
 Oct 24 2009 	 Beat Expectations ! 	 overnight stay exceed expectation . room great , overlook Franklin Street . staff friendly , overly knowledgeable Loop area . think location ideal - lot restaurant . go Caffe Rom across street strong italian coffee . discover Freshii cafe around corner love . also eat Lloyds ( one block west ) good . location commercial area , see lot business people , tourist . find ! one negative lack quality breakfast ( scramble egg package etc ) expect price room ? Oct 22 , 2009 . 
 Oct 20 2009 	 great place stay Loop dead evening 	 location great sightseeing downtown area Chicago . 2 block Sears Tower , easy walk Art Institute . hardly even use subway . loop , exception Theatre District , dead part evening . since 's residential area , store restaurant shut . Friday Sunday , sure hold true week , though . the hotel comfortable , room spacious . fact , little empty ; could easily add nice couch . long desk window great setting laptop ( free wifi effortlessly easy use ) . staff nice helpful ( even not stamp postcard ) . free breakfast spread outstanding ( though wish skim milk fat - free stuff ) . business fitness center easily accessible basement . my one big complaint room shower stall tub . prefer tub nice bath . live without , shower case leak bathroom floor . bad design . Quit try & quot ; modern & quot ; . 
 Oct 18 2009 	 amazing value loop 	 new hotel great location 1 block Sears Tower , hot breakfast egg waffle maker , great flatscreen actuall high Def signal . negative pool hot tub size bathtub man great value . back 
 Oct 15 2009 	 wonderful experience ! 	 good price could find downtown area Chicago . first trip little nervous hotel would . come back Chicago ( hope soon ) , absolutely stay . room nice clean . breakfast great free location perfect . memorable part arrive , recieve phone call room ensure everything need . not think hotel ever do ! 
 Oct 8 2009 	 hotel perfect location price amenity 	 always try stay La Quinta Inn & amp ; Suites . find clean right price . Chicago downtown location exception , plus modern , accommodate , locate close train attraction interested . know stay hotel ! 
 Sep 8 2009 	 location great ! 	 stay one night ( Saturday ) hotel comfortable clean . room furniture modern bed comfortable . quite hear night noise . breakfast bar well stock breakfast area spacious . front desk nice go well . parking lot close discount weekend . 
 Sep 7 2009 	 defiently back ! 	 September 05 , 2009this first time Chicago . this good experience . we get check let we get room early . if not able would allow store luggage locked room check out . the room clean . the bed comfortable . it large screen tv HBO.The bathroom coffee pot , coffee , cream , sugarand cup . the ice machine close reasonable price pop . the closet iron ironing board . it also state not remember bring razor , toothbrush , toothpaste etc .. could provide you . the pool whirlpool inside clean towel . the free breakfast outstanding . it homemade waffle , scramble egg , bacon , sausage , muffin , bagel , yogurt , fruit , coffee , cereal , tea juice . the shower head many setting provide shampoo soap . it desk chair room free internet hookup . I also impress nice worker treat you . I feel necessary let someone know . pro : swimming pool , whirl pool , free awesome breakfastcon : could not stay long ! 
 Sep 4 2009 	 La Quinta downtown 	 spend two night new La Quinta Madison Franklin . Whatta bargain ! room spotless ; staff cordial helpful ; breakfast spacious , light room large assortment hot cold food . 2 - 4 block Union Station convenient . easy walk Art Museum , Millinneum Park Magnificent Mile . sure look Chicago greeter program Cultural Center .. great addition tripl total bill $ 257 two night breakfast ! 
