knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Nov 25 2009 	 exceptional staff position ! 	 wife recently spend six night Millennium Knickerbocker Chicago . city unfamiliar we rely staff -- concierge , bellman , bartender -- make suggestion restaurant , music venue , tour , etc . every situation , staff helpful , informed , courteous , extremely friendly engaging . room clean comfortable . quite bit travel would rank stay near top hotel experience . 
 Nov 20 2009 	 stay Beautiful Hotel feel like Old Friend 	 Knickerbocker beautiful old hotel completely update , retain 's old world charm . heart Magnificent Mile close shopping , restaurant much . staff friendly make feel home , visit old friend . knickerbocker truly treasure , stay . 
 Nov 19 2009 	 do not look far . you love Knickerbocker 	 stay knickerbocker great , quick check great room , shower look . staff great , truly enjoy 4 day windy city , location perfect romantic getaway , town staff helpful look perfect place dine drink . quiet , clean right size room , return Knickerbocker near future without search well deal . keep great work Knickerbocker Staff ! ! ! ! ! ! 
 Nov 18 2009 	 lovely old - fashioned quaint [ refurbish ] dite 	 wary first lobby & amp ; elevator little , worn , room although small modern & amp ; refurbish & amp ; great sized tv w / good channel , comfortable bed . staff professional & amp ; responsive query . hotel situate near north Michigan Avenue , walkable Navy Pier within minute . small bathroom nice dark marble & amp ; timber decor , option shower head handheld nozzle . apparently fairly historical site w / old ' crystal ballroom ' & amp ; celebrity guest include sorry can not remember ! 
 Nov 15 2009 	 Magnificent stay Magnificent Mile 	 hotel one enjoyable hotel ' ve stay . 's intimate feel convenient shopping dining sightseeing . 
 Nov 12 2009 	 Great Hotel ! heavenly comfort affordable price - 2nd review 	 stay Millennium Knickerbocker experience will not forget hurry . although less - than - perfect start ( note correct promptly . also get gift upgrade hotel ) four night stay turn perfect stay Chicago . firstly must commend Markus Lechleitner , Complex Director - Revenue Management attention detail persistent follow - up ensure wonderful stay . thank Markus ! secondly , hotel affordable convenient stay attend conference Drake . also afford opportunity tour downtown Chicago tight schedule . finally bed big , clean heavenly comfortable - get bed huge struggle . lol ! really enjoy stay Chicago - Windy City . definitely come time full vacation family . 
 Nov 12 2009 	 Great Location 	 location Knickerbocker Magnificent Mile could not well , find hotel bit date service lacking ( supposedly 4 - 5 star hotel ) . 
 Nov 11 2009 	 Prime Chicago Location 	 Millennium Knickerbocker prime location . hotel one block Magnificent Mile , great shopping , restaurant , site Michigan Avenue offer . Lake Michigan mere two block away , lake walk / bike path easily access walk tunnel street ( completely safe ) . two block south hotel famous Hancock Building ( go bar and/or restaurant top ) amazing view lake city . Water Tower 4 block south hotel well . favorite restaurant step away hotel ( NOMI Park Hyatt , Le Colonial , Rosebud Steakhouse ) . Christmas area beautifully decorate . famous Drake Hotel directly across Knickerbocker well . room Knickerbocker small , nice . lobby get bit crowded time , location hard beat , price right compare Magnificent Mile hotel . 
 Oct 23 2009 	 Great Surprise ..... score a+ 	 great location , comfortable clean room ( nice bed ! ! ! ! ) , nice lounge hang program , everyday tip information flier regard tour sight seeing ( incredible lady concierge service ) , weather .... cold rainy .... lot fun ... 
 Oct 23 2009 	 great location room 	 can not beat location - Michigan Ave , across Drake . room newly renovate lovely . ask switch room ( initially request king size bed ) room small . staff accommodate second room - two double bed - fine . exercise facility , great walk / jog neighborhood . free internet room , could get wireless lobby mezzanine quiet spot . 
 Oct 18 2009 	 top notch service 	 front desk wonderful completely helpful . problem room check staff apologetic move different room right away . Craig Justin desk wonderful make stay enjoyable . always come back hotel next time Chicago 
