excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Nov 18 2009 	 Shabby room . nickel dime pricing . 	 stay hotel busy conference , would fair rate service . room give well describe shabby . alarm clock radio work replace . heating system antiquate work adequately . toilet leak onto floor entire stay . door closet cabinet stay open hung incorrectly . free internet wifi available property charge $ 12 use fitness center . public room , staff facility nice restaurant choice . location great would advise check room first see update last 20 year unpack . 
 Nov 17 2009 	 Great Place Stay weekend Getaway ! ! 	 second time stay husband Sheraton . love . first , tuck away hustle bustle Michigan Avenue close walk . minute walk Navy Pier directly across street AMC East 21 Movie theater Lizzy McNeils Pub . really do not need leave block want relax weekend get away , stroll Navy Pier , catch movie grab pint . room clean bed great ! ! ! corner room 3 window big . one thing notice never wait elevator . one come instantly hotel busy convention wedding . valet parking kinda stink . cost 50.00 directly across street parking garage . may still cost least do not wait long get car . staff however friendly willing help . also help tip . People work hotel do not make ton money . leave housekeeper afew dollar pillow tip man hail cab bartender making drink . Definatley would recommend place anyone want stay downtown . 
 Nov 16 2009 	 Nightmare Parking override good hotel 	 Beware … Sheraton tower bad valet parking system ever experience . Sheraton really need something different parking . world travel choice among hotel , ' small detail like parking become decide factor . ' shame really everything else hotel good . Ericka check we early welcome arm . room clean , bed comfortable ( must new bed compare review ) , towel clean coffee pot stock . great view room river Navy Pier , near could almost touch . would pay exercise equipment beautiful river walk outside door ? cute little coffee shop downstair really high price else new city . lot lot family child carry expensive doll ' normal every weekend City . come Chicago often usually stay Hilton Marriott property . trip decide give go Sheraton . Valet parking $ 50 matter stay parking cost surprise . surprise incredibly unorganized system wait 45 minute get car ! one . call , phone ring . go valet area busy checkout day , prepared wait … wait … wait … good thing plane catch . understand 15 20 minute . 45 ! forget something go back room , poor lady front desk get full brunt frustration apologize . 
 Nov 14 2009 	 Good Location 	 hotel close Navy Pier . Nice Lobby . room clean , small . complaint bed uncomfortable . would recommend hotel location hopefully get new bed ! 
 Nov 13 2009 	 Nice hotel good location 	 Hotel much nice visit summer . glad stay hotel several time last 10 year always like stay . new mattress comfortable room clean .. hotel accomodate upgrade we Club Level check early . nice view lake Chicago River . Breakfast Club level good , especially bakery item . definitely come back ! ! ! 
 Nov 9 2009 	 nice stay ! 	 stay Sheraton cousin 's wedding October . room nice fantastic view ! also lot bar within walk distance sister . wedding reception hold hotel beautiful ! hotel even offer mini reception outside main event begin . get enjoy drink hor ' dorve right next river ! ! wedding group go little karaoke bar right next hotel . perfect ! ! 
 Nov 8 2009 	 Nice hotel good service around 	 bring group year eat party thank client . first stay property . get special pre - pay internet rate $ 109 / night . bargain ! location fabulous . join Starwood club upon check - in give corner room top floor . free water Starbucks coffee room . room GREAT view quiet . bed comfortable . reason give four star terrible reception CBS ; could not get . also , free wireless room never work many attempt . pay access internet . also , be $ 12 fee use exercise facility pool . think 's high , although good machine excellent facility . find staff top friendly helpful . though decor bit date , warm spacious beautiful view lobby bar area . ceiling low hotel , noise level never bother we . hope stay future- impressed ! 
 Oct 29 2009 	 Great Location Great Views ! 	 stay three night ( Th , F , Sa ) please . arrive shortly 10am first day , cheerfully give early check extra cost , room 18th floor overlook Chicago River great skyline view include Chicago Tribune building . bed comfortable . great location : 1 + block Michigan Avenue stop bus go museum . Magnificant Mile Millenium Park easy walk . ( Navy Pier look close map , would quite walk . end cabbe . could take water taxi . ) appreciate several restaurant site -- eat burger place , nice river view , well breakfast buffet ( amazing selection , excellent food ) -- several restaurant within couple block ( pj Clarks -- good ! -- block away ) . electronic table ( checker , chess , interactive map , etc . ) lobby hit 11 - year - old ( parent ! ) . son enjoy go pool day return museum dinner . really , complaint . price little steep , line hotel charge acceptable we give location , great view window pool ! 
 Oct 28 2009 	 great location - shame Bank America Protest outside 	 hae get back want start Thank Alex Alex ( reception ) make stay pleasant . hotel great view Lake Michigan 34th Floor Room . stay 34th Floor mean also Complimentary Breakfast . hotel well maintain look like kitte Business traveller , mean lobby late gadget gizmos . example , ae touchscreen table act eletronic chessboard / tour guide / GPS Map much thing . whilst , check apple pie Chicago Burger Co.it 's bottom floor pie wonderful . lastly , would remiss mention BOA Protest . basically breach security Lobby , Kicked police . carry outsde 30mins so . the General Manager write guest apology letter 
 Oct 25 2009 	 good large convenient hotel loop 	 Stayed Sheraton Chicago Hotel Towers 3 night . hotel large well run . location excellent activity loop . high floor good view river , lake city . room well appoint clean . pay $ 180 per night ( taxis ) , seem ok location , super value . one quirk room service available lunch - go one restaurant lobby low level . staff extremely courteous friendly , always case big city hotel . 
 Oct 25 2009 	 property decline -- 2nd stay one year later 	 stay 1 year prior 3 night property much well manage . return year 4 night ( 2 conference hotel , 2 additional pleasure ) . can not say would choose return , even conference end next year . , stay upper floor & quot ; corner & quot ; king club floor room . my list complaint : 1 . poor lighting room -- room dark night . cfl bulb high enough wattage / luminence.2 . general service throughout hotel lacking . receive fax deliver door 24 hour late -- still charge nearly $ 15 . never doorman open door , even though always around plentiful.3 . hotel dining option pathetic huge hotel . two night force hotel dine dinner option hotel Shula 's Steakhouse ( expensive ) room service ( expensive limited option ) . totally unacceptable hotel size.4 . club lounge practically become joke . soft drink readily available anymore except upon request club room staff -- not always present . continental breakfast pastry selection good , not even offer egg , hardboile otherwise , anymore . evening cocktail also become rather lame -- food selection rather limit interesting . massage chair lounge order . Lounge not often clean / presentable especially peak hours.5 . daily newspaper long deliver room door morning . paper available at / near Club Lounge entrance elevators.6 . in - room high - speed internet access necessarily include Club Floor . book two different rate stay -- conference rate ( expensive rate ) not include free internet promotional ( less expensive ) rate include . ridiculous , especially Club Floor room . the positive would care mention . like 2 Sheraton 's ' ve stay past 18 month , bed comfortable ( although lack ample number pillow ! ) . housekeep generally good -- room keep clean . overall , overpriced , overrate hotel slip quality fast . unless get great deal room rate , need stay conference , would go elsewhere . 
 Oct 19 2009 	 Excelent price location fabulous 	 since get incredible cheap price trip , sure goingto good . . room average , bed unbelievable comfortable awesome view Navy Pier . arrive confusion trip breakfast : solve without hesitation say , also give we 1 breakfast buffet ( really , REALLY good ) 5 we , plus afternoon snack ( ' m sure not access ) . , point : excellent service basically everywhere : check , solve little breakfast problem , restaurant . location perfect , walk distance Michigan Ave . , Millennium Park , really convenient we . think would stay ! 
 Oct 18 2009 	 big name little impression 	 stay hotel attend conference hold . hotel book solid obviously way handle , seem understaffed . high - speed internet suppose cost $ 14 day free conference attendee work . parking cost outrageous ! think food good hotel provide conference event . good actually . complaint half hotel sweaty hot half freeze cold . turn heat room . July . 
 Oct 18 2009 	 good location upmarket changin facility 	 book hotel Virgin Holidays member hotel ' loyalty scheme contact hotel preference check . spend previous night Hyatt across road due flight cancellation Virgin arrive Chicago day early , ' get extra night Sheraton . we stroll across river see could leave bag hotel check afternoon check we ( 08:15 ) , king bed room overlook river , though 8th floor ( Room 855 ) high floor hope . pleased could get room go straight back get case settle 4 night . the room reasonably sized corner bit room hotel ' website picture . small safe big enough store small travel wallet , ' store valuable camera . also key carry around rather combination . the room relatively quiet noise road across river well small amount river traffic . also alcove end corridor unfortunately we inconsiderate neighbour despite put sign ask quiet ' reciprocate come go hour slam door etc . we use pool quite impressed size city hotel . change facility probably well experience . there business centre struggle find open – must admit labor day weekend never get chance use . wifi access hotel go Dominicks ( Starbucks ) road pick email . little surprised charge use business centre check - out promptly remove bill explain use business centre . 
 Oct 13 2009 	 Conference Sheraton 	 company conference Sheraton Chicago fantastic . service great location fantastic ( right river ) . room pretty standard keep clean time . would definitely recommend hotel business leisure traveler Windy City . 
