definite 	 really terrific hotel definitely frequent . husband & amp ; come Chicago every year Thanksgiving birthday stay many place year - Hampton , Monaco , Hotel 71 , Hilton Garden Inn , Wyndham , four point Sheraton , etc . know way around Chicago , choose try Springhill Suites Dearborn glad ! although location great , couple block Michigan & amp ; State , be actually easy miss hotel - signage outside quite plain share entrance w/ Residence Inn . actual lobby chain 2nd floor . check - in great , staff accommodate -- even get bottle wine birthday . elevator fast smooth hotel ' ve ever stay . hotel offer nice hot / cold complimentary breakfast well - bit early & quot ; leisure & quot ; trip ( 6:30 - 9:00 a.m. ) . & quot ; studio & quot ; double room . perfect , chic modern . sit area desk , chaise , sleeper couch separate bedroom area frosted glass . plenty lighting ( big complaint w/ room dark ) . microwave , frig , coffee maker . bath area good size vanity area separate w/ plenty top space put item . issue lack good sized drawer clothe not want hang .. ( 2 ) shallow drawer . would rate hotel EXCELLENT . 
 good base explore central Chicago 	 choose hotel , location Marriott loyalty card . the check easy , offer choice room . the twin room nicely lay , view towards south . breakfast standard buffet style offer normal class hotel US . although use facility look pool exercise facility look adequate although pool little small . we able walk easily river , magnificent mile also town . it ideally locate Ruth 's Chris Steakhouse definite bonus . 
 Nov 5 2009 	 good deal young family ( 3 	 pay 170 / night - pkg deal include breakfast valet parking . stay King & quot ; suite & quot ; . husband snore LOUDLY . sleep king kid sleep sit area noise maker around we . sit area loveseat fold fainting type couch alongside form L shape - sort like mini - sectional . 3 yr old sleep foldout son short enough ( 42 . ) sleep faint couch . privacy wall bed area sit area function enclose writing desk side sit area chair . enclose frost / privacy glass . 's nice division go floor ceiling . usually separate area suite ( oppose separate bedroom suite ) half wall . work great ! also fridge , microwave sink . , room small one might think . photo always mislead website . instance , pull fold bed love seat , little space foot bed privacy wall / desk . bed fold , pretty much take sit area . thing pool . 's lot small look . great fitness center though . really great breakfast . clean . also , free trolley 2 block hotel go route Navy Pier . one warning parent w/ toddlers- one think really feel unsafe bottom window open screen ! fortunately , kid never figure 
 Oct 27 2009 	 Fantastic Location highly Reccommended 	 spend two night October 2009 , hotel around fantastic . King Suite exactly picture show online . lot room 3 adult share , clean , great amenity room include powerful hairdryer , iron full - size ironing board , microwave , fridge . king size bed pull - out couch comforatble.24 hour store locate recption , well lounge . friendly helpful staff allow early morning check - in without request advance bag storage hotel check - out . breakfast buffet excellent hot cold option include egg , sausage , waffle , fruit cereal , well coffee / tea station . free internet / printer lobby hardly ever use . friendly door staff give excellent direction hail cab quickly . location hotel good feature within walk distance major site several metro stop . would definitely stay . 
 Oct 23 2009 	 Great Deal Downtown Hotel 	 stay Springhill Suites Labor Day weekend teenage son . hotel meet every need . room little small side suite can not beat price . location excellent , short walk Michigan Ave . free internet access lobby bonus . 
 Oct 17 2009 	 Immaculate Hotel Ideal Location Friendly Staff 	 stay Springhill Suites / River North two week ago still miss ! arrive two hour check - in problem early check - in ( include extra request ) . immediately , staff go work suggest restaurant nearby travel direction . room big enough allow three people breathe . be big suite Embassy partition ( oppose divided wall ) . still , room nice , clean comfortable . can not emphasize secure hotel make feel . 200 room 's big impersonal . instead , be quiet beautiful . location ideal be within block ESPN Zone , Hard Rock Cafe , House Blues . . . important , Michigan Ave . always feel safe around hotel . finally , breakfast area great . food good one good employee ( Veronica ) will ever meet ! can not say enough good hotel , highly recommend can not wait go back . 
 Sep 28 2009 	 great stay Springhill Suites 	 stay spouse 2 teenage girl last Saturday night . second time stay hotel good experience first time . room quiet comfortable . love extra sleeping area hideabe . pool jacuzzi great open 11 pm . continental breakfast well stock great selection . staff extremely accomodate friendly . parking steep $ 44 , guess par course downtown . easily walk 4 block shop Michigan Ave . return hotel . 
 Sep 18 2009 	 would definitely come back .... 	 follow four night Manhattan , expensive considerably small suite , huge relief walk room spacious pleasant Springhill Suites . give choice high floor low floor , choose high great view downtown Chicago . well insulated outside noise efficient aircon , sleep problem , be sleep , Suites well locate explore city - even discover within walk distance Blue Line metro use get back O'Hare . Breakfast include plentiful though slightly let disposable plate cutlery . coffee always available lobby . Front desk service exceptional - another contrast Manhattan . free wi - fi useful . not try pool top floor hear 's good . I would hesitation come back next time ' m Chicago would recommend anyone else visit . 
 Sep 13 2009 	 good deal downtown Chicago ! 	 would stay Residence Inn side building last year , husband plan Chicago trip decide SpringHill Suites bite cheap . location absolutely can not beat -- five - minute walk Grand / State Street station Red Line subway ( FYI station undergo renovation 's still open ) , couple minute Magnificent Mile , ton shop restaurant . get early ( 10 a.m. ) suite available . splurge corner suite great view Tribune Wrigley building Lake Michigan background . suite pretty spacious comfortable bed , flat - screen tv , sink / fridge area , although fridge like beverage cooler . staff friendly helpful , always greet we smile whether front desk person housekeeper . fitness room well - equip laundry room come handy . hotel convenience store 's Jewel / Osco supermarket right near El station pick drink snack much cheap . price simply can not well SpringHill ! 
 Sep 5 2009 	 Quick fantastic Chicago trip 	 arrive 3 hour early check - in Springhill Suites , not seem problem . every employee see friendly welcoming . giant bowl lollipop front desk bonus . we 4th floor handicap room ( one ready due early arrival ) . although handicap room small typical suite , comfortable restroom huge . group 4 twenty - something complaint space room . mini - fridge microwave handy . also , wireless internet free work wonderfully . the hotel excellent location . Quick walk shop amazing dining . step duel piano bar Howl Moon ( must - do tourist ! ) .a couple great thing Springhill Suites- amazing free breakfast ( delicious , ton variety employee friendly quick help anything ) pool hot tub ( although pool kind small , rarely crowded , view amazing soak hot tub really hit spot day shopping sightseeing ) . would return hotel minute . zero complaint group can not stop talk go back . 
 Sep 3 2009 	 Family 5 visit Chicago 	 nice hotel . Marriott hotel standard ( really like Marriott -- consistency ) . connect another Marriott hotel . free breakfast , hotel ( can not remember name ) well food -- easily walk . share elevator pool , different lobby ( connect though ) .The room small . typical city room . 2 young kid share double bed . husband double , 12 year old pull sofa bed . room decent view . window open outside . refrigerator too . great location . lot stuff close . walk Rainforest Cafe restaurant . parking expensive though , across street block away . valet park . , take lot car , since would difficult go back it . use AAA discount , receive good value price . 
 Sep 3 2009 	 great value clean comfortable room 	 stay King room 4th floor . still nice view floor ceiling window . bottom part window allow open bit nice feature . bed comfortable , sleep like baby . partial wall separate living room bedroom area . one television swivel whichever area . also small area microwave , small refrigerator , sink . bathroom sink outside bathroom convenient one person use vanity showering . everything new , hotel must build within past year two . the complimentary breakfast nice . offer muffin , yogurt fruit egg , waffle , sausage , well – imo little well standard continental breakfast . the hotel staff pleasant helpful . original plan stay one night , end stay another night . hotel extend rate we previous night . great location , within walk distance many restaurant 2 block North river . would definitely stay . 
