terrible 	 hotel overprice lack amenity find simple motel area . glass bathroom , bed small two people could ever sleep comfortably , coffee pot , incompetent clerk check - in follow long wait line , outrageous parking fee , wall thin every outside noise hear . one place nearby breakfast pricey buffet hotel . 
 excellent location standard room 	 historic Palmer House Hilton locate within loop , block away Millennium Park walk minute Magnificent Mile . numerous shop cafe locate nearby , offer many choice breakfast dinner . elevated loop metro track station & quot ; Adams / Wabash & quot ; next hotel . unfortunately location advantage may offset noise vibration track . room another suboptimal location window face indoor pool . consequently street level noise real problem noise swimming guest bother slightly . however get cell phone signal impossible room . contrast review , room small could compare one double bed / standard room 4 star hotel . however bath definitely small side . for , furnish impractical . ( office / desk ) chair look nice not real armrest . additionally desk small laptop , telephone document . work bed arm chair also impossible , hotel WiFi room cable base internet access . like bath , tv small too . my request later check time ( standard : 11:00 ) fulfil without usual additionally cost . especially surprising , hotel charge every service . mention cable internet example cost 17 Dollar per 24 hour period . parking garage locate opposite side street . all , Palmer House beautiful historic hotel great location . room clean beautifully decorate slightly impractical somehow inconvenient . however , give great deal get priceline , stay enjoyable . 
 never 	 hotel beautiful lobby . large . think ceiling lobby least 3 story tall . wonderful architecture . classy . room . king room book Priceline . not get select type room priceline like expedia , orbiz , travel site , call make sure King room . also tell friend ask renevate room , able get , ( guess ) . room small . bed 6 7 foot door . room desk chair , extra comfy chair . dresser store clothing . ice bucket two glass store closet room put . flat screen tv mount wall whole wall cable come right middle wall ( tacky ) include wire tv halfway hang tv . ( tacky ) . bathroom ok , small ok . order room service , $ 12 cheeseburger soda turn $ 32 state tax , city tax , room service fee , 18 % gratuity room service order . guy act like want tip bring tray . seriously ? ? soda vend machine $ 2.50 bottled water . luckily 7 - elevan street late night craving . put disturb sign door want sleep late next saturday morning . 8 am waken vacuuming door . mind bed close door . feel like punke . guess disturb keep maid knock door . do not finish vacuum long azz hallway til hour half later . view window , back fire escape building next . would never stay hotel suggest anyone stay . 
 not stay ! 	 literally travel world far small room ever stay . claim 4 star laughable . bathroom joke . small one even turn around . mini bar , coffee maker , place whatsoever anything lie bed . tv close end bed sit bed squeeze ! pool close 9 pm , gym cost supplement , ethernet cable cost $ 15 basic reception , line hotel 's reception desk enough turn away . want stay small expensive 2 star hotel downtown Chicago , place . desire nice accommodation , mean , keep search ! ! 
 good hotel great location . 	 stay Palmer House 3 days/2 night November . travel 4 - year old see Thanksgiving Day Parade visit Aquarium Field Museum . we choose hotel base 's location ( right State street , close Field Museum / Art Institute / Aquarium Planetarium ) base fact indoor swimming pool . overall hotel nice , consider age / the way build , seem somewhat date definitely lack spectacular city / lake view . our room really weird smell , ask move . next room seem much clean plus much big , even though room room 2 queen bed & amp ; 2 bathroom . we access executive floor -- complimentary breakfast / snack drink daily . breakfast nothing spectacular -- pastry , cereal , fruit beverage -- quiet adequate . order room service 1st night hotel , good -- cold food , poor taste . eat hotel -- Corner Bakery adjacent hotel -- great soup bread ! go Little Italy area dinner -- Leona 's Taylor st . great ! hotel parking outrageous -- think $ 50 / night . 2 block hotel self - parking park $ 25 / night . cab ride Aquarium / Planetarium / Field Museum $ 7.swimme pool hotel small -- fine first day guest . last day 4 5 family pool -- way overcrowded ! overall great stay , major problem service feel hotel suit need well . next time probably try new hotel well view / amenity . 
 beautiful lobby / hotel ; poor service 	 hotel grand , lobby beautiful high ceiling fill painting reminiscent renaissance period . great location watch parade central . however , wife & amp ; pleasant stay . service poor . realise error package selection ( romantic package vs. breakfast package , price , room type ) . told & quot ; computer would let swap , sorry & quot ; ( one hour make selection ) . eventually force get manager , point resolve ( without touch computer - swap voucher ) . wall paper thin- hear beep safe next room , door close , content conversation etc . re cost : free breakfast voucher cover first $ 22 accord one staff member ( next , & quot ; could whatever like breakfast menu & quot ; ) . internet $ 15 per day throttle - speed , $ 20 per day full - speed . check email business centre $ 7.95 15 - minute use ( i.e . free email checking ) . Fitness centre extra $ 10 per day ... . dinner $ 70pp average buffet close finish . early check - out ( 11 am ) . generally - feel like stay large corporation host - service impersonal combative - 's Hilton headquarters give discretion help guest . recommend . 
 Service Poor 	 Beautiful Hotel - Poor ServiceYesterday , arrive 11 am ( early ) - front desk upsold we suite - beautiful suite . tell we would ready hour ... would put rush . ready 3 pm . ask take long ' rush ' , tell guarantee room 3 pm . spirit huh ? offer Thanksgiving Dinner today , reservation . advertising ... , ask front desk could get reservation . sorry , sell . imagine , make dinner available customer Thanksgiving ? turn hotel . Mgt reach 16 - 250 wish ... thru tomorrow ( 11/27 ) Regards , Ray 
 Nov 23 2009 	 excellent stay 	 stay palmer house april 2009 friend mine 10 year old kid . third time stay hotel always pleasant stay . room large- accommodate two mom two daughter easily two large bathroom . hotel great term historic value room well furnish . breakfast great - kid eat free open buffet , good deal . hotel 's location perfect could work , entertain daughter , go museum shop easily . downside fitness center pool . 
 Nov 23 2009 	 Beautiful Lobby Great Location 	 hotel grand ! beautiful love old photo hang hallway . location excellent . subway line O'Hare easy navigate city train , walk distance many thing . two room book , one two double one king . double room lovely spacious . king room TINY bathroom shelve toiletry . however , clean suited need . people next door loud could hear every word group woman say . 
 Nov 22 2009 	 Perfect set wonderful weekend Chicago 	 get spectacular rate Hotwire Palmer House Hilton . upon arrival , request room two double bed two bath . thankfully , one available , willing let we . huge ! look cut wall two regular sized room take furniture . nice two bathroom plenty space . yes , bathroom tiny , due style time build . the lobby exceptional , many classic , historical detail make place special . location ideal , hotel near several train line , adjacent State Street shopping area . theater district within walking distance , well lakefront . we great weekend visit friend , Palmer House perfect place stay . 
 Nov 16 2009 	 Historic 	 stay Palmer Hilton 3 day . hotel locate next famous millenium park accessible many attration Art institute Chicago & amp ; Navy Pier . palmer grand decoration inside feel relaxed atmosphere around loby & amp ; bar . front desk associate even house keep staff smile . recommend place ! 
 Nov 15 2009 	 well - renovate . excellent location 	 stay Chicago convention . Booked Hotwire , value excellent . lobby magnificent . hotel staff helpful . room recently renovate compact bath small , though problem . location excellent.the negative room , 13 - 165 , next must internal service elevator . quite noisy run quite early morning least 10:00 pm . avoid -165 room . 
 Nov 10 2009 	 beautiful historic hotel 	 stay Palmer House 2 night , overall experience phenomenal . room friend check huge ! maybe be available , probably expensive , big room 2 double bed lounge area room . not much view , need one interior exceptional ? highlight trip one evening guard staff notice take picture old photo performer play historic empire room . must perform due diligence , explain guest , interested history hotel , get private tour ballroom . sure check deluxe Starbucks , fantastic staff . 
 Nov 9 2009 	 security ball 	 husband stay ou anniversary . otel nice room small bathroom even small . last night awaken 4:30 morning neighbor fight .... yell ... door slam , name calling . wait mintue get bad , call stair let know . say would send someone right away . 30 minute later call , say would send . hear knock neighbor door , answer . already pretty upset awake husband pack get . staris staff say would give we breakfast ... however ... breakfast compair horrible night sleep . 
 Nov 7 2009 	 great hotel great location ... 	 stay October 31 November 5 cconference . beautiful hotel location perfect . Art Institute Millenium Park short 2 block walk hotel . room small , beautiful . bed comfy plenty pillow . alas , coffee maker room ... staff helpful friendly . would stay ! 
 Nov 5 2009 	 gorgeous historic hotel excellent location 	 hotel locate loop chicago . be close almost attraction downtown chicago offer , 15 min . walk navy pier , 2 min . millennium park , 5 min . magnificent mile , etc . lobby beautiful historic elegance turn century buzzing activity . parking expensive , opt park millennium park garage 2 min . away save $ 60 3 day . room clean bathroom small . get place $ 70 / night priceline love . 
 Nov 5 2009 	 Grand Hotel make breathe deeply 	 Palmer House always cause breathe deeply upon enter fantastic lobby . Palmer House excellent lobby life go , full people sit , talk , rub elbow , socialize refreshing drink food . feel aspect set Palmer House apart many hotel seem nothing line peoplewith little incentive space linger , meet talk fellow traveller . historic hotel pack art , impossibly lavish ball room enough wind hall way pack picture qualify museam Chicago . take executive level upgrade like room large two bathroom , gorgeous decor executive level lounge opinion rather depress offer price beer rather dull limited snack breakfast selection . besides , would want linger executive lounge could linger lobby 's newly gorgeous renovation bar restaurant . ' ve Palmer House many time 40 year delighted see exciting awhile . visit Chicago stay three hotel , include Palmer House , Hotel InterContinental Trump Tower . like order list find Trump Tower disappoint Palmer House really stand fine hotel , worth expense ; stay hotel many , many time per year . 
 Nov 5 2009 	 Great Hotel elegant small bathroom 	 Palmer House elegant hotel long history ; lobby area spectacular . one great thing hotel location Loop , close themuseums , park , lakeside attraction . issue size bathroom -- verysmall . room , small side , comfortable . highly recommend hotel . 
 Nov 5 2009 	 convenient ugly location - historic interior 	 Convenient museum , symphony restaurant . great russian nearby . street level ugly elevate train nearby . lobby grand . stayed historic look room 2 bathroom . crowded executive lounge . 
 Nov 4 2009 	 Best Spot Chicago 	 stay Palmer House business travel great experience . hotel centrally locate many Chicago attraction make easy get around town . hotel beautifully deocrate , clean reasonably price . 
 Nov 2 2009 	 Worthwhile Deal 	 book hotel Hotwire.com . reviewer bad experience fine . Staff treat we well get king - size , non - smoking room , reserve . parking garage somewhat convenient though cross wabash get . vehicle , be easy get . location great , near lot shopping park . reviewer mention small room would agree accomodate two people . bathroom okay . conclusion : clean , nice - look hotel great location service worth price pay . 
