location 	 stay Thanksgiving , reduce rate , would disappointed pay full price . first impression upon walk lobby much potpurri , must hide bad smell . room ( jr . suite ) roomy , gloomy . obviously water problem paint / wallpaper chipping peel , large swatch patch ceiling . bathroom small put use towel bath kit . next ice machine make pound noise day night . & quot ; continental & quot ; breakfast available upon request , rich price plus 18 % tax . room service . location excellent , 2 block mag mile 2 block lake . doorman attentive , could even reach front desk call . room available sale nominal price $ 450,000 , basically efficiency . 25 million dollar renovation brag appear go purchase flat screen , 2 per room decor . 
 stay somewhere else next time 	 warm feeling walk lobby . woman behind small desk not smile seem put bit . stay two night . upgrade Deluxe King Suite . room nice clean . sofa hard uncomfortable sit . bed comfortable , bathroom size postage stamp . room two people put anything . fact , toilet close wall would sit toilet paper rub leg ( ' m petite size 6 ) . take shower husband splash water wall outside small shower . tub ! call reception checking see room large bathroom tell none , one large bathroom big upgrade not available . definitely enough room two people time ! live outside Milwaukee travel Chicago quite often stay many hotel downtown . choose Raffaello big renovation . old hotel upgrade room quite bit . stay back mid-80 's lot improvement since . convenient Magnificient Mile $ 400 two night little much get . also eat new restaurant & quot ; Michelin star James Beard Award & quot ; chef . neither we impress decor meal . okay nothing write home . aware bar ( six seat ) right door everytime open , cold air swirl - brrrrr . 
 Nov 9 2009 	 wooo hoooo ! 	 love hotel . clean nice . comfortable bed ! staff friendly helpful felt welcome time . easy get dress three girl room . vanity huge plus ! ! ! shoe shiner mini bar everything top line ! 
 Nov 9 2009 	 Nice ! 	 return quick get away meet family Chicago stay Raffaello rate fantastic location could not beat . room quite large . include room stay two double bed . also coffee maker , refrigerator , microwave . although not use 's good know leftover store drink buy Walgreens 's close by . the bed sleep well . not soft hard . bed acceptable . one drawback also consider plus shower . partial glass partition not good job keep water soak rest bathroom floor . floor mat pretty soak halfway time one person use shower . may want ask front desk extra towel night will first thing morning . say shower experience self wonderful . ' m inclined switch shower head rainfall style hotel room . be great way unwind long day shopping conference . there couple tip would like leave . time review internet access 24 hour time period via wireless ( nice fast ) $ 9.95 . business center charge $ 5.95 15 minute access . need use center order print important document . elevator quite small two . patience virtue wait one . gym free locate second floor along business center full service spa . site say hotel feature L'Occitane product . provide Gilchrist & amp ; Soames product nice . parking quite expensive $ 47 night . not need park car since arrive train . overall would stay since location great , rate room receive competitive , boutique feel rate appropriately . 
 Nov 5 2009 	 love place ! 	 go Chicago conference McCormick Place stay Raffaello two classmate . enjoy stay . room large , clean , relaxing . doorman would walk street search cab we none close . greet every time return hotel & quot ; welcome back ! & quot ; location great within walk distance many restaurant shop , one block Magnificent Mile , next door John Hancock building , nice walk Navy Pier . staff friendly helpful , recomende restaurant quickly deliver anything request housekeeping . great place stay ! 
 Nov 5 2009 	 BEST hotel Chicago ! ! ! ! seriously ! 	 classmate absolutely amazed beautiful , modern , clean , AWESOME Raffaello moment walk front door ! ! love ! ! ! doorman hospitable friendly . people front desk nice & amp ; always smile & amp ; helpful . feel important . hotel nothing like normal chain hotel -- be much well . look like would cost fortune stay , AFFORDABLE ! ! wait plan next trip Chicago , place ever want stay Chicago Raffaello ! ! location PERFECT : 1 - 1/2 block Michigan Ave , 1 block Lake Michigan ! absolutely LOVE Raffaello Hotel ! ! ! thank , Raffaello Hotel , make stay Chicago good could ! could not ask anything well ! 
 Oct 29 2009 	 nice European Style Hotel 	 Clean well locate . staff friendly . fitness room excellent smallish hotel . recommend business couple travel . well price . 
 Oct 23 2009 	 love 	 great hotel . loved location . room great size ( like place downtown feel sleep closet ) . clean comfortable . think price reasonable would stay next time downtown . 
 Oct 13 2009 	 2'nd year row 	 2'nd stay Raffaello . location amazing . two block Michigan Ave ( Cheesecake Factory ) maybe four american Girl Doll store . walk anywhere . also taxi be always drive . travel husband two child ( age 8 11 ) large suite two room separate door . king size bed , pull couch also parson bed bonus kid . two flat screen TV 's , mini bar , microwave , lot drawer storage . weather cold use heat . kid room first night would not turn . call front desk next morning immediately fix . door man friendly helpful . front desk great well . like hotel small place - clean , nice modern decor , large room . also , feel european . one drawback bathroom . shower set not close . half pane glass . therefore virtually impossible contain water shower space . mop bathroom floor often . call towel ( daughter use many ) housekeeping show less minute pile . last year highlight visit soap shampoos hotel privide . L'Occitane . heaven . bad change . nice soap can not compare . would book place . hopefully next year . oh almost forgot - bed amazing . sooo comfortable cosy . 
 Oct 7 2009 	 spoon ? 	 stay Raffaelo two night October . arrive 10 a.m. early check - in give hostess phone # go Cubs game . lose . surprise . doormen helpful hostess efficient . even get upgrade suite 17th floor . view building , least window open somewhat . shower funky not door , half pane glass . needless say get water bathroom floor . bed comfy ! living area include mini - fridge , microwave , sink , coffee table , work table another sit table area . mini - fridge honor bar overprice item . flat screen tv way far away couch nominal viewing . location fantastic . get Macy 's H & amp ; within 5 minute walk . Navy Pier also walkable , plan 20 minute stroll along shore Lake Michigan . be nice , quiet hotel great value . one night stumble little tipsy wife container ice cream realize forgot spoon . enter restaurant closing manager hook we two spoon ! happy night . 
 Oct 6 2009 	 tre chic ( almost ) 	 overall hotel nice . recently renovate , modern feel . think bit overprice accomodation service top , however , great location ( right next John Hancock Tower ) . king bed suite . downer : slow elevator , shower drain well ( problem step ) . plus : relatively close El area interest city 
 Oct 1 2009 	 Pleasant surprise . 	 great little hotel excellent location . suite 16th . floor quite spacious comfortable . bed heavenly fluffy pillow . not want get bed every morning ! nice flat screen tv 's workable window open , make nice night . would give 5 flaw . front desk staff bit stuffy stiff . one robe room pen write paper could find . carpet burn spot inside front door bath toiletry tiny size . soap keep fall holder . overall nice place . stay future . 
