wonderful 	 sore throat hotel bring room carafe microwave make tea . wondeful . 
 Nov 23 2009 	 perfectly locate small hotel good size room well appoint superior concierge name stephanie 	 talbott everything one could want : clean , bright large room location two minute walk michigan avenue ; every staff member smile , attentive knowledgeable stephanie concierge start help planning month arrival never stop helpful ( trip celebrate wife 's 70th birthday ) . Stephanie arrange symphony ticket , jazz club entree , restaurant reservation , provide information art institute , walking tour , etc . 
 Nov 22 2009 	 Comfy Home Base Near Shopping 	 stay Talbott two night November 2009 . great home base explore downtown Chicago , block shop Michigan Avenue short cab ride Art Institute Navy Pier . our room smallish side comfortable clean . complaint bed linen , consist duvet decorative throw ( top sheet ) . prefer bit weight / substance , even 5 ' 4 & quot ; choose whether cover shoulder foot . one tip : skip continental breakfast . 's european - style spread feature yogurt , bread , cereal , slice meat slice cheese . 
 Nov 20 2009 	 Talbott great ! 	 choose Talbott family weekend Chicago perfect . location wonderful , block half Michigan Ave . , close shopping restaurant . staff friendly helpful suggestion reservation . room large well - appoint . shop nearby Sur la Table , Urban Outfitters , Anthropologie , Bloomingdale 's , Water Tower Place . fun good family dinner Big Bowl Cheesecake Factory . 
 Nov 15 2009 	 Great Suite Best Location 	 2 young child stay king one bedroom suite adjoining standard room . give we two seperate bedroom living room w / desk . loved room . big , nice furniture , great tv 's , clean . across street Starbucks . grocery good deli & amp ; wine around corner Walgreens 1 block north . try Bar Luxe breakfast . food great , be two block north , wait . Chicago every couple month . ' ve stay Embassy Suites ( simple , room small ) , Four Seasons ( nice nice Talbott 1/2 price ) , Hotel Monaco ( also nice ) . future , will spend visit Talbott . 
 Nov 15 2009 	 Comfort Location 	 stay 5 night October celebrate husband 50th birthday . Doormen bell boy excellent . front desk staff little aloof professional . room comfortable immaculately keep housekeeping . agree traveler comment breakfast - bother nothing enhance stay & quot ; elevator & quot ; music cramp badly light breakfast room 8 be much ! ! two little niggle - get well rate 3 week arrival book 4 month prior . addition pay attention comment celebrate special occasion . little extra touch would steered towards excellent rather good . 
 Nov 13 2009 	 Wonderful hotel 	 family stay Talbott 8/10/09 - 8/16/09 , Room 510 . entire stay great . double queen room huge . concerned room size since four we room , problem ever . staff attentive helpful . location great ( must go across street cupcake - even well , stand outside place night smell cupcake bake ) . would highly recommend hotel . 
 Nov 10 2009 	 wonderful experience 	 first want congratulate thank concierge staff . even get , Stephanie huge help . treat we like gold read need correctly . nice person . gene also helpful . check terrific guy friendly upgrade we without we know . realize room . bellman check trip friendly helpful . room great . well clean use coffee mug glass take replace . restuarant premise call Bice Bistro . get back restaurant Saturday night eleven bar close . tell Talbot destination place . seem like market , would another revenue stream , especially new condo apartment area . wourse part Talbot . breakfast get register line worth . continetal breakfast Holiday Inn Express , Hilton Gardens etc much well . fact , Talbot would not . fruit , cereal kid , restock bowl cereal , bagel , toast . eat one three morning could take . we love Frette bedding towel . top notch . aveda product terrific also . . love location . kind quiet side street . hear lot folk message board construction . yes go Talbot 's fault . not bad anyhow . lobby small quaint . nice fireplace sit close cocktail . finally temperature problem hair dryer problem room call , fix right away . it great three day . 
 Nov 2 2009 	 bring alarm clock 	 girlfriend weekend end October . room clean could see see well day . carpet kind .... since first time Chicago concierge suggest restaurant . obvious restaurant give kickback somekind since present ticket give we concierge . the big drawback we last day ask wake - up never get . good think spouse wake otherwise would miss flight . told receptionist not care much situation . & quot ; Sorry will talk manager & quot ; . also minibar not restock trust hotel consumption since one available check . the situation nice ( near Hancock Tower Magnificent Mile ) comparison hotel appear human sized . Mike Nath 
 Nov 2 2009 	 great stay Talbott ! 	 moment arrive , treat like honor guest . staff amazingly friendly without overbear -- every staffperson give name doorman concierge . nightly turndown service chocolate pillow . historically renovate hotel still amazing modern convenience -- electric button state not want disturbed . also many eco friendly choice . plush robe room , amazing towel . use one conference room meet perfect size group 20 . sleep great wait go back hotel . 
 Oct 29 2009 	 great hotel great location . 	 husband recently stay Talbott 6 night thoroughly enjoy . room & quot ; Deluxe Parlor King & quot ; web site say 520 sq ft . room HUGE , make comfortable extended stay . ( room appear handicapped accessible room make wonder even little large type room would normally . ) bathroom large also , separate tub shower Aveda product . towel nicer towel home . place clean staff friendly helpful . hotel couple block Michigan Avenue close lot great shopping , restaurant site . free breakfast okay like keep simple morning ( toast / croissant , yogurt , lunch meat & amp ; cheese , cereal ) . need little , great diner nearby ( Tempo Cafe ) , place across street Starbuck 's area . sure also hit fabulous cupcake shop ( ) street . one thing not like Business Center . consist one computer pay use 15 minute increment pay copy also . be free use print boarding pass , not realize spend $ 7 print . next time , will take laptop . despite , wonderful time hotel stay next time visit Chicago . 
 Oct 29 2009 	 unbelievable value great location .. definitely stay 	 Talbott Hotel exactly look . Talbott locate wonderful location ( except construction ... will talk later ) . short walk Magnificant Mile , Oak Street , lake couple street away Metro Stop . also five minute walk great restaurant ( Gibson 's , etc . ) . plenty place eat grab cup coffee ( need starbuck morning one across street ) near hotel . addition great location value . book hotel well hotel area ask surpassed expectation . room decent size include flat screen television , comfy bed , turndown service great toiletry . importantly , hotel clean . my concern follow : 1 ) hotel locate next high rise currently construction unfortunately room face construction subject construction noise morning . nothing unbearable , obvious . 2 ) bellman doorman extremely friendly willing assist , front desk attendant seem somewhat indifferent . ' m say rude , eager assist friendly thought might ( one two exception course ) . 3 ) initially call hotel inquire good rate guarantee seem one fully understand reservation desk except manager call back later explain . think everyone take reservation full understanding guarantee work , otherwise not market . Talbott not exception , seem many hotel put price guarantee website call take reservation desk often not know policy tell wrong policy . overall , would stay probably request room face front building ( away construction ) . cozy hotel great location . 
 Oct 27 2009 	 Comfortable Accomodations 	 arrive noon expect leave bag , show room able relax head . staff consistently friendly solicitous , especially concierge Tim Stephanie . 
 Oct 25 2009 	 great value hotel Chicago city center 	 stay 3 night Talbott hotel . experience positive . tt cheap hotel tripadvisor top 10 Chicago , yet value certainly cheap : nice spacy room , huge flat screen tv , large badroom , clean . also be block away main street Hancock tower . a tip booking : book directly website Talbott hotel , will also get free voucher breakfast hotel - book internet channel get voucher ! 
 Oct 19 2009 	 wow - great hotel 	 great place . hotel around corner great shop attraction like Sears Tower five ten minute walk beach . I stay suite wonderful . comfortable sofa sit year . Huge LCD television cable ( High Def ) . large bathtub jacuzzi - type jet massage be lie it . , walk shower . large , comfortable bed too . I ' m sorry stayed night . one thing - book standard room week advance rate $ 300 . check website nearer time , could get suite price . 's worth check day arrive price seem change time - might get lucky like get suite normal price standard 
 Oct 14 2009 	 expect even read review ! 	 boyfriend stay Talbott past weekend LOVED . hotel perfect night want spend city visit family suburb . location wonderful . block Michigan Avenue make shopping eat plan easy . hotel nice street good restaurant ( Feast ) across way . breakfast . one thing say , plan breakfast anywhere hotel , complimentary breakfast get book hotel web site great . feature cereal stale bread lunch meat . disappointed expect much give free . wait staff morning seem annoyed complimentary breakfast people . surprising night drink bar think bartender great . ( FYI - two seven seven two cosmo cost we around $ 50 generous tip ) room really nice . great size comfortable , large bed good size bathroom . hotel eco - friendly always plus . entire staff helpful make trip great . leave wished could stay another night . tax pay $ 180 night . price similar future hotel choice visit . 
 Sep 28 2009 	 Elegance city 	 stay Chicago Talbott August 2009 . almost book room another high profile property , read promising review place Trip Advisor , decide take chance boutique hotel . Talbott certainly old , renovate property although lobby small , adjoining small restaurant bar area ( outdoor seating ) . continental breakfast fine consider complimentary . hotel surround active , ongoing construction , hardly notice weekend . hotel situate middle good bar , shopping restaurant city . spend little time room quite comfortable even though furnishing somewhat date . spite , set hotel apart rest high level refinement service readily apparent deal hotel employee . sometimes personnel staff high end property quite snooty guest , Talbott team gracious always helpful . attribute alone make hotel real winner . 
 Sep 23 2009 	 extraordinary service Talbott home away home Chicago . 	 Chicago long weekend celebrate 20th wedding anniversary . the Talbott perfect choice meet need . stay King Suite impress size room separate bedroom , living room area extra large bathroom soak tub , shower two vanity . love window natural light come room , feel like home away home . hotel quiet floor not many room large chain hotel . location excellent sightseeing visit shop along Michigan Ave . hotel staff extraordinary valet , bellman , front desk concierge staff nice make we feel welcome time . equinox fitness center nice , even hotel . able use healthclub get good workout . also need mention free WIFi internet access . Book online hotel recieve complimentary continental breakfast . drawback hotel two small elevator 16 floor never wait long . hotel next door construction visit hear noise 10th floor hotel . good proximity Rush Street , Michigan Ave . would return Talbott next visit Chicago . 
 Sep 17 2009 	 highly Recommend Hotel 	 wife spend 3 night Talbott . room spacious , comfortable well - appoint . hotel quiet although construction nearby . linen towel first - class . Free wi - fi room . location terrific , one block Michigan Avenue . stay future visit . 
 Sep 1 2009 	 Quaint luxury heart be happen ! 	 stay Talbott number time , mostly business sometimes pleasure . beautiful , room feel like luxurious version home staff could pleasant . , walk distance much Chicago ... Talbott really ! 
 Aug 31 2009 	 love Talbott ! 	 take family trip 28 , 18 15 year old child Chicago . find Talbott TripAdvisor want let everyone know love . small , european style hotel , lovely lobby area ( lot woodwork ) impressive staff . everyone go way make we feel welcome . room beautful spotless . issue bartender not seem enjoy job ... minor . rest staff go beyond . would highly recommend Talbott single , couple family . 
 Aug 28 2009 	 home away home 	 travel Chicago 4 time year never stay anywhere Talbott . smallish european style hotel , great ambience staff make feel like family . moment arrive , greet name welcomed & quot ; home & quot ; . front desk staff friendly efficient . bell staff always available perform task smile . concierge , Stephanie Emrich , without equal . restaurant suggestion , theatre ticket , sightseeing idea , shopping , cultural adventure , request , however great small handle ease . , experience make happen . can not wait return visit November ! Sheila Bielich , Plano , Texas 
 Aug 26 2009 	 Wow 	 & quot ; road warrior & quot ; world one last thing want go stay another hotel week end . special week end , 3rd wedding aniversery . Wife suggueste stay talboot week end . boy ! experiance . time drop & quot ; special car & quot ; give door man strict insturction treat , check desk , bell man show we neat trick room , list go on . my wife contact concierge , Stephanie , two surprised dinner reservation Friday Saturday evnee , Wife know surprised ticket Solhiem Cup Friday . time get hotel thought dinner change , Stephanie true form get dinner reservation change suit late arrival time , advise we Friday night dinner time group 45 people arrive ahead us suggueste move dinner time back avoid rush . great idea , doubt anyone else would suggueste move dinner later time upset guest tell dinner reservation available . during talk Stephanie , talk tour want Saturday . return wonderfull dinner , Stephanie take time look tour wanted advise we available time Saturday . information hand , able plan Saturday still time rest dinner . say wow.the Talbott 's new local customer . see soon . 
 Aug 24 2009 	 Loved Talbott 	 not ever take time write review Talbott nice deserve another recommendation . Robert Andrew greet we walked make stay pleasant . bent backwards make we happy - even far make dinner reservation we . concierge bit condescend rest staff make . room large well appoint clean . bed amazing . bathroom thick towel robe . definitely stay - get great deal 1800 hotel short notice . construction next door non - issue hear thing . 
 Aug 23 2009 	 fantastic find ! 	 husband , young son visit family Milwaukee decide take train Chicago night . search internet last minute place stay come across Talbott . wonderful find ! get hotel 10:30am thinking would leave luggage go explore till check , room ready kindly let we check early . stay deluxe king room , spacious . room clean well maintain . could not ask well location . block Michigan Ave . many store restaurant . I hope get go back stay long next time ! 
 Aug 22 2009 	 Perfect Location room 	 hotel recommend we live expectation . ideally situate walk distance many site minute walk Michigan Ave . the hotel provide brekfast free charge ( book online get ) room spacious newly decorate . large plasm tv , free WIFI etc . even though build work next door noise dust sit outside hotel everyday breakfast occasionally afternoon drink . the staff friendly importantly hotel lot cheap four season well know hotel road . 
 Aug 22 2009 	 Talbott perfectly locate appoint staff great experience . 	 choose Talbott Hotel review Trip Advisor think contribute accolade . unlike large impersonal hotel Talbott amenity luxury hotel . boutique hotel 's concierge service impeccable , staff friendly . locate two block Michigan Avenue John Hancock Centre - close major store tourist attraction . will not make mistake booking stay - ideal business romantic travel . 
 Aug 21 2009 	 Talbott Hotel good hotel Chicago 's intimate size elegant decor great location personable staff ! 	 favorite place stay town . Talbott Hotel epitomize classic Chicago ! 
