pleasant 	 Westin Chicago River North well - run chain establishment centrally locate downtown Chicago . room , view Chicago River , mean over - the - top luxurious , well - design spacious , good light comfortable seating . quiet room Westin & quot ; Heavenly Bed & quot ; make excellent sleeping condition someone often sleep well even well hotel . service hotel polite efficient . what keep hotel receive top rating : ( 1 ) lack & quot ; wow & quot ; factor : room , comfortable , also generic ; ( 2 ) free wi - fi ; ( 3 ) food serve banquet room ( wedding ) fairly indifferent quality , even banquet food . still , price right , hotel offer good deal . 
 Nov 23 2009 	 new favorite hotel Chicago 	 Loved , love love hotel . beautiful soothe decor , enormous room bathroom great view . terrific location matter . staff accomodate room service good , restaurant lobby sushi bar . fabulously comfortable bed . hotel first choice . one recommendation - surge protector desk . crawl desk plug laptop , charger etc . 
 Nov 12 2009 	 SPG status seem matter lot - convenient location nice staff 	 ' ve stay least 20 time staff unfailingly nice . 's average would expect Westin . seem much interested often ' ve stay location overall Starwood relationship , disappointing . platinum lounge kind lame - feel like try shake anything tap water , close early . also try charge internet access lobby computer , print boarding pass . location good treatment good . 
 Nov 7 2009 	 Excellent location 	 stay conference . . easy find great location . near shopping restuarant . service great room comfortable . little expensive side accomodation , however large city think worth extra . 
 Nov 4 2009 	 GREAT experience 	 Loved hotel . loved executive lounge . GREAT experience . 
 Nov 3 2009 	 nice hotel great view room 	 hotel look nice , kind boutique hotel . really love soap room - leaf shape - massage shower . big room , clean , helpful staff reception . food restaurant exceptional still acceptable . 
 Oct 27 2009 	 Chic Hotel 	 stay Valentine 's Day weekend get awesome rate $ 129 month . Sign e - mail blast send notice special rate . get well hotel heart Chicago price anywhere . hotel locate along river across street House Blues great wine bar call Bin 36 . also short walk Michigan Ave . lot major Chicago attraction . l far either . stay time ! 
 oct 22 2009 	 great choice heart Chicago 	 stay long weekend place bid Priceline find hotel downtown Chicago . presently surprise discover Westin River North would home weekend . the location right Chicago River , overlook Wacker Drive downtown Chicago . easy walk distance Loop , El train Michigan Avenue . River North neighborhood home many great restaurant seem well nightlife Loop . , really convenient location explore city . seem cater primarily business traveler , also comfortable accomodate property leisure traveler well . the room large comfortable , nice chaise lounge ( fainting couch ? ) right floor - to - ceiling window . great place sit watch boat sail along river . bathroom also large , lot counter space , large mirror , etc . style somewhat asian , dark marble tile sleek line . ( think property previously Hotel Nikko , something like . architecture furnishing definitely hold - over , although still nice . ) drawback property unwillingness place we different room . three we ( adult ) purchase room use Priceline . ( yes , know fine print Priceline tell we reservation technically two people . ) check , request room two bed tell we room one king bed . ask different room tell & quot ; sell & quot ; 2nd night stay would not able move we . even though two us Starwood member , still refuse request get room 2 bed . find hard believe hotel sell -- especially since keep say sell next night . feel like somewhat give shaft Priceline customer . , course , way verify this . we try call front desk later evening , even stop person next morning still meet resistance . even though room comfortable , front desk staff service leave somewhat bitter taste mouth . accommodate sympathetic request different room . 
 Oct 21 2009 	 Rock Star Quality 	 feel high class staying ! # 1 benefit stay unimaginably comfortable bed . far good night sleep make u wake smile ! 
 Oct 11 2009 	 great hotel ... excellent service 	 husband stay hotel Chicago . second time check agent behind desk tell we & quot ; welcome back , welcome home & quot ; . think nice touch come JFK Epway deal downtown traffic . bed keep we come back . heavenly . we love hotel stay . Sure 's expensive husband go vacation like special touch spend money feel pamper . thoe want spend much check wintertime great rate . first time stay dead winter special rate include parking . sure want go Chicago 's cold , find great deal . 
 Oct 8 2009 	 fabulous place stay 	 ' m something regular elegant hotel . large enough amenity seek ( executive lounge , nice work room , lobby bar , in - room internet ) yet small enough feel personal . location terrific business loop . 
