great 	 Hotel describe whilst obvious work go hotel never hear anything . staff always polite welcome situ ideal . would recommend Old Pancake House breakfast , per trip advisor recommendation , superb quality value . 
 Nov 16 2009 	 Great Location - Great Service 	 choose stay whitehall location event attend four Seasons . surprised wonderful service receive valet , doorman , front desk . friendly bartender . location perfect shopping ! large room king bed clean . also love robe provide stay . downside bathroom small , one person could fit use sink and/or toilet . leave prescription glass room upon departure Louis security call inform find would mail home . like say , great service ! definitely stay hotel . Valet parking Whitehall night $ 48 ... next time use parking garage directly across street $ 35 ! ! 
 Nov 1 2009 	 great hotel great location .. 	 hotel smack bang middle everything great location great hotel , hotel room lovely could need .. 
 Oct 28 2009 	 Classy hotel good location 	 stay Whitehall five night mid October good rate , first destination extend round world post - retirement trip backpack . helpful receptionist give we beautiful junior suite hear plan . historic hotel really well locate , Michigan Avenue smartly decorate furnish . use restaurant evening meal food good , expensive , Chicago restaurant pricey area . Wifi free able take advantage signal room neighbour hotel also many cafe free wifi . breakfast Yolk ( trendy place Wells St ) also Corner Bakery Cafe Rush , great place . staff helpful wonderful time . disadvantage we room little dark often case , somewhat warm , even air - conditioning . would definitely recommend hotel other though . 
 oct 8 2009 	 great location quant environment 	 Whitehall old , renovate course , boutique style hotel downtown Chicago . wonderful location . close proximity Magnificent Mile , Lake Michigan , Navy Pier , Rush St ... easily within walking distance . location also nice street usually pretty calm throughout day night ... really thing block Four season . the room small , fairly well appoint . bed nice comfy , bathroom clean update . book online travel site really great rate , honestly pleasantly surprised end . hotel staff always courteous . always bellman wait door matter hour . try room service adjoin restaurant . would definitely recommend hotel travel Chicago budget sightseeing trip . really good value . 
 oct 2 2009 	 four star Hotel 	 take chance Hotwire , mistake . cheap Hotwire misrepresent star rating . say four star eye two star . start reception , paint wood trim look old five layer thick . room old , date , renovate several decade . air unit noisy . room layout awkward . tv old school . light switch work . bed good , water pressure . Shower curtain really thick plastic type bend . embarrassing address . leave . get refund , lose two night . go lovely Dana street . lesson ... never Hotwire . 
 Sep 5 2009 	 Location Comfort 	 stay week late August . apprehension other note small room , noise , dirt loud malfunction air con along intrusive building building work . well whether lucky not know stay none thing . room spacious normal room view Hancock Lake enough space 2 great bed bathroom . Aircon room yet upgrade work well although noise audible acceptable . everyone friendly ideally locate shop attraction . well bar / restaurant site would perfect bar restaurant independent hotel lack appeal may hotel something need work . till , cocktail signature room , 96 floor Hancock represent great value consider view charge entry cheap attached bar hotel . breakfast original pancake house give credit rightly . Einsteins Bagels represent reasonable option wait great , next door Urban Outfitters block away 
 Sep 5 2009 	 Excellent price 	 stay Whitehall 6 night last month complaint . location perfect explore tourist highlight , good restaurant course shopping . staff friendly helpful time room ( think standard ) spacious nicely furnish . opinion would pay lot well hotel unless splash honeymoon something would not bother . 
 Sep 3 2009 	 even close 4 Star 	 often joke friend people complain hotel Tripadvisor ... know cranky travelor feel . we book Whitehall hotel Hotwire Labor Day weekend . suppose 4 star , ' ve never disappoint hotel . place dump . 's construction staff rude . ( wake front desk person check we midnight last night . ) routinely work hotel . know hotel charge internet , charge $ 10 every laptop want use ... pay $ 30 day internet access hotel outrageous . room not even worth $ 30.from typically easy go travelor , take advice avoid Whitehall Hotel . 's dump . 
 Sep 1 2009 	 Loved Whitehall . 	 read review nearly not book expedia offer good rate 8 night stay , go ahead regardless pleased . minute step taxi make feel welcome . staff encounter friendly , welcome polite . check quick efficient not smell strange smell lobby 8 day ! ! room 1313 , maybe unlucky we . room good size spotlessly clean . bed superb , want ship home . air con work well ( problem reviewer ) . bathroom also nice size clean . towel toiletrie good supply . we obviously one newly renovate room problem tired looking furnishing , dusty carpet peel wallpaper . facility room include minibar , tv , hairdryer , safe , iron / iron board robe . tea / coffee make facilite room available lobby morning . ice bring evening turn service . situate end corridor rarely hear noise guest . partial view Hancock Tower room overlook church quiet side road not hear much noise outside either . notice room warn renovation work plastic sheet corridor happen room day ( jetlag kick ) not hear extra noise . probably good part Whitehall though location . Mag Mile easy reach downtown Chicago foot safe . walk far south Soldier Field far north North Ave beach . public transport use water taxi sightseeing necessity . John Hancock Tower virtually doorstep great shopping lot nice restaurant . finally , not eat hotel restaurant definitely recommend Tempo Cafe ( 2 block away corner E Chestnut N State ) lovely fill breakfast . not put crowd outside , head front put name list , worth wait . eat everyday . 
 Aug 25 2009 	 love -- obviously depend room ... 	 love Whitehall . room renovate , means:1 . good bed linen ever2 . lovely marble bathroom nightlight3 . Good TVFour thing love : 1 . great concierge . book we Chicago family fab architecture cruise . also good advice catch bus.2 . well brew coffee morning lobby . 3 . nice , pleasant staff4 . location , half block John Hancock towerhint : go Original Pancake House one good breakfast ever . 
