off 	 Willows website boast parking & quot ; unlimited privilege . & quot ; well , know Willows Hotel & quot ; Parking & quot ; on - site . so - call hotel parking actually unmanned public parking garage ALLEY hotel . complain website mislead clerk say , & quot ; none hotel Lincoln Park parking . & quot ; think 's risky walk parking garage hotel night , wait get credit card bill . immediately use credit card garage 's unmanned kiosk , enterprise credit card thief ( NY area ) begin frenzied & amp ; fraudulent spending spree . within four day stay Willows -- 's off - site public parking garage -- $ 10 k fraudulent charge post credit card use pay parking . never would stay Willows know lousy parking situation . , idea stay Willows off - site parking would costly mistake . 
 oct 22 2009 	 nice comfortable hotel good area 	 room large bed comfortable soft duvet plenty pillow . sleep well ! flat - screen tv mount wall . old - fashioned decor , classy everything working order . third floor problem elevator . neighborhood absolutely lovely residential make want live ! however , aware downtown Chicago bit distance . four minor complaint : 1- reviewer note , front desk staff leave somthe desire . be outright nasty anything , indifferent niceness hotel . 2- be far & quot ; L , & quot ; half - mile walk . big deal nice weather , be come home late be tired , last thing need long walk . bus close . 3- nearly enough seating breakfast . table eat ; kind grab stuff balance lap cocktail table never enough space . 4 - while bedroom quiet , bathroom could hear entire conversation neighbor , not think yell , either . personally , find price high , maybe be Chicago . 
 Oct 3 2009 	 wonderful place stay 	 family Willows Hotel 3 separate occasion return 2 week stay . locate less one block daughter 's apt . within walking distance great restaurant shop . easily accessible train bus . one stay winter great room overlook street . bed wonderful . even though old hotel , never hear people come go . room ' ve 2 bed face alley , spacious . bathroom small side , everything sparkle clean front desk people great . glad find place since daughter 4 year go . note : mark swimming pool , last visit , pass large Bally gym nearby , not know 's still go . 
 Oct 3 2009 	 Noisy . poorly Staffed 	 stay willows recent trip Chicago slightly underwhelme comparison traveler review here . my room , first floor & quot ; suite & quot ; , apparently locate stairwell lead lobby second floor . problem day . , quite noisy 3 Friday Saturday night drunken reveler came stomp home local bar . staff begin dig ice ice machine next room 6 continental breakfast hotel serve lobby . in case Willows , excessive noise could contain simple installation acoustic tile and/or insulation offend staircase considerate behavior staff . the suite consist one large room wall instal middle couple chair , tv wet bar sit area . certainly worth extra expense . bedroom rather old window unit air conditioner unnecessary night . heat , would welcome night visit , appear radiate steam heat one might find many old Chicago building . bathroom tiny one could nat maneuver around door without close it . the bedding quite comfortble . however , room fixture include carpet old , worn appear need replacementthe neighborhood quite nice . many dining drinking option available within block hotel . quite close Lake Michigan beach one travel summer . hotel offer gym membership local Bally's . the staff seem bit inept . capable dealing difficulty encounter guest check time be . there scant hotel neighborhood surprising give proximity Wrigley Field . experience quite underwhelming ( include Willow 's sister hotel , City Suites Belmont , back active El track ) . suspect demand cause lack competition neighborhood create environment hotel operator not excel keep guest come back . 
 Jul 12 2009 	 around great hotel 	 get home one night stay Willows hotel . pleasantly surprise nice hotel low price . hotel nice atmosphere . front desk bit slow time , complaint . room nice clean . locate nice neighborhood . 20 minute walk Wrigley Field . hotel right restaurant , shop , bar , etc ... definitely consider stay next visit chicago ! 
 Jun 20 2009 	 due overbooke another Hotel strand staff Willow ( especially Bill ) come rescue . 	 great staff need . GREAT experience stay near heart Boystown . food , people atmosphere near Halstead wonderful . 
 Feb 26 2009 	 website slightly mislead 	 go Chicago friend 's wedding book hotel near apartment . price website lead believe go step ' m use . upon arrival guy front desk could not find reservation minute finally find . bellman take suitcase room even finish check . lobby nice staff friendly . elevator kind slow end take stair remainder stay ( two night ) fast . room clean , perfect . lovely view brick wall someone 's kitchen . bathroom floor little uneven . think wifi free end pay it . the breakfast not spectacular , mostly unhealthy item like doughnut breakfast sandwich . Sunday though stack free Tribunes nice . would not stay price . 
 Feb 24 2009 	 lovely spot Lincoln Park 	 day Inn patron , DI electrical virus lovely reservation manager suggest Willows stay . lovely room back view , quiet , neat , perfectly suited taste - operable window , good neighborhood Chicago , easy access usual haunt . free breakfast great perk , small fridge , another necessity . lack safe quibble . look truly calm experience real neighborhood boutique , over - the - top atmosphere , willows great choice . access Bally Fitness , also offer Days Inn , wonderful add attraction . 
 Jan 27 2009 	 lovely little hotel great location . 	 visit Chicago hang friend select Willows : 1 ) old neighbourhood ( lakeview ) , love 2 ) convenient get Boystown , Wrigleyville , Near North , Loop , Evanston : location want visit trip . love architecture hotel room quite large . free breakfast continental , ample . service efficient , overly warm . stay definitely stay again . some general recommendations:1 ) Book Expedia another travel website . second time Willows time rate website expensive Expedia.2 ) O'Hare , take Blue Line Logan Square bus # 76 Sheridan . get Diversey Clark . one block away hotel.3 ) explore local neighbourhood foot . wonderful shop , especially walk north Broadway . sure try Intelligentsia Coffee Broadway.4 ) go Magnificent Mile , walk Diversey Sheridan ( couple block hotel ) , take 151 Sheridan bus south . drop right Michigan Ave . 
 Dec 14 2008 	 totally fine 	 recently Chicago weekend stay way another city , book Willows 30 % rate around $ 100 per night . read review , reasonable expectation would get . hotel well locate , near shop restaurant , Halsted Street , metro . staff courteous helpful , availablility hot coffee tea cozy lobby area 24/7 nice touch , high couple day around 15 . room number 200 . advantage one front face King room ... probably one photo website , much small would guessed look photo . still , clean efficient . complaint adjacent stairwell , awaken couple time footstep see suite , much big , view room 200 , travel alone would stay King room . honestly nothing negative say hotel .... want neighborhood feel small hotel , great place stay . one note traveler - traffic airport terrible Diversy , road towards area . would definitely consider take train ... take Blue Line Logan Square Station cab around 3 mile hotel , weather ok take blue line way downtown , connect brown line Diversy , walk 6 block hotel . 
 Nov 18 2008 	 Chicago favorite suffering bit poor staffing 	 one hidden gem Chicago , especially want feel like be live Chicago neighborhood . boutique nature , room nicely keep , large comfortable ( albeit somewhat aged ) easy access restaurant shop . 's problem , though : staff ambivalent , sometimes , outright rude . really disturbing , love hotel . stay several day recent visit , nearly every staff member outright dismissive . frequently , be one desk ( make wonder really something management know ) , someone , 's guarantee will not greet will not ever smile . bottom line average property downgrade personnel problem . 
 Oct 3 2008 	 Convenient hotel 	 difficult time 4 star bidding ( bid get high Loop River North ) Priceline would stay midweek rather weekend .. turn fine get Wednesday Thursday night 3 star Willows good price . compaint . willow old , refurbish hotel nestle safe Lakeview East neighborhood serve well . remind small european hotel . first floor room not get elevator adventure read review . room bath clean . comfortable bed . the staff friendly attentive . nice breakfast . what like willows great location . close good restaurant shop . mall Borders block away 5 minute walk take 151 bus will get downtown . I also like convenience take blue line O'Hare transfer 76 bus Logan Square arrive within block Willows . public transportation airport hotel jaunt take little hour . need car . Chicago excellent public transportation . get visitor pass . highly recommend . like walk jog close Lake Michigan waterfront trail north end Lincoln Park . fancy place stay Willows still plenty charm would lack stay chain hotel vicinity . could not say adio place without picture take nice desk clerk stand front neat french fireplace thelobby . regret would get ride legendary Rube Goldberg lift . . 
 Sep 28 2008 	 nice little place convenient 	 stay two night son busines inChicago . meetings downtown , Willows Lincoln Park area , stay theprice $ 200 less per night . the Hotel Surf Street quiet residential neighborhood , close shop restaurant . also , easy take bus downtown bck uptown day end . two dollar bus ride far well twenty dollar cab ride . over hotel neat clean staff friendly . would stay 
 Sep 17 2008 	 Oasis City 	 wife stay Willows 2 night base preponderance good review TripAdvisor . disappointed way . small room one queen size bed . clean quiet . feel value good large city Chicago . free breakfast perfectly adequate , another bonus hotel large city . personal service intimate atmosphere also welcome change large chain hotel . good part may neighborhood . fabulous . everything one could possibly want within easy walk distance . mean everything . every nationality cuisine , include place open late even 24 hour . even everything Barnes & amp ; Noble Borders , Bed Bath & amp ; beyond Best Buy , small use book store pizza place asian , persian turkish restaurant , coffee shops- . great walk neighborhood . despite , seem quiet . close proximity excellent public transportation another plus . never use car cab . parking garage convenient . willow even city 's $ 5.00 bus / train daily pass front desk . turn convenience money - saver . 2 night part 28 - day cross - country driving trip . willow one good place stay . 
 Aug 27 2008 	 Willows save trip Chicago 	 fly Chicago Cubs game August 18 experience horrible flight- three hour delay , miss connection , almost miss reschedule connection , lose luggage . time arrive Willows absolutely frustrated . front desk change . friendly , get we check quickly , give we demonstation old - fashioned elevator , write luggage information arrive . freshen ( care package airline give we ) give we competent direction train give we information need stop get ( Sears Tower , Billy Goat Tavern ect . ) . decor hotel nice . old - fashioned ( ' m positive decade , think 20 's ) swing/ jazz music play lobby . the location quiet little side street nice neighborhood . Wrigley Field 20 minute walk plenty restauraunt bar / pub area . get everything need within walking distance ( grocery , drug store , ect . ) .everyone front desk encounter Willows seem go way accomadate we . highly recommend . 
 Aug 21 2008 	 average hotel expensive 	 hotel several good point great . good side , staff friendly willing help . first arrive give room window face main street . next day ask could move different room could sleep well without traffic noise grant request without problem . room furniture generally good shape bathroom clean . continental breakfast include . 's free wireless internet hotel . room air conditioning room . hotel close numerous restaurant pub good area Chicago . one criticism hotel show wear tear . example , carpet entire premise need replacement . perhaps big deal people , give pay $ 150 per night ( incl . tax ) , would expect well upkeep hotel else low nightly rate . 
 Jul 10 2008 	 quaint small overprice great neighborhood 	 hotel great neighborhood , near lake many great restaurant . husband stay laughably small room , nothing else available ( price small ) . staff always friendly helpful . expand contintental breakfast , adequate . tea fresh - bake cookie everyday 4 pm . love walk front door hotel right lovely Chicago neighborhood . many restaurant store Clark Broadway . lovely walk lakefront . room really small , place overprice , always enjoy stay . 
 Jun 24 2008 	 Great Room 	 spend one night Willows . staff helpful . need stay past regular checkout time staff accommodate even let we stay parking garage extra cost . the continental breakfast nice variety cereal , bagel , breakfast sandwich juice . location nice residential area quiet . 
 Apr 7 2008 	 Perfect Hotel 	 return 5 night Willows . hotel wonderful staff knowledgeable helpful . first trip Chicago read several review online , decide not need pay high price hotels downtown , book hotel directly property . we stay king room 2nd floor . hotel 4 floor easy access lobby . continental breakfast perfect . 's nothing fancy , typical bagel , muffin , danish , cereal , yogurt , fruit , etc . be also hot coffee water tea available day well lemonade cookie fruit 4 pm . snack drink available throughout day life - saver husband come bronchitis spend vacation inside hotel plan ! needless say , bed comfortable splurge king size room great , especially plan spend time room . king room come two comfy chair read tv watching . I can not say enough neighborhood . take plenty cash we think meal would expensive big city , come home half cash supply . neighborhood seem cater young professional lot great food option fairly cheap ! well find Molly 's cupcake N. Clark ... service impeccable ' ve never taste cupcake good creative ! course also try popcorn , hotdog , pizza . stay away Geno 's East . heard ' ve change recipe 's might remember . love Chicago 's pizza N. Sheffield ( location ) . 's pizza go . would not say good hotel ' ve ever stay , city hotel tourist local friendly , can not beat deal . close & quot ; El & quot ; run along safe Brown / Purple line . be already plan return trip weather get warm ! 
 Mar 21 2008 	 willow good ! 	 Willows hotel favorite place stay visit Chicago . locate great neighborhood near lakefront huge selection restaurant shop walk distance . hotel quiet room clean . find staff always exceptionally kind helpful really make hotel feel like home away home . 
 Dec 17 2007 	 Hidden GEM 	 Chicago many time business usually stay Hilton Marriot , one trip sell come along willows fantastic stay . hotel renovate top bottom staff always great . great restaurant within walk distance bar . also two property Majestic City Suites look great . take word hotel disappoint . 
