try 	 TheWit try trendy , hip hotel , forget basic guest look -- comfort & amp ; service . room uncomfortable -- small , odd furniture , bathroom sink strangely shape tiny fail drain water . bathroom door slide open , annoying leave little privacy . service spotty . request item housekeeping call multiple time . interim , receive rubix cube jelly apple -- fun touch , would much rather receive towel need . can not imagine stay hotel business trip . internet free overall hotel room hard function , give size odd design bathroom . hotel gym rooftop bar top notch , reason stay hotel recommend . go elsewhere polished relaxing stay . 
 Nov 22 2009 	 Plenty Better Hotels Chicago 	 stay Wit recommendation friend , tell hotel new , room clean roof top bar great nighttime spot . agree description , critical item consider Wit know . first , room TINY . two we could move around time comfortably . bathroom small functional . sink & quot ; modern & quot ; absolutely ridiculous . also , charge use internet room , even Platinum Hilton Honors member . second , first time visitor Chicago , find hotel undesirable location . yes , near El , Chicago big quite walkable ( warm day ) . would much preferred side river , close Lake Michigan Gold Coast shopping . taxis expensive , wish visit sight Loop area , recommendation stay elsewhere make quick trip . plus near El able easily travel Wicker Park , great place walk around spend day . taxi Michigan Avenue center Wicker Park cost less $ 10 . finally , rooftop fun nice place get drink , reason stay hotel . hotel key grant immediate access roof , appear non - guest wait ( Friday night ) . point ( Hilton ) , end check walk across river Conrad ( also Hilton ) GREAT stay . next time visit Chicago , plan skip Wit . one positive note , gym clean , new nice tv cardio machine plenty elliptical , bike treadmill . 
 Nov 13 2009 	 stay ! 	 stay Wit 4 night end October friend . room 2 queen bed massive tv ! room spacious really clean , maid good job day forget bed soooo comfortable ! hotel great location , walk everywhere include Navy Pier , Art Institute , Willis Tower John Hancock Centre ( tell lift come , could call ' the John ' slightly amuse we 2 english people ! ) . hotel right El not disturb we use get Aquarium . Staff Hotel friendly helpful , recommend place eat , help onward travel , question small . special mention door staff welcome back day always . cookie good ! can not fault anything hotel amazing stay . 
 Nov 11 2009 	 great massage ! 	 hear amazing thing spa Wit , decide try . love ! atmosphere serene locker room private ( ) provide everything need want . even wait massage begin , amazing tea . Tranquil massage treat , especially since ' m dancer , need keep muscle healthy . overall , would definitely come back . pleasure ! 
 Nov 11 2009 	 Best Hotel ' ve stay ! 	 can not say enough Wit . trendy cool , yet friendly down - to - earth . Front Desk staff friendly ; doorman great ! ; housekeeper , Claudia , excellent . would leave we little friendly note wish us & quot ; Happy Friday & quot ; , etc . nature sound floor nice touch ! room bite small furnishing nice . location perfect ! walk ( train ) everywhere . lot choice hotel food ... love State & amp ; Lake . roof nice , little overpriced drink , think . all , can not wait come back Chicago Wit ! recommend hotel everyone ! thank great time ! ! ! ! 
 Nov 10 2009 	 fantastic Fall Weekend city 	 opportunity stay theWit fall weekend getaway Chicago . hotel action . perfect location go either direction great place Chicago . enjoy close Macy 's theater Sat . Sunday , North , great restaurant . warmly greet hotel staff arrive . doorman nicest city ! step hotel like step another world . lobby young , hip modern music hallway room create calm affect . hotel room spotless fun enjoy great bathroom stuff . lunch Cibo Matta ( definitely try onion dip ) , course , drink Roof . can not wait see view winter be going keep warm ! definitely , great view see Christmas decoration . thewit fun , great place minute step hotel leave . be must see Chicago ! 
 Nov 10 2009 	 Racism Witt huge Unacceptable 	 book junior spa suite Witt birthday Friday August 14 , 2009 . experience havoc express issue via e - mail provide comp return stay expression would better time around . comp stay come along $ 100 restaurant certificate . skeptical return Wit consider previous experience review facebook other visit well review online regard situation typical Wit since guy open . I put thought side decide return husband 39th birthday past Friday November 6 , 2009 . check hotel 4:15pm cst upon check – hostess 1 ) provide cookie 2 ) share literature Roof offer pass attend Roof case rush . say right next couple checking receive 1 ) cookie 2 ) hostess express rooftop lounge offer pass attend . ask hostess " Roof " ? say " Ooh ' typically crowd since slow really ' need pass " . insist receive pass cookie gave pass two . tell couple people dinner we Cibomatto would like take Roof afterwards well supply another card number 6 . evening set start dinner Cibomatto party 8 7:00pm cst . seat chef table dinner begin , food AWESOME waitress Hyatt equally AWESOME . check arrive total $ 456.13 ( math major swift math ) 3 couple pay portion credit card . couple # 1 $ 191.50 – couple # 2 $ 90.00 – couple # 3 $ 129.63 & amp ; husband supply $ 100 gift card ask balance take gift card express server use first . waitress return three credit card copy state left gratuity fine know tip , question rise " $ 45 leave charge 3 card take $ 100 gift card . ' explain send lovely manager ' explain either explain take $ 15 credit card total ( equal $ 45 ) individual use card add tip line ( $ 45 tip = 10 % check ) . go provide $ 100 bill ask change add tip make 18 % . without listen want change look receipt see far tip $ 45 state " guy go leave $ 45 , bad waitress ? " shock first go leave $ 45 need change add $ 25 make $ 70 tip secondly ask something like people spend money restaurant . change arrive place additional $ 25 table leave outdone . husband go suite bill come freshen initial profiling situation . however get elevator hostess put bracelet people allow go roof dinner guest receive bracelet except 3 people leave restaurant bill close . make suite husband see bracelet insist go get one . low behold manager Cibomatto pull office say " waitress wrong ? tip inappropriate even 10 % check " husband clue talking know tip time come back suite express happen take back even manager insult intelligence professionalism.\We decide ignore stay suite fun lot friend NY , ATL LA town hubby birthday least 70 % people stand line receive bracelet come suite . however 3 people stop front desk come suite since ' answer phone hostess give KEY SUITE pass ROOF name ( still pass give name front desk ) . find disturb suite people arrive access belonging make complaint immediately . guest begin disburse suite head Roof bracelet , pass give , etc .. husband ' leave suite head later get pass give check - in tell many people suite # Roof ( WAY CROWDED means ) ' attend . immediately ask point people point say look arm ( Bracelet ) , other say show pass , other even we ( 30ppl ) ask associate group ' get straight answer however know answer , ' AFRICAN AMERICAN descent profile together CAUCASIAN friend come PHILLIPIAN friend come ' 1 ) obtain bracelet , 2 ) stop elevator enter roof even ask present card bracelet . surprise thing happen August Birthday hope change go effect RACISM would end due numerous review express racism toward African Americans . the Wit not cater African Americans mean feel trian thi staff way . positive review check accord nationality individual post OPEN letter PUBLIC FB recieve 900 comment NEGATIVE thi experience respond negative african american recieve BAD TREATMENT . 
 Nov 9 2009 	 Great Hotel 	 Great Hotel . room amazing great view city . clean room , firm bed , pillow selection soft firm . ammentie home . restaurant menus wide selection . hotel staff knowledgeable , curtious helpful . Rooftop bar die . would recommend friend family . planning stay New Years Eve . 
 Nov 4 2009 	 still work kink 	 stay Wit city Marathon October mostly concur previous reviewer ' comment . little touch like nature sound hallway modern furnishing contribute overall positive experience . rooftop bar State Lake restaurant convenient service . however several gliche service poorly handle . shower almost water pressure shower head need handheld bracket break . call repair return room evening , shower head ' rubber band ' bracket . also never room clean stay since leave 9 am return 5 pm housekeeping staff still work hall . room small , similar NYC hotel . ' river view ' king spa room 's description lead we think sufficient room 2 parent one tween . however need majorly rearrange room evening son could sleep pull sofa . leave floor space need walk mattress get one side room bathroom . ' river view ' mean stand tiptoes corner window get view . 
 Nov 2 2009 	 top notch every sense word 	 return brief memorable stay Wit . read review change reservation Marriott see buzz . not disappointed . first class check . professional , courteous friendly . give sister lie land offer suggestion place find costume Halloween . host event $ 1,000 cash prize ! drink Roof . Nick bartender could not nicer . remember we first name go back later evening - often happen anymore ? bellman doormen well ! huge smile , welcome we back every time enter hotel . around nice feeling . I would highly recommend treat hotel . 
 Nov 1 2009 	 incredibly AMAZING place 	 boyfriend lot different hotel , nothing come close WIT . time pull hotel unitl time leave , inpecable service . boyfriend plan whole night city birthday weekend , help hotel staff .. truley amazing experience . people front incredibly sweet accomadating . although someone else check we , brittany absolutely amazing set everything Jeff weekend .. put we Paramount Suite .. gracious champagne chocolate cover strawberry set room . needless say , Brittany extremley helpful go beyond make experience unforgetable . could ask well night ( ) birthday . honestly not want leave room first arrive . FLOORED walk beautiful suite . bouquet rose set oh perfectly counter birthday balloon .. soon walk , right plain view . could get big beautiful room . champaigne chocolate cover strawberry perfect touch begin beautiful night . mention hand write letter birthday card Brittany kind write we . can not get amazing experience Wit . Jeff sip champaigne get ready big night . go dinner , comedy show , back bar top hotel .. roof .. type ultra lounge Jeff definately come back .... drink great .. decore definately style . night remember . check , opportunity talk Brittany lot . definately great asset Wit Hotel . not incredibly generous service .. not know stay would amazing .. oh also recieve & quot ; GO & quot ; cookie .. delicious . Jeff want mention valet service unheard .. four gentleman help we carry belonging car .. everyone Wit Hotel smile face like actually enjoy apart hotel .. extremely refreshing see . Jeff want thank everyone make night unforgetable , definately back near future . next time may try spa time explore beautiousness hotel .. thank much .... truley grateful .. Nicki 
