awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Nov 25 2009 	 enjoy concerned bad review 	 great trip family teenrestaurant goodyes & quot ; bar scene & quot ; low level one controlrestaurant little slow sometimes overall good food goodi get concerned bad review read customer service do not care equate dirty bathroomsi would go backyes elevator slow come bad ( imo ) 
 Nov 20 2009 	 lose ... literally . still lot good amenity terrific location . 	 first business trip long , go Chicago spend two day working project , choose several area company offer great corporate rate location good . initially impressed . check mid - day colleague immediately able go room ( early ) . trendy vibe moment walk door . promotion not recall , ' m currently Starwood Gold , upgrade spectacular view Lake Michigan Navy Pier 24th floor give 4 pm checkout day departure , nice late flight . room flat - screen tv , two double bed , well - equip bathroom nifty Bliss amenity ( be Bliss spa premise ) . odd window bathroom shutter open close . not mind , see might freak traditionalist . iPod docking station nightstand become expect welcome amenity class hotel . weird traditional analog bedside clock hard see wake middle night . closet space strange clothing storage drawer undeneath closet awkwardly bend get clothe . deal breaker bad back , would annoy . miss small amenity like in - room coffeemaker stand suitcase packing / unpacking . everything 's design - y trendy theme - y . extra roll toilet paper bathroom cover title & quot ; Backup Plan , & quot ; newspaper present every day grey bag title & quot ; News & quot ; hung doorknob , even bathmat word & quot ; Step & quot ; inscribe . little detail fun ; guess W signature not stay lot they . have good intention work visit pool gym area , seem well equip . pool indoor outdoor deck would fun summer month . Loved treadmill face lake . sadly , business sleep take priority never make actually work . great ahi tuna sandwich lunch lobby bar group even briefly check Whiskey Sky , rooftop bar , not exciting have hope - small view well room . we chance try Acura & quot ; wherever Whenever & quot ; service driver take anywhere need go within 5 mile hotel - much pleasant fun regular taxi cab . service start noon great early morning business meeting , really fun perk . feel great place initially , love affair end abruptly gruele 12 hour work day , come back room find have check . thing still , untouched , friend come visit texte tell front desk tell have check . half - hour ordeal ensue manager ( Sasha ) insist reservation one night ( though itinerary material give check - in clearly state two night ) suggest somehow make mistake . & quot ; , be nothing note change log , always one night ... & quot ; keep say . Wish have spend less energy insist wrong energy try fix . finally check , next day bill slip door wrong many count go front desk fix . wound two separate bill , one night , fun submitting expense . parking breathtake $ 48 , glad not rental car , internet access $ 40 3 day , charge $ 2.29 access call airline 's 800 number . aware . would stay ? sure . would make print proof check - out date rate moment check . would skip internet access stick cell phone call , even 800 number . the hotel block away West Egg Cafe , favorite breakfast spot , another restaurant recommendation Graham Elliot ( neighborhood worth seek ) . Pumpernickel crust sturgeon amazing . 
 Nov 16 2009 	 not Worry Bad Reviews 	 stay 40th birthday weekend little nervious review ...... not worry nice hotel great staff . get lakeview room also worry turn great . get past cost , already know , great place stay . close everything , free Acura car ride , GREAT BED ! 
 Nov 16 2009 	 money not like enough 	 con : - walk parking / drop area get in.- 2 3 block restaurant etc.- price snack bar- continually transfer talk customer services- Cooooold barPros : - good gym , pool ( view ) - friendly staff whole- nice room , comfy bed , cool furnishing well supplied- beautiful viewstaye first night honeymoon , upgrade lake view room , pretty spectacular . room good size well furnish really comfy bed ; although be contemporary design might keen . during stay use gym pretty well equip . pool little small side , rarely couple people not problem . fruit bowl pool side nice addition too . the staff friendly , not encounter problem service . phone , tend get transfer around quite lot though ; problem also encounter phone ahead trip . the hotel good look place well design , let bit fact negotiate busy set area way - addition relaxed atmosphere make . the W hotel make bit noise munchie box room , really snack bar definately free fool . not price list , packet open ; cool . the hotel fairly central , across road Navy Pier . 's good block anything much else though , not impress 's location . it be get good bar twenty something - th floor , warn ; be coooold . chat girl behind bar , get impression always like . perhaps busy friday night would warm up . this great hotel nightlife , bar lobby another high , buzz atmosphere good facility . room generally well keep well design . would recommend someone plenty money look somewhere good buzz . though , bit expensive . 
 Nov 15 2009 	 completely underwhelme 	 W Lakeshore hotel large disappointment moment arrive . hotel entrance mess car park every direction wait 10 minute street . check - in agent unpleasant provide we information hotel ( include find elevator ) . elevator slow . wall thin hear everything go hall hour morning . bathroom tiny step toilet enjoy weak shower . bright spot : bliss toiletry . 
 Nov 3 2009 	 Claustrophobia anyone ? 	 think new hotel find business 10 year . upstairs bar remind bad dream pre - disco 70 's Black Lights . Daytime alright Mackinac Island style rock chair overlook Lake . everything scream progressive - young Turks order Martell Red Bull cocktail $ 20 pop . visitor weekend government employee - business friendly atmosphere . room small , elevator slow crowd - whoever design foot traffic pattern must sardine fetish - since feel elevator cue . mediocre food - helpful staff though . would recommend 30 . 
 Oct 25 2009 	 love 	 get lucky chose & quot ; name price & quot ; priceline . choose area city bid 100 . bid accept . first bit hesitant review read ( necessarily site ) . however , pleasantly surprised . stay cityview room 19th floor . though amazing lake view , still great . enjoy lake view elevator alcove provide telescope . would gladly pay standard rate room . king size bed , room quite spacioius . although could hear people adjoining room , early evening , silent go sleep . hotel trendy hip . wireless free living room ( also wonderful people watch ) . staff helpful courteous . room spotless . would definitely stay . 
 Oct 20 2009 	 Kudos Claudia concierge service 	 overall , stay pleasant . encounter one hiccup immediately address Claudia concierge . can not say enpugh . even come room bring delivery hung security . good service personnel make stay memorable . keep invest good people . 
 Oct 19 2009 	 Hip Place say positive attitude ! 	 want give review since almost cancel stay due many negative one list site . we celebrate 40th birthday . total 5 room . request stay vicinity floor . request 2 complimentary Acura car ride prompt pleasant . request coffee make bring timely manner . word , & quot ; anything & quot ; request grant pleased experience . the room contemporary . bit wear clean comfortable ( love bed ! ) & quot ; Westin & quot ; girl prefer traditional love & quot ; hip vibe & quot ; hotel lobby atmoshere . husband Marvelous suite great view Lake Michigan Navy Pier . also excellent entertain group go . Michigan Ave four block away location pretty convenient . do not frightened give place try . certainly go back sometime ! 
 Oct 18 2009 	 great location - sophisticated hotel 	 kid think hotel cool . love swimming pool look window room lake Navy Pier . 
