review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Nov 25 2009 	 great location great weekend rate 	 impressive , well maintain . room large desk armoire / tv . staff helpful friendly . front desk word , reserve . several breakfast stop within 1 2 block walking distance , Corner Bakery , West Egg Cafe Einstein Bros. Bagels . Corner Bakery across street open 6am , first coffee day . great baked good . 
 Nov 21 2009 	 Nice hotel would return 	 Nice hotel , great location , minute away Magnificent Mile . room nice big ( deluxe room ) thing could really complain noise ambulance night , due proximity hotel hospital . room 17th floor noise not terrible , could definitely hear night , however , keep , awake pass , other party not know talk next morning ask , sleep night problem . also little annoying enter hotel take one set elevator get main floor set elevator locate take room . overall enjoyable stay , friendly staff , nothing note complain . would definitely return hotel next visit Chicago . 
 Nov 16 2009 	 great location comfy bed great deal ! 	 mom stay Wyndham 2 night pleasant stay . bed comfortable . location great want near Magnificent Mile . one thing note room photo include Trip Advisor hotel profile standard size room . standard room two queen bed , much small room show photo . two people fine , ' family kid , would pretty cramp . one minor quirk hotel lay might problematic mobility problem need take two different elevator get guest room . customer service hotel great . concierge really helpful dinner reservation direction . far price go , get great deal ' please . overall , great experience Wyndham would hesitate stay need neighborhood . 
 Nov 5 2009 	 Great Price Location 	 book Wyndham weekend 10/30/09 thru 11/1/09 Expedia 99.00 ( nonrefundable ) per night hotel 's website charge 215.00 ( nonrefundable ) per night , get great deal happy . upon arrival staff friendly willing help . check desk clerk tell could upgrade suite 30.00 per night . room adequate , furniture little date . tv could also use upgrade flat screen . oh ... valet parking 50.00 per night , prepared pay . luckily find street parking leave car entire weekend . minor complaint , location great , , staff friendly , bed super comfortable . definitely recommend hotel ! 
 Nov 4 2009 	 good location - good rate - well appoint 	 hotel excellent location , friendly helpful staff ( espec concierge ) well appoint well maintain room . bed bed linen especially comfortable clean . pay wireless internet room little galling , rate UK£85 per night one can not complain . excellent inexpensive breakfast across street Corner Bakery - cognoscenti Chicago inside enjoy Anaheim scrambler everlaste coffee . recommend hotel Bakery .. ! 
 Nov 3 2009 	 great location make feel belong 	 take family Chicago short sightseeing trip October . Stayed Wyndham 3 night two room . upon arrival book mess point give key someone else 's room . go back desk even prompt apology ! throughout front desk treat we not good enough . request member , expect different treatment . value sadly lack price parking breakfast outrageous , staff busy talk one another , attend client . 
 Nov 1 2009 	 Fantastic Location -you can not beat ! 	 stay 2 night & amp ; get felt stay , excellent deal via hotwire.com $ 88pn . ' ve go say -I alittle concerned & amp ; apprehensive staying , thank review & amp ; people 's honesty place . aussie arrive early ( 11 am ) travel approx 18 hrs . firstly : check ground floor , need take lift floor . greet friendly gentleman & amp ; explain early . actually ask want high low floor . ! & quot ; armed ' review & quot ; do not 's & quot ; prepared argue / fight get room high floor , noise & amp ; could sleep . offer we room 17th floor king bed , take . not say word - must sense well prepared & amp ; jetlagge , not argue tired Aussie ! unfortunately , room would not ready 3 pm , suggest come back 2.30pm & amp ; would see could . gentleman recognise we straight away & amp ; advise room ready . room clean , tidy limited view & amp ; bed comfortable . good part - not hear siren ambulance hospital . ! hotel not pick - up service & amp ; free internet . secondly : location great - easy walk Michigan Ave , Magnificent Mile , Navy Pier etc , walk everywhere & amp ; tourist information road near Water Tower . shopping doorstep & amp ; great restaurant , venture not eat hotel . not windy early Sept , & amp ; go Chicago Beach lunch , great cafe / restaurant right beach . get sunny day excellent there- good feed & amp ; cold beer ( make we feel home- except wave & quot ; beach & quot ; ) . moral story - get high floor , will not hear siren . light sleeper , would consider elsewhere . take gamble like 2 night . 
 Oct 19 2009 	 good location clean ... end 	 business traveler light sleeper , perfect hotel . great location Streeterville neighborhood tourist attraction within walk distance . leisure traveler , many interesting option across Mag mile River North . yes , room clean bed comfortable , not typically write negative review , many little detail would cause recommend option first time visitor Chicago . ( four diamond rating , would expect ) .Check go like & quot ; Name please ... spell ... need photo ID ... room 10th floor ... elevator hallway leave . & quot ; & quot ; welcome & quot ; & quot ; thank & quot ; & quot ; hope enjoy stay . & quot ; room bath clean , spacious comfortable ... basic . mirror vanity large enough span space align positioning bathroom sink ... thus step right see yourself . the hotel adjacent Northwestern Memorial Hospital hear siren ambulance time time night . the door slam shut wall think quite thin . so , , many unique option , little research , leisure traveler find something memorable relaxing . 
 Oct 11 2009 	 Great Surprise 	 book hotel part Hotel Special hope well . arrive thrilled find centrally locate glamourous hotel . fixture room lovely . staff friendly utmost make stay . shop doorstep great resturant . go brazilian resturant rate good meal 2 week stay . 
 Sep 27 2009 	 Good Jog 	 elderly relative visit we abroad . get day ahead schedule wife book Wyndham Chicago . speak English . wife call ahead tell desk expect . relative arrive front desk take care without trouble . nice hotel , sure , extra effort impressed , relative . thank guy . 
 Sep 27 2009 	 great locatio ideal tourist 	 Perfect location see everthe Chicago . use Mero walk get around issue . hotel clean staff helpful . not eat hotel Chicago far many great restauranrt miss . Love Chicago think hotel great base worth money . their small pool bit disapointing . jacuzzi steam sauna make uo help ease foot long day sight seeing . we hear noise great sleep really comfy bed . 
 Sep 20 2009 	 wonderful customer service 	 block room Wyndham wedding . Wyndham employee deal extremely accommodating , helpful , friendly , kind professional . hotel beautiful perfect location Chicago . affordable chic . 
 Sep 13 2009 	 worth every penny 	 read review booking , however , base location , book regardless negative ( cost parking , noise hospital etc . ) . glad . location great - easy walk Michigan Ave , Magnificent Mile , Navy Pier etc . great breakfast restaurant right across street TGIFridays close lunch , also easy walk Cheesecake Factory dinner . blast Chicago ! $ 49.00 spend parking hotel worth every penny never see car 28 hour . make sure take boat tour City 7 pm . 
