North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Nov 25 2009 	 pleasantly surprised 	 really know expect read bad review Bally 's . stay 4 night North Tower . room large clean . furniture appear relatively new even wallpaper paint around room . large flat screen tv , comfortable bed clean bathroom . location other mention perfect - right middle strip short walk Bellagio 's Caesar 's . certainly tell Bally 's age relative neighbour . never try eat hotel Vegas abundence high quality restaurant within short walking distance . if look somewhere good location relatively inexpensive would certainly recommend . 
 Nov 24 2009 	 good round budget hotel perfect centre strip location 	 impress Bally 's . arrive around midday check 3 pm request get room early . first room offer we straight away good , check room say do not opt wait hour next room . receptionist offer we another room onlt 4th floor strip view , amazingly see I d suddenly another room become available ! ! ( notice partner doctor - fine we ! ) . room available hour top floor view non smokign request happy take it . oh goodness get get fantastic surprise , view amazing , effiel tower paris opposite , could see Bellagio fountain right strip way Luxor . would normally pay lot view like , pay £ 26 GBP night ! ! ok room abit date bed comfy standard room . huge big bathroom everything work fine . mini bar good thing ! ! room easy find always plus point Vegas hotel far lift . housekeeping keep room spotless bellboy helpful desk although say anything move bag still expect tipping . its worth eat hotel whole strip doorstep that s problem . breakfast one morning Sidewalk ok , lot food pricey . go next door little cafe Paris hotel call N'otre think ( something like ) reasonable crossiant coffee . we happy stay Ballys especially view bargain . thur Fri night get bit rowdy corridor outside room people get back club etc could hear everything room , apart hotel quiet . would definitely reccommend budget Vegas stay never room long anyway ! worth pay price flashy hotel one give good service great view potentially . 
 Nov 23 2009 	 go without hitch 	 return 4 night trip Las Vegas stay Bally 's strip . greet long line check - in wait bad . check - in person good work although say room non smoking twin right next elevator could put list move next day . pretty much accepted go . go motion check we say able get we non smoke King North tower bonus extra cost ( +1 ) . line busy place mind , late Monday night . room nice bed comfortable couch , desk , nice view North Strip . bathroom clean plenty mirror , nice touch hair dryer nightlight build bright light middle night trip . location hotel perfect , be nestle heart strip walk way pretty good ( want see everything prepare WALK , WALK , WALK everything appear close still quite bit walk ) pool close season access Paris pool get half hour sit enjoy . busy off - season peaceful sit sun . spend much time casino ( gambler ) , look like stay pretty busy day 's sign gamble often . walkway Bally 's Paris awesome , conference attend Paris see alot . overall , hotel nice neat reasonably price package purchase . would consider stay ever Vegas . although find everything else Vegas price , pretty cheap : ) 
 Nov 22 2009 	 Bally 's 	 get fantastic rate room frequent Harrah 's Casino Kansas City , would recommend Bally 's anyone adult want stay Strip Las Vegas . 's overwhelmingly kid - friendly , good we . bed comfortable room spacious clean . one feature lack room refrigerator , available many hotel stay . another shortcoming internet charge ( $ 12 ) pay . 
 Nov 21 2009 	 one good place stay strip 	 stay Ballys Nov 15 thru 19th . we stay Ballys number time time upgrade junior suite . nice upgrade , clean little room . room great view matter we since Vegas many time . now side , none slot pay much . visit number casino see real payout . good thing take $ 40 . move next machine . Paris , suprise , place usually win . try Monte Carlo , casino pay other . order room service Breakfast line coffee long , worth extra $ 2.50 breakfast room . many place eat dinner never problem . do not take money prepare lose . see change slot , Vegas must need money use win $ 800 . dollar slot machine , machine not even come win line . see show stay away slot much possible . wait economy pick try again . we find staff accomodate need . read review rude staff , ' m sure people ask . place pamper , neat clean . 
 Nov 19 2009 	 stay Ballys Las Vegas 	 absolutely great casino / hotel . right middle strip . could ask well hotel first visit Las Vegas . also stay make sure try $ 20 trick front desk . got we ( 2 room ) upgrade South Tower North Tower ( much well btw ) 4 night . god worth gamble . 
 Nov 18 2009 	 pleasantly suprise ! 	 originally book Ballys great deal , read bad review , bit nervous . check 7:30pm line ... phew . research ask odd numbered room north tower . offer additional fee decline . end 65th floor south tower . great ! room large clean , plus wonderful view strip ! laugh everyone mention dirty window , , clean next day ! stain rug furniture outdate ? probably would never notice thing not read . would rather minor issue anywhere else strip . note : coffee pot room ! avid coffee drinker like , walk couple block walgreen buy $ 10 pot $ 3 coffee . glad do . enjoy ! 
 Nov 18 2009 	 great location 	 think location great room excellent although wall bit thin . only trouble ill get home , work 2 month . think must super bug AC . 
 Nov 17 2009 	 unimpressive ! ! ! 	 rude employee , less impressive accomodation , always long line front desk never two people working desk , internet service room $ 14.00 per day hold 30 min attempt get work - never obtain access still charge . bottom line , Bally 's 300 collegue sale conference , would never part money stay facility . 
 Nov 16 2009 	 please 	 hotel worth money pay . could hear neighbor hold full conversation use inside voice imagine hear later night ! wall thin ! also upset see dingy carpet look hall floor . stain everywhere . recommend hotel anyone actually like ! 
