Perfect 	 beat hotel price location . Strip , corner across Caesar Bally 's caddie corner fountians Bellagio . watch fountian room $ 60 night . hotel use Barbary Coast . 4 story tall one old strip . room update since Harrah 's take 2007 , still antique feel . casino small , three table locate front door & quot ; poker room & quot ; . Waitresses come constantly free drink casino , even cheap machine . prefer large casino luck casino , may great casino , great location great place stay . breakfast good . 
 brilliant location ... love place ! 	 plan Vegas trip year ago start sifting page page hotel review try find good place stay . look highly price option ( partner really want stay venetian , could not get good deal time visit ) . start look highly rate option , Bill 's come top , time time . check price could not believe low cost would hotel locate centre Vegas Strip , opposite Caesar 's , Bellagio , Bally 's Paris . seem good true , could not resist . Bill 's disappoint . obviously Bill 's grandeur Bellagio 's lobby , amazing show Caesar 's magnificence Paris ' ornate building , charming Parisien street half size replica Eiffel Tower . however , Bill 's step away - . room double queen sized upgrade check get Strip view - good $ 20 night could spend . overlook Bellagio 's fountain delight everytime dance variety different musical style . also great view Eiffel Tower room . room clean , regularly service . need , 40 & quot ; plus sized tv hung wall tv pay per view need ( not switch - Eiffel Tower fountain enough we ) . Bill 's famous Steakhouse restaurant ( even $ 5.99 Steak & amp ; egg deal midnight 8 am ... never get chance try , speak several people Steakhouse love ( people come big hotel Strip ) . eat Victorian Restaurant , popular - basic quick meal chinese menu top . enjoy food stroll Caesar 's see Cher concert . need taxi . coffee bar ( Seattle 's good ) open long hour - manage get much need java early start Grand Canyon - 5:30am ! Drai 's hour lounge highly recommend we Red Rock Canyon tour guide one good city ( not stamina try though ) . catch one Big Elvis show ( 300 pound Elvis impersonator ) - awesome ! later day hear guest belt Phantom Opera song Karaoke bar - amazing hard believe not professional - atmosphere electric good fun . summary - probably gather - big fan Bill 's Gamblin ' Hall & amp ; Saloon . need swimming pool and/or fitness centre walk neighbouring Flamingo hotel . stay fine hotel around world , yet fellow traveller agree would stay Bill 's next Vegas visit . way , write poor service Bill 's not know get - everyone welcome friendly . quite noisy night ( lot siren car horn night ) light sleeper need earplug . want great location great deal would definitely recommend Bill 's . 
 choose Bill 's be budget ! ! 	 stay 11/26 - 11/29 . 's deal : afford stay Bellagio Caesar 's ... . perfectly center strip absolutely beautiful inside ! however , like can not afford room $ 250 + night , definitely choose Bill 's . be beautiful , be really chill old Vegas kind charm . course , be amazing / excellent location . room partial strip view top Eiffel tower , fountain strip- cool ! not street noise ( room 138 ) not charge we extra room . big king bed , roomy , nice little vanity claim huge flat screen tv . would MUCH rather choose stay Bill 's Flamingo , Harrah 's Imperial ... price / location equivalent SOOO tacky ! mean , basically ugly lame . 's much go inside seem old weird . similar Excalibur , Circus Circus , etc . tacky cheap . 's difference & quot ; inexpensive & quot ; & quot ; cheap & quot ; . Bill 's inexpensive . plus , least Bill 's be get nifty charm , get room snap , location brilliant Big Elvis headline week . con : 1 . could not get temperature warm , keep fiddle thermostat . 2 . real quilt bed ... bring will fine . ( although , probably ask thick blanket ) 3 . water shower tend go drain well water pressure cool window shower totally make ! victorian restaurant GREAT breakfast cheap . yum . not eat dinner highly recommend breakfast . really , people , choose Bill 's can not afford pricy hotel . will not disappoint . 
 Location Location Location ! 	 4 we stay Bill 's 21 - 27 November 2009.we arrive mid afternoon , cab drop Flamingo , 5 second walk check - in . check - in - line , wait & amp ; receptionist even know name ! get room 222 & amp ; 216 . 216 . partial strip view , free , strip view extra $ 20 night . see photo 's brilliant view , eiffel tower & amp ; bellagio fountain , sure ' proper ' strip view need ! room large , comfy bed , clean , iron & amp ; iron board - everything need . downside roadwork right outside room noisy . however , earplug sort ! exhaustion sort rest trip ! not much gambling Bills 's worth join player club still get free t - shirt & amp ; $ 16 hotel bill . casino bit smokey bad other . think come England smoke indoor ban 's noticiable be long use ! coffee every morning Seattles Best Coffee hotel - good stuff . also breakfast victorian Room one morning - really , really good egg benedict . loved location - price ( pay $ 280 + tax 6 night ) beat hotel . 
 Perfect location great time . 	 1st visit Vegas stay along other week + October look several Hotels . make fantastic choice location service even well expect . book room 420 great view Eiffel Tower good view Bellagio fountain . size room enough we ( 2 adult 1 child ) bathroom layout work perfectly we separate dressing room sink . also up - grade last couple night 1 bedroom suite , highly recommend . stay Penthouse lake view suite Bellagio ( book UK prior departure celebration ) still say intimate feel Bills would would return . ' award win ' victorian restaurant exactly other describe ( constant reference ! ) fair quality food overprice . the casino staff , whole , extremely pleasant ( , make loss ! ) reception / concierge service first class . as noise , room overlook strip expect ... not much problem long expect certainly not warrant anybody complain . like major city , stay room overlook tourist site will not perfectly quiet . for price location alone would recommend Bills , throw rest would say real bargain . 
 Nov 25 2009 	 good location low price ... room not bad either . 	 location absolutely wonderful . Bill be situate across strip Caesar 's , kitty - corner Belagio , pretty much center strip . however , rate hotel half would pay Caesar 's , much small fraction Belagio 's rate . therefore make perfect base explore North South end strip . the room nicely appoint clean . bed comfortable . shower one good hotel shower experienced - excellent water pressure temperature . even stain glass window shower . typical hotel shower mean . great way wake night strip ! casino restaurant Bill 's reason stay ( recommend checking & quot ; Big Elvis & quot ; though ) , close many & quot ; mega Casinos & quot ; long walk almost restaurant / casino strip . the hotel staff not wonderful , around $ 40 night , ' m complain . overall , great value . pay $ 40- $ 50 , feel like stay $ 40 hotel . 
 Nov 23 2009 	 great location - old clean 	 Pros - Room spacious , flat screen tv nice , bed pillow comfortable , check in / out simple quick . ask room view time booking arrive tell $ 20.00 / night extra , pay . ( worth -- sure ) staff gracious . self parking ( free ) breeze , quick access elevator . cons- room face Bellagio fountain , window clean would able see they . , noise strip annoying . , 4th floor . bathrooom lack exhaust fan , least window open . building date , carpet clean wear . sure would stay , place strip great location , comparison -cheap rate worth . 
 Nov 20 2009 	 can not beat ! 	 return Vegas trip mom . like Bill 's ! perfect location great price . casino get smokey usually leave main door open get room not notice . room large face Flamingo . bit noisey night run heater drown . great come back hotel end night walk mile get room . take part Big Elvis Show ( free ) wish could stayed long . wonderful ! ! 99 cent Margaritas small strong ! travel agent would reccommend Bill 's client . depend look . want great location , great price want clean room , place ! 
 Nov 19 2009 	 great hotel 	 second stay Bill 's love place . great location price amazing location . 's small hotel real plus long day walk Strip . another long trek hotel get back room make foot truly grateful . the complaint stay internet connection erratic . keep cut pretty annoying service pay extra . cocktail service also slow use seem common nearly everywhere . seem like everywhere cut back waitress . outside minor problem , great stay . would recommend anyone . 
 Nov 19 2009 	 Excellent 	 beautiful room , great view , inexpensive ! also make strong free drink find strip . highly recommend Bill 's . 
 Nov 17 2009 	 Budget Hotel expensive part strip 	 Bill 's Gamblin Hall - find place thank tripadvisor book expedia , pay £ 299 4 night bargain centre strip , consider Caesars opposite look £ 100 night ! hotel fairly simple , room good size huge 42 & quot ; tv nice thing budget hotel interaction staff always polite . if look movie like vegas experience will not get much excess , price pay get comfortable clean room hotel small casino nice we not experience gambler . obviously key ingredient hotel book location place top dog location , opposite Caesars bellagio , room face Bally 's not get much noise strip . make sure try eat chinese restaurant hotel , $ 10 fantastic sweet sour meal fill one plate ( ' m lightweight come buffet ! ) Book Bill 's - will not regret 
 Nov 16 2009 	 Great Location Great party environment 	 Great Value , go get compe much , place value . fun place , good drink service , decent variety game consider size casino . poker terrible , consider location , quality room can not beat place budget . 
 Nov 15 2009 	 Value money 	 stay Bills 3 night . hotel great value money , room big think clean . plasma telly great bonus ! service great friendly . bill right smack bang middle strip within walk distance major casino . lovely time would definately stay . 
 Nov 14 2009 	 great location 	 Bills fantastic location strip opposite Ceasers Palace . get fantastic deal ( $ 60 night ) value money location . room spotless , good size bathroom little small . negative staying address noisefrom Flamingo Hotel next door . would definitely return ask room south side near Ballys . add bonus half tix Bills . 
 Nov 12 2009 	 Good Value .... 	 stay Bill 's Nov. 8 - 11 , 2009 . book room month early request room view Strip . arrive , indeed room view available upgrade extra $ 20 night . not happy decide pay extra $ 20 per night . room third floor near Strip incredible view come cost . noise traffic constant keep awake night . run AC help drown traffic noise completely . room nice clean . bottom line , beat location stay , request room back side hotel away street noise bring ear plugs room view . 
