oct 	 great bargain 	 room nice clean right money . end strip , still good place start sightseeing . 
 Sep 29 2009 	 terrible hotel poor customer service 	 girlfriend stay hotel 1 night stop , find check nightmare , staff rude , put we manor room would describe motel base across road hotel , room clean , positve thing put . hotel base family could extreme make . look hotel cheap value , would recomend pay bit stay MGM , 
 Sep 2 2009 	 's Circus Circus right ... wrong way ! 	 book Circus Circus price fact Manor room include refrigerator extra charge . absence & quot ; resort fee & quot ; nice well . place serve purpose place sleep , store luggage & amp ; rest Strip . side bed comfortable tv service minimal , not expect watch news TBS . movie ( adult & amp ; otherwise , believe ) , not watch , ' m sure cost . another problem request non - smoking room believe room , designate either way , originally smoke room , since distinct smoke smell . immediate turnoff , ashtray , can not say smoking do sly room designate & quot ; non - smoking & quot ; properly clean . not enough problem complain . arrive , refrigerator room ( despite & quot ; & quot ; manor room accord advertisement ) . husband call front desk one send fairly quickly , problem . pull another room , though , feel short fridge . the actual casino surround property , include main tower , restaurant like , crowded time day night . force walk mall - like shopping area way manor room walk reception around property . salesperson pushy frequently try ask question sell stuff , even drag luggage obviously check hotel . create traffic jam lot delay try move hotel . circus act cute , bleacher style seating area cramp make hard plastic . not make feel comfortable . area small , time interested watch show , place sit anyway . I feel place might good place parent kid due Adventuredome area less degree , midway circus act , childless people 30 , place tacky hectic taste . room okay , place stay similiar price would not zoo . price concern , try downtown property strip . bus service fairly good Las Vegas , like Orleans , shuttle . definitely will not back honestly , think Circus last leg . think owner Mandalay Bay bit shocking ! 
 Aug 7 2009 	 great value 	 pleasantly surprised Manor Motor Lodge . 's huge room , clean , bath room great , slightly noisy room . great value $ 30 / night ! not gamble , pass need place night . 
 Jul 26 2009 	 's horrible place bad motel ! 	 room clean sheet feel dirty . bed horrible , feel spring bed . would put pad one bed . complain , switch room area , Manor room horrible bed . 's bad sleeping floor . ask room upgrade , tell we everything completely book . switch like 5 different room , finally get settle full refund book another hotel . not ever stay ! 
 Jul 12 2009 	 good family fun 	 wife stay 4th July w / e . Temp reach 42c a / c swimming pool great . central part ' the Strip ' bus front casino great get around ( a / c 'd ! ) . room date , wall room paper thin ( could conversation next room ) - comfortable clean . wifi available cost bit pricey . great restaurant choice within casino . good choice stay family child . regular circus act , huge double story indoor amusement centre ( ride , clown , etc ) probably would not stay definately good choice budget concious young family . 
 Jul 8 2009 	 bad 	 pleasant experience , : - dirty carpet , - cushion one two chair provide ( room 4 people ) wet one three lamp not work , - take hour someone housekeeping bring light bulb exchange disgusting chair another wet , quite stained . - choose manor room main hotel room offer fridge . however , fridge small noisy . - personal safety concern : 1 . main entrance door prop open towel security lock not work . somebody remove towel ( either unknowingly security concern ) mean guest could not get back room . 2 . drunk people sleep right outside room lie hallway . security provide . we would stay matter good deal . 
 Jun 28 2009 	 Motel 6 without amenity 	 stay family , age 19 - 77 . need place could separate casino , close fun 77 - yr - old mother would walk much enjoy trip . first , ask room ground floor tell could not , would put we close elevator . put we right stair farthest away elevator . 3 room . two nice enough clean . one smell like something die bed . sister spray air freshener every time open door -- smell never lessen . bed hard ; could feel spring mattress . not even know spring mattress . pillow flat . otherwise , everything nice enough . not notice stain dirt mold . shower nice enough . I frustrate coffee situation . not realize frustrating walk ten mile get cup coffee . least Motel 6 , walk lobby morning get cup . Manor block away main hotel -- make way , still meander around find coffee shop . not mind pay coffee -- $ 2.75 , bitter . think hotel would great place age hang -- go casino get anywhere . fact , midnight , see small child apparently stuff animal midway sleep hallway outside casino , sack new toy . seat anywhere -- except casino -- mom , walker , could not sit watch kid play . fact , checking , stand line 40 minute -- place sit wait . think staff nice ; not serve need . say 2 3 room nice enough -- esp price pay . feel safe enough . ( read one review mention hold gunpoint . ) see bicycle police everywhere . one young man come around ask people change -- say , move without threat . anyone choose stay bring his / her coffee , prepared walk long way . drive -- nice car close loading move around town . would hate use valet service every time want drive somewhere . 
 Jun 10 2009 	 get wat u pay 	 go manor lodge circus circus 25th wedding anniversary main part holiday hawaii want cheap place stay also , want high rise building . , bad smell people hav write carpet cleaner seem put carpet morning r clean first part building . kettle coffee maker room u want one u hav take . stay ground floor , good , open curtain car park right outside window everyone could see straight also window bolt u get emergency u , . , stay go vegas would stay different hotel . circus circus right strip would stay close everything lot walk bus ride . buffet good hotel good other . find circus circus cheap ok mirage , luxor dearer well , excaliber also nice expensive.we go grand canyon helicopter , heli usa . 6 people helicopter plus pilot crowd . go ranch , much see good thing one cowboy sing we everything rush . bring dvd sell think go b us 5 min we rest advertising . staff main part hotel , helpful try make phone call home mobile , work noone really want help we phone there.be warn , walk round hotel first day u , b able walk hotel arn , close together seem . get duece bus 15 dollar 3 day pass , 7 dollar 24hrs 3 dollar one way . 
 Apr 25 2009 	 stay Motel 6 ! ! 	 Circus Manor ( slum circus circus ) separate building sit across main tower . upon enter room two light work . bed bring cot ! safe hole lock . stench smoke , must 30 year drug , prostitution mold . take luggage haul across street manor pain ! even relatively close casino hotel , close strip ! want stay place could wake go casino ... stay Circus Manor . upon complain front desk , receive free room upgrade main tower hotel . room significantly well ( flat screen tv , kingsize pillow top bed , beautiful scenery clean bathroom ) , even close glamor room well upscale hotel strip . manor room like bad dream spouse scare mug walk back forth & quot ; main & quot ; hotel . word advice ... stay ! spend extra cash enjoy stay , otherwise ruin vacation . see circus free , need provide incentive ! 
 Mar 27 2009 	 need demo 	 stay motel look , smelled feel well & quot ; hotel & quot ; . husband want surprise last minute trip Vegas . book everything , Circus Circus Manor cheap & quot ; hotel & quot ; could find . arrive notice . bed sheet dirty , room smell like [ -- ] bad ! 
