would 	 stay week jun 2006 ajoine room~ get small room a.c . do not work . offer we 2 room connect child connect room , attempt repair a.c . get work , give we complimentary week use june 2007 stay free . staff great ! accomidation update clean comfortable . pleased time stay . plan 3rd trip vegas try stay . great location strip easy get everywhere . pleased pool friendly service well . 
 Nov 14 2009 	 Club 1 dire need cleaning paint guest service . 	 Marriott owner stay short stay exchange . resort look nothing like picture online . check across street , take forever , drag bag across room car . desk Club 1 never staff . menu room order food deliver old call , place business . suite small , dark , smell . desperately need several coat paint . not even want use kitchen . bedspread dirty . call Club 2 desk ask different suite , tell nothing else available -- interesting , see guest stay . close restaurant Denny 's , five block away . maybe standard Marriott owner high , place not even come close meeting expectation . come back . 
 Nov 3 2009 	 great accomodation stay away strip . 	 front desk attendant nice helpful . room small expect , price right , not really matter . noise problem long keep window close . ( traffic noise ) one thing like clean room every day . receive fresh towel coffee ask ... kinda like come back room bed make . kid love jacuzzi style tub bathroom hot tub near pool . location ok ... short drive strip ... close popular grocery store / drug stores/ fast food . great trip ! 
 Oct 30 2009 	 good enough stay 	 bad . drove not need shuttle . close enough casino drive park , walk . nice kitchen . Wifi expensive go Krispy Kreme free wifi . room clean staff friendly . 
 oct 8 2009 	 Middle Road - Nothing Special 	 spend Mother 's Day week timeshare resort 2 - bedroom unit . unfortunately , weather unseasonably hot ( upper 90 week ) , A / c locked get cool 72 degree , main unit , temperature mostly acceptable since not room day , secondary unit 's A / c horrible barely keep room livable night door main unit close . dripping sound A / C ( presume ) master bedroom . the staff pretty accommodate need special attention . the pool open 24 hrs , 2nd floor poolside , not know would want 1st floor pool busy . additionally , seem lot leave pool evening . we not make use mini - golf activity . we get good deal location . not think would stay full price . 
 Oct 8 2009 	 enjoy stay much 	 stay & quot ; Resort & quot ; yes agree review , like resort stay . however , job , staff absolutely excellant us Pool Jacuzzi nice . stay Building 2 problem . I feel like room 's job . walk clean big . hotel charge resort fee , put disturb sign ( stay October 1 6th ) need new towel bring housekeeping ask new towel , bring extra small bag garbage ( home ) throw dumpster . room sufficient , blow dryer , iron ironing board , toaster , coffee machine , refigerator , microwave , utensil , plate , glass . also dish wash cloth 's soap . 3 us 2 person room . couch , bring air mattress , sheet blanket . ok food wise . not want spend much money strip every night go Taco bell ( 5 minute walking distance ) , also little spanish deli get Breakfast Burritos ( $ 3.50 ) , also amazing pizza place little center next hotel . call Payless Pizza ( look decieve , people little grungy ) honestly good pizza salad . mostly eat strip go Cesars Palace Buffet last night . $ 28.00 offer king crab leg shrimp cocktail ( unlike buffet ) .activitie shuttle : Shuttle run every 30 minute . drop Tropicana drop Treasure Island . ok really tight budget come Vegas find Tropicana Hotel offer free pull big slot machine outside . go promotion desk give $ 10 free , money necessary . put slot machine play money unless hit big , , cash . walk aroung hotel hotel view georgous preety much . club cool also casino same . we go Grand Canyon tour one day , make sure not buy ticket , everywhere go coupon pay less trip . long ride suggestion get tour bus not go top deck . get table seat low Deck . long ride comfort key ! ! ! bring Snacks , small blanket comfy . ok 's advice think . enjoy trip hope help people . 
 Sep 29 2009 	 Decent place price 	 stay Club de Soleil three day prior training seminar Las Vegas . night arrive , resort room although call inform would check late due delay inclement weather . I send another hotel , way pay night . upset . next morning , go Manager apologize profusely reimburse expense hotel . after incident , give nice room view pool . facility clean modest . staff friendly eager help way could . facility little way strip shuttle good . there variety store restaurant locate within walking distance . money pay stay , think get money 's worth . would stay , would make sure room . 
 Sep 27 2009 	 ok expect since consider resort timeshare exchange 	 point think important wish would know book room . motel far walk strip , make sure car . ask pool side balcony . get pool side room be not balcony . first floor plant large wall divide pool area . therefore sit enjoy view , see wall since high look . addition , balcony area way small . inside fine , room large enough , pool fine would consider resort . simply ok motel . INCREDIBLE DISAPOINTMENT fact provide free INTERNET service . call make sure AVAILABLE say , yes INTERENET . however TRUTH . 1 monitor AVAILABLE LOBBY must pay USE . necessary us read email get update job , extremely irritate we find . resort stay past always couple computer use quest free charge whenever however long want use long noone else wait . want require internet stay , stay ! money quess worth . we , timeshare dissaponte since compare motel resort much nicer . 
 Sep 19 2009 	 good value trip start rough 	 three we stay week September . purchase week getaway Interval International . experience start rough arrived find not room available . 30 minute later learn would stay another timeshare across town . manager tried explain situation & quot ; previous guest not check expect & quot ; ... later admit problem reservation system double book many guest night . we return follow night timeshare . room adequately size full kitchen , medium sized bedroom livingroom large bathroom . also nice balcony . 's face pool . wall little thin , could people next door & quot ; lock - out & quot ; door . the timeshare 5 - 10 minute drive location strip . since park free major casino , great location . despite poor initial experience , would still recommend timeshare base value location . 
 Aug 11 2009 	 start ` ` '' end fine 	 two phase go wrong one check , get back car drive phase locate block away . check go fine walking room , 109 degree positive experience . go 2 bdrm unit AC . initial reaction check go strip hotel instead think would try place night . thus , leave room shopping fun stuff . come back room evening , room cool feel lot well place . realize AC check good cost cutting measure save money hotel . end ... would stay pool open 24/7 , room clean full kitchen & amp ; washer & amp ; dryer , 2 bdrm offer room kid cheap price pay two room hotel , could park car near room versus walk 15 minute room entrance large hotel . 
 Jul 29 2009 	 Incompetent staff 	 arrive , put we one bedroom reserve two bedroom . apologetic seem care . tell come back next day two bedroom . still not 2br ready grocery car . , not care . waste whole day try get check . place expect . well keep little far strip . also wait 5th day tell need parking pass car . 
