quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 Nov 26 2009 	 Exceptional Service 	 great place stay ! enjoy option continential b'fast , central location work really well staff pleasant quick accommodate . 
 Nov 26 2009 	 great place stay kid 	 like apt . Vegas . stay ! ! ! 
 Nov 25 2009 	 Best keep secret Vegas 	 be look great place stay Vegas near Casino resort place . enjoy continental breakfast every morning . love living room kitchen hang friend venture Strip . great value money . would recommend resort would definately come back 
 Nov 25 2009 	 Great Property Easy Access STRIP ! ! 	 resort clean , lovely accommodation , room furnish everything need . half block MGM Grand Hotel Casino STRIP ! 's walk distance everything . friendly staff , wonderful concierge know discount well show . would definitely go stay , ! ! ! ! 
 Nov 25 2009 	 Oasis Strip 	 nice one bedroom apartment room super comfortable well equipped . quiet also even though airport almost next door - never head noise windows / slider shut . easy walk MGM , Mandalay . stay strip previous stay Vegas , really like comfort , roominess peacefulness Desert Rose , make prefer Vegas location go forward . recommendation would make make continental breakfast bit consistent attractive , Coco 's street ! great wi - fi . 
 Nov 25 2009 	 Perfect small hotel close strip large suite attentive staff . 	 excellent value hotel locate strip . stay lovely one - bedroom suite well - equip small kitchen . staff always helpful . continental breakfast buffet nice . 
 Nov 23 2009 	 's like vacation home Vegas 	 stay major hotel strip , really enjoy stay Desert Rose . everyone make feel home , not go maze get room night . rate affordable layout condo style plenty space privacy . 
 Nov 22 2009 	 great find great price quality service great price 	 Excellent place stay one block strip Las vegas . well appoint , clean room . staff courteous go way answer question offer assistance . travel Las Vegas 6 time year business place real find . noisey slot , crowd bump get room , user friendly place MGM Grand monorail one block away . free parking , free continential breakfast free internet . get equivalent one two bed room apartment full kitchen . place real find Las Vegas . back ! 
 Nov 21 2009 	 Revisit Desert Rose 	 second visit 2 year ' ve upped rating . perhaps luxurious accommodation Las Vegas , good value money totally adequate . request upper floor room block 3 allocate available arrival 15:00 . ever room spotless clean . unfortunately room situate noisy air conditioning unit light sleeper woke time . next day request change room grant without quibble . fact allow look couple room make choice . switch quieter room , top mark staff allow this . the breakfast much remembered- adequate . evening cocktail 2 hour ( free beer wine ) unfortunately reduce 4 day per week ( Mon Thurs ) long organ player , can not complain really . free internet Wi - fi plus . I would recommend place anyone unless be look party casino atmosphere ! 
 Nov 20 2009 	 fantastic place stayclose strip 	 stay week really enjoy time , resort clean room spotless comfortable . the staff friendly helpful , breakfast o.k start day cocktail hour night welcome addition . the security also good hotel feel safe . good location , 10 min walk MGM Grand . 
 Nov 19 2009 	 Desert Rose oasis . 	 stay weekend getaway . say nice experience stay Shell Vacations property yet . staff friendly accomodating . room ( suite ) nice size , small full kitchen , quite comfortable . bathroom nice large tub , shower leave something desire . everything suite work fine . maid fail leave we enough towel , quick call front desk take care problem almost immediately . security good , important south end strip . almost overhead lighting suite , though , make bit dark night . breakfast buffet continental okay , keep we go lunch . surprising decent Hooters casino right next door . monorail station MGM Grand short walk , tram Excalibur . way back , easy get turn around MGM Grand parking garage though . would gladly stay reccomend Desert Rose anyone except young people want place party . Vegas full place . Desert rise nice quiet retreat end busy day ( night ) . 
 Nov 18 2009 	 10 10 Desert Rose 	 beauty say place . go back Vegas would hesitate stay . wan clean comfortable , extremely affordable one block back ' the strip ' . great able peace quiet end te day , be exactly get . 
 Nov 17 2009 	 Good Price Good Value 	 warm friendly Hotel helpful informative Staff . away glitz Strip Hooters , Mandalay Bay , Tropicana , MGM Excalibur fairly close . apartment well equip furnish comfortable quiet . have balcony table chair bonus . 
 Nov 13 2009 	 great value 	 great place stay . easy walk Strip . quiet clean . Condo lot room everyone . complaint would light condo . dark overhead light . would stay . 
 Nov 13 2009 	 GREAT find great LOCATION 	 Brill hotel behind Hooters opposite Luxor . perfect location get big hotel . Great Buffet Breakfast include price . great size room one bed apartment fo husband teenage son . leave double bed setee day prob . din table kitchen . take tray carry breakfast room morning seat hard get . pool area nice although wish made would choose bang clang cleaning round nod 11 . am . reception staff adorable helpful . would deff stay . especially food vegas expensive . breakfast real help 
 Nov 11 2009 	 ' ve find spot stay Vegas ! 	 mom recently stay Desert Rose attend PBR World Finals . previous year ' ve stay strip opt something quieter time around . Desert Rose perfect place stay . comfortable , spacious , clean . take advantage full - size refrigerator , microwave dish definitely cut overall meal expense . conveniently locate close strip still quiet give homey feeling . definitely stay . 
 Nov 10 2009 	 enjoyable stay Desert Rose Resort 	 brilliant hotel offer great value money . ok , be glitzy other Vegas 's clean , quiet , comfortable great location - ten minute walk MGM Grand monorail station . stay one bedroomed suite . well equip kitchen , lounge , one double bedroom , vanity area bathroom / toilet . minor disappointment bathroom / toilet seem bit small side . well equip kitchen appliance allow self cater want save money need car get supermarket none nearby . appreciate huge amount space spread end long day - much would get average hotel room . appreciate buffet breakfast include cost accommodation early evening & quot ; happy hour & quot ; free drink . also good extremely cheap self service laundry site . staff extremely friendly , efficient helpful . bulb go room replace within minute reporting problem . return Las Vegas would definitely choose stay Desert Rose . 
 Nov 10 2009 	 Oasis Madness ! 	 book hotel base review Trip Advisor , disappointed . although 5 minute walk Strip , location low rise appearance offer real Madness Las Vegas . great feeling return spacious , well appoint room , quiet room end hectic day , face queue check check queue restaurant , walk 10 mile find room etc . etc . , like , fan large , impersonal hotel , would highly recommend Desert Rose ! 
 Nov 10 2009 	 great place stay Las Vegas 	 14th year go Vegas PBR final . tired mile long casino , check Desert Rose decide stay strip casino . good decision could make . park close room , 60 second away instead mile away . room comfortable nice . full kitchen stock appliance dish pot pan . we come back next year bring family . really enjoy place staff extremely knowledgeable friendly . 
 Nov 7 2009 	 enjoyable 	 John & amp ; Lorraine Sheppard Mansfield Nottinghamshire England wife & amp ; stayed & amp ; 14 night , relaxed pool morning & amp ; early afternoon wonderful complimentary breakfast , fabulously clean white towel pool , constant cold drink , spacious sun bathing area & amp ; hot tub without sound slot machine still within short walking distance typical VEGAS life & amp ; access monorail & amp ; neighbouring hotel . 
 Nov 6 2009 	 little gem within walk distance strip 	 good base strip , first room smell smoke , reception staff good change room straight away , breakfast good manager reception 5 - 7 mon - thur welcome . would def stay next visit . 
 Nov 5 2009 	 wonderful peaceful place stay Vegas 	 stay Desert Rose 6 night October ' 08 & amp ; also October ' 09 . resort recommend we friend , & amp ; locate within 10 minute . walk strip . beautiful condo , well maintain & amp ; clean . appliance also clean . nice quiet retreat spending time Strip . addition amenity , also provide free complete breakfast every morning . excellent location ; 10 minute drive airport . pool heated & amp ; well maintain BBQ area . staff members friendly & amp ; helpful . highly recommend & amp ; go back . Ginette & amp ; Michel Calgary . 
 Nov 5 2009 	 comfy modern safe cost effective - close strip like island resort . 	 stay Desert Rose Resort always enjoy stay . free continental breakfast fine although bagel boy breakfast little bossy ( ' only one bagel toaster tray please ' - sign would help ) . hotel block south end strip walk ( MGM , Luxor ) . always rent car park close room park anywhere Vegas - 's free . security around time safe room extra cash passport . stay Circus Circus ( yuk ) , Stratosphere ( bit far north end strip ) Bellagio ( say perfection ) . still prefer little Desert Rose Resort - wonderful break away light , noise craziness Vegas . 
 Nov 4 2009 	 second visit well first ! 	 husband spend 5 day Oct , wonderful , relax holiday Las Vegas . room top notch bed comfy . check check complaint . stay last year 6 yr old daughter great time , even well experience time . really enjoy evening reception last year daughter we , drank pop , year enjoy beer poolside hot tub . hustle bustle Vegas offer , nice quiet place return end day . great resort family , since casino . pool nice clean , hot tub need relaxation . definitely stay return Vegas , without daughter .... highly recommend anyone ! 
 Nov 2 2009 	 Heaven Sin City ! 	 reunion every year gather coast - to - coast Canada . cousin , vivacious young adventurer , mother two sister , 80 . be perfect getaway . sister would get enjoy complimentary breakfast every morning meet guest world . pool relax oasis would meet every day make plan shop , show , site - see , course endless scrabble tournament . mom would would say good night gal go gamble 3 am every night . together span 3 generation perfect we . see next year . 
 Nov 2 2009 	 Loved hotel 	 return almost annual Las Vegas trip . find Desert Rose last year , already book different hotel . see reviews Trip Advisor , really look forward stay . great ! room extremely clean , well - keep . one small issue , communicate housekeeping . seem usual Las Vegas , housekeeping staff non - english speak . even though say & quot ; OK & quot ; really not understand . would recommend call housekeeping , resolve issue . the pool great ... check - in delay little , full night thus wait official check - in time 4:00 room ready . since hotel get great rating , would imagine always full , plan get around 4:00.the pool excellent . clean , well - keep also , chair towel easily available . the continental breakfast lovely addition . offering constantly re - filled , varied bit day day . imagine almost everyone would enjoy this . I one strong recommendation ... assign room 2217 , tell great view pool . true , however , wish sleep evening , 6:00 morning , request different room ! ! speaker pool right master bedroom & amp ; blast music 11:00 night . issue , go ahead . also , loud conversation gym , housekeeper , pool guy , people prepare breakfast , start 6:00am . hate earplug , request different room ! DEFINITELY stay , however , sure request different room . 
 Oct 30 2009 	 Fantastic Hotel . would stay . 	 arrive long flight Barbados . everyone helpful . always happy pleasant . room comfortable clean . like home away home full kitchen . large stove fridge dish washer . nicely lay plan . excellent contiental breakfast . Felt safe Desert Rose . excellent Location . walk distance Strip . fifteen minute drive Boulevard Mall . would stay sure . 
 Oct 28 2009 	 ideal location comfortable excellent value 	 thoroughly enjoy recent stay . hotel environment pleasantly quiet close Strip offer . spotlessly clean , staff helpful , continental breakfast perfectly adequate . comfortable accommodation competitive price . 
 Oct 28 2009 	 place treasure . 	 read trust previous review book 4 night stay . since drive Texas , hard predict would arrive . actually arrive Las Vegas day early reservation . Desert Rose people able give we room early charge half regular rate night ! ! place disappoint . room lovely well appoint . everything immaculate . easy walk distance MGM eat breakfast Studio 24 dinner Rainforest Cafe . the Desert Rose quiet comfortable . long wait elevator large hotel . hot tub great . can not ask well . P.S . come AARP convention 70 & amp ; 73 year old . 
 Oct 28 2009 	 Pleasant Stay Roomy Rooms 	 enjoy stay Desert Rose . suite roomy 600 square foot affordable receive . full kitchen include full - size fridge , stove , coffee maker , blender , microwave , cookware utensil . tv ' ( old crt ) living room bedroom , dvd player stereo system living room . furnishing modern attractive . room clean , though show age bit batter baseboard molding . internet access free , though bit slow @ 268 kbps . " big " hotel charge daily Wi - fi use . continental breakfast free daily lounge , though hot item toast instant oatmeal hot water . two toaster available ( one control secure duct - tape ) , wait bit busy . would recommend add additional toaster , least . the staff nice , attentive , helpful . " convenience " store " open 24/7 , nice touch , though grossly overprice . free USA Today paper include though ' need sure grab one morning go noon . the Desert Rose conveniently locate immediately behind Hooters Hotel Casino , across street MGM monorail terminal . 
 Oct 27 2009 	 Great Place 	 check late upgrade 2 bedroom . room large comfortable . nice large soaking tub long day fly . always stay Las Vegas . 
 Oct 27 2009 	 disappoint 	 choose hotel base review receive Trip Advisor disappoint . husband along another couple share two bedroom , two bath suite . perfect ! make make plan much easy maximized time able spend together since live different state . husband arrive first get 1:00 . able check willing accept handicap accessible room . fine we since prepared wait 4:00 check . 10 minute check receive call front desk make sure room satisfactory . friend able get room key give name front desk . walk strip easy walk near city bus stop ( take bus Sam Boyd stadium u2 concert ) near monorail stop well . even though resort locate close airport , keep awake plane leave taking . worried husband light sleeper . breakfast light , adequate . toast , danish , cereal either fruit yogurt offer . also coffee , soft drink juice . room little crowded , able find seat adequate seating outside option take food back room . small convenience store locate near front desk come handy long night town . wish could purchase beer , however . overall , extremely pleased stay Desert Rose definitely stay ! 
 Oct 26 2009 	 Fantastic Rooms - Close strip 	 stay Desert Rose 3 night . room excellent , like apartment room . Breakfast ok , manage one morning stop serve 9 am , rather early party Vegas ! ! not want disturbed maid , put SSH sleeping sign , everyday clean tidied room go afternoon , honest not really expect ! take advantage manager drink free internet reception . excellent place . would definately stay . 
 Oct 25 2009 	 ok 	 stay Desert Rose week September . 2 bedroom/2 bathroom suite . first , switch room locate ground floor entrance gate . metal door keep bang hight long . room much well different layout . swimming pool sad , small . kid swimming pool occupy old lady . get & quot ; oh ! kid ! vegas ! pool ' m & quot ; kind look . breakfast joke . Disgusting coffee ( proudly serve Starbucks name ) , toast , apple . ask cream cheese say give cream cheese bagel bagel menu morning . next time Vegas choose hotel . much well resort . 
