change 	 stay downtown 2 - 3 time per year last 6 year , 6 year ago never think El Cortez would even consideration stay . dump , dirty delapidate , somewhat scary part downtown , 2 block east Fremont Street Experience . clientele seem fit place perfectly . smoke pour casino door open ( smoke notice haze inside ) foul odor hang air . over year , would drop moment curiousity . notice , unlike downtown property fall decay , El Cortez spiffe up . early year , convince well half come . vow 6 yr early never . end spend 3 hour , shocked turnaround ( still skeptical ) .We get offer stay new Cabana Suites ( agree would go elsewhere not decent , well research remodel , etc . web showing ) book , opt Tower room Suites non - smoking . ' m glad , Cabana Suites also across street , attach main building . the change superficial . service excellent around . book give we room number . arrive hour check - in time room ready ( room number give we month early ) . see smudge print elevator panel , anywhere ( although pet peeve mine , nearly every property nice big furnish hall exit elevator knicke good maid vacuum not touch . ) . room large , clean ( fear barefoot property ) well appoint . flat screen tv , big enough . except tv , look like picture website ( believe , many property room ) . bathroom kinda small , not problem . electronic safe mount near floor closet area . will not find amenity already place room , be available , call . need hairdryer offer bring frig well . not see happen often . old noisy heat / cool unit floor window . output air intake vent ceiling control wall near door . old ' popcorn ' ceiling . gambling fun , great mix new old machine ( still coin payout , old Vegas ) limit low table ( $ 3 BJ 3/2 25 cent roulette $ 1 minimum ) nice hit cold streak . casino clean times 3 + day stay . common see maintenance people pick around place , floor people , server , security well . machine wipe trash empty cup / bottle lay round . air clear odor . Carpet floor clean . fellow patron friendly , loyal following . we eat day Cafe Cortez . great food lot cheap ( frig come handy leftover ) . yes , Jackie around , eat next table Sunday morning . not try Flame hot dog cart , hear good . not want stop gambling eat , service deliver food . forgot try , see many people use it . there still character , 's typical downtown . security abundant , inside . see disturbance . short walk experience plenty safe , day night . walk one night Binion 's eat coffee shop ( sure glad , unfortunately go couple week ) problem . fact , enjoy El Cortez much , time leave property . bottom line , El Cortez rank # 2 far downtown property go ( Golden Nugget # 1 , much expensive ) . look hip crowd expensive dud , go GN . like we , average work class people , EC place go . 
 's ok returning 	 get room tower . room clean ( enough ) roomy sitting room . however , not like bathroom - kinda old tub slope . sink outside bathroom also slanty little counter space 's low . bad thing ventilation hotel - can not stay away smoke , even non - smoking room . air casino quite bad , even restaurant . section coin - operate slot machine think old - timer preferred substance sound coin . try restaurant hotel alright decent price . friend get room Expedia $ 42 / night , 3 - night stay special . room situate top parking structure 5th floor ( think convert ) , kinda weird new furnishing decor room . 's suitable look good price . finally , must mention El Cortez 2 parking structure , one attach , one detach . also separate building ( El Cortez Cabana Suites ) across street . excellent location want Fremont Street Experience . everthing ok stay , usually look comfort excitement probably will not return . 
 El Cortez 	 totally awesome host staff totally excellent ... nice room good slot play ... new ventilation nearly totally move old smokey casino problem ... Old Vegas well ! ! ! 
 Nov 23 2009 	 go back ! ! ! ! ! ! ! ! ! ! ! 	 book hotel online . pic look good online , arrive , smell ciggarate time sleep , hear door slam room . room small . go back . rather pay money stay well hotel . recomment . 
 Nov 13 2009 	 pleasant surprise 	 read many review Tez renovate room , totally convince - however , travel alone , price right need place crash gambling farm away drink oblivion figure would give El Cortez try . my 2 queen bed tower room totally renovate lot well room ' ve recently Imperial Palace , Boulder Station , Texas Station Fiesta Rancho - mention dive like Plaza , Vegas Club Terribles . negative point old television set - go Las Vegas watch television ? food option quite limited : & quot ; upscale & quot ; steakhouse , coffee shop sub shop , par would encounter downtown casino . gamble great - good VP , loose slot BEST single deck blackjack town ( stil pay 3:2 ) . upgrade room casino - need upgrade patronage , afraid take people use favor property third bad hotel - casino town ( Western Gold Spike ) go look green pasture . if look good odd instead volcano , pirate battle water show swim pool high priority list , sure love El Cortez . 
 Nov 12 2009 	 great price 	 frequent visitor Vegas always stay Strip , first time stay Freemont area . thought would try nostalgia aspect . one true old Vegas hotel lot history . hotel clean , bed good AC work . security parking lot protect car . Vegas gamble sight see El great place stay . one new hotel Strip expect amenity . experience seek spend additional fund stay Strip . staff El friendly , helpful quick react request . Freemont nightlife well worth see experiencing . inexpensive place stay Vegas would highly recommend El Cortez .. 
 Oct 29 2009 	 like mechanical surprise stay . 	 yes price reasonable . remodelle ok . however unlucky front desk staff put room mechanical problem , unnerve mention spooky , wierd disgusting . , old building . obvious unseen maintenance concern ignore . like gamble hotel also , stay EL CORTEZ . 
 Oct 23 2009 	 Liked El Co ! 	 return two night stay El Cortez comp receive mail . we queen Double Tower - Room 614 end hall . room huge ! nicely appoint clean . bathroom small , need big bathroom , not stay . quite adequate 3 us tho . we eat Cafe Cortez breakfast twice dinner . think food good , good selection . service bit slow time , everyone work helpful friendly . the casino quite big spread . usual table game , Black Jack $ 5 hand . load new penny machine video poker machine denomination . dollar quarter slot , old almost selection quarter range . really need get update ! many old machine , dirty . maybe plan get new machine might upkeep , ' m sure ? basically play video poker , really would like play quarter slot . all , excellent time ! certainly would stay look forward next trip . 
 Oct 13 2009 	 great stay ! ! ! ! 	 husband stay El Cortez Cabana Suites . Cabana Suites actually across street casino 's literally 40 step get one . security post outside time always feel safe even come go without hubby . get suite ground floor , call see could suite upper level ... ( do not like ground level ) . give we free upgrade big room 5th floor room newly remodel , quiet comfortable . staff friendly helpful casino nice everything clean comfortable . eat breakfast cafe decent food ... great , bad either . stay three night , book hotels.com $ 117.00 ! deal ... also get free coupon hotel arrive free 2 night stay December 28 . needless say , already book trip back . bring two teen time request room tower room section , several people gamble meet say really nice , two queen . Cabana suit king bed . well worth money great value ! 's also block Freemont street experience downtown casino entertainment . would recommend hotel anyone want go Vegas budget really get nice place stay ! ! ! thank El Cortez .... will see December ! ! ! 
 Oct 10 2009 	 El Cortez Las Vegas 	 hotel locate 15 minute drive Strip . room okay price 
 Oct 10 2009 	 return ! 	 make decision stay base user pic review Trip Advisor , happy go . , yeah ... 's Palms , feel welcome staff , get to stay ' classic Vegas ' least life . friendly security staff , front desk , name . also , honest housekeeper . husband lose ring , not notice leave hotel day . return evening , ring ( find pile towel floor ) place counter we find . tiny window shower lead outside like one Gold Coast . strange , yet amusing time ! classic . cafe great food great price end eat twice three day . also enjoy fact walk garage room much close hike get to take be stay strip . overall , would return hotel sure ! 
 oct 9 2009 	 bad ! 	 really happy place , nice clean room tower room , lt wood , good place gamble table game cheap ! cafe reasonable pretty god food , .if expect luxory i'snt place comfy clean we simple folk right uptown ! 
 oct 8 2009 	 great place stay price . 	 receive automatic upgrade nice room upon arrival hotel . room spacious , comfortable clean . staff excellent treat we old friend . cafe excellent food bargain price service good . definitely stay . ( go Vegas 2 - 3 time year look deal . El Cortez one deal search ! ) 
