Embassy 	 staff friendly helpful . breakfast one good ' ve hotel . get attend evening reception working , see look friendly inviting . stay next time travel Vegas . 
 Nov 22 2009 	 Super trip 	 lot fun , visit every hotel every casino . go Cirque du Soleil Show : amazing experience , totally recommend everyone visit Las Vegas . 
 Nov 6 2009 	 Business Vegas never ` ` business '' 	 stay amenity vegas traveler need ! truth one ever plan stay Vegas Vegas ? hotel room tasteful great bathroom comfy bed ! free breakfast delicious mention open bar : ) ! hotel conveniently locate walk away strip .. restaurant .. convenient store ! ! : ) 
 Oct 27 2009 	 not expect 5 star will not disappoint 	 generally stay visit Vegas . it gamble property - clank slot ! breakfast includedopen bar & quot ; Free & quot ; include happy hourthe property old honestly attractive pricing reflect this . the fitness center minimum necessaryThe pool ok fancythe money save stay cover cost cab fare wherever want go . 
 Oct 26 2009 	 Strip quite nice . Bellagio ... 	 expect hotel call Embassy Suites ? honestly , hotel quite clean , well do parking free -- could literally walk downstair car , mile mile away $ 14 night . breakfast cook order nice complete . excellent value . the negative thing say , ) 1.3 mile strip bit walk buyer beware 's strip.b ) shuttle service offer available -- frequently . miss 630pm would wait til 730pm . thank ! envy steakhouse Renaissance Hotel next door offer terrific $ 39 prix fixe dinner . would stay long car walking shoe : ) one last thing , chance , not miss Red Rocks recreation area 17 mile town . gorgeous great hiking bike riding . 
 Oct 13 2009 	 truly Gem well worth every dime 	 go Vegas friend b - day do not fund splurge hotel rest group stay . go expect Embassy Suite / Hilton quality course place great ! aside great Embassy Suites room ( full living room , balcony , cozy bed bedroom luxurious bathroom ) cook - to - order omelete breakfast buffet ( pancake , french toast , egg , sausage , bacon , cereal , juice ! ! ! ) . hotel also provide Happy hour everyday 5:30 - 7:30 free drink , wine snack . good time good place network ! location little far Strip ( approx . 1 mile believe ) 3 - 5 minute walk convention center monorail take directly strip . monorail run til 2 3 am catch cab not bad . aside be away hustle bustle enjoy quiet leisure . friend stay Palms Place MGM GREAT ! ! ! do not get free happy hour breakfast ( though friend suite palm place ...... WHEW ! ! that s say ) . be travel budget great place , plus Hilton Honors always deal . happen luck 4 night like $ 250 . steal ! ! ! would definitely stay ( possibly trip Vegas December lol ) 
 Oct 8 2009 	 great place stop family 	 not normally like stay Las Vegas since half way destination choose stay . Las Vegas scene want hotel without casino . 5 child look something affordable . come across Embassy Suites Priceline family seven work great . room living room / sm . kitchenette area separate bedroom . room would sleep 6 put baby playpen also staff bring portable single bed . kid love pool favorite part ( mine ) make order breakfast morning include price room . kind breakfast would easily cost we $ 40 restaurant . cozy place certainly work one night stay clean comfortable staff helpful hotel nice . kid love glass elevator well . 
 Oct 6 2009 	 great Stay 	 great Stay ! stay one night due close proximity Convention Center , move Bellagio , immediately move back Embassy Suites . what wonderful experience . staff go way make sure comfortable . option evening cocktail Manager 's special nice benefit , breakfast morning steam hot fresh , make convienent need get event Convention Hall . the workout room clean , equipment update include stay . Hilton Honors member , wireless internet provide charge , nice add benefit . hotel quiet clean . not schlepp luggage mile hotel , parking plentiful free . not mind strip , welcome respite craziness . easily drive strip , walk monorail station evening fun . when Vegas , Embassy Suites get business ! 
 Oct 1 2009 	 Great experience ! 	 great hotel , strip ! upscale Embassy Suites stay , still nice . enjoy breakfast manager reception . shuttle come handy Convention Center Fashion Show Mall . call front desk pick - up . Downside- door pool , outdoor hot tub lounge . 
 Sep 22 2009 	 beautiful room friendly staff 	 hotel fantastic . strip , quiet , 2 block strip . hotel provide free shuttle drop pick strip . staff member extremely friendly helpful . room spacious clean . Bed 's huge felt like heaven . clean service thorough friendly fantastic belonging . hotel food wonderful . laundry facility locate floor 11 2 convience . free bar 5:30 7:30 every night . hotel mint condition lovely fountain lobby . free computer priviledge . love hotel . 
 Aug 23 2009 	 nice 	 really nice place good staff clean . comfortable suite nice furnishing step balcony , good like smoke . plenty parking front security night . fantastic breakfast morning , not miss it . great hotel shame town , giant construction site full well fed tramp hooker , place bring kid . good tip day lake Mead , hire boat really nice expensive . 
 Aug 14 2009 	 Disappointing 	 stay hotel 4 night . travel 4 kid ( 3 teenager ) . thought 2 room suite good alternative book 2 room hotel strip . bad decision ! reason ......... 1.very far strip . 2 . neighbourhood appear & quot ; shady & quot ; 3 . sofabed unfit sleep ...... kid upset . 4 . park rental vehicle risk ........ see # 2 5.poor housekeeping ...... call housekeeping daily multiple issue . in conclusion , room bad , reception staff reasonably friendly , amenity average ; resort fall far short anything stay past , belong Hilton chain . 
 Aug 10 2009 	 Forbidden word ` ` Lesbian '' ( net site GLBT block reason ) 	 2:00 pm Saturday - happy set , small living room nice bedroom bath . front desk staff helpful could . 6:00 pm - happy hour great , free drink , nachos , chip popcorn . 12:30 - use hotel pc 's business center try look information mainly GLBT club . site block contain forbidden word & quot ; lesbian & quot ; . Facebook also block . US China ? will never stay another Embassy Suites . perhaps go Hilton Honors hotel depend find GLBT site block . 1:00 - go bed . could hear neighbor , particularly one bath , water running , hair dryer , everything . also strange loud noise like furniture move tile floor . go time . various noise well . 7:00 - Woke . strange noise start . maybe kid blow something . noise room hope go back sleep . could also hear kid play pool two floor . 
 Aug 5 2009 	 Fantastic ! 	 rent two room suite stay weekend 4th July arrive around 9.30 morning see exhaust ( lot baggage stop Las Vegas 3 day en route Nevada head home New Zealand ) , staff check we straight away . friendly helpful . room huge bed comfortable . the toilet big towel soft plush . suite dining table lounge everyone could stretch watch big tv . like good manager ' special run 5:30 7:3o every afternoon get free nibble drinks- kind drink ( husband enjoy much ) . free breakfast great- wide variety continental cook . even ask egg cook way want they . you get well value money . place quiet , bit far strip hey , 20 minute walk . convenient store McDonalds next door . one nice thing use internet ( 2 computer ) lobby be free . enjoy place definitely stay . thank , embassy make holiday enjoyable memorable one . 
 Jul 15 2009 	 nice alternative Strip 	 book hotel last minute get good deal ( believe ) AAA rate $ 107 King Suite balcony . arrive hotel 2 am promptly check . room nice clean . king bed comfortable welcome since exhausted . sofa bed comfortable suppose make comfort . hotel non - smoking . indoor swimming pool not use - would prefer outdoor one would think indoor version welcome winter . we free wi - fi nice touch come handy . many place eat within walking distance - McDonalds nearby much else . hotel short drive strip - enjoy proximity without noise traffic Strip . the good part hotel free cooked order hot breakfast . awesome ! ! ! really make hotel great value . cold Selections : fresh fruit , assorted cereal , bagel , bread , muffin , danish , Hot Selections : Bacon , Sausage , French Toast , Eggs , Potatoes , Oatmeal , BEST omelet bar also make fresh cooked egg . omelet choice ; bacon , sausage , ham , onion , bell pepper , jalepeno , mushroom , tomato , spinach . they juice dispenser , coffee tea . also soda dispenser Coke product . we not participate manager 's reception nachos popcorn one night walk by . overall , great last minute book Vegas . nice quiet , non - smoking , non - casino hotel perfect ! 
 Jul 13 2009 	 great value 	 stay Friday night - cost around $ 100 include evening drink snack full breakfast . wow ! great room , lot room comfortable bed etc . pool look great . a little far walk strip , monorail close by . nice people . 
 Jul 7 2009 	 Exceptional Value - Great Staff 	 return week property . staff friendly try accommodate need . room clean flat screen room , free WiFi Hilton Honours member . food ( breakfast great cook professional ) . great location away commotion Strip . find great value nice property . 
