suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Nov 23 2009 	 Las Vegas 	 Good Time . room clean tidy , date . need remodeling 
 Nov 20 2009 	 Good Location Good Value 	 stay 3 time summer . ask West tower away Fremont street . new room . right middle everything . need car want stay downtown . lot security around . take bus strip . good , cheap food restaurant . lot place eat around Fremont st . 
 Nov 19 2009 	 great place - cheap room 	 's $ 50 weekday weekend come go $ 100- $ 150 per night . nice small room 2 bed T.V . good shower / bathroom . right middle Freemont Street , close local bar old las vegas . 
 Nov 18 2009 	 Okay price 	 old hotel basic room spruce bit . view cement wall great wall room thin - could clearly hear folk next door . state book $ 3.00 daily parking fee . not place would return . 
 Nov 5 2009 	 good 	 room nice clean , odour like old hotel stay in . I room 4th floor overlook Fremont experience , little noiseyat top hour ( untill 11 pm ) , enjoy . room 25 dollar anight ..... can not beat . would stay . 
 Nov 1 2009 	 great value great fun 	 husband stay four night . check , request quiet room certainly receive - bother noise time . room clean , fridge , useful snack drink . hotel old little worn clean , staff friendly , location great price reasonable . go comedy show hilarious . slot great dinner hotel coffee shop , Magnolia . would stay . 
 Oct 31 2009 	 well worth price 	 enjoy three - night stay , find staff friendly , helpful , generous half - price coupon Magnolia 's Veranda . wait Magnolia 's get tedious busy hour , service great , portion generous . Chicago Brew Pub small inviting , beer hit . miss Hugo 's Cellar , small donut / deli / coffee shop defunct . the room back side South Tower nice clean , queen bed comfortable . bathroom rather small room , clean restock daily fresh , thick towel , soap , shampoo . stay , electric outlet desk area work , make coffee floor , elsewhere room - could not use lamp . two - lamp light fixture bed break , require we unscrew one bulb turn light . telephone not work . music Fremont Street hear rumble , bad . the casino little crowded busy time , follow Vegas tradition put bench chair anywhere - spite number middle - aged elderly patron get every year . conversion Fremont street pedestrian mall wonderful development allow people simply cruise casino Fremont street vendor ease . overall , pretty good place , back . spend time room ... might try get another work fixture - important we , complain . 
 Oct 29 2009 	 less expect 	 main reason book room hotel activity hold class reunion adjacent hotel bar - really convenient . stay allow we walk next door without deal traffic parking . room really quite dated need update . bathroom quite small . room fifth floor nice view huge roof top equipment - oh well , be keep curtain open anyway . big complaint plumbing - sink tub really slow drain issue . call front desk connect housekeeping woman respond sassy tone call building engineering . say not care call , get someone fix . also , shower head super strong . think 's tub drain slow . probably stay hotel . 
 Oct 28 2009 	 Bring ear plug 	 room 608 North Tower overlook Fremont Street Experience great try go sleep . ' experience ' continue loud music bright light midnight announcement , reveler etc continue well night / all night .. tell earplugs available hotel . front desk manager tell we warn check room face revelery ala . a / c system quite loud room thunke night . also able hear neighbor shower . say room quite adequate , clean large enough . personnel fun helpful ( except earplug ) Dante make mighty fine margarita - ask real kind special . stay Fremont Street great since drink go ' bag chip ' PS room 600 tower directly across elevator . 
 Oct 26 2009 	 would stay ! ! ! ! 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. staff nice friendly .. room clean daily would definitley stay .. 
 Oct 25 2009 	 Outstanding Service ! 	 want say much fun downtown Four Queens ! Vegas experience much enjoyable friendly staff member hotel / casino . stay , past love . dealer pit boss absolutely outstanding . thank , see March ! ! ! 
 Oct 24 2009 	 Outstanding experience 	 book seven room week . without exception experience outstanding . front desk attentive need . housekeep outstanding job . everyone hotel restaurant make feel guest . definitely back . 
 Oct 20 2009 	 good pick 	 arrive 14 hour flight book 4 queen , look forward early night give lovely room , everything bed . , , , contact front desk give another room ... even entertainment go street good comfprtable bed ... trouble sleep . would hesitate stay ... much prefer fremont street strip ... costwise pay $ 50 room 
 Oct 20 2009 	 Nice hotel great value good downtown location 	 wife stay way California . reservation check online price early evening get great price @ less 30 / not . ' ve stay Golden Nugget nicer much expensive . need place rest night . not eat restaurant can not evaluate . room nice , nothing fancy , clean we main thing . play little poker nugget 's room well make even well stay . check quick , staff friendly courteous . ask quiet room get . charge self parking reviewer apparently experience . certainly consider stay . 
 Oct 14 2009 	 never 	 Room like closet - get clean towel nothing else - hair dryer work - outlet room work - no business suite except expensive pc / printer - no free isp available - service magnolia mediocre good , group 3 couple cause major confusion every check . really watch dealer - catch couple pull trick think someone watch . control casino area - many loud people control noise language - staff nothing . 16th floor could wait get home due noise street NIGHT long . gift shop player club open leave 700 gift , could take advantage player card . cheap yes - inside top bottom . nice visit young lady name Rachel check we hotel . 
 Oct 14 2009 	 Fabulous Fremont n Four Queens 	 Vegas absolutely fantastic not , stay Strip get feel , stay Fremont Four Queens get taste downtown . 4th year run four Queens mishap promptly resolve . arrive vegas , get car check , book standard room , good value price £ 21 per night , go drink bite eat retire earlyish night . wake 3 time night noisy neighbour demonstarte sexual prowess . next day go breakfast ( Paradise buffet - excellent ) feel tired violate , return hotel go front desk , explain situation . repeatedly appologise promptly upgrade we suite gorgeous . love Four Queens , staff attentive , location brilliant $ 7.99 prime rib dinner great value . 
 Oct 14 2009 	 over - rate 	 confusing find lift room , drag luggage casino full peopleone good location freemont st , comparison strip , do not feel safe walk around.show pressure ridiculously strong , point stinging ! sink tap come use itpremium factory outlet good shopping 
 Oct 10 2009 	 comfortable fun experience check - in check . 	 room fanciest ' ve stay , room clean comfortable , window actually open allow fresh air room ( rarity day , much appreciated ! ) , sizeable flat - screen television good selection channel . hotel reasonably price internet service ( half price hotel stay & quot ; Strip . & quot ; moment check moment check , hotel staff member invariably friendly accommodating . hotel 's restaurant serve delicious chicken fry steak , among many delicious offering . one well restaurant casino downtown Las Vegas . ( also recommend buffet Main Street Station hotel / casino ) . Fremont Street light show fun , & quot ; Summer ' 69 Woodstock TributePalooza & quot ; free musical entertainment also good show . four Queens Casino affordable ( $ 3 $ 5 ) table we not like & quot ; bet house , & quot ; huge variety fun slot . additionally , unlike & quot ; high end & quot ; casino strip , coctail waitress actually serve penny slot machine bring drink back fairly quickly . , money ! could well , really ? will definitely return ! 
 oct 9 2009 	 great always ! 	 wife complete bi - annual trip Vegas stay 4 Queens 6th time . check take 5 minute 9:00 pm ask north tower room away Fremont take care quickly . room small functional . never wait 5 minute , usually less 1 , elevator . park garage never problem except construction downtown area get lot street mess . check also quick , everyone deal friendly accomodate would highly recommend Queens anyone look cheap , clean room . 
 Oct 7 2009 	 Nice 	 stay 4queens 25 year ago expect old run hotel surprise beautiful clean room , everyone hotel nice helpful location can not beat . never stay strip , downtown WAAAAAY fun . highly recommend 4queens ! ! ! 
 oct 2 2009 	 Downtown GREAT - four Queens Less great 	 downtown different experience compare strip . Street Party atmosphere , everyone great time . stay petite suite 16th floor , opposite side Freemont Street Experience . room comfortable normal amenity , include sit area . tile counter bath , tub / shower combo . room clean hotel service staff fantastic need . casino small , part friendly accomodating . except 2 pit supervisor rude everyone , even dealer . one yell scream , do behind closed door . laugh yell , even point yelled , & quot ; fire ! ! & quot ; . find shortly request speak casino supervisor regard unprofessionalism pit supervisor , casino supervisor duty , pit , see entire thing laugh . unprofessional service business air dirty laundry front client . next day , see one idiot pit supervisor ask time certain table game go open , say , & quot ; not know , not care want & quot ; . couple bad apple ruin entire barrel , ruin fun time casino . plain pure & quot ; stupidity & quot ; , casino management seem care . much well place gamble everyone fun relax . hotel spa , pool ( use sister property 's pool ) . compare Golden Nugget next door . 
