sport 	 Staff wonderful , professional first - rate ! could not ask ! weekend special load fun ! 
 Nov 25 2009 	 seriously deal $ 9 / night 	 ' m Vegas local that s try spend much still love little spontaneity , decide surprise boyfriend little surprise date lovely , artsy , old school downtown Fremont ! 's Bellagio anything close want & quot ; staycation & quot ; fun reconnecte luxurious glam . hotel : 19 + 3taxes / fee = 21 $ two night , FAMOUS shrimp cocktail=99 cent ( like 6 ) , drinks=25 $ ( be super reasonable enjoy lot rack up - hey vacation ) , gambling=10 $ hour haha , downtown casion chip worth 10 25 cent ! ! ! food ridiculously cheap . 2night vacation life we laugh fall love , less 70 $ . 
 Nov 23 2009 	 Read review first time stay Loved ! ! ! ! ! ! 	 yes , like everyone else wonder get $ 20- $ 40.00 night . get 4th floor ask non smoking Julie , oh , yes friendly Julie check , real helpful time . say non smoking floor . could smell anything hall room .. room clean other say . room 12x12 without bathroom . bath small clean . like state noise Golden Nugget big deal do . sleep night ! ! ! get coupon book Golde Gate Players Club 2 one meal , drink free shrimp . want get around strip back anywhere vegas street 3 day pass $ 15.00 . go Fremont Sat morning buffet , $ 9.99 get Prime Rib , han , make order omlet , shrimp , goody , fresh fruit .. go back sunday Champain Brunch $ 9.99 .. go around Califorina Hotel buffet $ 5.95 small buffet scramble egg , sausage , bacon , couple item coffee milk juice .. one dinner Golden Gate Restaurant Meat Loaf coupon buy get one $ 10.99 good . burger fry good .. check line cheap take GRAY LINE BUS Airport Downdown/ Fremont $ 16.00 per person ( round trip ) . go door # 10 Baggage Clam buy ticket . 4 - 5 people take cab split . say cost $ 24.00 go downtown one way .. Fitzgarlds Casino Fremont Street $ 2.00 Black Jack . calf . hotel $ 3.00 Black Jack ( GOLDEN GATE ) read , everyone WANT & quot ; SPEND $ 10.00 hand BLACK JACK COMES FRI - SAT NIGHT . CA not leave one table $ 5.00 nights . one table POOR WORKING MAN . SAW EMTPY TABLES $ 25.00 , could full $ 5.00 table .. say want pay big buck Strip , big room , snobby hotel personel . that s place . strip good first timer see sight . want lay back friendly area , cheaper price food & amp ; drink come Fremont .. go side town , Strip .. Hope help ... 
 Nov 21 2009 	 work ! 	 snag property one night stay mere $ 19 night expect little . surprised . drawback , sure , excellent bed quality linen . bathroom date , clean great water pressure . room , , small , need place get great night 's sleep . the downside , people , location . Fremont Promenade rock band bang tune til around 10 pm ( quiet ) . also fairly good distance Strip not use use bus system , could hassle taxis way expensive . choose use bus system , easy convenient . as far bargain , think get one would stay . really much difference pretty nice hotel town . 
 Nov 21 2009 	 Hidden Gem 	 room cheap , clean , nice ammenitie , great location end Freemont Street . great view street ... fun hanging window ! ! thing surprised size room . work amount time spend room ... getting drink good playing table game . otherwise good bet go right next door La Bayou ! ! whoa ... money get buzz ! ! add plus casino dancer nightly pit area play great upbeat musica ! ! ! shrimp cocktail everyone rave stupid cup frozen baby shrimp cocktail sauce pour : ( not pay . play crap ask free coupon ! ! bye ... 
 Nov 18 2009 	 Golden Gate Casino Hotel Las Vegas - good ! 	 Excellent hotel . pleasantly surprised . first , low price , hesitant , compare strip price , hotel seem logical . room impeccably clean , bed unbelievably comfortable kind art deco plus , flat screen tv 's . MGM ! also , read couple review , concerned noise . peep hear . also second floor . next day check go function .... 3 hour later , notice wear ring ! diamond black pearl ! put bathroom sink forgot ! race back hotel lo behold head housekeeping front desk jewelry . great experience hotel . go MGM couple day , regret . hotel much comfortable personal . would stay anytime . wonderful service , wonderful people , clean comfortable ! 
 Oct 27 2009 	 Beware Noise Night ! 	 stay 3 night start Oct 23rd . like everything hotel except one thing know booking room . read previous review site , check , ask room away alley ( avoid loud trash pickup noise 5 am ) face Fremont Street due loud entertainment midnight 1 am every night . assign Room 232 . small , quaint room nice flat screen tv clean . go dinner fun get back room sometime around 11 pm . try sleep could hear loud music actually feel vibration come sound . turn , go - go dancer blackjack table happen directly Room 232 . ' m happy see go - go dancer , loud music dancing make impossible sleep . drift asleep couple time , keep wake . finally , 2 am get dress go request another room . advise not , could request different room next day . Friday night . walk 4 Queens Vegas Club see could get room sleep . book capacity . return Golden Gate loud music finally stop ( sometime shortly 2 am ) . next day accomodate moved room 3rd floor , across Plaza Hotel . still traffic sound night , tolerable compare first night . , really like hotel . hope help ! 
 Oct 25 2009 	 Golden Gate Hotel 	 Vegas standard small family run hotel casino Fremont St downtown Las Vegas . Friendly & amp ; helpful staff make feel welcome . comfortable clean reasonable price . always busy hence take booking 7 night less . good stay last time , ' ve book stay week Jan 2010 
 Oct 23 2009 	 Awesome stay Great Value 	 stay hotel book really good promotional rate . expect lot , definitely surprised . room recently renovate boutique feel . also feature flat panel tv iPod compatible alarm clock . staff member super friendly check - in quick easy . book two room one room air - conditioning stop work - mention front desk go breakfast fix time return . property also place Vegas seem care history , good place little nostalgia . 
 Oct 21 2009 	 Watch Nugget construction 	 doubt , great hotel casino . room clean , bed comfortable , staff friendly , price right . however , careful accept room face Golden Nugget . nugget near end major construction project worker go 24/7 . jackhammer , bull dozer , dump truck ... name . , great place stay . especially love music casino . 
 Oct 19 2009 	 remodel room great value 	 flat screen tv , quite stylish . bathroom still old find someone else 's hair , clean , still okay . great location one end Fremont Street experience . parking ( will get permit hotel , be free ) designate site nearby ( alongside Main St ) , ground level , i.e . not navigate one enormous multi - level garage . great value ! ! ! casino quite small , advantage take minute walk . 
