grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Nov 22 2009 	 pleasant accomodation little far away Strip 	 family trade 2 - bedroom apt . timeshare week great . know would 7 mile Strip not think would hindrance . rental car name , therefore chauffeur trips town . shuttle available hour day , fee , other choose take advantage . south Point Casino next door good diversion , spectacular biggie town . drive , Las Vegas easy city maneuver . I-15 go right city , 10minute away Strip block two exit . parking free casino . least mid November , traffic horrific ( Washington D.C. area ) even taxis agreeable let wrong lane . rarely park far hotel.casino entrance . , 2 - bedroom unit lovely , entrance foyer two 1 - bedroom unit lock door . beautifully furnish flat screen tv living room bedroom wall . kitchen well - furnish . bathroom nice standup shower- jet tub bedroom area across closet . complex HUGE still build timeshare sale go strong . build ( Daisy ) next parking garage , need . little hike pools fitness center , great , outdoor jacuzzi nice . like pool furniture , move across cement decking , nearly silent ! big pile towel attendant main pool . fitness center well equip 3 tv busy morning 7 - 9am . barbecue grill tables area also , not think anyone Daisy would schleppe hot dog far . check easy ! arrive 2 1/2 hour 4 pm check - in . paperwork take cellphone number , call hour later could go . towel service midweek . internet access free lounge main building , 2 computer work want print boarding pass , accommodate front desk though could not fix computer . unit wireless cost $ 49.95 week . check phone call tell leaving- card key leave unit . elevator post activity day- usually 4 - 5 thing , do not ' attend . area great . visit Lake Mead , Hoover Dam Red Rock Canyon hiking . spend 3 day Zion Bryce National Parks UT go Las Vegas . want return ! 
 Nov 15 2009 	 BEST TIME ! 	 stay 6 night Grandview Daisy build leval 4 . everything nice clean well decorate stay three day limmite maid service / pickup service .. need RENTAL .. park rental vehicle FOX ( cheepest ) parking garage plently space . problem parking . room everything , well stock dish cooking utensil , dish dishwasher soap , washer & amp ; dryer incl soap . lge table 4 chair , sofasectional chair . two T.V.s , one living - room one bedroom . large bathroom 2 sink large shower , jet tub . pool area nice large swimming pool ( warm ) hot tub . towel supply pool . hate timeshare presentation take much time . location good , right Las Vegas Blid , five minute walk next door Southpoint , five minute drive resort south . five minute drive interstate distance grocery shopping Walmart . ten minute drive strip . be strip good bad thing . there outlet center reg mall north location . thnig would like see REAL Chicago style pizza place family stlye resturant breakfast . , Ihop ( hate ) .. fourth fifth trip Vegas site see time . we go Valley Fire worth trip must see also make trip Hoover Dam 14 mile Valley Fire . we also make trip Mt Charleston .. lot drive need car ! ! ! ! ! 
 Nov 14 2009 	 four night @ Grandview Las Vegas 	 stay 4 night Grandview Jasmine building . everything nice clean well decorate . amount vehicle parking lot build full , quiet . problem parking . room everything , well stock dish cooking utensil , dish dishwasher soap , washer & amp ; dryer incl soap . lge table 4 chair , chesterfield chair . two T.V.s , one living - room one bedroom . large bathroom 2 sink large shower , jet tub . pool area nice large swimming pool ( warm ) hot tub . towel supply pool . ask timeshare presentation . decline nothing except letter door invite we . negative accommodation condo face east sun bright morning wooden blind bedroom . ( bring eye cover ) couch sofa thin mattress . location good , five minute walk next door Southpoint , five minute drive resort south . five minute drive interstate distance grocery shopping Walmart . ten minute drive strip . 
 Nov 8 2009 	 time away reality work kid 	 not rent vehicle , ride deuce shuttled around town . room clean well keep . pool area beautiful , prepared , even we Canadians find freezing , heated . free internet book flight great ! Felt safe ground . get hound timeshare speech , not go one ask we leave we alone . greatly appreciate . negative : leave we message 11 am , already day , return midnight , lock we room return call regard $ 10.00 safe fee . do not proper i d , security escort we room open safe get passport i.d . WOW , less impressed never stay event alone . idea treat guest ! ! 
 Nov 6 2009 	 LOVELY ACCOMODATION 	 stay week 2 friend . accomodation great , everything need apartment . everywhere clean . very spacious comfortable . the weather hot make use pool sunbed afternoon . would definately recommend Grandview .Staff nice . 
 Nov 4 2009 	 love 	 stay 2 week . appartment great . everything need . shower huge . bathroom really nice . kitchen really well equipped . free bus go grocery store shopping outlet load place . appartment really clean smoke one . bed great huge comfortable . good bit jucuzzi bath really nice . barbe equipment available pool open late get jucuzzi night . really nice people quiet peaceful pool . go next door southpoint night . 12 pm 1/2 pounder chip 2.95 great . 
 Nov 3 2009 	 wonderful place need car . 	 return week Grandview . good clean . first unit shabby carpet stain , one faucet break , move immediately complain . facility good ( pool , gym BBQ ) . Southpoint next door plus lot restaurant , movie , bowl etc . , course , casino ! furniture comfortable sit , , Vegas sit ! ! wonderful vacation . 
 Nov 2 2009 	 average good 	 stay Grandview , initially , like property . stay new building first floor work well we . however , 3 day find ant bathroom 5th day find bug bathroom could not identify - alive . discuss management tell we issue first floor not tell check . resort kind far Strip not find much issue . 
 Nov 1 2009 	 would go back 	 property excellant . stay 2 night , really enjoy everything . really quiet , nice . 1bedroom plenty room family 4 . 
 Oct 30 2009 	 Nice Place away Strip 	 in - law Las Vegas AARP convention trade timeshare week Pennsylvania Grandview . master suite consist ( 2 ) 1 bedroom suit separate door open foyer main door hallway . basic suite amenity normal timeshare without bell whistle . contain regular size kitchen , bathroom , master bedroom , master bath . also small live dining room . living room pullout sofa , entertainment center dvd player large old school tv . master bedroom king bed , small tv dvd player . Master Bath nice jacuzzi tub , separate actual bathroom , fairly big walk - in shower dual sink . accord sale folk , 6 building complete 2 come . 2 thousand unit , ' m guess 2 building , add another 300 room . access easy , south LV boulevard , 5 mile Mandalay Bay . , access i-15 well . be locate right next South Point Casino . real complaint wall seem thin . consistently hear run water chair move unit around we . not take part timeshare lockdown , one walk around complex , see sale center model , nothing like unit . ' m sure plan remodel future , think classic ' bait switch technique ' & quot ; take look beautiful model unit . nice furniture , ( 2 ) 42 & quot ; plasma screen TV 's , etc . & quot ; oh , way , unit actually get buy . LOL , conclusion , probably would stay unless type scenario . not like , many place stay Vegas . 
