absolutely 	 recently stay hotel five day / night . require hotel convenient convention centre strip , place lie head . Greek Isles fit requirement . the room clean , sheet clean , tv work door lock . staff friendly helpful - number question throughout week respond happily . breakfast restaurant excellent beer tequila ( medicinal purpose ) end day cold within budget serve friendly bar keeper . greek Isles good & quot ; work class & quot ; hotel ( work class - backbone nation ) would stay . 
 Oct 11 2009 	 RUDE employee 	 cashier casino work right rude employee ever see . Mid Fourties , baly die red hair , skinny , ect . play Video Blackjack right next cage . machine give nothing loser . 10 row , 11 row , ect . keep say low voice & quot ; get to kidding & quot ; count loud exact amount hand lose row . never cuss . come rudely yelled saying do not like machine could get hell casino . yelled stop cuss . never use cuss word . hear thing . regular 5 time week , play $ 20 $ 150 time . feel yelled employee . economy value every single customer . since rude long play greek isles UNITED COIN 'S company machine , stay hotel . regard , Joseph Wells10 - 11 - 091:00pm 
 Sep 28 2009 	 suit need ! 	 actually money blow fancy hotel / casino , want something close convention cnter head , CHEAP ! hotel inexpensive mid - week compare neighboring hotel ( half price ) scare getting . surprisingly find old , renovated , well - love clean hotel . room tenth floor usual amenity large window view face north . bed , carpet , drape , bathroom , near - new find reason complain . small outdoor pool open 24 hour cardio / weight room second floor . also restaurant , casino , in - house magic / fire show ( none see ) . desk staff bit dingy , price willing put . one ding worth mention lack free wireless internet -- cost $ 12 / day . would definitely return , definitely make friend jealous tell find . 
 Sep 17 2009 	 luxury good choice 	 Las Vegas city light luxurious hotel . not luxurious need pleasant stay . complaint distance strip , may cover 10 minute walk . room big clean , facility may expect . 's big parking around hotel external swimming pool . Breakfast may booked dollar . 2 pc floor internet connection first floor quite old sluggish . 
 Sep 9 2009 	 Outstanding Value Outstanding Customer Service 	 great stay hotel , staff friendly , room look though refurbish , comfy bed , location perfect , coffee room , refridge room , large open spacious room , pool quiet , long check line , strip , excellent value price room . return tell friend value great customer service receive . 
 Aug 10 2009 	 love bed ! 	 ok building old . stay 2000 awful not pay since business want close convention center . six year later decide stay tell remodel still want close convention center . wow surprise . bed fantastic , bathroom beautiful , pool new , staff great . location convention center can not beat , able walk less ten never need taxi . care restaurant time maybe give another try . I pleasure work require . look forward stay November . 
 Jul 21 2009 	 Filthy timewarp ... 	 hotel ABSOLUTELY VILE ..... ! ! reception smell , lift wall carpet stink filthy , wall corridor dark orange layered dirt ... floor carpets corridor room heavily stain ... room ( apparently imeshare deluxe room , ha ha ha ha .... could 70 's maybe ... ) old fashion seriously rundown . heavily stain carpet , chair curtain . peel wood cabinet mould bathroom not dare take sandal walk around room ... colleague cockroache room . wipe foot way hotel ....... people frequent hotel look like stuck time warp . be strange ... place need knock ..................... ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! would not stay someone pay ........................... 
 Jul 15 2009 	 Happy Guest 	 recently visit Hotel empty way airport cab driver say & quot ; not know anyone stay anymore & quot ; . right see 4 people whole time . walk strip convention center catch bus monorail 100 degree weather seem long . hungry 9:10 pm get back hotel call room service tell kitchen close . tell we arrive stay , 3 day . we - sit . go hotel next door eat . invest type shuttle strip . room ok . feel like ghost town . happy . 
 May 3 2009 	 newly remodel 	 impress friendly service receive stay . room clean appear remodel . great price room would stay . 
 Feb 27 2009 	 could BIG 	 stop Guitar Center . guy , see flyer show happen night Greek Isles . & quot ; 305 Las Vegas & quot ; . flyer look awesome . thought would check . take we find place , , not know right location . hugh light sign front , not say anything concert . one guy get ask band play tonight . turn right place . now place kind small , be get real friendly vibe . go bar , get drink early . seamed like everyone know . great . everyone laugh drinking look like time life . get ticket box office . place quite nice . although place pretty dead one band seem really rude . show good . awesome sound light good . need small round table cocktail waitress . hear place open . give time , place & quot ; 305 & quot ; go BIG ! ! ! next time Vegas sure check next show ! 
 Feb 11 2009 	 basic nice 	 read review hotel internet . negative positive . quite leary stay , since book timeshare deal , somewhat obligated go . pleasantly surprised facility simple , nice , clean . extravagant hotel , provide basic need . need place lie head play strip enjoy many attraction Vegas , place . look somewhere many luxury , place . staff friendly helpful . eat restaurant much casino . activity night statge- live band karaoke . basic , basic , basic good way describe place . 
 Jan 20 2009 	 Disgusting 	 nothing else need say hotel disgusting . pull parking lot see hotel person . idea place stay business . walk past restaurant normal business hour dead empty . sportsbok 4 guy wooden table . casino big living room afraid drink glass give bar . place destroy . disgusting anyone stay look somewhere else . hotel charge 1.00 stay room still rip . 
 Sep 28 2008 	 food restaurant great ! 	 bit run , folk work along quality food restaurant make place worth visit lunch dinner . want authentic greek food , ! 
 Jan 14 2008 	 horrible ! ! ! ! need knock hotel start 	 think get deal book quickie wedding package . joke we ! brown stain ceiling , wallpaper come wall , stain break furniture room ! first 10 minute room try book room somewhere else Vegas . go front desk cancel reservation wedding party guest ! place horrible . picture website deceptive say least ! seriously know place stay business . 
