stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Nov 25 2009 	 Super fun 	 awsome pool , lazy river , hot tub , hot tub ! ! ! 
 Nov 23 2009 	 Hard Rock Las Vegas 	 Beware ' Resort ' charge disclose , instead hide small print paperwork @ chk - in . awesome collection memorabilia . great show . 
 Nov 22 2009 	 place father want stay ........ 	 maybe officially call old , ( wife & amp ; 50 ) could not stand level service place . book two room Santana concert awesome , joint wonderful venue will not stay future . minute check vibe staff good , be almost scared hell lose job forgot job make guest good time . stay new Paradise tower , room small ok . went make drink be glass , go get ice machine empty . try open beer opener . turn tv channel would not change , go call desk cordless phone not charge , try turn light next bed figure phone not work either ! switch wall switch bed next light still nothing . call desk cell someone come . turn light switch near door tv turn reset . Guy say happen time . daughter room could not get tv turn 2am , service guy show say common problem fix . forgot flashlight call room 6am want come get , yes waking . apparently flashlight must valuable . also , room charge item take mini bar not use , mean wait long line rectify charge . oh , charge daily & quot ; resort fee & quot ; $ 8 , one could tell . finally , wait cab airport Sunday morning kick casino floor , apparently be allow sit empty slot baggage . tell could sit outside stone wall , somehow drop $ 2500 place hope something well stone wall ! guess 20yr old & amp ; 30yr old generation not care thing . 
 Nov 20 2009 	 totally surprised great hotel 	 go Vegas long weekend event MGM , want great deal find Hard Rock . not expect much cheap price shock much loved hotel . room standard room clean , comfortable huge . strip , close hotel airport $ 10 cab ride hotel . find hang casino play awesome music lobby overall fun atmosphere . great restaurant cool shop ( even tattoo parlor ) . 's small hotel , find great thing walk 20 minute get room . be loud 's pretty young crowd ( 20 's 30 's ) be look quiet , elegant hotel - - stay Venetian ! be look low key , fun , affordable , nice hotel - stay . definitely stay next time go Vegas . 
 Nov 19 2009 	 Surprised Service Staff 	 never stay , trip Vegas . decide stay event Joint Halloween night . pay $ 150.00 event special code . night run many $ 400 - 500.00 . thing like room view . third floor face build outer working , pool , lot , mountain . discover pretty much we special code locate . much time go to spend look anyway ! ' the Valet great , first little standoff ish , minute warm we . receptionist get we room super quick , friendly . walk way elevator , ride quick . nice room two bed , large bathroom , mirror angle could look backside like never before . the club ok , kind music . dinner ago good . pool scene great , season hot tub . walk around think mad house must summer . you walk CVS get beer room pay one bar . hoffbrauhaus across way , interesting atmosphere . sushi place across street . bus line near by . and single lady ... one good place meet hot guy ! number woman abundance . we good experience almost every aspect . bad take we long stay here . , 
 Nov 17 2009 	 AMAZING ! ! ! 	 simply LOVED hotel , cool hotel stay far , sure . 's well get really good price lastminute travel website . guess 's people use casino , be good everybody . anyhow , go back sure . 
 Nov 11 2009 	 Hidden Resort Fee ruin otherwise great stay . 	 stay new Paradise Tower great stay - beautiful room , clean . great service Valet , fantastic even plan keep change get car back every 15 minute . love decor new wing construction coffee shop area , be go great be do . however , check SHOCKED see charge $ 7.84 / day & quot ; resort fee & quot ; . read TripAdvisor seem like common issue since stay , not even homework . the bad challenge charge check - out ( first time aware ) , desk clerk tell tell upon sign - in ( not ) sign charge . unpleasant ask manager . wait 10 minute instead manager , bring back printout supposedly sign . what really happen check tell us mini - bar credit card would charge remain reservation day hand we electronic signature pad , said & quot ; ok , hit ' accept ' sign will set & quot ; . signed not think anything it . after fact , learn signature pad several page & quot ; term & quot ; desk clerk skip hand signature pad guest . as continue argue desk clerk , two people come check - in beautifully , desk clerk exact thing - hand signature pad gentleman & quot ; hit ' accept ' sign & quot ; instruction mention resort fee authorization . , point neither aware resort fee . worry miss flight , leave gentleman arguing resort fee . when return home , contact hotel management apologize refunded charge . also indicate go address problem . I truly hope frankly , get great rate $ 8 / night , still would stay . principle matter . I would still recommend hotel sure calculate extra $ 8 / day rate booking make sure read fine print check . trust , verify ! 
 Nov 9 2009 	 impressed 	 worth hype small casino average room minor issue & quot ; Joint & quot ; cool though great time & quot ; Danzig & quot ; show 
 Nov 7 2009 	 Awsome stay Hard rock 	 stay Hard Rock 10/30/09 11/02/09 Halloween party long week - end . get great deal Travelocity car 3 night Mountain View room . check quick efficient & amp ; friendly , clerk upgrade pool view 15th floor Paradise Tower warm sensor fridge room . ask pool view would noisy tell high would bad pool close 6 pm . really like hotel feel , play music even elevator , great picture property . pool nice , find Jacuzzi stay pool water freezing , sand beach nice touch . Mr. Lucky ' " Gambler special " good deal & amp ; taste pretty good ( thank Jinsav tip ) . good thing hotel bed , extremely comfortable . starbuck store hotel also nice . able checkout use tv save lot time . Hotel Vegas charge property fee , ' tip valet , ' think bad & amp ; actually like . 
 Nov 6 2009 	 music lover will HEAVEN .... 	 husband spur moment trip L. Vegas great friend Hong Kong go conference . choose hotel husband true music lover always dream staying could gush guitar , etc . stay hip - n - cool paradise tower - face pool .. thank -- front desk ! classy renos do . room perfect - super clean -- super modern . bathroom awesome ! bed -- heavenly - cloud ! ! ! Slept like baby -- ! ! ! ! ! imagine - even Vegas ? pool area manicure beautifully -- nice atmosphere . except fact pool water sooo freeze . not think could stay long 100 degree day even . also lounge look bit beat - up / tattered rehab Sundays . purple bus Hard Rock Cafe ( front hotel ) convenient want go strip - drop Fashion Mall . John Varvatos also store music lover visit . within complex . awesome staff -- cool gear , clothe , etc .. also , eat Pink Taco & amp ; Luckys .. cool ... pink Taco fun happy hour check ! 
 Nov 4 2009 	 beast priest THX Hard Rock ! 	 book trip primarily see Judas Priest Thomas Mack arena . well place Hard Rock stay . right ? location ! short easy walk . the beast Priest AWSOME ! good show ever ! Vegas fan great ! people arena nice , hard rock also deliver ! check easy , get great room old edition sixth floor near middle , GREAT view strip pool area , door open let sight , sound energy vegas like Hotel Casino Vegas ! room clean , maid service top notch ! everyone encounter nice ! french balcony incredible ! pool fun quite expect . ( high expectation ) barmaid drink make it . we book extra day could experiance Rehab ! dissapoint . Soddem gamorra.whether pool watch balcony , party ! also get ticket WEC fight night Joint . wow ! Hard Rock know pull event style . have great time , 4 day . back construction do . stay new tower , nothing could compare french balcony 's open air exciement energy 
 Nov 2 2009 	 bad Ever~ load hidden charge leave bad taste 	 guy week - end away . place really suck . dirty past prime . customer service bad stiff $ 7 day & quot ; resort fee & quot ; plus $ 100 check minute 11 am . hello Vegas not stay ! 
 Nov 2 2009 	 Love Hard Rock 	 travel Las Vegas nearly 9 month nearly 2 year since stay Hard Rock . change ownership , spend time Palms since good us comp free room . Hard Rock actually cheap Palms night stay , decide give try . say minute arrive , remember much enjoy Hard Rock ! ! music loud hip . add pole dancer casino floor , generally upgrade quality everything include chair casino snake skin look . reason enjoy Hard Rock much friendliness staff . many casino dealer not engage act like can not wait break . Hard Rock staff friendly engaging . give great tip suggestion eat . subsequently , eat new restaurant call Ago . italian , delicious perfectly cook risotto . normally , would go Nobu , decide try something new pleasantly surprised . our room renovate room casino side , new tower . hip , back white , sort Ed hardy feel . good job Hard Rock ! shower pressure great bed die ! ! ! complaint room drink glass , ice bucket ? night Vegas , need rehydrate need drinking glass ! ! anyway , call room service bring . 's deal ? People spend nearly $ 200 / not steal drinking glass ? weird ! anyway , thank Hard Rock , will back ! ! 
 Oct 31 2009 	 complaint ! great night ! 	 get room new Paradise Tower amazing view pool Las Vegas strip . room spacious modern . comfortable bed great shower . front desk agent check we friendly helpful . recommend hotel anyone want care - free stay Vegas . 
 Oct 31 2009 	 HORRIBLE 	 never stay Hard Rock ... customer service non - existant , get staff rude ! housekeep non - existant . seriously , place appear bloody towel ( wash ) room . fold place wtih clean towle ; surprise . first night shower , bathrobe provide hotel dirty ; one make . ask towle night never arrive . ask security come reset safe room ( not reset previous guest ) , never come . like pull tooth get anything bloody towl say & quot ; ' m sorry , 's Hard Rock . & quot ; review ' ve read ... not first people dirty thing room , dirty towle present clean one . also , big big thing ... outside food room , even water . buy sundrie store , horridly price sell Coke product . and place family ... nothing kid . be also 1.5 mile walk strip , $ 15 cab ride . need shuttle , well housekepe staff ... pool nice , music loud , place relax . not stay , be worth ! 
 Oct 30 2009 	 Hard Rock definitely rock . 	 Las Vegas plenty time never opportunity visit Hard Rock Hotel Casino . well finally go weekend night definitely fun place . casino seem quite small place definitely boast fun club . also notice several shop boutique near casino well large circular bar middle . pool area know Rehab place Vegas Sunday afternoon people watch party . 
