good 	 stay two bedroom suit four adult total . room bathroom . nice 32 " flat screen tv ' bedroom one living room . room clean look nice modern . hotel staff helpful friendly . free continental breakfast good . hotel location good car . mile strip lot choice din shopping within mile hotel . would highly recommend stay hotel . 
 Nov 20 2009 	 Near airport near strip 	 want near airport , hotel work great . want near strip not car , will disappoint . , near airport important , though mention someone else , Hidden well Road hide well . thank goodness GPS . know , be easy get . Homewood Suites , breakfast good . 
 Oct 18 2009 	 spot 	 October Las Vegas great – although sun still bite strong , temperature perfect . participate outdoor sporting event ' combust ashe like almost August ( ' ask thinking ) . check , two people work lobby hence process two set guest time . ' worry much security issue since two Chippendale type ( ok , exactly ) staff process we ( Brady , think believe manager ) alert / cautious / discreet enough read announce room number give we room key – happy hotel get go . turn Brady hardworke ( and/or overwork ) guy - check , stay , check . hope getting pay well . great job . book non - smoking , 2 bedrooms/2 bath suite 3 adult 3 child . room , 245 , 2 bedroom join small kitchen / dining / living room . full size refrigerator kitchen pack snack drink . room also equip coffee maker , microwave oven even toaster , stove dishwasher . hotel smoke free hotel ' bother smoke smell . room windows freeway side traffic noise bit loud ; issue rest group . airport noise ' bother we . complimentary breakfast great ; accommodate light heavy eater like fruit burritos . kitchen staff efficient keep food well stock countertop table clean . swimming pool heat child happy dip early nippy morning . hotel suit satisfied trip need ; price , amenity location . Las Vegas stay mainly non - gaming , spot . 
 oct 8 2009 	 Luxury affordable price 	 property spotless comfortable . staff friendly helpful . hotel airport Hidden well Road . get laugh time find first , near Walmart store basic necessity could purchase . hotel next good thing home . 
 Oct 7 2009 	 Great Value ! 	 great airport hotel . offer great value along super efficient free shuttle bus service airport along Mandalay Bay . room spacious clean . free breakfast morning pleasant suprise . egg , bacon , waffle , cereal , fruit , & amp ; toast ( usual continental breakfast affair ) .The staff friendly helpful . would recommend airport hotel anyone . 
 Sep 29 2009 	 Fantastic Hotel 	 Brand new hotel , strip far , plus shuttle take pick MANDALAY BAY . room decor really trendy clean , bed die . kitchen impressive room one need . quiet spacious room . yummy breakfast morning good variety ( however u wake sorta early get good layout ) regular pool clean , even though 5 min airport sleep like babe could hear anything . book whenever go Vegas hand ! ! ! 
 Sep 1 2009 	 close airport . 	 hotel understand roughly one year old , hotel seem new . hotel area fairly quiet exception airport noise . locate exit terminal aiport imagine would not cost much get . would like stress hotel walking distance anything rental car center would 5 10 minute walk . shuttle service , however take mandalay bay pick . overall I d come back want value convience ( fault ) 
 Aug 31 2009 	 poor service bad iron burn blouse empty promise 	 four - night stay Homewood Suites Las Vegas , room clean -- despite ask third morning thorough cleaning . crumb floor , crumb carpet , toilet seat spot three day , trash empty , shower mark . understand change sheet every day -- clean bathroom , clearly need , ridiculous ! especially , go front desk third morning , ask room not clean . tell thorough cleaning check request . request -- still do . , iron something burn , burn hole blouse go favorite suit ! manager assure would reimburse blouse , provide send receipt . send receipt -- six week later , still reimsbursement blouse . $ 56 blouse , officially lose customer . exactly value place keep client ? guess be less $ 56 -- worth offically $ 55 less eye . use big fan , stay Homewood Suites wherever could .... Marriott come ! not go reimburse blouse , not lie ! several call conversation later Jennifer , manager , excuse check 's mail , check must ' ve get lose , stop payment first check -- lie ! 
 Aug 23 2009 	 '' spoil ! ! 	 ok ... love place ! ! ! .. review ... Short Sweet ... travel alone ... leary many thing .... looked look find hotel online reading review think would sleep decide morning ..... well .... ' m glad ! place spotlessly clean fresh smell new room could imagine ... bathroom like home ... design beautifully . shower shower massage head feel like dream ! ... full FORCED water ! .... little drip run catch get aggravate say do feel like need shower ! ! ! ... pleasure fall sleep new beautiful clean king size bed ! ... like home ! ... smoke smell anywhere ... drop noise place ... ... full kitchen ... Coffee ( tea ) morning without get dress go ! ... OMG ! fantastic ... secure build friendly helpfull staff ! ... one phone call front desk shuttle take strip ! ... be much ! ... would recomend hotel anyone appreciate home away home ... 
 Jul 18 2009 	 Great value 	 travel car Las Vegas , hotel beat . south Airport ( noise though ) near Whole Food Market . main problem Strip hotel always traffic jam , matter time day hotel parking fair distance room , usually mean trip via casino get guest elevator . Homewood Suites , traffic jam park simple , right outside door . one bedroom suite kitchenette living area . breakfast usual fair , week provide evening meal , sample . , transport , hotel provide need reasonable cost . 
 Jun 14 2009 	 Nice Place unhappy service 	 family 6 stay one night end trip outside US . property nice happy service . half - way designate breakfast time , much food run .... excuse not expect busy . excuse acceptable . next issue go breakfast take bag car , leave couple item room , include medication take eat . maid floor leave room . room clean ... even though check . maid put item leave bathroom vanity bag cart , however medication go . throw away . action also acceptable . nice place appear good management . reason recommend property 
 Apr 23 2009 	 fabulous comfort value . 	 stay one night middle trip pleasantly surprise . suite large , furnishing excellent bed comfortable entire trip . ok , not get service top hotel price 's hard beat . complimentary breakfast great , offer shuttle service strip , make location . highly recommend . 
