Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Nov 26 2009 	 Quick easy stay clean 	 enjoy stay hotelthe service food pleasant 
 Nov 24 2009 	 great hotel price 	 good value right strip good service perfect size big top . like hotel 's strip perfect walk distance mgm other . 
 Nov 24 2009 	 seem like good price ....... 	 search web good price single night stay Las Vegas . hooter offer low price seem good location . book room . get learn extra & quot ; cleaning & quot ; charge $ 12 per night . increase cost room nearly 20 % . drink expensive , $ 7 cocktail , $ 14 double shot name - brand rum . internet service $ 13 day . the hotel locate across street MGM walk street 1/4 mile cross pedestrian bridge . walk entire length MGM get Monorail . funny thing could see monorail station straight across hooter ! finally , room functional seem convert another hotel chain . bedside lamp , floor lamp corner . Wood & quot ; patch & quot ; apply bed lamp use attach wall . room clean . so beware price aware location good seem ! 
 Nov 24 2009 	 enjoy stay 	 well read review , hesitant go . pleasantly surprised arrive . check take long . room clean , bed good . staff nice deal . pay less 40 buck day ( fri - tue ) . location awesome . cigarette burn , room well expect . would recommend hotel anyone want save buck . 
 Nov 24 2009 	 would not stay 	 husband decide go vegas drive book room Hooters . think good price . however never stay . start elevator fall apart . crack corner top bottom , push wall little see -- -SCARY ! ! ! ! hall way room dirty smell . ice ice machine whole time go 2 floor get ice . shower not work right . half water come shower head half come tub spout . handle turn water shower need major maintence . air / heater sooo loud turn sleep . capet dirty room smell funny . however one nite get really late , ( say early , 4 am ) hungry , order room service would say food come fairly quick hot taste good . decide extend stay stay . book another room another hotel stay 2 day . would decent hotel would keep maintence little cleaning . 
 Nov 23 2009 	 nice room good facility adequate staff . 	 check give key occupy room opposite end facility . return lobby baggage baby another room . never offer help luggage would polite make we walk far . want big bed get 2 standard , pleasant surprise could get infant bed . like room , clean tasteful , fancy good . bed adequate . big letdown staff . polite nowhere near standard find restaurant frequent . return desk give wrong room helped politely never feel like important . 2 desk people chat 3rd employee retail , desk guy try get free shirt . girl poolside cofffee shop morning plain rude . 
 Nov 19 2009 	 3 - star hotel not even want know 2 - star would ... 	 be travel budget , pick something else . ' m pretty sure will well Tropicana , Excalibur , Circus Circus , Riviera , etc ... place awful . staff really friendly . front desk guy short harsh checking . get room , decoration cheap tacky , one lamp damage , bed dip middle ( like use mattress ) , sink clog , shampoo bottle previous guest bathtub . brother 's room wet , use towel . basically , hotel & quot ; please , remodel & quot ; write it . the hostess Dan Marino restaurant friendly . look like we favor - not happy . plus , want we wait 45 minute get table 3 morning even though go get food go . good thing hotel wing location . 's . 
 Nov 17 2009 	 bad B hotel main drag 	 Liked hotel whole . fancy MGM across street , close enough strip get thing , accessible monorail price good . 
 Nov 6 2009 	 excellent holiday 	 hotel excellent , ideal location walk anywere , room clean everything need casino ideal size big evertythe need pool gorgeous weather lovely november sit pool day everyone group enjoy varied age 21 60 man woman .room 2 double bed tv computer game . 
 Oct 29 2009 	 will not go ! 	 book hotel Priceline.com . unfortunately not expect see hooter result . front desk though quick check , service bad . also , hotel charge additional $ 5.65 reserve fee also add onto price not expect . therefore , end cost priceline promise . housekeeping staff charge water drink . definitely think twice book Hooters . mind well pay dollar descent hotel . 
 Oct 29 2009 	 excellent value money round corner Strip 	 check slow standard service desk neither efifcient friendly experienced hotel motel US , however hotel excellent value money ( less £ 35 two night ! ) . suppose bungalow room give Ocean View one instead - turn blessing several floor away traffic noise music pipe around pool area early morning . room large well - appoint . gripe bath take age drain water shower . breakfast buffet hotel restaurant good / varied fruit plate huge . price par place breakfast holiday . room quiet , however think occupancy level pretty low . guest hotel predominantly young crowd we - be late 30 . 
