horrible 	 elevator work , homeless use restroom , prostitute , go nightclub get room , different bed one room , dirty carpet , radio hair dryer roomsave money go somewgere else 
 Oct 30 2009 	 steal ! 	 could not believe room see . stay deluxe suite slightly expensive per night regular room . huge beautifully decorate , course , brand new . full kitchen complete stove , table chair everything might need kitchen ( blender , cut board , etc . ) . not use kitchen , stay long would great place save money . sit area couch flat screen tv , large bedroom , huge bathroom tile glass shower two shower head , even separate second bathroom toilet another shower tub ( great kid , bring ) . ton space everything tastefully decorate art deco . even washer dryer room long stay . fitness center huge top notch , be nice indoor pool pool bar . parking plentiful free , be 15 minute walk strip , shuttle run occasionally ( rent car ) . thrilled stumble upon place get great suite small price . 
 Oct 25 2009 	 great trip girl ! 	 sister go trip Las Vegas . great time . stay Bluegreen Club 36 . nice place employee sweet helpful . stay 3 night 4 day . one thing would recommend everyone going go , either plan spending least week able see Las Vegas offer . enough time although see alot . also would recommend rent car take advantage Duece Double Decker bus take back forth strip . save alot time headache find parking . also may want plan day . would save we alot time might got see . Las Vegas really alot see . really pleased vacation . 
 Sep 22 2009 	 Perfect Getaway 	 place amazing , people rate Hotel mistaken . 's . Bluegreen ownership , sort timeshare . make room stay house room . would know owner . hotel order room service maid service come everyday . room like condo 's everything need . want maid service call bother not want . recently injure trip suppose put weight knee long period time , call housekeeping request shower chair within minute . delicious wood - burn pizza place right next door , bagel joint , soon open hamburger place within ten foot , exercise facility , library rent movie games kid , internet not work room load internet ready computer time . indoor pool hot summer , expect pool outside one want go water get hot sun , indoor pool well . much kid hotel besides pool , game , Vegas ! want stay inside whole time , get , go . place know still develop around , trust be do incredible need strip . people judge place 's still build opening ? silly . 
 Aug 27 2009 	 fabulous ! 	 family decide head vegas last minute . call cheaproom , customer service rep friendly , patient , helpful . insist stay hotel perfect size guest . ( 5 adult , 2 child - age 14 & amp ; 10 ) book vegas . arrive take back size room , nice & amp ; clean room , decide even stay extra night . stay 2 bedroom suite . omg perfect , adjoining deluxe standard room . room 1 king size bed , 1 queen full size pull , ( that s 4 bed total , 2 room ) 's total 3 bathroom ( deluxe room walk shower & lt ; 3 ) , refrigerator , oven , micro , dishwasher , utensil , washer / dryer , flatscreen , cd player , cool decor . parking free , pool area door beautiful , father , brother & amp ; , hubby love gym , staff super friendly , close LV strip ( 1 mile away ) . walk distance , do not like walk heat , sweat easily do not want look mess beautiful city vegas ; ) would look forward stay . highly recommend hotel , family , friend , couple get away . oh ' ve see pic penthouse suite .. would love stay , hear reserve way advance though . 
 Jul 18 2009 	 overall nice stay 	 recently stay Bluegreen Club 36 family vacation . book saveonresorts.com Tahiti Village . pay stay , advise T.V . file bankruptcy offer stay Bluegreen . despite doubt resort , book anyway . place nice . especially love stand shower . highlight stay . one problem stay kid friendly . meaning , much kid . indoor pool area hot humid inside . kinda wish would stay Tahiti Village instead kid could enjoy . timeshare presentation suppose 90 - 120minutes end last 2 - 1/2 hour high pressure . would recommend resort couple kid . 
 Jul 2 2009 	 great price ! ! friendly staff service 	 stay week attend 90 minute promo vacation club , fun . full kitchen help we save money not eat meal . would definately go ! clean room courteous staff ! ! ! ! ! 
 May 17 2009 	 nice PLACE 	 get 2 bedroom pleasantly surprised find 2 hotel room join together . expect 2 bedroom one room . great . PROBLEMS noise airport , not even hear room shake . go August . close strip , area develop , much else yet . check , not take anyone else opinion people expect much . problem washer / dryer one room come fix , little slow do , month old kink expect . nothing PERFECT . 
 May 7 2009 	 place bad news 	 upon check - in , ask wireless internet access . give set instruction small piece xerox paper . Got room , could get online . make long story short spend next two hour go back forth front desk offsite internet tech provider try get wireless work . right hand know leave . finally walk lobby get online go business . promise would fix return . get back fix . finally move room next morning get room access . type & quot ; non - service & quot ; typical property . 's run amateur , restaurant , room service , place still finish , work man around , almost empty , good reason . small indoor pool 's amenity place . room spacious nice 's weird , tacky place go . oh yeah , be right next aiport every ten minute place shake roar jet pass right overhead . 
 Apr 22 2009 	 great new hotel great convenience well 	 Bluegreen owner place brand spank new idea . wonderful . room well expect . walk shower . nice kitchen , amenity . except free WiFi . facility part group support business nice walk distance plenty parking . staff excellent facility exceptional back . 
 Apr 18 2009 	 Great Place Perfect Family ! 	 great place stay . stay April 16 , 09 thru April 18 , 09 ; be look Las Vegas experience without smoke & amp ; casino 's , great . room spacious , clean amenity home . 2 - bedroom villa great . staff great & amp ; helpful .. although location right strip 's close enough still part Las Vegas sceen . airport also near hardly notice noise unless outside . view window great mountain well strip . cab bus available , however , rental car make even well . Park several casino 's strip never pay parking . we will definetly go back stay Club 36 . 
 Apr 4 2009 	 enjoyable stay Club 36 	 check quick efficient . room clean roomy . shower wonderful . kitchen well quip furniture comfortable . review state , property strip . however short drive MGM strip hotels free Valet parking available . 's little trouble , certainly managable . front desk also gladly call cab arrive matter minute . positive side , travel smokey casino access room would hotel locate strip . yes , property near airport yes hear plane disturb . nice extra room offer condo VS hotel room . purchase food able eat breakfast condo morning . washer dryer added bonus . laundry half way trip , allow we pack light . overall positive experience Club 36 certainly return . 
 Mar 4 2009 	 excellent value fully equip room 	 pleasantly surprised hotel . 2nd floor , hear jet noise . love exercise room , state art lot equipment . pool great bar sell snack . game room great sundeck nice . subway , bagel shop , beverage store premise . room two flat screen tv two alarm clock ( one bedroom , one living area ) . washer dryer , small stove , convection / microwave , coffee pot , apartment size refrigerator , kitchen appliances/ cookware could need . we like fact pay arm leg internet access . ether net hook room bring cable - free access . we like pass way door unit allow noise transfer tenant . staff new yet train . they make king - size bed , take trash , bring fresh towel . leave towel floor get new one . it 18 - 22 min walk strip . recommend drive park MGM . shuttle use it . because construction , 's little irksome get main road . suggest study carefully avoid frustration . find another room amenity price . 
