leave 	 wife leave , find hotel stay renact movie & quot ; leave Las Vegas & quot ; . use one favorite place downtown , 4 year since last go downhill . seem like owner contemplate sellie land tear , strip alot unique feature place away . notice thing 's sister property , Plaza . room dirt cheap , cheap downtown . stay downtown property ( freemont street ) year , bad . room date dirty . back area casino convert makeshift R & amp ; B Club . sport book anymore semi - famous restaraunt second floor . asian theme restaurant coffee bar , be . well choice fremont street . Fremont street , free entertainment offer stay well see . 
 Nov 13 2009 	 price right be budget 	 stay one night everything high Saturday , cheap room night ( $ 69 North tower deluxe ) .We one check 1 , give we $ 20 free slot play join player 's club , wait 40 minute line 5 people ahead we , decide join club . lobby , walk bar PACKED people concert go . way go hundred people get elevator . the room actually large course everyone say , dirty , even north tower room . , expect read review not plan stay hour . feel get good deal money , would not stay hotel unless absolutely choice . case , hotel book charge $ 169 Saturday could book standard room Vegas Club $ 49 day upgrade deluxe . 
 Nov 6 2009 	 great price 	 spend 2 night . room clean , water hot , bed comfortable - ask need put head , place change shower . never stay Freemont Street . great - watch music show , street painter expertise spray paint can amazing band playing stage enclose street . food price nearby Buffet excellent . I would stay . 
 Nov 3 2009 	 avoid South Tower room 	 budget downtown hotel well other , place one other well ... book room North Tower ( know anything North Tower new South Tower ) , wait hour check ( 4 people ahead - idea take long ) say South Tower room leave . not stay , say fine . room among shabbiest ever stay . really pretty beat beyond need overhaul . however , price really can not expect much , need place sleep keep stuff , might ok . pay similar rate Binion 's Fitz get much nice room . ' m sure North Tower room much nicer - certainly hope . room pretty large , though - much large other downtown budget hotel . wish downtown place would put mini - fridge room - 's ample space - room king bed could easily fit second king bed would still spacious . hotel free parking guest gambler alike - stay never park ticket retrieve anyone take money , be popular parking since apparently anyone park never pay - - mean self - parking nearly impossible weekend - use free valet instead , plan circle around ramp while . I also stay Fitz ( Fitzgerald 's ) vacation even though elevator still incredibly slow , recommend rate similar - comparable price amenetie Fitz nicer . binion be . sometimes rate strangely high - see price high Hilton , Stratosphere etc , really sure ... always stay downtown day end pick cheap place Fremont - time wish have opt Binion 's Fitz instead try new place . ps : charge WiFi room , get free signal lobby . 
 Oct 29 2009 	 never ever ! ! ! 	 stay downtown Vegas thought would try Vegas Club . read review hope well even bad thought would be - you really get pay . Booked North Tower deluxe room get , would hate see rest room . give Rm . 518 disgusting - filthy , dirty , stain carpeting , lot hair mold bathroom , bedspread new maybe 20 year ago , cigarette burn carpet , corner not vacuum long time reeked cigarette smoke . people floor loudly party least 5 a.m. not get much sleep . could not walk around without shoe certainly not consider put clothe closet drawer . went ask different room tell would wait next day one available . front desk staff unfriendly could not care less concern . leave right away next morning ( even though pre - pay room another 3 day ) go Golden Nugget wonderful . never stay tell everyone possibly stay either ! ! ! 
 Oct 5 2009 	 Glad stay ! 	 pay $ 48 Saturday night room fine . Carpet indeed , dirty wear sock . bed comfortable clean . Bathroom newly remodel clean . room large . can not beat price location . stay sure . 
 oct 2 2009 	 good value 	 read reviews Trip advisor , reserve room North Tower . disappointed . room huge . everything other offer , include refrigerator . even separate vanity bedroom area lady . the bed o.k ... nothing fancy clean . sleep fine . ask view fremont street get .... obstruct little , still could see go on . the thing would complain carpet .. DIRTy .... make sure keep sock shoe . bathroom clean ... caulk around tub , little broken .. nothing serious . casino pretty empty ... pretty sad see whole Vegas area go hill . casino Fremont street tight .... usually o.k . . time . $ 100 drain ... fast ... quit gambling . I ' ve pay $ 50 - $ 60 night chain motel , not get value room give . one night fine . 
 oct 2 2009 	 good place shower sleep 	 room originally suppose south tower , ask could north tower , problem . room clean , ( although carpet old room ) housekeeping come everyday clean room , make bed bring clean towel , complimentary soap , lotion etc . enjoyable stay , staff great , first night bathroom sink slow , next morning husband tell front desk someone go take care right away . pillow bed really deflate , ask extra pillow okay . enjoy music group playing weekend Vegas club , great entertainment Freemont Street well . thoroughly enjoy stay Fremont street , always something go , walk casino casino , load fun . stay get great deal price like time . 
 Sep 22 2009 	 dirty 	 disappointing room . book North Tower tell new pay extra . tell new would hate see South Tower look like . carpet dirty even edge carpet along corner dirty , bed sheet old comforter torne , remake bed trip bed frame stick husband fix . keep room poor Lobby area ugly look , even real place business center computer use corner lobby area . front desk staff nice friendly time call answer . 
 Aug 20 2009 	 Downtown kick strip 's * * * ! 	 first let say go Las Vegas spend time room not stay old hotel downtown . say , go Vegas experience Las Vegas surround attraction shower sleep Las Vegas Club hell time . room 5 star get clean bed comfortable . staff nice get ton comp . also , nothing cool Freemont Street Experience . well like hear room 2 morning . stay entire week could happy price . pay less $ 200 week able get right bounce casino casino nab cheap drink cheap food along way . incredibly cheap shop kind goody along way . easy get around figure i-15 avoid strip . hotel honeymooner rich fat cat guy trying take daughter vacation get money perfect . definitely go back . also , first class meal restaurant locate hotel , Tinoco 's , incredible . good Chilean Sea Bass ever . restaurant measure place eat Vegas far strictly cuisine . 
 Aug 15 2009 	 great price sufficient lodge poor bathroom maintenance ... 	 total $ 45 taxis fee complain expect much term luxury low amount money , however , upon stay Vegas Hotel & amp ; Casino , must say stay would superb much trouble bathroom hotel . unfortunately , since hotel stand long , maintenance not seem 's top priority come plumbing . misfortune staying room whose plumbing standard . shower may ' clean ' say least , surround water dirt ' ve wash body shower take 30 minute drain extremely sicken . sicken almost go shower strike would not stand tub fill filthy shower water . even go far request repair man come room Draino unclog pipe -- show put chemical drain , do vain since not help problem . outside shower misfortune , stay hotel pleasant . bed comfy , parking free , room reek cigarette smoke . also , despite stay right Freemont Street Experience , not problem go sleep night due crowd people . hotel would fix plumbing problem ' m sure would ' ve get 3.5 star . 
 Aug 4 2009 	 Never 	 husband come Vegas every year anniversary . usually stay Plaza want try something different since sister Plaza think would give try . well , bad trip 10 year . room not bad open door ( smile ) , top dresser pull . linoleum look like someone take wreck crew tell ball . wallpaper bathroom flap wind , peel way floor . bath tub would drain husband fit time re - entered room . bring attention front desk staff avail . help ever . make we feel like matter . take picture dresser top wallpaper , send corp office receive call compensation inconvience stay . get ready reserve anniversary trip year will not Vegas Club unless offer suite charge . ( will not happen ) 
 Jul 28 2009 	 bad $ 33 weekend rate 	 's ok . need place sleep night hotel serve purpose . picky grudgy person , hotel may . issue find follow : want non - smoking room get smoking room , bit smell ok we . open window . carpet one corner room wet , not . a / c bit cold . there Bugs insect . bottom line good night sleep good shower be need . 
 Jul 23 2009 	 bad hotel experience ever 	 room filthy , carpet full stain , room smell like sewage smoke , furniture old , dirty really shabby ( not even want touch furniture fear health hazard ) , sink clog , commode clogged.there one elevator work South tower . hotel appear horror movie , hallway dim scary . staff RUDE housekeeping Receptionist desk . nobody help carry luggage cart use bring luggage ypur room . WORSE HOTEL ' ve ever ..... almost RUINED vacation . 
 Jul 23 2009 	 Service smile . room two tower totally different . 	 room two tower totally different . north tower open 1996 huge room . get suite 15 - large many apartment floor ceiling window . hot tub right bedroom . great place stay New Year 's Eve get side face Strip . the south tower around forever . room decent large north - much date style . fine option price though , location great like circus atmosphere downtown night overhead light show go live band play weekend . we & quot ; regulars & quot ; tell - stay June , choose stay birthday July - go back Aug. feel like home . staff friendly , casino odd way well Strip - though miss Great Moments Room , Tinoco 's serve good food good service . use large pool across street sister property , Plaza . this place well worth try not need luxury Strip want good time . book fantastic R & amp ; b group weekend place pack come downtown old style Vegas ! 
 Jul 19 2009 	 around bad . dirty room . take care . 	 I d never stay . room dirty . mattress wear , sagged part people lay . find stain carpet even towel . find hair shower . lamp do not work . button elevator do not light could not tell go right floor . straw break camel back go cash player club card say nothing ! ! ! do not ever really use player card figure since be not high end casino could get lot . drop least $ 1000 card . said & quot ; well maybe next cell phone get erase , sorry can not anything & quot ; please not keep card magnetic strip near cell phone anymore . 
 Jun 29 2009 	 Good Lowntown Las Vegas Option 	 be cheap , not fancy , want decent hotel room Downtown Vegas great rate , solid Choice . room north tower , large , clean basic . problem whatsoever , location perfect jumping point night Downtown Las Vegas . want fancy , not bother , want decent room reasonable price , good option . 
 Jun 20 2009 	 well pleased suprise good atmosphere staff 	 stay 02 june six night 12th till 16th june.great value , stay south tower room spacious clean every thing work , maid service good.no noise adjoin rooms.staff polite good humour relaxed feel place , do not gamble much relly casino seem quite good much face pressure gamble.when check first stay pleased room ask return 4 day could room back staff duly arrange problem.car parking problem even busy weekend sign park resident only.also park free providing exchange $ 5 parking ticket within 24 hour refund casino cage cash.you pay park $ 5 come go one ticket 24 hour cash start again.the lady parking kiosk smiley helpful.tinokos restaurant good breakfast good friendly staff food good value.my wife lose ankle bracelet somewhere outside street thought.only turn bedside drawer find maid presumably bed ( honesty ) ! review tell different story tell find .very pleased aspect stay sorry say gripes.would recomend hotel also english get use staff think australian , good fun . 
