great 	 Mandalay Bay beautiful property extremely well - maintain . clean , & quot ; standard & quot ; room large well appoint find employee friendly service excellent . for we one drawback like european - style soft pillow top mattress bed , will happy bed . prefer firm old - style hotel mattress back support . none bed board provide thin help . let provide thought several subject : eat Fleur de Lys , Aureole , Rick Moonen 's RM Seafood Border Grill , along one brunch buffet one lunch buffet . first 3 restaurant outstanding well know chef behind . case Rick Moonen , live Vegas on - site often . think Fleur de Lys absolutely outstanding would rate Rick Moonen 's # 2 first 3 high - end gourmet restaurant . expensive worth . Border Grill excellent mexican restaurant actually get healthy mexican item . try turkey Tostada , instance , delicious healthy not eat shell . portion big gound thing get excellent . we think buffet great , especially consider price much high say Mirage Treasure Island . find many item buffet prepared manner deteriorate fairly quickly sit buffet . item , like flank steak instance , top quality . would try somewhere else . if want save one meal day good alternative food court locate walkway Mandalay Bay Luxor Excalibar Casinos . several franchise operation include Quiznos Subs normal franchise price . go back Casino upstairs Mandalay Place will find walkway . many comment location Mandalay Bay find negative . seem much quieter weekend ( althought obviously busy ) & quot ; zoo & quot ; like would consider Mirage , instance . also free tram Mandalay Bay Luxor , Excalibar MGM run back forth not wait long one . get MGM near center strip less mile walk Mirage would consider close end main strip hotel . significant negative we Vegas fact way behind curve term smoke regulation . still permit smoking casino sportsbook . week 's busy bad weekend casino particularly busy smell smoke everywhere go . can not escape can not sit game casino sportsbook without probability smoker sit near make bad . & quot ; smoking & quot ; area casino big drawback we ... fact , drawback may return Vegas finally leap 20th century ban smoke casino . 
 second home 	 everything great alot trouble Business Center hotell 
 Nice Hotel shame unfriendly unhelpful staff . 	 room nice bed comfortable . room service staff bellboy friendly professional . as come Las Vegas get marry , least five message send hotel we , recieve none , Reception tell we , job pass message ' . also treat good friend indifference try order pay bottle Champayne go room . on day wedding , go Spa makeup do , tell , ' we do not bridal make - up hotel ' . faced make - up ' most important day life ' , go Hair Salon get hair do anyway . offer Birdal Make - up service . surely spa staff know Salon tell ? salon staff friendly , helpful professional . on check - out ask use day room , tell expect pay another $ 30 use Spa day , receptionist tell we ' no hotel stay day room ' . first hotel ever stay offer use day room . 
 enjoy first time Mandalay Bay 	 stay Mandalay Bay 3 night . normally stay less expensive casino buy 2 night get 1 free special make within budget . reserve least expensive room low floor receive room 30th floor strip view ! eat Runjungle Rodizio eat brazilian barbecue . really like would eat . also eat House Blues breakfast . go back next day get 2 1 . room nice ipod alarm clock big tv 's . bathroom big tv watch tub double sink . wide variety slot $ 10 min crap table 6 table go time . would stay ! 
 's 5/5 	 stay Mandalay Bay four night mid - November , celebrate birthday . overall , like hotel would probably stay . check fast easy ; Monday , weekend crowd . check - out also easy , long line Friday , UFC championship event take place follow day . express check - out available roon tv , must use credit card . use credit card check - in , actually pay cash via debit card check - out , use desk . service friendly informative . bell service also fast , friendly helpful . bellman call housekeep we take care of:1 . pillows2 . Mildew shower stall ( take care regular maintenance ) 3 . door toilet stall rehinge . these item accomplish quickly . the room large , bathroom . overall , clean keep way . read light bed not work engineer could not fix . instruction price list mini - bar ( although ask one ) , careful . 's expensive , mini - bar always . : be get sensor , pick something take something fridge , charge room within 30 second . food hotel terrific ! eat Lupo , StripSteak , Raffles , China Grill & amp ; room service , excellent . mix : premier restaurant locate top thehotel extremely pricey . bad experience . drink check view . soon see host stand walk restaurant bar , least six man dark suit nothing food prep service . eye we suspiciously . seem bouncer . music bar blasting ( could heard dining room ) . order two drink , go onto terrace check much - ballyhooed view . come back bar , half drink go . stem glass sticky . next glass $ 3 cash - , charge drink room . obviously , someone drunk glass . bartender skeptical , feel sticky glass see money , make fresh drink . ' m glad press point ; cabbie take we airport tell we 's serious problem & quot ; date rape & quot ; drug drink , make sure keep hand time . the casino clean , plenty machine & amp ; table , good drink service . ground lush lovely . beach amazing . we see Lion King wonderful . ticket agent helpful ; knee problem suggest ADA seat , perfect . overall , good experience , recommend hotel would stay . 's end strip though . be look thick thing , 's . 
 Great Hotel 	 stay family 8 day attend conference . absolutely love ! room amenity great , fabulous view bed comfortable hate leave . everyone friendly front desk staff maid cleaner . see people clean hour day night , even dust cornice pillar . food expensive find case everywhere Las Vegas . love free internet kiosk confirm flight print boarding pass . would return hotel . quiet - hear noise adjoining room not bad . 
 beware hotel commit fraud 	 stay Mandalay Bay ( stay 20 hotel 3 month every year ) August go check hotel apply total mini bar account ( hundred dollar ) . use mini bar call front desk take 40 min answer . apologized say could check tv system mini bar bill would removed ( straight lie ) action require part . go Canada cruise Alaska return check Mastercard surprise total bill include mini bar , immediately contact Mandalay Bay apologize say credit already process would account 14 day ( straight lie ) . rechecke back Australia mini bar bill still credit card contact bank submit contest . bank contact Mandalay bay simply send hotel bill never sign agree say charge ( dishonest say least ) . start fraud investigation Mastercard waste time . say stay many hotel every year never issue Mandalay Bay either incompetent straight Fraudsters . would never allow anyone know stay dishonest establishment . 
 ABSOLUTLEY FABULOUS HOTEL . TOP CLASS . 	 hotel epitome class . room see believe , service outstanding food unreal . stay 3 day trip impress cancel trip phoenix go back 4 day later . be return july 2010 . can not wait . 
 Nov 23 2009 	 fantastic place stay warn 's conference .... 	 appal start check - in actually finished really like hotel would absolutely recommend . 2 child without doubt 's good Vegas strip hotel - not hesitate , stay ! even without would still stay - 's overrun child . ( Vegas maybe not good place child experience ! ) good ..... room : fantastic , clean , quiet ( good Vegas $ $ ) - move strip - view next day follow check - in nightmare- Strip view well worth it- Bathroom huge , bed comfortable- beware snack tray - move pay ( notice charge back home account refunded charge problem even though several day later , thank ! ) food : Great generally area- Bayside Buffet - large choice , high quality , good service , window could see outside ( unusual Vegas ) - Raffles - great food great friendly service- Red - windows outside world food great , good servicepool : Great- Lazy river - hilarious ! take tube save $ 's , inflate free tube rental kiosk- wave pool - fun , could handle odd rule could could not stand watch white ' putty ' use pool base get swim wear- Attendants ( apart lazy river kiosk ) unfriendly unwelcome , need smile- go - last 2 hour day , half emptycasino : good- Unusually Vegas , easy find way around- Minimal smoke- comp drink provide quickly smileparking : Valet great free- Phone ahead car ready get get bottle water free ( nice touch heat ) location : Great- child perfect- take cab ask ' quick ' way , i.e . strip ( $ 10 - $ 12 cab fare Paris example ) - child use cab good way avoid ' card flicker ' part stripelevator : mostly fine- conference kick , forget use service elevator ! otherwise , never issuelost wallet : hotel reaction good- one party lose wallet , another guest find handed - traumatic experience honesty guest hotel service outstanding . thank ! bad ..... check - in : not expect get booked- despite confirm phone twice strip view room 2 double book available . reason - mandalay Bay subsequently take conference booking give double conference ! - check - in manager bother could not care less , suggest one child could sleep floor 3 king bed ! quite clear 's conference not count . one several issue . 
 Nov 20 2009 	 Sand Beach - city ! ! ! ! ! 	 resort know treat value guest . least expensive hotel strip perhaps 's make comfortable . look moment cab arrive til time leave everyone pleasant polite . the staff second none . one ( many ) pool real sand beach . great touch city concrete . stay would recommend anyone . 
 Nov 20 2009 	 Aware ... thief House 	 visit Mandalay Hotel Las Vegas Nevada see & quot ; Beauty Beast & quot ; show . park truck get show good left show come truck , screen stereo steal ... door window lock , spoked security guard say nothing , course tape show truck open stole information thing ... want steal Park Mandalay Hotel , specialist ! ! ! 
 Nov 17 2009 	 bad could well 	 overall stay good , pool nice , spa nice change room twice , first room dirty second room window seal break wistle noise . hope upgrade inconveinence luck give we food credit . nice hotel would stay could ' ve accomodate trouble 
 Nov 15 2009 	 can not beat pool 	 Chose hotel totally base wave pool lazy river . great decision . water warm , lazy river relax . negative can not rent inner tube , buy . room nice tub deep could really relax watch tv . huge party go hall we finally break call security upstairs ten minute . nicely tell not register room leave ten minute later quiet . enjoy Starbuck 's hotel buffet 's early lunch late dinner . food great Mandalay Bay 's buffet 's set well station cause long line get food . 
 Nov 15 2009 	 Great Hotel 	 stay three night Microsoft conference husband daughter love hotel . room 17th floor overlook strip , view beautiful . view available check ( not arrive 8 pm ) put we room back ( still nice view , strip ) give we room 10 am next morning . accomodate everything ask , would definitely stay . great bathroom ! pool area nice , gym / spa excellent . 5pm time see elevator busy , line move quickly . love breakfast House Blues ( use BOGO coupon LV book front desk ) care RumJungle dinner ( get all - u - can - eat meat buffet ) . location away main part strip , take $ 15 cab ride 45 minute public bus get busy part strip , hotel nice , be worth . 
 Nov 15 2009 	 enjoy Stay 	 return 5 night Mandalay Bay . beautiful large resort . use pool facility enjoy tropical feel . runner ¼ mile loop around pool facility get bit boring loop . enjoyed go morning run strip instead change scenery plus get extra workout run stair cross street . lot runner morning strip . room lovely large . 25th floor face strip . could lie bed look window right strip . bed die ! pillow top extra feather bed ( polyfill ) incredible soft sheet . find room pretty quiet large bathroom separate hallway sleep area . coffee maker room gather typical strip hotel . large soaker tub separate show pebble floor double sink . tv bathroom situate allow watch tv soak tub . bath towel old fluffy . tip : good deal two one breakfast coupon find one Vegas magazine House Blues . little book ( believe call 24/7 ) everywhere even back taxi . breakfast good ' beat price $ 20 2 breakfast , two coffee tip . 
 Nov 15 2009 	 Appalled Housekeeping 	 Vegas not exactly place child , realize , daughter love Lion King , decide take trip solely purpose see show since NYC broadway trip budget . hear show Mandalay great , prove right . show great although seat break recline rest seat row , sit edge chair first half show . switch seat intermission , daughter sit lap , much comfortable . as hotel , Mandalay Bay beautiful resort ! wonderful pool ( although bit chilly visit due season ) . Buffet decent although nothing remember . Wynn buffet well seek worthwhile buffet . now disappointment . seem though hotel understaffed staff decide cut corner . second day , notice return room early evening clean , call housekeeping . leave dinner , notice room clean promptly upon return . problem . third day , notice day premium outlet , clean room , suspect since bed make . not pay much attention . go evening show Lion King , return room around 10 pm . usual , always place towel wish replace bathroom floor pile indicate housekeeping need replace . get ready bed washing , pull towel think new since freshly roll place shelf double vanity , notice black mascara stain . appal realize towel use yesterday ! dry face night , noticed mascara thoroughly remove mascara . place hand towel along bath towel floor . start examine towel . also recognize hot chocolate stain one towel use clean spill daughter make . examine bedding . night daughter spill hot chocolate corner sheet . still . obvious housekeeping pick towel leave floor instead replace , fold roll handtowel place back bathroom . Ugh ! make wonder else actually clean . I immediately call front desk transfer speak manager . promptly send housekeeping late evening clean room replace towel . housekeeping staff send tend matter sympathetic apologetic . manager assure would investigate matter . however , never hear staff manager rest stay . needless say , never expect experience type problem resort merit reputation . first stay Mandalay , leave sorely disappointed . 
 Nov 14 2009 	 fairness nice hotel - Shame town . 	 stay six night group friend October . hotel lovely room end facility . see strip lose money ; table countless thousand mind numb slot machine , try trip Hoover Dam interesting carry Willow Creek mile downriver dam , hire speed boat day . fantastic stuff . also get chance helicopter trip Vegas Grand Canyon , , absolutely terrific . avoid porn seller street take tour bus interesting , seem food Las Vegas good , irresspective much pay . 
 Nov 13 2009 	 elegant 	 first stay Mandalay Bay . quite elegant service great . not problem . Room clean everyday . would stay . nice bar , expensive . 
 Nov 11 2009 	 great time perfect ... 	 friend stay Mandalay Bay short week . room clean , decent sized , great view . Plasma tv wall cool . pull laptop thinking would catch email hit casino . whoa .... $ 15 24 hour ? kind hotel day not offer free wifi ? especially one caliber ? anyway , rest experience good . food great , casino clean except smoke . sign confuse , eventually get everything figure . housekeeping could use work . come make bed provide fresh towel , leave empty soap box shower , big deal though . 
 Nov 11 2009 	 always want stay . enough 	 Mandalay Bay always ' list ' hotel try Vegas . my friend get great package deal go past May long weekend . the pool area definitely worth hype , get early , weekend crazy . lazy river blast . ' overflow ' pool one parking lot actually nice crowd reason , 's main drag . the location hotel make feel kindof isolate rest strip . go far Caesar 's one night . room decent , ' ve stay large Vegas hotel noise hallway well filter . also , need elevator . high floor , impact .. would time would stop floor go people could get elevator already pack . 
 Nov 9 2009 	 Sweet Suite ! 	 really nice resort . aunt know someone work get & quot ; upgrade & quot ; one suite . one good pool area strip . thing not really like location , close enough rest site . 
 Nov 8 2009 	 Love ! ! 	 acually trip 1999 apparently ' m old , date back far ! anyhow , love Mandalay Bay- every inch property beautiful employee awesome ! definitely recommend resort , especially be luxury & quot ; kids & quot ; type vacation ! go one year wedding anniversarry ultra romantic ! 
 Nov 7 2009 	 pool rock ! 	 quest stay every hotel Vegas ... ok , probably ' every ' one , noteworthy , Mandalay Bay rank , high . pool hand well find . wave pool , lazy river , abundance beach chair -I HIGHLY disagree previous poster this - the beverage service , real sand ! , music , general ambience . pool area always plenty space . room spacious , clean , tastefully decorate . slight complaint bed ; sag middle ; not affect sleep , lack thereof gambling night away , bit uncomfortable one be back . find staff friendly accomodate , valet , maid , check - in staff , etc . call housekeeping twice - phone book another time corkscrew . deliver item , quickly . bathroom spacious two sink , separate spa tub , walk - in shower . one wall floor ceiling window provide great view . give Mandalay Bay top mark pleasant stay . 
 Nov 6 2009 	 Great Pool good place see show Nice Casino 	 room nothing great . much well next door TheHotel . pool one good Vegas though . also see two great show House Blues locate inside Casino . casino big offer gambler . food average . location strip well . seem like central strip much offer . term great Vegas nightlife need go elsewhere . 
 Nov 6 2009 	 nice clean ... 	 stay hotel duration IBM IOD conference . the room spacius clean , customer service polite . for checkout opt express mode would recommend anyone . the hotel send receipt surprised see lot charge minibar , expect . 
 Nov 5 2009 	 excellent ... highly Recommend ! 	 Great Customer Service ! beautiful Decor ! amenity top - notch ! 
 Nov 3 2009 	 Great Experience Mandalay Bay 	 first time Vegas husband . try lot attraction drop dead tired end . always apoligize ahead time length post . know appreciate detail , usually try give . arrival : use shuttle airport drop low level ( beach ) hotel . 's quick ride elevator escalator main hallway reception be . General Layout : hotel little confusing 's layout , wander strip hotel complex , unique . provide map useful especially begin . check - in : breeze ! arrive hotel mid - morning check right room without hassle problem . room : assume low level room ( 550 ; Room 28 - 208 ) book Southwest Vacations , room lovely ! decent size room king bed , couch / chair , table , nightstand , dresser . nice feature room include Ipod docking station / alarm clock large flat screen tv . bathroom good sized separate shower bathtub . 2 sink , nice bath product , small flat - screen tv . toilet separate room / closet phone although use ! one mini - bar move something , will get charge beware . avoid cost problem . lot tv channel look like number pay - per - view option , not room much use . clean ! much nicer expect . casino : strip casino seem , ' m big gambler . lot light noise . not seem smoky ' m non - smoker . Waitresses casino seem top thing , necessarily friendly . pool : go beach / pool one day spend time lazy river . clean relax . go early morning open problem get chair want , fill relatively quickly far well seat / location . numerous pool area , lazy river wave pool seem crowded . tube available sale . restaurant : numerous choice restaurant , although eat breakfast hotel . eat raffle two day . specialty item yummy large portion . try daily lemonade delicious ! rest menu look intriguing well . third day eat coffee bar low level . not impressed - bagel danish kind stale . overprice get . check - out : wait till check - out time , like , wait . another fairly lengthy wait bag hold , fly Vegas evening . prepared time - wise . aquarium : visit aquarium Mandalay Bay . omaha zoo one top nation , include aquarium , interesting , perhaps intrigue we guest . pretty pricey . free Monorail : free monorail run Mandalay Bay Excaliber . save fair amount walk get one major corner strip . beware close midnight ( 6 am ? ) . Business Center : business center like closet couple computer printer . course pay use . order print boarding pass . think 's WiFi room extra charge , not quote ! Misc . Las Vegas Tips : carry lot one dollar bill tip waitress get free drink . know people not , $ 1 drink still lot cheap $ 7 one bar . wear comfortable shoe will lot walk . save cute one show . two buffet - Bellagio ( good , not like seafood lot stuff waste ) Paris ( love one especially French inspire item like crepe , creme brulee , etc . ) pick show despite cost - see Blue Man Group amazing ! ! Hoover Dam ( express tour - 4.5 hour long ) worth see life ! 's month since many detail forget , feel free contact want specific info ! 
