great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Nov 24 2009 	 good experience Mirage 	 frequent visitor Vegas decide try Mirage time around . location ideal visit many major hotel 's close & quot ; middle & quot ; strip . free tram Treasure Island also plus . check - in quick efficient , overall service staff excellent . difficulty get non - smoking room please newly renovate room . main area large , bathroom small Vegas standard . shower / tub combination roomy curve shower curtain bar , showerhead bit date . modern touch room nice , get overall impression cheap material use construction compare Vegas hotel ' ve visit . bed comfortable flatscreen tv nice , include hd channel . the soundproof room not good , could hear quite bit activity hallway . Maid service good overall , without special touch . we like fact casino small other manageable far get around stay orient . far food , buffet ( Cravings ) breakfast couple day , average , Carnegie Deli good huge sandwich , take - out window . the Mirage good option anyone stay Vegas . aside , able rent mobility scooter hotel special need . 
 Nov 23 2009 	 Fine stay Bellagio ... standard high 	 mod style room fine , litterally stay Bellagio 4 night , see bathroom ... letdown . try check early , accomdate . 16th floor room ... look Cesaers . miss quieter casino ... less smoke Bellagio ... overall , Mirage fine- Bellagio . 
 Nov 22 2009 	 Good Location Nice Rooms 	 plan make trip Vegas around Halloween search decent room good price . search decide stay Mirage $ 90 / not include weekend . the casino quite busy arrive . arrive 1:00 pm happy see room ready . need two room , could not get connect room , manage one room we . bit trek front desk elevator , get use end trip . the room quite nice , decor quite modern definitely see renovated room . bed quite comfortable plenty drawer space clothe . check tv surprised HDTV 's actually hd channel . not watch much tv , none less nice surprise consider hotel not HD Channels . washrooms average size . one sink adequate room side toiletry bring . soap shampoo provide Gilcrest & amp ; Soames . nice scent replace daily . there also room safe bar fridge room . safe fit laptop one , put 's side , careful open . bar fridge quite stocked usual drink food ( price normal ) along product include cosmetic , shaving need even condom . the staff friendly whenever encounter room always clean come back room . opportunity , definitely try catch LOVE . manage get ticket 50 % promotion weekend catch show Halloween . one good show see Vegas quite time . location wise , perfect nice hub walk casino shop Strip . hop strip Halloween costume quite plentiful ( include ) . oriental Elvis , happened spot I . the slot Casino not great beginning stay , last day manage recoup almost loss . nice leave $ 20 pocket end stay . we one meal Casino final morning Buffet . little well breakfast buffet ' ve past . price food general restaurant appear ride high side medium , not appear super expensive . overall , quite enjoy stay definitely consider come back . not want feel entitle like people feel treat staff smile polite , always reciprocate . work feel quite welcome . 
 Nov 21 2009 	 Loved Mirage 	 rate Mirage competitive luxury receiving ! room newly renovate modern , sexy vibe . conveniently locate mid - Strip , great view entire Strip . staff friendly informative , although stand long line check . great pool area ! 
 Nov 20 2009 	 Excellent locationvery helpful staff fantastic view Strip mountain bedroom . 	 arrive 11/11/09 quick easy check in.iaske chance grade room view Strip , problem girl desk rang housekeeping see certain ready , .so room 16th floor look volcano strip Fantastic .We couple meal Cravings buffet resturant also deli complaint food service either . we already book ticket acouple day trip something call Power Pass get lot attraction free reduced rate , find well worth money , buy line go .We fly direct Manchester LV Thomas Cook , good flight friendly helpful cabin crew . seat premium cabin nice roomy , problem meal { , vege } .The whole holiday unforgetable start finish , I ve got start save go back , none distant future hope . 
 Nov 20 2009 	 Great Location 	 hotel excellent central location strip . ideal walk strip . strip view room overlook volcano , great watch ! room decent size 2 queen bed table 2 chair . bathroom however extremely smalll . decor modernised seem lack something . the pool nice although would like water bit warm ! decently price hotel though Vegas . would stay due location pool . 
 Nov 20 2009 	 nice little getaway 	 book hotel travel friend stay . moment drive valet time drive away staff throughout hotel casino friendly . room 9th floor overlook pool garden area . deluxe room recently re - do . clean bed comfortable . pillow little flat like still able sleep well . usual amenity soap , shampoo , conditioner , body lotion hair dryer ( one usual crappy white hotel one either ) refrigerator room available $ 15 / day request . stock mini - bar find hard way much take item look will charge even put right back . front desk nice enough take bill . restaurant inside Mirage . one eat Carnegie Deli breakfast ( good food slow service ) Onda ( good italian food , pricey compare come average Vegas , service good ) friend eat California Pizza Kitchen BB King not hear complaint . little chilly time year not able enjoy pool although look nice . not go Secret Garden Dolphin Habitat 's white tiger . internet room not remember rate think much check e - mail least 's need . little business service center back near meet room print flight borde pass free . 's also computer room go on - line print charge . 's borde pass need free . mirage free parking free valet . find valet convienient . 's decent walk parking garage get back lobby hotel . tip valet $ 2 time . not drive much worth money . liquor store , drug store fast food joint pretty much every corner . forgot something would check Walgreens right across street buying hotel 's store . able walk public open container . Mirage pretty centrally locate & quot ; short & quot ; walk many popular resort . say & quot ; short & quot ; resort pretty vast size next place street could far look . definately wear comforatble shoe . far restaurant 's Mirage try . one good place eat Roy 's Hawaiian Fustion near Flamingo . great steak seafood also good desert . Grotto Golden Nugget good italian . nine Fine Irishmen New York , New York great belly fill food shepherd 's pie , burger , fish & amp ; chip . take tour Grand Canyon Sundance Helicopters . they pick drop hotel stretch limo . highly recommend champagne picnic tour . fly Hoover Dam Lake Mead land canyon picnic . great see landscape helicopter . way back fly Strip past resort . worth every penny . drive Red Rock Canyon one day . spot sandstone quarry climb top Calico Tanks see Las Vegas breath take view . drive canyon 20 min . hike / climb list moderate , however difficulty climb stair may trouble . otherwise be great . oh , one thought room ; door slam easily . make point slam door close wish around we would made effort . great time would highly recommend go Vegas whether enjoy gamble . not gamble one cent ' m already try figure go back . 
 Nov 19 2009 	 Nice hotel top enough 	 really enjoy stay mirage . room nice , clean , ammenitie expect . casino not nice Bellagio room much less expensive . great holel wander hotel , walk shop , get quick show . very friendly check - in check - out , bell staff helpful checking bag check . 
 Nov 19 2009 	 Comfy bed great atmosphere great location . 	 brother stay Halloween weekend 2009 . book volcano view room net decent price . get Las Vegas 9 am Thursday morning . hotel able get we right without moment hesitation . check room . quite large great view strip . bed like sleep cloud . bathroom clean . thing find couple stain top sheet . order room service delicious . beatle Cirque de Solei show also hotel . absolutely amazing . bar & quot ; Revolution & quot ; also fun trendy . downside hotel casino not nice . : - ) 
 Nov 18 2009 	 nice room excellent location 	 stay Mirage four night two friend end September . arrive noon check right away . room clean spacious . floor quiet also . pool awesome , fill quickly . can not beat location hotel . free tram TI Ventian directly across street . caesar also accessible . sure check volcano eruption outside Mirage night . awesome ! 
