great 	 balcony overlook Vegas strip ; room full - functional kitchen dish , appliance , etc . ; tub also jacuzzi , shower rain shower ; bed extremely comfortable ; staff friendly ; location great ; Ghostbar ; Little Buddha ( sushi place ) ; playboy club ; rain ; Moon ; everything spectacular ! 
 Nov 22 2009 	 good stay ever 	 Palms Place one good place ever stay . stay 1 bedroom condo must say condo exactly picture website . staff friendly spa absolutely wonderful . stay fine hotel strip place really give run money . 
 Nov 18 2009 	 poor service 	 90 minute wait room , despite show check time . fair enough , happen . front desk vague hotel 's amenity offering . get call room , go inquire surprisingly room free . offer bell service luggage , wait one hour 2 call desk , finally receive luggage . get 1 bedroom suite spacious well appoint . suppose vip pass club farce . pay VIP pass club , whereas Caeser 's big hotel , look guest free entry club . people attend club young trashy , sense style , dress wise dancing wise . could find type club anywhere outback AUS USA . pool quite small people lounge around drink can beer smoking pool . Yuck ! first time stay strip Vegas , will not . strip happen get well class guest big hotel . Disappointed Palms Place , lack service professionalism , seem run skeleton staff . 
 Nov 7 2009 	 like well Bellagio ! ! ! 	 stay Palms Place 2 night stay Bellagio 2 night like LOT well . room HUGE ! everything would ever want need . bathroom INCREDIBLE ! large jacuzzi tub shower . fully stock kitchen include dish , dish washer , garbage disposal , ice maker microwave . decor modern funky ! comfort home . balcony awesome great view . would definitely stay 
 Nov 3 2009 	 Fun place 5 star hotel 	 hotel really fun pool area , bar , casino , etc . room ok , nice place Vegas , keep clean . room ok , food . price also good . however , hotel not locate directly strip . take taxi be around everywhere anyways , not really problem we . other , could . restaurant ok satisfied room . fun weekend ! 
 Oct 30 2009 	 fabulous place ! 	 it´s fantastic place . room amazing 2 LDC tv front ( big ) bed . another LCD tv bathroom . watch tv relax bathtub . the view room fabulous . advice take high floor get nice view . the service perfect food great although expensive . it´s well eat outside hotel . the high tecnology hotel impressive elevator scalator connect casino hotel . it dream stay hotel . hope come back day . 
 Oct 26 2009 	 Prefer Signature Palms Place ok amazing 	 beautiful room facility , hotel staff good , professional . housekeeping remove food previous guest , bed make right , thing fall apart / not work , loud noise plumbing ( ? ) , hotel pool warm close early , charge $ 30 fee use sauna / gym , room service breakfast good take hour receive . would recommend base ambience place need little fine tuning would return . go , use self service parking sure ask concierge add guest list ghostbar 's worth visit ( go early bar open avoid crowd ) 
 oct 22 2009 	 Amazing Honeymoon never forget ! 	 spend 3 night Palms Place . email offer upgrade 1 bedroom suite , take advantage ' m glad ! ! amazing suite , huge ! two balcony . one look vegas strip , view amazing night ! everything room huge , bed , shower , sofa list go . forget JACUZZI BATH bedroom , could sit bath look view vegas - cool ! hotel modern , spa get complimentary use one morning . huge spa , amenity could need , free soft drink , juice tea too . all staff friendly . we ; get breakfast include stay get tunnel neighbour Palms hotel , buffee breakfast resonably price , eat ! pool area also lovely , lot cabanas , small bar , funky background music . the thing could fault get taxi 's strip . taxi 's vegas cheap . taxi driver take long way possible . also taxi 's will not drop anywhere , hotel 's . close Palms ballagio , ask taxi get strip . it great start honeymoon would definatley love stay ! 
 Oct 8 2009 	 Palms Place 	 go Vega twice per year pleasure . never stay palm admit , MGM . Palms Place casino premise cover walk Palms casino ( est . 5 minute ) . room spacious great view skyline . one reason right top another casino . pool small offer great service beautiful scenery . pool not crowd Sunday able stay cabana free charge day . great staff clean . 
 oct 8 2009 	 Great Hotel ... be young beautiful 	 Hotel full & quot ; beautiful & quot ; people . young , skinny , bikini clothe girl hang pool . room swank chic ... bathroom elegant , marble hot tub , glass enclose shower toilet area . flat screen bathroom ! watch tub . white comforter feel amazing balcony also nice . love fact living room area , complete sectional , glass coffee table . two huge flat screen room , kitchenette . room pretty much awesome . pool great , wish do not close early . hotel connect Palms hotel long walk way , access hotel ' restaurant casino . recommend use pool hang Palms . action . thing 's annoying charge $ 30 day use gym . would great want spend day use sauna , hot tub , etc . , want use elliptical 45 minute , practical . also , hotel main Vegas strip , alot happen palm .. will not feel loop . 
 Oct 8 2009 	 great time ... 	 great stay Palms Place ... would recomend anyone look great night life relaxation ! ! 
