poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 Nov 25 2009 	 Satisfied overall 	 great location strip . resort good size - small enough 's vast impersonal other strip , large enough offer wide variety restaurant activity . check - in long line somewhat slow service - could nightmare arrive peak time . employee encounter professional friendly . exception JJ 's Boulangerie - would recommend ! standard room well expect - bad price . even though not upgrade & quot ; Red Room , & quot ; big red stain across carpet . ' m choose believe fruit punch . bathroom great , separate glass shower . lot hallway noise - much would expect new building . this hotel typically price Luxor NYNY , would worth extra $ 10 - 15 per night close center strip . 
 Nov 24 2009 	 Viva Las Wegas 	 exciting , entertain fun - stomp great show , Eiffel Tower awesome french bakery & quot ; die & quot ; . 
 Nov 24 2009 	 good expect 	 maybe 's trip comp would even tho pay room upgrade ( get view Eiffel Tower ) room disappointment . peel paint , dirty door bathroom , shower head hang wall , dust cobwebs hanging wallpaper .... tend leave bad taste . Add & quot ; attitude & quot ; hostess first meal start get feel really not welcome . two day treatment take trip downtown Golden Nugget remind Vegas use stand , good service gracious host . next trip Vegas find we stay downtown area fun . 
 Nov 23 2009 	 beautiful yet frustrating honeymoon 	 new wife purchase wedding package 4 night honeymoon package Paris , Las Vegas . wedding unbelievably perfect would highly recommend experience anyone . honeymoon suite accommodation be superb would recommend anyone . however warn anyone interested insure coordinator inform everyone hotel accommodation honor . make several trip front desk explain package purchase chapel indeed credit room include package . even , last night suite argue VIP representative indeed say would go front desk 3rd time verify ID could room service deliver . the casino beautiful spread . 's long trip parking garage front desk back room full load luggage . staff courteous bartender flawless , however wait staff front desk need completely clear restaffe . wife force come front desk wedding gown room key de - magnetized not use credit card package reservation . summary beautiful , tiring , frustrating honeymoon actually amaze we could wonderful aggravating time . 
 Nov 22 2009 	 Nice Room ...... Service need improvement ... oversize vehicle parking nightmare . 	 stay start bad note . talk reservation specialist tell could valet park truck pull trailer . pull car truck specific size truck trailer . upon arrival tell would park around back . map available verbal instruction good . find lot tell move side imaginary line . get back lot front desk much well . make way behind employee garage . total time park find way front desk 32 minute ( know annoyed fiancee keep track ) let front . wait line tell wrong line . wait right line tell would wait could check rude . get room nice will probably pick different hotel next visit . 
 Nov 19 2009 	 Loved Paris Red Room Premier 	 stay Paris five night . 3rd stay Paris stay . stay many hotel keep go back Paris . Red Room Premier compe beautiful view Belligio Fountains ; altho window dirty . meal great especially steakhouse . call first morning ask housekeeping early ( like take nap afternoon ) come early every day without call . the front desk employee rude give we room host reserve we , contact host premier change within minute . we love casino location stay Paris future . 
 Nov 19 2009 	 Paris 	 Fabulous hotel ! well fall asleep look Eiffel Tower ! 
 Nov 19 2009 	 Brilliant location 	 really excited staying , not visit Las Vegas 15 year ish , stay Excalibur last time . really draw hotel 's luxurious french presentation , honest not overly impressed . ok , lack glamour expect . also waiter rude , tip $ 4 , take insult . check - in hotel fast friend lose bag , helpful . two queen bed request king , say room request guarantee , put we room great view particlarly Bellagio fountain Eiffel tower opposite , not bother change next day . casino area feel dark , theme Parisien / french lighting low , casino busy . preferred atmosphere get Fremont street area , look Golden Nugget , great casino . maybe , though . trip Eiffel tower fantastic , go dusk , time get light change , go day time price . travel British Airways , meal , leave lot half price buffet coupon etc . , helps budget . could not stay Las Vegas 4 night , exhaust fun . saw 2 show Rat Pack Legends . legend great . go Wyndhams presentation , get 4 free buffet ticket Harrahs 4 theatre ticket , time share selling get bit heavy sell . all great stay Paris , beautiful building , quite expectation , bit shabby area . 
 Nov 18 2009 	 enjoy Good Location 	 good stay . Staff seem helpful although ' ve read differently review . call request late checkout wait hold fault call peak check . shelf drink fridge personal use nice . room nice , clean , modern separate bath shower . water room water pressure restrictor make shower face wash slightly less pleasurable . elevator fast noise room . wife not find bed particularly comfortable . pool look really nice , not jump . tell sun stay pool around three . stay Vegas 6 time stay fine ; 3rd place six place . 
 Nov 18 2009 	 Shabby 	 find hotel lobby beautiful , staff unfriendly . room nasty carpet stain non smoking room burn . approach staff provide help . room need major update , sad could beautiful hotel .. 
 Nov 17 2009 	 ok great . expect price - eh . 	 nice hotel / casino good amount extra spend time waste - great gambling ; great lot thing ; great price - expect well ( not judge book cover type thing - gorgeous outside ) . nice restaurant though . 
 Nov 17 2009 	 stay PARIS HOTEL - PHYSICALLY assault one CARED ! 	 4 friend assaulted drunk man force way room 26th floor , one friend injure attack . file police report , catch guy , PARIS Hotel refuse take responsibility . security camera place hotel room floor - say expensive require much manpower monitor - kidding ? ! camera every single casino table ! know priority lie ! certainly safety hotel guest ! PARIS refuse comp room , offer anything we . weekend ruin , tell everyone lack commitment safety well - be guest PARIS HOTEL . horrible experience . stay ! 
 Nov 17 2009 	 Vegas Vacation 	 hotel great pool many kid . hotel staff yell two adult cuddle ? pool cold summer due tower block sun . 
 Nov 17 2009 	 Great Place stay 	 Paris great place stay . location perfect hotel / casino managable . room nice enough seperate shower . rate usually really good . notice time add $ 11.20 reservation charge bill book reservation via telephone . protest successful watch ... I m sure try sneak . 
 Nov 17 2009 	 Great Location 	 great location money pay . gamble cheap day , cafe shop great . pool small Vegas standard reccomend use pool . 
 Nov 17 2009 	 Paris simply good . 	 wife stay 2005 , return 15 year old son 2006 . stay fantastic . time get back plane return home decide would annual trip . unfortunately due circumstance cancel plan . head 2010 , plan make 8 day July . enjoy entire hotel , especially eat outside Mon Ami Gabi . always feel staff friendly helpful . casino right size shop go towards Ballys wife 's favorite . 2010 reservation make look forward many trip good hotel Las Vegas . Brad Debbie Turner 
 Nov 17 2009 	 average hotel Great Location 	 book well advance Paris get good rate . stay 4 night . check , upgrade room face Bellagio fountain - pleasant surprise . room ok nothing special ; quite happy bear mind rate pay . cafe area walkway nice , quite atmospheric . busy even though midweek .... think Auto - part conference time .... load people walk around name tag etc . good thing place location ... right middle strip . also use free shuttle Rio look / see . would usually stay elsewhere strip ( Wynn / Palazzo / Bellagio ) Paris fine . 
 Nov 15 2009 	 Oui oui 	 Paris great choice stay Las Vegas . right middle strip hotel easy navigate . good Mon Ami Gabi ; terrific french bistro hotel indoor / outdoor dining . food great moderately price expensive city . love see Bette Midler Caesar 's Palace . animal lover not miss Secret Garden Dolphin Experience Mirage free Lion Habitat MGM . 
 Nov 15 2009 	 great location front desk helpful 	 return stay Paris Las Vegas 4 night . not arrive 6 pm & amp ; request King bed . course , check , tell not available unless pay $ 40 per night . not understand ! ask room nicer , big well view $ 40 night , tell . tell could get King room next day want night would pay ! ! ! ! make absolutely sense typical . end move next day view almost bad . go figure . girl front desk quite rude well question King room one would get next day want , $ 40 per night . impressed . hotel great location & amp ; would stay . chance , go Love Beatles , fantastic ! 
 Nov 15 2009 	 Disappointing - expect money 	 tell receptionist wedding anniversary tell would $ 50 upgrade . consider midweek , quiet make Hotel rate Bellagio decline . smile disdainful smile service industry staff forget tell eye smile . room get basic compare cheap hotel pool area bland look like belong state prison . go casino chance find yeti table smile gambler . clothe go fashion time waitress bring we free drink .. Mon Ami Gabi restaurant redeem thing great meal usual eifel tower view great . overall hotel good value money bland compare other 
 Nov 14 2009 	 would expect 	 hotel expect . room small 2 queen size bed anyway . rug room , cover uneven floor , dirty badly worn . bathroom small tub , soaker , shower wall come apart moldy . hotel charge internet ( $ 15 ) per day . poker room hotel . hotel service good shop restaurant average price not . Hotel box office desk understaffe . cable feed terrible tv old . hotel brochure room outdate inaccurate . enormous charge hotel side face Belagio - advertised . stay . 
