woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Nov 22 2009 	 Awesome 	 stay one night last Thursday night . check 3:00pm give strip room . room large , nice relaxing bedding , oversized bathroom . future stay Vegas Planet Hollywood . 
 Nov 22 2009 	 Awesome Stay Planet Hollywood 	 husband stay Planet Hollywood November 17th - November 21st . travel Las Vegas see friend make WEC fighting debut ( ! ) . choose Planet Hollywood primarily get fantastic deal vegas.com , also review Trip Advisor largely positive . arrive Planet Hollywood 6:15 pm Tuesday evening ; nobody wait line , greet check right away Trina , big help . book ' Hollywood Hip ' room ' drink Us ' promotion , get voucher bottle liquor , wine champagne gift shop . ask fountain - view room , able get fountain view also larger - sized Resort Suite additional $ 30 per night . room fantastic -- well expect . 22nd floor , directly across Bellagio Fountains view strip face North . could see Bellagio , Caesar 's Palace , Paris , Mirage Rio room . although request King non - smoking , Resort Suite two queen sized bed , fine . room two comfy , purple velvet lounge chair , large flat screen tv big bathroom dual vanity , large soak tub , separate shower private toilet . room also office desk chair , hubby take laptop work stuff . movie memoriablia room & quot ; Beverly Hills Cop III & quot ; . Lame ! room keep clean stay . first morning , notice one bedsheet odd stain . leave note Housekeeping point stain ask please change linen , return later day do . bathroom keep clean well stock towel , washcloth little toiletry ( shampoo , conditioner , skin lotion ) . read lot review say quality towel poor , quite nice . fact , little bit linty -- maybe new ? tv stand keep tidy , glass ice bucket dusty , though not use change maybe week . never use , not really matter . room 's carpet little bit wear high traffic area front bed , couple ' pull ' make look bit shabby , keep clean stay . the hotel really cool place . 's also keep clean look well - maintain . never see single stain carpet , burn lightbulb sign neglect wear . casino huge circular - shaped . get kick ' Pleasure Pit ' , table also pole dancer . girl lovely wear fun , costume - y outfit dance current pop rock music gamble -- awesome ! really love portray image Hollywood celebrity , celebrity come stay time . hotel full crystal chandelier disco ball definitely gear towards young , hip crowd . 's music play everywhere , time , shortage ' beautiful people ' come play , especially night . eat breakfast two morning Planet Dailies , 24 hour coffee shop restaurant locate inside Casino . really enjoy meal visit . large menu , quick service , great coffee fresh squeeze orange juice . highly recommend Moco Loco , Breakfast Champions ! also eat lunch Spice Market Buffett , pretty unimpressive price . would skip one -- go Bellagio lunch buffet prepare blow away . wish ! casino also full - sized , 24 hour starbuck several restaurant bar . order room service one evening take advantage & quot ; Drinks Us & quot ; voucher . great selection liquor , wine champagne -- think anyone could find something like . room service menu large , include item PF Changs , locate inside Miracle Mile shop Planet Hollywood -- yum ! meal arrive exactly promise , hot fresh , good . be also nice convenient Miracle Mile shop attach hotel . ton shop . convenience store , clothing , restaurant , bar , ice cream ... name , 's . hit many time stay getting ' compe ' staying , show / ticket offer not interesting we . time , simple ' no , thank ' need leave we alone . approace timeshare folk , never felt chase harrasse anyone . weather quite warm enough we tempt use pool area , although die hard sunbather day . seem okay , pretty clean looking , hard tell would since busy season . I read several review Planet Hollywood concern air qualtiy hotel . tell notice walk hotel hallway elevator , faint smell cigarette smoke always present . smoker , live Austin , smoking prohibit everywhere , come Vegas little bit shock system , speak , smoking allow everywhere . would expect casino bit smoky , , although overly ... hotel 's ventilation seem great job filtering . air extremely dry Vegas begin , every morning hubby wake sore throat , plug sinus itchy eye . neither we suffer allergy kind , be hard say whether experience truly climate Vegas hotel 's air quality . make wonder bit , . truly thing disappointing Planet Hollywood walkway front casino , construction . temporary walkway set concrete barrier , walk safe traffic , walkway clogged folk ' flick ' porn card . 's annoying ! mention , walkway literally paper little card , people take chuck . 's kind shame -- 's really Planet Hollywood 's fault , really , really dirty along stretch . know sidewalk get cover wherever folk hand anything ... be particularly bad front Planet Hollywood . tough walk walkway every night also , know pass endless ' porn corridor ' get back hotel . 's content bother ( Vegas , ) , be annoyance presence stupid litter cause . laugh , though , entrance porn corridor little man bell Salvation Army donation kettle , stand diligently ring bell stand right next porn peddler . hat ! overall , would definitely stay Planet Hollywood , question . great time ! 
 Nov 21 2009 	 room make midget 	 local , hollywood suite look pretty sweet , booked anniversary .. get upraded fountain view .. waste money . room tiny . look window head touch top curtain .. view face south look bathroom window could see fountain . layout room uncomfortable , design wrong , need knock wall ceiling . movie keepsake cheezy miniture . stay .. oh krave nightclub package get mini gay bar around corner .. strange book directly thru hotel website , think connected parking garage .. slammed drink , dance ( one else ) 5 min . back room believe design great picture also get people room casino , 5 foot 2 might feel like & quot ; giant & quot ; 5 ' 8 . 
 Nov 20 2009 	 Perfect wish not leave . great location . 	 arrive mid - Sunday afternoon , lobby busy many people check . large number staff make line move quickly , check smooth , receive really nice room 12th floor , view across Bellagio fountain , add bonus receive & quot ; Drinks Us & quot ; promotion . excellent ! ! ! find room well decorate furnished , spacious well sized bathroom / shower . staff friendly give good service time . buffet especially good , would recommend highly . stay 5 night , wish could stay long . would definately return . room quiet , noise hear room side . minimal corridor noise hear party goer pass . excellent value . check quick easy . hotel locate heart action , monorail station minute away Ballys . 
 Nov 19 2009 	 great - 	 Nice hotel , dine Koi restaurant stunning expensive , access Miracle Mile shopping centre convenient , also Bellagio , Paris , Caesars Palace Hotels etc minute away . also great shopping fashion Plaze 10 minute walk strip . downside hotel room dark - literally need torch see , extra compfy bed 
 Nov 19 2009 	 Wonderful hotel 	 courteous efficient reception staff . spacious clean room .. lovely bathroom .. modern , vibrant hotelstaye 3 night move Venetian Conference .. could wait get back Planet Hollywood last night trip give room strip view .. wonderful see Ballagio Fountains , dream come true .. return Vegas would certainly stay PH .. 
 Nov 19 2009 	 Themed room brilliant ! 	 wife ( fiancee time ) make short weekend trip Las Vegas right New Years 2009 stay Planet Hollywood Resort & amp ; Casino . thing get great start front desk allow we check room extremely early ( 10 am ) . love room , complete Cliffhanger movie memorabilia . want see list different themed room ! room hotel overall brand new decorate unlike place ' ve ever stay before . the casino kind ( couple hundred buck play roulette ) wife enjoy pedicure . order room service breakfast one day , good spendy . negative thing say Planet Hollywood internet expensive give laptop virus render completely useless remainder trip . department help , leave sour taste mouth otherwise outstanding experience . 
 Nov 19 2009 	 check lay may bed bug 	 first visit Las Vegas . wife celebrate 5th year wedding anniversary . book room PH 5 day . trip airport hotel okay . ride hotel offer opportunity see show & quot ; V & quot ; , lunch Pampas Churrascaria ; buy one get two drink choice $ 40 commitment listen 2 hour presentation . presentation remember - able take well allotted time . the hotel room coffee maker place hotel offer free coffee . room service offer breakfast . price food seem inflated . take advantage free drink learn use penny slot . really place damper whole experience discovery bedbug . first notice burn sensation leg . think attribute dry - skin ; rub leg feel bump whelp . tell wife agree may extreme dry - skin . arrive home wife show leg several red mark leg . tell burn sensation stay also think attribute dry - skin . also learn could bring home we . four child . may accidentally infect well . want remove wrap mattress suffocate . read hear bug bomb spray work time insect . 
 Nov 19 2009 	 absolutely Amazing 	 travel vegas two friend find planet hollywood perfect we suit need buffet breakfast 's evening meal really delicious . casino excellent hold tutorial every tuesday thursday morning play various game . it great atmosphere beware , roulette addictive . thing could possible complain drink bit slow serve table . find tip waitress will see drink order appear alot quick . ( note ; gambling table not pay single drink ..... seriously ! ) . check check easy ever experiance taxi service adjacent underground lobby fast friendly . room - absolutely huge comfortable bed ever . pillow like giant marshmallow . Sooo tempt stash case come home . big flat screen T.V although room little dark . housekeeping keep room clean daily basis emmaculate 
 Nov 18 2009 	 peep show 	 fun- lot topless expect -- Aubrey 's good fantastic . much well body Holly 's opinion/.any seat good - recommend go 
