far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Nov 25 2009 	 get little date 	 stay rio 5 day . room look little worn . room almost clean . huge Room . decent price pay . not expect top notch . not nice hear . Noisy ( go car racing parking lot start 8am daily . ) Good Buffet . stay signature @ MGM 's hard stay anywhere else . decent value $ $ $ . 
 Nov 25 2009 	 great 2 people room ! 	 three people room want stay suite hotel . room spacious , bed couch quite comfortable . shuttle take & quot ; strip & quot ; run every 30 minute allow either pick up / drop Harrah 's Paris . walk & quot ; strip & quot ; hotel ( ) good shape enjoy nice hike expressway ( yes bridges/ sidewalk ) . carnival world buffet really good also within hotel property . good hotel stay want experience Vegas craziness & quot ; strip . & quot ; 
 Nov 20 2009 	 good time ! 	 Mmmm big comfy soft king size bed kid ..... anything well ? oh game good food awesome ! 
 Nov 18 2009 	 rio good Hotel Casino 	 husband come rio many year never bad experience . husband pass away recently pass plan next trip Vegas stay RIO . honor come Vegas stay RIO . experience wonderful one always . feel safe . want thank everyone , especially woman vip check - in make trip memorable one . room outstanding service staff great . thank much everything . trip every year honor husband . thank . 
 Nov 18 2009 	 get pay 	 boyfriend book trip online company stay rio . know strip skeptical go site realize shuttle free not big deal . well , try take 3 time . full wait next one 30 min . total hour . end take cab alot extra money . restaurant constantly full main floor food price . get chance spend alittle bit money stay strip would suggest . go back hotel . 
 Nov 17 2009 	 Viva las vegas 	 go vegas anual rockabilly festival love rio . clean cheap great pool food . room big enough ever go space cool ! ! ! love go next year sure stay 
 Nov 16 2009 	 Weekend gettaway 	 one location . everything need trip Vegas . great restaurant , great night life , exciting attraction . treat everyone like & quot ; gold & quot ; . pool area relax also . 
 Nov 15 2009 	 Terrible Service horrible Smell smoke throughout 	 stay Rio conference disappoint say least ! walk hotel first thing hit smell smoke . check , room order not care either . entire hotel stunk smoke ! would definitely recommend hotel . seedy low class . 
 Nov 9 2009 	 good casino stay vegas 	 sport book staff good .WAS world series .THE STAFF excellent , buffet ok , casino jumping . the dealer friendly voodoo lounge must see . this adult CASINO only.rooms clean large . this casino casino vegas 
 Nov 8 2009 	 backbut please wash window ... 	 3rd visit Rio . comp 5 day choose spend $ 20 night strip view . Room remodel clean inside , upgrade strip view ruin filthy window outside . great time , lucky casino . always , treat well feel appreciate . 
 Nov 4 2009 	 not bad ; not either 	 stay Rio 10/29/09 . get one complimentary night . one traveler pick thing apart ; give horrible review wait line bathroom ; issue chip paint miss ceiling . - sake ; give account accurate possible . usually stay 5 star hotel , want try Rio unterstood 4 star ( free ) . first thing notice walk door smell smoke . snobby review meter go . know casino , stay venetian first thing smell Pine sol invisible people constantly clean . check : smooth complaintsroom : shortage lamp room huge Clean . loved sheet . decor old , would worth $ 60 pay it . bathroom : huge , fabulous , plenty mirror , sit vanity . loved mirror througout room -a plus . no frill extras- do not expect unless upgrade whatever . some people warm friendly ( dealer , staff ) person two encounter . sure nice people . front desk people nice . overall , decent experence , never anywhere nothing compare ; would problably think awesome . usually high end property ; average . think great price . look good accomodation budget try Rio ! 
 Nov 4 2009 	 Rio everything ! 	 great experience Rio . arrive late evening desk clerk surprise complimentary upgrade suite . one night alone , meet friend next two night . think regular room would small , delight , 600 + sq ft room . great time gambling , fantastic buffet , people watch Halloween , never leave hotel . would highly recommend Rio . say go strip , find need one place . would go back , without hesitation . 
 Oct 30 2009 	 Typical Harrah 's Service 	 room get old , staff appear hostile question . Harrah be become like Walmart . low price , try find someone service good luck 
