GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Nov 22 2009 	 ` ` Best Vacation ever '' 	 get back week Vegas Sahara . decide stay , offer , Sahara & quot ; Best & quot ; hotel deal Vegas hand ! even special rate room clean roomy . plenty hotel ride , gambling , attraction , restaurant , show , shopping . staff particularly stand . problem delt quickly professionally . plus employee table , even clean staff , talk laugh make feel like welcome friend . stick snooty like place . big compliment day Manager Ms. Lincoln . courteous friendly whatever need , even go beyond see possible bud romance beautiful lady Spain meet . thank Sahara , staff member , deepest heartfelt thank make wonderful week life ! definitely see ! ! 
 Nov 18 2009 	 Nice 	 stay Sahara three time . three time find hotel nice clean . staff always friendly helpful . sahara attractive hotel well average facility amenity . Caravan Cafe always excellent food service . room spacious , clean , adequate ( matter tower stay ) . casino also attractive easy navigate . big plus monorail station rear hotel , although long walk get . 's still well walk strip . would recommend hotel one personal favorite . sahara classic Vegas hotel . 
 Nov 17 2009 	 good stay 	 good stay Sahara hotel couple day . build self bit old prize resonable . 
 Nov 10 2009 	 Money 's Great Place 	 sorry take long write review planning trip Mexico year think would check Sahara review see think really tell people thought place go . well late never . stay Nov. 2008 . remember one old hotel Vegas . trip book research tripadvisor , read terrible review , lot ....... want cancel . majority review negative speak filth , bug terrible food . husband say friend stay nice , decide would go Sahara terrible would change hotel time . arrive check husband tell front desk leerie stay hotel , maybe that s get room whatever work guess . give key room , go . surprise clean fairly nice , Marriott , clean furnishing pretty nice , unlike read . go sign Players Card ... recommend thet everyone hotel go gamble get play money slot get ticket free show well . 1st night arrive hungry go eat Sahara buffet well price be even discount Sahara Player 's card , surprisingly good food good selection , breakfast buffet good one . everyday get chance win something slot play locate Players Club signup desk . 1 week stay try hotel buffet expensive food not near good Sahara . find atmosphere Sahara whole room food pretty damn good money pay . , reason find leave want shop go show . anyone read bad review post feel , trust , leerie get tell front desk get room key maybe reason get nice room , hey work , work .... ? hope review help anyone worried stay Sahara 
 Nov 10 2009 	 ok 	 price pay room ok , expect coffee maker least . towel not smell great . Beds Pillows comfortable , help we need . floor 22 beautiful view Stratosphere 
 Nov 1 2009 	 keep perspective 	 listen people ! travel around world & amp ; use travel agent . stay everything 1 5 star hotel , know ' m talk review ! Mom & amp ; recently return truely great one week stay Sahara ! ! second visit year . that s much like ! ! read many negative review almost re - book somewhere else , even though stay 5 month previous & amp ; know expect ! great stay say either people fussy , well travel & amp ; expect much . perhaps expect glitz & amp ; glamour see T.V . & amp ; picture , Sahara keep everything perspective . yes , property old , hotel establish 1952 . unfortunately , middle recession , tell staff upgrade plan put hold . common area run , room , overall place CLEAN ! ! yes , room service tray & amp ; glass lay around awhile hallway , going let something like ruin holiday ? not ! long room & amp ; bed clean that s matter . without fail find every staff member pool boy Asst . Hotel Manager helpful & amp ; friendly . review site say opposite , expect people go negative attitude right start , nothing would satisfied . remember everything life get back give . property & quot ; beat track & quot ; , mother senior especailly enjoy , nice retreat ' ve enough hustle & amp ; bustle main strip & amp ; since hotel small much easy get around . enjoy relax sun pool really nice , cold ! dinner buffet $ 8.99 Sahara Club card discount adequate . nothing fancy , keep perspective be pay $ 8.99 dinner ! barely eat fast food restaurant price ! tip make stay enjoyable:1 . ) try check Sunday Monday possible . virtually line up check day . 2 . ) ask recently renovate room Tangiers Tower , preferrably high 25th - 27th floor . book standard room . pay little & amp ; get deluxe premium room . people seem bad experience dirty room suspect one stay standard room low down.3 . ) hotel conveniently locate Monorail line . pay little & amp ; buy 3 day unlimited ride monorail pass , $ 30.00 . worth money ! ! get one end strip 20 minute . beat stop crowded bus strip ! look forward go back ! 
 Nov 1 2009 	 gross 	 stay ! ! ! hotel dirty change sheet everyday bathroom gross pee behind toilet look month room infest BED BUGS ! ! ! ! ! 
 Oct 27 2009 	 great value would recommend friend family . 	 book four night stay Thursday thru Sunday Sahara Casino read many review website . read many review , somewhat nervous expect arrive . one review read suggest request Tangiers tower since remodel date tower . upon arrival wait 15 minute line help friendly front desk . $ 6 mandatory fee per night regardless book advance . go ahead request Tangier tower problem additional cost . not know people expect room pay 50 $ per night . room clean comfortable . like stay best western . overall casino run reviewer make sound . good value price . look luxury book Bellagio . 
 Oct 25 2009 	 would rather stay middle Sahara Desert ! 	 say entire place lobby casino , restaurant , room filthy would gross undersatement - exception pool area ; prepaire charge 6 dollar per day ( weather use ) mystery charge bar . not waste time energy try get charge reverse - nobody care ! . customer service , call , consistant - exceptions- Nasty , tired , disintereste , put , put , unfriendly , unresponsive , lazy , rude , dishonest good , not care . find dealer friendly , one Black Jack dealer dollar table aggresive rude , actually tell we not like could leave . Pit Boss stand treat entire table disrespect . never quite sure problem , obviously leave table . clearly could go crappy drink , lousy food chiropractic service sure need sleep hard bed , bottom line not stay . go vacation able focus fun worre walk limp bent entire time Sahara ! 
 oct 22 2009 	 good hotel clean room reasonable price 	 stay hotel 3 - night vacation family parent . room face street comparatively quieter compare hotel room . bathroom clean plenty towel , helpful since young kid . room clean , big , enough space couple kid . bed brand , brand new , clean comfortable . price great , get stay 3 - night , get $ 50 deal , make price per night less $ 30 . drawback location , little far main street , always try bus . stay next time . 
 Oct 12 2009 	 Big Beers Big show Big money 	 stay Sahara great deal . Metrorail connect right hotel make cheap , easy way get popular hotel casino . also close Fredmont street 's classic strip , 
 Oct 12 2009 	 BED BUGS SAHARA HOTEL LAS VEGAS 	 attend Bike Fest stay sponsor hotel Sahara . 57 year old hotel definitely look . room Tangiers Tower room 1847.we bite last early bed bug . see bug bed 5:30am . bedbug come last hour dawn . feed 3 - 12 minute . suseptable bug bite . ckd via tv report hotel . write comment card room . get home delay reaction bite show up.the next day . immediately call dept . health email hotel . take week hear back hotel less week dept . health . the hotel change sheet stay conserve water . 
 Oct 11 2009 	 Classic ` ` old style '' Vegas hotel great rate ( almost ) Strip ! 	 find Sahara cheap , cheerful great location . the room large comfortable . the fixture fitting look little tired everything function would expect . bed comfy clean . the hotel past Vegas glitz bottom end strip 20 - 30mins walk get hustle bustle fine evening bit torturous walk daytime sun ! ( although deuce bus pass front hotel - get ! sooo busy ! ) would recommend hotel want good ( almost ) strip hotel defiantly break bank ! 
 Oct 11 2009 	 good value 	 bad review . get back 11 night . complaint lovely clean room , ok lift carpet dirty , build work go vegas moment hotel dusty . look cheap clean hotel place . top end strip , moment well stay . planet hollywood cover dust build 3 new hotel till finish . find impossible walk around wind blow dust around . give sahara go , glad stay , go be pull put huge glass hotel like other place . 
 oct 9 2009 	 Budget hotel fair quality - worth money Vegas often ! 	 Sahara several time . find good deal time time . hotel fairly good consider price . bit north end good place go Vegas often . fly Vegas often , find luxury hotel . 
 Oct 8 2009 	 get pay 	 good place crash night . room small clean . furniture replace month ago . 
 oct 8 2009 	 hotel may old need . 	 Sahara locate directly strip Tram run length strip . stay hotel almost never need rental cab , tram take along strip . hotel old , 's comfortable great employee offer excellent customer service . good value appreciate repeat visit . room cost one many value . Poker Room offer multiple Texas Hold'em tournament day affordable price . 
 Oct 8 2009 	 impressed 	 Parts hotel renovate stay renovate tower . first impression room clean well . see dust , dirty window smell omnipresent . sure , think charge extra electricity use well . grant , not pay much stay , suppose , get pay . not eat restaurant , can not comment . mention one huge advantage hotel : monorail access , want stay relatively inexpensive hotel strip easy access city 's attraction - Sahara . 
