Loved 	 get great deal website promo code Thanksgiving holiday . hotel all - suite , huge room / bathroom , quiet , smoke free staff top notch . great service Concierge ( Ozzy ) front desk check - in breeze . never see housekeeping hall , room make every day ( electronic system let know want housekeeping ) . Stayed Tower 1 -- close MGM Casino , enough distance feel like frenzy ( second - hand smoke ! ) . walk escalator & quot ; people movers & quot ; provide high heel wearer respite walk casino . use monorail MGM Grand travel strip -- convenient . ticket purchase right monorail & quot ; station & quot ; ... not though -- nice man give we ticket leave next day use ticket 2 day :0 free WI - FI ! ! ! ! ! definitely stay . 
 amazing hotel 	 boyfriend return 6 - night stay signature . stay one bedroom suite Tower 2 . hotel room absolutely beautiful . great experience would definately return . complaint distance casino ( 10 - min walk ) . day tired make long walk back room . aside , be great hotel regret choose stay . 
 watch ! 	 ' watch . stay 2 night , get 3rd night free deal even paperwork name people talk even though e - mail offer send directly , take hour get honor . however hour , every single person check kind deal something , drink , whatever every single person fight hard get honor special . travel living , go Vegas least couple time year work . really great place , 35th floor Strip view Jacuzzi kitchen . get private cabana pool , might well , ' pay resort fee . fight ruin though . go leave high dry finally prevail upon right thing . never see anything like people , even Newark ( personal standard hassle travel ) . plus try make feel cheap honor deal . give break . 
 worth walk ! 	 yes , hotel strip . take 15 minute get front MGM ( strip ) . walk signature hang leave walk Planet Hollywood strip ( 15 minute walk ) . walk easy big deal . the hotel beautiful . 1 bedroom junior suite connect . room clean , king bed comfortable kitchen set - up helpful . use kitchen make breakfast , store water , beer snack . car drive 5 - 10 minute Albertson ' supermarket . the mattress sofa pullout could little firm . average sized guy ' comfortable . we Tower 1 , Starbucks , fitness center ( modern ) , lobby bar business center . valet parking ( free ) end tip every time . fast friendly.2 minor issue – ( 1 ) get sofa bed make . make request front desk , fulfil . call housekeeping come make sofa ' . 1 day checkout must think check close sofa bed . call housekeeping - fast courteous . ( 2 ) gamble MGM Casino apply comp room MGM Signature . overall great stay . want get away madness end day place . 
 nice hotel 	 can not really comment stay authority , first time Vegas , idea expect . one night , not use hotel facility . however - night , nice hotel . price pay ( GBP80 mid - week ) , promise & quot ; Junior Suite & quot ; , expect Vegas term normal small room . however , definitely suite - sized , fully appoint , way fully - equip blender kitchen area . overkill one night , definitely great long stay . also , one night - 's fair trek strip . assume next MGM Grand ... quite ! although access walk MGM reception , past restaurant , past show , several enclose walkway ... time get ( Tower 1 3 - furth ) , have walk half mile ! tourist - walking , foot pretty tired end stay there . however - hotel nice , long stay , ' m sure would welcome little distance away . service friendly efficient . one night , perhaps try brave one big hotel actually strip , night , be great mix close , close .... 
 Nov 24 2009 	 great hotel bit peace quiet away casino . 	 really enjoy hotel . lovely clean , quiet lobby , unlike main hotel , room lush ! bit walk main strip , go along walkway actually like , although be use walk high heel long distance try stay Tower 1 close main MGM . charge extra internet connection , know not surprise . Delights ( restaurant/ cafe ) really fantastic ( massive ! ) american breakfast ! wish go every day ! 1 bedroom suite 29th floor ( penthouse floor ) great ! really clean comfy bed massive bathroom ! never actually use kitchen area full potential though . 
 Nov 24 2009 	 Best Vegas Hotel Experience 	 havve stay Bellagio , Venetian Red Rock Signature good Vegas Hotel expereince . third stay signature time great experience . signature give good world . slightly Strip ( 5 minute walk Tower 1 MGM fully enclose , AC secure walkway people mover - 10 minute want avoid MGM walk outside past Planet Hollywood Strip . ) signature First Class place - spotless , great service , friendly staff amazing room much large well furnish hotel . smoke free enviornment important we , away chaos crowd casino hotel short walk action . the mini - suites fine always get one spacious 1 bedroom suite . little almost twice size . think 1 BR balcony . last stay room 33608 ( specify room want ) large balcony ' ve ever see hotel great view mountain plane landing take LAS - love that . we drive Vegas nice valet parking free ( little class tip attendant ) . great perk . talk & quot ; walk & quot ; strip must folk park handicap spot avoid step supermarket - come - big deal . we also decide make big splurge trip eat Joel Rubechon 's - truely amazin ' culinary experience . everything perfect - everything 1st class - every taste beyond compare . first experience Michelin 3 - star afford $ $ $ worth . enjoyonly negative ( big deal ) not like resort fee . build rate , get rid newspaper ( read newpaper Vegas ) charge WiFi gym use . little bottle water - nice touch could include welcome . all back signature - good hotel experience ' ve Sin City . 
 Nov 23 2009 	 Great Place Stay 	 stay signature due fact Vdara open time .. glad ! fantatic . - 29th Floor Tower 1 . lovely one bedroom suite fantastic tub amenetie could ask . quiet luxurious long day walk , gambling site see . surprise good friend 's 50th birthday . call front desk see birthday cake tell would need 24 hour notice since group meeting evening suite show ; decide call room service happy supply ( die ) choclate mouse cake piece arrange cake chocolate dip strawberry substitute traditional birthday cake . deliver room everyone love impressed ! rent car front desk valet service door . wonderful service make feel like real guest ! starbuck great morning latte coffee downstairs Tower . would highly recommend signature would stay minute . 
 Nov 23 2009 	 Hidden Retreat 	 wife Las Vegas 10 year . stay signature perfect complement three day trip . right strip , without chaos , get fill casino , show nightclub , walk set double door retreat quite large clean room directly behind MGM . close everything - airport , strip , tram ... great food . would highly recommend . 
 Nov 21 2009 	 Love first stay 	 love almost everyhe stay . stayed 29th floor , could see vegas . amazing view night . tub flat screen really nice . walk day strip , help able kick back jetted tub . problem $ 20 fee per day . ( water , newspaper gym ) since 1st time vegas , would like try place maybe without resort fee . also not free upgrade . happy find print broade pass flight ask . also like cover walk mgm grand . also bring credit card , use debit card / bank card check hold $ 300 owe room . 
 Nov 21 2009 	 good hotel experience ever 5 star luxury ! ! ! ! ! 	 husband stay signature 29th Oct 7 night . say WOW ! ! ! ! ! far good hotel ever stayed stay lot hotel Vegas . check airport quick easy , originally allocate room Tower 2 without balcony ask change . ask Tower 1 , high floor balcony strip view , get problem . use signature shuttle reasonable $ 15 round trip . moment step ground signature know go experience something special , lobby hotel simply amazing . arrive go straight room bag arrive less 5 min later . Junior Suite huge . kitchen come handy term fridge bottle opener etc eat night not use much else . would ideal though family etc want cook . bed huge one comfortable ever sleep separate couch living area great , couch also open fold away bed . balcony ( 32nd floor ) huge give we great view strip . bathroom also enormous jacuzzi tub shower big enough football team ! ! ! ! staff great nothing ever trouble , room clean daily high standard , not want disturb clicked sign outside room bother . order room service one night expect tray drink , however husband open door waiter come full table , contain food , candle flower extra milkshake , like dining restaurant 2 room . we use pool couple day weather great never overcrowded . pool bar food also good . love much already book next summer ... thank signature fantastic service staff attentive plain nice ! ! ! ! ! 
 Nov 20 2009 	 Better Bellagio . luxurious ! 	 far Strip ( 5min walk ) right next back Planet Hollywood shopping centre . walk Bellagio , get free chill water security barrier . room world . height pure luxury ! big bath room , flat screen tv jacuzzi bath ( bubble ! ) . room seperate living area , also kitchen massive LCD tv . nice balcony . do not want leave room . nice pool , slao stay Bellagio Luxor trip ( similar price ) , hand good ! ! 
 Nov 20 2009 	 Fantastic Surprise 	 ssssurprise say least , room beautiful , staff attentive real know hospitality treat guest . thank MGM signature make stay perfect ! 
 Nov 20 2009 	 signature MGM Grand 	 great hotel large room toilet , kitchen facility . wz shopping casino , will never bore ! 
 Nov 18 2009 	 signature - great room 	 junior suit great size . suite kitchen , large bathroom , sit area , balcony , etc . 
 Nov 17 2009 	 lovely stay 	 husband arrive Wednesday afternoon 4 night stay . the man front gate tell taxi driver check Tower 2 . welcome door decline bell service , prefer take bag straight room we . check immediate friendly . give room key ask room balcony . check clerk say quickly switch room one . however , get room key ' work ' get . several minute try husband return desk clerk apologetic . write wrong room number card fact next room ! room lovely . huge bed , comfortable sit area , big bathroom whirlpool bath separate shower . water pressure shower ' like use home find Vegas hotel . the coffee maker complimentary coffee sachet welcome fridge handy store beer bottle wine . ' think $ 20 plus tax resort fee worth money two tiny bottle water receive day . the room clean well keep housekeeping tidy wash dish day . we room service heavy night 5.00am . order pizza hot wing . arrive 15 minute pizza delicious . hot wing bit acquire taste leave husband eat . tip server surprised find tip $ 6 add bill check , addition room service charge $ 5 plus cost food . wheel trolley corridor finish ( smell hot wing making feel little sick time ) gone get next morning . the walk MGM Grand pretty quick ( 7 minute reach back hotel ) could walk front entrance Harmon take 10 - 15 minute reach Strip . long part walk wait cross road . side entrance Planet Hollywood halfway Signature Strip Harmon take detour time . in summary , complaint Signature whatsoever . would stay heartbeat . 
 Nov 16 2009 	 Best choice : Simple Elegance Value 	 wonderful decor throughout hotel . simple elegance . clean . quiet oasis within minute hub bub Las Vegas . enter hotel , music play website play ... immediately feel familiar . read review , know ask Junior Suite Tower 1 face strip . make second phone call day arrive reiterate preference . young man block room set . stay 23rd floor Tower 1 magnificant . room clean impressive like photo website . surprise 2 burner include kitchen area . good feature slde glass door balcony . fresh air TERRIFIC view . got beautiful pic sleep like baby let fresh air go bed . staff : one old female concierge attitude , , other extremely helpful courteous . room clean dish wash daily . two bottle water place refrigerator every day . Maid service BEST . internet / tv : sporadic delay / issue internet tv system apparently tie together Tower 1 . problem , , another guest time - critical task complete . service respond immediately fix / adjust . : starbuck , lovely lounge , mini convenience store , fitness center adjacent lobby . location : excellent - short inside walk MGM hustle bustle . not short walk , , find good length transition noisy MGM casino . 
 Nov 15 2009 	 Superb 	 read fantastic review l little concerned hotel would not live reputation ............ l wrong , place fantastic . every memeber staff friendly , polite efficent . never feel cause inconvienence , nothing much trouble . room bathroom gorgeous lovely thick soft white towel ..... lovely toiletry . the room make daily never disturb . hotel well keep gorgeous rose tower two , l think tower theme . valet service quick efficent chatty friendly staff . I could fault anything . the walkway MGM be not long head West Wing room ( MGM ) walk along long corrider turn leave bottom West Wing Bar red door cut long walk bring & amp ; shop , save fair bit old foot . fabulous place stay . 
 Nov 14 2009 	 Fantastic Hotel 	 Staff polite helpful , room clean , nicely locate strip . would recommend hotel . 
 Nov 13 2009 	 can not complain- one ' the good ' hotel 	 I m afraid maybe consider killjoy shatter illusion hotel . we plan trip base Trip advisor review think value think have make pretty good ' find' . we going get marry treat honeymoon combine . you can not rate hotel average , time do not think rate hotel Excellent . People say nice get away hussle bussle strip surely- do not go Vegas ' quiet time ' ? hotel Air con windows shut ? arrival taxi [ expensive ' round trip ' ] airport [ expect pay average $ 20 $ 25 every taxi ride ] - welcome rather nice gate driveway Hotel appear private secluded . lobby be not good we ve arrive , already understand be not go ' Glitzty ' hotel . nevertheless room expect [ thank god ] ' Tower 1'the room fault immaculate , balcony please about . our first venture take we ' walk ' everyone speak about- fact pain . walk way MGM get strip- end week real bore especially long night strip - stilletto wearer beware ! ] find MGM Dark Smokey . you re Strip next walk main hotel [ apart New York New York opposite ] extremely tiresome one . option ' Deuce Bus ' - $ 3 one way- [ we make round trip cost $ 12 ] discover get ticket $ 7 24hrs make $ 14 . monorail do not use . our favourite hotel Bellagio , Caesars , Venetian Wynn hefty walk base centre Strip . so , locationwise compare other think hotel keen fit walker [ be slothlike ! ! ] eat near hotel room would probably mean go MGM , experience Breakfast buffet one bad experience holiday- queue similar Motorway service station food lay completely disfunctional strange way . also decide breakfast room wedding morning truly disappoint small amount pay awful lot for . we therefore decide eat elsewhere . breakfast balcony outside ' Paris ' lovely [ incidently eat beautiful meal evening watch romantic Bellagio fountain ] experience Vegas especially visit Grand Canyon amazing , do not think would choose hotel again- would probably go one Central .To cap pay additional ' Resort Fee ' $ 20 room day plus Tax ask say Coffee facility , 2 small bottle water , paper WiFi -ooh use Gym . well surely get incorporate Hotel room rate ? [ especially Tea coffee make facility ! ] certainly do not receive paper , do not use Wi Fi Gym ! ! Rip ! pleasant stay could whole lot well , mainly base location facility . 
 Nov 13 2009 	 comfortable place stay 	 stay one night husband two boy , age 8 11 . room large -- like studio apartment hotel room . kitchenette enormous bathroom huge jacuzzi tub separate stall shower . decor modern quite nice -- feel like real luxury hotel , though stay middle week fairly reasonable rate , much cheap weekend , complete & quot ; Fall Vegas & quot ; promotion include free bottle wine deliver room $ 40 resort credit use one ( overprice ) restaurant MGM Grand . service generally good ( side end spend quite bit tip -- parking valet , instance ) . real complaint front desk nearly overcharge we , discover look carefully bill checkout , admit mistake print revised bill , put envelope , piece paper turn blank , ask print . one expect well service front desk staff high - class hotel like . long walk get tower ( farth MGM Grand ) MGM Grand , connect signature ( not need go outside get one ) restaurant , especially part MGM Grand casino , lion exhibit , etc . feel like walk one end large airport ( even move walkway ! ) . really appreciate hotel , though , non - smoking hotel not casino , make much pleasant place stay . 
 Nov 12 2009 	 much fun 	 love hotel , lot great place eat , nice room , great house keep nice confortable bed . problem arrive early request room do early . get counter ask would like upgrade small fee , decide wed mini honeymoon . problem wait 5 hour get room receive free buffet voucher trouble . my huband get marry Las Vegas ton friend family come we . everyone different great experience visit great city . guest range 18 78 . husband please MGM Grand offer , upgrade ( small fee ) huge suite- feel well worth extra money make vacation enjoyable . would recommend rent car unless planning excertion strip Las Vegas . get photo do Red Rock Canyon thus need rental car take long drive strip walk slow pace : ) enjoy trip remember gamble much . also , stomp amazing wait get TKTS booths- get great seat 50 % onyl sell premium seat ( mezzanine ) . 
 Nov 12 2009 	 Awesome 	 stay want something strip still close enough walk . greet Valet Tower 2 show front desk . check maybe take 3 minute 9p check even less 715a , though see small crowd day . always greet warm friendly folk really like valet service . stayed 19th floor strip view tower 2 jr suite book bluechipvegas.com really nice , like everyone say . BEST thing property smoking inside . maybe 3 - 4 minute walk MGM shop / casino 5 minute walk several time strip right Planet hollywood Paris . like service , large clean quiet room place . 
 Nov 11 2009 	 good value depend be 	 New well - maintain property . room spacious immaculately clean professional staff . really nice stay strip bit peace quiet , check separately craziness main MGM front desk . 's 10 min walk strip depend tower be , go cover passage , largish mall restaurant strip casino floor - expect come smell cigarette despite stay non - smoking property . complaint compulsory $ 20 ' resort fee ' wifi , newspaper two tiny bottle tap water - tax add onto , plus normal room rate , feel like total nickel dim . can not build room rate ? ? 
 Nov 10 2009 	 place fabulous ! 	 place far one good place ' ve stay Vegas . absolutely love ! stay junior suite Tower 2 , 32 Floor strip view . room immaculate spacious bed one comfortable ' ve ever sleep . bathroom amazing spacious . perfect get away hustle bustle strip . 10 minute walk MGM Grand breeze . also 10 minute walk Miracle Mile Shops Planet Hollywood . frequent Vegas quite often signature MGM always first choice . 
 Nov 9 2009 	 ultra posh hotel 	 signature MGM fabulous hotel . signature locate behind MGM , location give good world : easy access strip , maintain sufficient distance craziness noise strip . staff courteous helpful . huge room include fully - stock kitchen area spacious bathroom . love fact hotel completely smoke casino free . since shortage either Las Vegas , relief retreat fresh clean hotel . would recommend hotel anyone want away hectic crowd , still close enough , case change heart . - Farah Ulat , Austin , TX . 
 Nov 9 2009 	 WOW truely amazing hotel never stop impress ... 	 everything signature great . stay junior suite girlfriend . 6 couple . room great . nice , everything could ask . housekeeping great . room clean fast well do every time . everything room new , stainless steel mini fridge microwave self closing drawer . bathroom huge beautiful , fully equip LCD tv satellite radio . every room ipod dock get really loud wall room must sound proof never hear anyone near we . 100 % occupancy . pool nice . signature consist 3 tower tower pool . winter hour 1 pool open , plenty room . pool MGM huge , busy young party crowd 21 - 25 year old . pool Sig quiet still people drink fun , lay back . stay Sig full access MGM amenity . FYI , casino signature lobby . casino MGM , attach Sig . also centrally locate strip . walk center strip every night short walk , cabbe go club night . look go club , check XS Winne . crazy ! also prepared spend $ 7 beer $ 15 mixed drink . look cheap drink , go CVS street pregame roomoverall , definitely go back Vegas , definitely stay signature . absolutely complaint hotel , usually can not find something would like change ... 
 Nov 9 2009 	 Great Place Honeymoon 	 come vegas get marry stay beautiful hotel . love huge oversize junior suite . bathroom separate shower / jacuzzi bathtub double sink be bump one another try get ready . bed soft comfortable . quiet hotel ... never hear anything neighbor . great view mountain behind strip , love morning . $ 20 per day resort fee know go 's shocker check . room large flat screen T.V alot channel choose go Vegas watch tv anyway ! kitchenette everything could need make dinner suite : pot / pan , dish , measure instrument , can - opener , etc . utilize particular aspect nice want it . we rent car vegas self - parking available always car wait we would call bring around . valet parking free tip guy . the staff super helpful friendly even offer arrange pre - checkin depart flight leave . we would definitly stay go back Vegas . nice leave craziness strip escape oasis . 
 Nov 6 2009 	 quiet clean spacious bit inconvenient 	 wife book hotel part airline package base hotel TripAdvisor review . first time visitor Las Vegas . assign junior suite 27th floor Tower 3 - hotel reception offer choice high low floor . accommodation nice : clean spacious . large bathroom two sink , separate toilet , separate shower two - person jet tub . , small efficient kitchen . nice seating area . build completely non - smoking draw we . overall comfortable . tower 3 couple block walk Strip , walk Harmon close , least fast , walk Towers 2 1 MGM Grand . overall , location bit inconvenient trade - off peace quiet want . amenity ok : fitness center Tower 3 well equip , deli Tower 2 decent Starbucks Tower 1 latter 15 minute round trip room . kitchen good convenient place buy food . hope able make breakfast - health / diet conscious . ABC store Planet Hollywood complex ok selection breakfast item , e.g. , cereal fruit . coffee supply room dreadful . , unless bring food , e.g. , be arrive car , kitchen waste be either captive use hotel 's deli Starbucks walk 15 minute way get something . & quot ; Resort fee & quot ; $ 20 / day mandatory include : in - room wireless internet ( good connection ) , daily newspaper ( get concierge desk not tell ) , dreadful coffee use gym . housekeep generally good : room well clean thing overlook , e.g. , one day - enough bath towel , another day - dish towel . always tip daily housekeeping . 
