beat 	 terrible 's nice hotel casino sleep night town . stay many other strip busy day traffic unbearable . terrible 's short drive strip walk athletic . room luxurious go vegas locked room , long somewhere crash that s sleazy smelly terrible 's make cut . 
 Nov 15 2009 	 call Horribles 	 guess pull parking lot find security staff member asleep truck know . lobby clientele resemble homeless shelter . 25 min wait check give wrong direction elevator . room ok wet stain carpet grossed ask another room . second non smoking room smell smoke not want change . television inoperable several time call . bed clean comfortable . decide try breakfast buffet one morning wish not . runny egg & amp ; gross entree make hungry sudden . never ! bottom line : much well price . place own & amp ; operate folk bring Terrible 's gas station - nuff say . 
 Nov 10 2009 	 small paradise Paradise Road ... 	 love . stay 2nd time enjoy every minute . food great . matter taste , like american food , unhealty fat ( Europe use eat many hamburger , fry , ... ) . ( Bouganvilla Caffe ) like . price great . move another hotel day inbetween , everything full , sad . back . Juhu . they many extra small price , like coffee room , free WIFI ( alone cost we 20 usd per day extra hotel ) . pay 27 usd ( tax ) standard room , fine , big enough clean . first room window break , open , good , everything ok . complaint ( usually ) service great , friendly helpful . pool area nice , go minute ago , jaccuzzi nice warm , hot . peaceful . bird music - loud . like crowd big hotel , place great , great , great . they lot benefit finish Grand canyon trip , back , sure . 
 oct 8 2009 	 great location even well price 	 Terrible 's great location ( north airport , adjacent University Nevada Las Vegas , close & quot ; Strip & quot ; ) . room fairly large bed comfortable . room old three - story section hotel , show age little ( drain bathroom sink would stay closed , wallpaper start come corner , etc . ) , major complaint . parking convenient ( lot right hallway room ) free . hotel surround courtyard swimming pool locate . since stay October , one use pool , good place relax away other . use restaurant . brother stay one room Saturday Sundays night less $ 100 . 
 Sep 12 2009 	 great little hotel low price . 	 stay Saturday night Labor Day weekend . pay $ 79 Priceline . second time stay . nice place stay want quality low price . pool nice room clean . property big easy find way around . staff nice . would definitely stay hotel expensive . 
 Sep 5 2009 	 car damage garage : Management Indifferent 	 want like place , car damage parking structure , respond indifferently incident . park parking garage 8.19.09 , 12 hour later , ' whitish liquid back side car . ' come . either vandalism something drip crack ceiling car . security take report , say ' contact within 72 hour . ' . call back , get lot , " ' department . " leave numerous phone message various staff . one guy tell security footage retain one year , another guy doubt . great , nobody know job . kind place . two week later manager call . say investigation find nothing unusual tape , casino liable . ask could review tape . say ' talk boss . boss tell car ' even observe security camera period . ? First guy tell observe , damage , second guy tell ' even observe . fishy . ask camera normally position area car park , prominent , highly visible area . reply , direct quote , " ' none business . " ask time , grow impatient , hang . ask guy air exist , ' hang , ' helpful . , one manager say car see tape , nothing unusual observe , boss tell car ' even observe , issue none business . believe ? give inconsistency , conclude ' honest . idea good customer service ? ' leave damage car $ 250 deductible . ' send exact review , verbatim , along picture , detailed accounting , ask response . reasonable , consistent , professional response . act good faith . want sort reasonable clarification . get , ' update review . , ' think think today , name fit : terrible ' . 
 Aug 16 2009 	 Great 	 go Vegas five star food , resort style service not want stay here . if look clean , well maintain hotel / casino good price find place . room huge price , clean , quiet , dark could not happy . \the casino seem favorite among local , say good thing . join casino club card thing , lot benefit it . the buffet AWFUL . waste money time . get two breakfast buffet free ..... waste time . Uck . gamble , sleep , not eat . great location , close strip Starbucks , grocery store Sam 's club . for dinner try Ghandi 's across street . 's amazing indian food . 
 Aug 12 2009 	 can not beat off - season price 	 travel Vegas dead summer heat business . need decent , no - frill , safe place rest head 2 night . Terrible 's gamble cheap breakfast see rate $ 42 2 night hotels.com book . Terrible 's right strip- quick cheap cab ride big casino strip . Hard Rock Casino right across street . easy check - in , easy check . nice , clean room . complaint get elevator room floor , AC hallway ! 110 degree outside ! like walk thru sauna get room . room AC go full blast . rate , would definitely stay . would also consider place cheap alternative strip hotel busy season . 
 Jul 27 2009 	 Decent hotel great place walk distance Hard Rock 	 go see Blink-182 Hard Rock past Thursday , since girlfriend fly town super early next morning , want cheap hotel room area . Terrible 's block Hard Rock , $ 25 could not pass stay here . I end book three night due hotels.com promotion -- buy 3 night , get $ 55 prepay MasterCard send month later . save $ 5 get 2 extra night ! first night check super late , not king bed room available , get room two queen . move king bed room next morning upon request . room old tower definitely see well day , not really picky price get . pleased room plasma TV 's , seven channel choose . , ' m picky , pass along . hotel also offer free WiFi , keep mind 's free may work great -- one day horrible next day great . for price , will definitely booking stay attend concert Hard Rock want place nearby crash . 
 Jul 26 2009 	 Great Value Location 	 first stay hotel father Route 66 two year ago . great location Strip away mayhem . cheap gym free internet . room clean neat also big . REALLY can not complain $ 35 per night . bed comfortable quiet room . casino good walk road straight Bellagio 's 're . 
 Jul 22 2009 	 comp 	 stay hotel , wish address comp system . couple thousand point , go restaurant use steak dinner . go back couple day later say negative balance . go Card Center say minus 440 point , question could happen , say computer screw .. computer goof blame penalize , far cam concern never use card slot machine . casino noisy smokey , sport book pack chair place hardly get bet anything without disturb several people . 
