great 	 stay Carriage House 1 week Halloween 09 . return hotel 1st visit 2005 impressed upgrade room hotel receive . book 2 room son come we room large comfortable . reception area also renovate good quality furnishing . staff helpful courteous . visit Utah Death Valley whilst stay time , easy day trip . lot building work carry strip Monte Carlo Bellagio hotel ( far Carriage House ) make area dusty . also entrance Harmon Avenue strip change , not much problem something aware drive Vegas . Vegas fun city plenty , Carriage House 5 minute walk strip give welcome bit peace quiet turn night . hotel could benefit small bar restaurant strip close 's essential addition management make . would definetly stay Carriage House retune Las Vegas . 
 Oct 31 2009 	 polite friendly staff - room well average 	 time share week amongst extended holiday - carriage house seem well organised . security good . room adequate equip - internet via cable ( available small deposit check ) . tv channel poorly select pay per view relatively expensive despite small range especially current . internet available free lobby . pool clean tidy could not use much due cold snap . hotel situate Strip behind Planet Hollywood small well equip exercise room . 
 Oct 31 2009 	 Excellent Staff Service 	 trade timeshare Gatlinburg , tn week Carriage House . even though 's timeshare , also book regular hotel . 's Mandaly would return Carraige House again . the front desk staff friendly accomodate . dad join we trip need extra room . upgrade little money roomy 2 bedroom suite ' ve ever see . i'ts 2 block walking distance noisy crowd Vegas Blvd . would never know quietness hotel . one block Miracle Mile shopping center ton shop , restaurant , even entertainment venue . hotel lobby upgrade . penthouse floor renovate assume rest floor too . free wi - fi daily maid service would hardly never find timeshre resort . , highly recommend Carriage House 
 Oct 26 2009 	 's smell ? carriage House Quirkiness 	 ' m surprised review Carriage House glowing . carriage House old hotel need lot work . husband book eight - night stay , cancel seven night , favor Paris Hotel Strip . the overwhelming issue husband encounter walk Carriage House 's tiny , claustrophobic elevator floor 's hallway ( floor 8 ) smell figure must air deodorizer mask possibly scent time Carriage House allow smoking . 's smell attribute , ' m sure . unpleasant . the room stay dingy , part . decor need update , give dark , yellowed feel everything , anything room need clean . small bathroom king bed suite , might possibly win award World 's Narrowest Doorway ( good thing not fat ! ) , old faucet fixture look like need well clean . grout handicapped shower , assume comes automatically get king bed suite , old moldy , completely wear away . the Carriage House really nice enough want stay , not even think good value money . $ 10- $ 20 night , average , stay one nice Strip hotel long stay , like , week . add fact , Carriage House sport unbelievable location , be great moment ( Oct 2009 ) , due extensive roadwork do Las Vegas Blvd . pedestrian walk block numerous area , actually quite tricky navigate back Carriage House certain place without walk long distance ; get trap pedestrian walk area set construction purpose . word , Carriage House go , location , not worth money , either . the Carriage House could good place stay , update clean bit well . suite large real kitchen would nice stay , otherwise . unfortunately , not we . 
 Oct 24 2009 	 good location great value money . 	 book website read rave review Trip Advisor . thank everyone , everything expect . stay one Bedroom Suite week . spacious , full kitchen , even order online grocery arrival not venture alone first night , ( hubby not arrive next day ) , expensive good quality worth . travel Australia never US eat sleep whilst get jetlag . great view strip ( request ) , arrive early noon problem get room early ( request also via email ) . laundry straight outside door inexpensive . limited amount grocery foyer enough get . free internet available 2 computer foyer , never wait long ( except kid play game 20 min ask share ... parent ? ) pool great , nice quiet lovely hot day walk strip . across road Miracle Mile ( 5 minute walk ) restaurant shop handy . we walk mostly catch taxi 's Outlet Centre Fremont St , inexpensive . overall excellent place stay not want noisy casino long check - in line . 
 Oct 8 2009 	 quiet place stay middle craziness Vegas offer 	 choose hotel right strip ( couple minute walk distance ) not game hotel . , hotel super - quiet , clean nice . drunk people stumble hall hour night like hotel ' ve . room spacious ( King suite ) surprising one small suite , much nicer large one available . staff friendly room clean . 
 Oct 1 2009 	 Quiet night .... 	 stay four night Carriage House . choose property base tripadvisor review , accurate . upgrade hotel room one bedroom suite , charge less rack rate suggest . staff helpful friendly . location fine - one block back strip , without associated throng people noise . could hear noise room . parking dream , hire car mean avoid strip totally . definitely stay find Vegas . 
 Sep 17 2009 	 good value budget 	 Positives : good overall value money pay , would stay again . locate close many big hotel ( MGM grand , planet hollywood , bellagio , Paris ) make easy go see attraction . also close hawaiian Marketplace , shop close too . Negatives:1 . smell tobacco walkways disgusting . smell milder present non - smoking room also.2 . cool system awfully loud room . would wake we sleep switch , raise volume tv 10 every time switch on.3 . fact internet complimentary good would well wireless . laptop pointless use desk.4 . ice machine entire hotel 9th floor work . 
 Sep 10 2009 	 great place stay Vegas 	 carriage house accross Miracle mile shop Planet Hollywood , block strip . staff extremely helpful nice . partner leave phone charger home , unhappy . ask desk could find t - mibile store buy another one . bring box +100 charger leave guest . get one free . commode need work tv difficult figure : help receive within 5 minute call resolve problem . the one bedroom spacious large new kitchen . back experienced noise . con : restaurant , small gift shop , small pool . pro ; friendly , helpful , staff ; location ; quality room . 
 Sep 8 2009 	 Best Vegas holiday 20 year 	 last twenty year visit Las Vegas number time , mostly stay hotel . discover Carriage HouseWe stay Carriage House three occasion , short stay 1 week , long 15 day . visit hotel week two want value , comfort , space , friendly staff easy access . carriage House offer , more . its location , minute strip , mean major attraction within easy walk distance . certainly need car . the staff friendly willing help show advice reservation . the room neat , clean , kitchen pleasure . criticize would pool . although pool surrounding keep spotless , find water way cold .... probably pool get direct sunlight couple hour per day . a heated pool would turn lovely place gem . we look forward next visit ... Carriage House 
 Aug 8 2009 	 Perfect Non Gambler 	 great hotel sightseeing , show , Grand Canyon etc . two room suite walk - in wardrobe kitchenette , free broadband ( cable supply ) , two tv etc . small shop lobby , also small general store Miracle Mile . restaurant , good breakfast etc Miracle Mile . Concierge Marie recommend book tour Grand Canyon ( highlight trip ) . also give talk Sunday morning , full advice information . thank Marie ! ! location perfect , strip . close casino ( worth see even gambler . low point trip Mirage . book ticket & quot ; LOVE & quot ; . computer break arrive , hour show . queue nearly 100 min . time , security staff refuse let young son sit ANYWHERE . one charmer even think smart sarcastic . nucklehead . 
