strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Nov 24 2009 	 dirty bedding 	 disappoint overall visit Palms . room ok wake first morning friend notice red stain comforter flipping get , flip red stain , appear blood hard say . think check mine second morning fix bed notice big yellow stain resemble urine ( ? ) flip way , red stain like one bed ! ! see picture . time take least 2 hour housekeeping bring we clean one . totally disgusting . besides , every morning would go vend machine get water find water , go 3 floor feel like go lobby pj 's , find water every day , soda . call front desk , say would bring , wait hour , never get . Complained get home , say would comp we night , come find cheap night , 1/2 cost 2 . call back & amp ; treat rudely ! never go back . dirty & amp ; horrible customer service . 
 Nov 18 2009 	 great buffet strip 	 good nightclub , staff helpful . downside 's strip 's still good hotel go . 
 Nov 14 2009 	 tacky mediocre 	 love playing slot , eat pretty average food stay soulless room will love Palms . beautiful thing view mountain ... hotel sum Vegas ; tacky , cultural black spot people absolutely taste . night club cater various slapper almost identical bloke bad shirt , shoe formal trouser - individuality allow . 
 Nov 10 2009 	 ok . strip . trendy club . 	 reason stay Palms trendy club pool hop likely full attractive people good watch . pool pretty small . say , room small average element room poorly design . hotel strip , major consideration . see little reason stay unless plan spend time club Palms ' club . want see Vegas stick one place center strip . MGM , Bellagio , PH , Wynn , Venetian , Encore , Paris , Palazzo , Caesars , Mirage , TI well call . want great pool , go Hard Rock , Mandalay , MGM.I must say , $ 69 rate get one night pretty damn good . one complaint even privacy light , housekeeping come room twice . , friend rest bed . certainly nothing happen could not see anyone , another situation another person , might somewhat upsetting . could well . parking good . 
 Nov 5 2009 	 stay stip . 	 First hotel strip . will catch cab take $ 6- $ 15 get strip . check 3 p.m. Friday . line desk long . wait 30 min . line give room . get room open door room wreck . housekeeper hall came say room ready yet . go back desk stand line give another room . time room ready . room ajoine room neighbor loud . noise street . breakfast downstairs . wait 45 min . food . Saturday evening go famed Ghost Bar friend wallet steal . view bar great , music crowd .... much . slot Palms & quot ; tightest & quot ; ' ve ever play . would well Freemont . think next time stay strip . 
 Oct 24 2009 	 overall average experience 	 room nice , comfortable bed pillow . good view . room desk workspace . lowflow showerhead awful . in - room internet $ 14.99 / day $ 5 minimum use internet kiosk print boarding pass . conference get pretty pitiful vegetarian lunch ( everyone else get minus boil chicken breast ) .There 's shuttle strip , be one hotel across street . many option Las Vegas would bother stay palm . 
 Oct 19 2009 	 30th Birthday Palms - Special Memories 	 stay We d Thurs night price reasonable great room Fantasy Tower . get find - one . well , one , ton people hotel . casino empty . pool probably 100 people . besides point . room amazing , bathroom huge clean . closet great . love also mirror closet bathroom . the store Palms ridiculously expensive . cab ride Venetian little ofer $ 10 . actually cab ride Luxor , MGM , venetian right around $ 11 - not bad . make sure ask take highway Luxor / MGM back way venetian . the food court McD 's , Pizza , Chinese , yogurt place , Coffee Bean . reasonably price . take coffee hot tea pool buy everything else pool . pool amazing . great service $ 7.50 Coors light , $ 14 mixed drink , $ 9 Heineken . know prepare . the Gold Coast Casino across street liquor store - if want stalk stuff room . we not go club Palms - end Strip three night . glad stay Palms though . worth experience . Eddie Robbie hotel bar , Tropicana , offer great service suggestion . 
 Oct 18 2009 	 Fun experience room average 	 Palms fun place stay be 20s/30s . crowd always alive , be enough one location not miss strip . rent one lounge bed pool afternoon , fun cater well middle action . big knock place room pretty date . stay original tower , would say look like average Hilton room . bath tub small , tv 32 CRT , kind old . palm charge decent price , little disappointing . 
 Oct 16 2009 	 stay night realize 	 great partying ball family / friend . little noisy shy , serene type . expensive ? yes , like room service beautiful . demand transportation expensive , not need leave hotel ready go . 
 Oct 11 2009 	 awesome 	 expensive , also extremely fancy , inside hotel pearl theater host great concert . funny find room inside drawer , empty bottle vodka condom . rock n roll . 
