five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Nov 25 2009 	 Loved hotel staff notice safety issue stair . 	 enjoy stay will not back due sneaky resort fee . pool close 5 pm never get even use pay $ 15.also , housekeeping ring doorbell wake we 8:30 ask we check . might acceptable 11:00 8:30 ridiculous . on morning go check , get early run building stair twice . evidently , build not really 64 floor . room start floor 16 . lobby , pool deck 7 floor parking garage . notice several thing bother run . see cigarette butts discard everywhere stairwell . good non - smoking building . the building two flight stair 44 inch wide code minimum . one flight ( east side ) end 16th floor ability get ground floor . flight ( west side ) go bottom 16th floor one take unmarked confusing side passageway find additional set wide stair continue bottom . much would additional exit side cost ? 
 Nov 25 2009 	 Husband 's Business Trip / my Relaxing Trip 	 pro : nice room . helpful professional staff . nice pool area . locate across street mall . casino . strip , block away . con : charge internet access . restaurant small expensive food memorable . casino . 
 Nov 24 2009 	 Trump 	 beautiful property 's non - smoking slot machine . locate directly across mall , be slightly beat path , terrific family solo traveler . 's short walk Wynn short cab ride venue . find refreshing change strip hotel full smoke gambler . 
 Nov 23 2009 	 pleasantly surprised . 	 recently return trip West Coast , last night Vegas stay Trump hotel reasonably price . loved hotel . Caesars Palace early trip , little disappointed really wear around edge , especially consider price . really pleased walk room Trump wow we . bathroom amazing ! huge spa bath , sink , glass toilet shower . would stay ! 
 Nov 22 2009 	 Say hotel run poorly staff make right . 	 Trump International Hotel truly superb hotel . right across road Nordstrom Fashion Place Mall right strip within walk distance good strip offer . casino , smoke free staff one good staff be ever serve by . here be know ... last trip hot water room staff bend backwards accommodate . trip & quot ; be well all - call & quot ; alter go three time middle night . false alarm floor let people know could return put - call every room , decision ' ve night . notwithstanding , staff go way make comfortable . well do entire team . at 5 - star , would hope false alarm hot water . maybe ' ve get bad timing , one stay problem would really re - think ever stay again . so , rate hotel & quot ; good , & quot ; next time really make right first moment walk . restaurant DJT 's quite nice , New York , 100 % top - notch service food , prepared pay . breakfast $ 60 two . Spendy Vegas . it 
 Nov 20 2009 	 Home home 	 fortunate enough check vip service upgrade superb suite view strip . staff could not enough we . heat open air pool treat business centre make life easy . facility service everything would expect Trump property . location end strip fact casino hotel mean escape madness - welcome break . Tip - Chocolate Martini must ! 
 Nov 19 2009 	 Rip - 50 % hide fee / charge 	 not believe rate . sell something line increase rate 50 % surcharge . 
 Nov 18 2009 	 5 STAR DONALD 	 want hotel away strip casino close shopping , might get right price . however aware must drive everywhere self park . every time want car , must ask concierge wait . dining option limit . nothing within walking distance except fashion show mall . even though away strip , not expect quiet . & quot ; city view & quot ; room overlook freeway railway . Santa Fe come regularly loud whistle . charge extra $ 15 night & quot ; tea cofffee use Pool . & quot ; however rang room service note not tea , tell would pay tea coffee include . cold use pool . bathroom not clean fact dirty towel bathrobe previous occupant . rang house keeping come collect next day . would go back ? 
 Nov 17 2009 	 avoid business destination terrible management 	 book 9 room company conference Las Vegas , Priceline other Hotwire . room book advance prepay . one room book employee long work company one day check - in call Hotwire amend booking . hotwire indicate could change book name recommend get touch hotel directly let know someone else go use prepaid room . call reservation desk tell clearly could change reservation name could add new occupant extra name guest reservation could use room check - in . therefore add employee 's name reservation . when employee arrive , record amendment refuse give room . try day try fix problem bounce around department Trump without result . call reservation first listen situation could even find reservation system . get Hotwire confirmation number send back reservation find tell could not anything . transfer accounting , wrong department not want refund empoyee get room ( be stay another employee meantime ) want room pay advance full , resrvation credit card . transfer someone else reservation department listen whole story , could not anything . refer reservation manager seem voicemail not call back . after hour London - Las Vegas long distance phone call , able resolve problem . unable find single email contact hotel detail management personnel . would therefore recommend use hotel type multiple business booking ( i.e . conference ) ) simply support case problem reservation front desk final say matter . guess get many complaint leisure visitor shield management contact customer 's impossible get touch someone know . read reviews site , must admit would probably ... 
 Nov 17 2009 	 5 Star Hotel Tremendous Value 	 hotel worthy Trump name . beautiful room magnificent lobby . book tremendous value online quite satisfied . downside strip prepare pay $ 10 way major spot strip ... also resort fee joke . focus strip , add factor pricing . 
