go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Nov 20 2009 	 nice place stay 	 bit walk strip 's centrally locate near monorail . Marilyn 's Cafe excellent great service . 
 Nov 19 2009 	 great price nice place close strip ! un - Vegas ... 	 business event hotel / casino straight strip , white original nice one corner ... stay , never felt get money 's worth charge . Tuscany Suites , however , opposite ! can not BELIEVE get $ 100 total per night ! additionally , receive coupon book make even well deal dining , drink , gambling . total steal . everyone work interact place genuinely nice , even phone operator ; real people seem like job . employee consistently go beyond require - reservation , front desk , etc . room , well be everyone else describe . huge ! would make GREAT studio apartment . keep snack drink fridge . request microwave want one . 's table chair , PLUS & quot ; live room area , & quot ; plus desk , bed waaaay side . bathroom separate shower bath , huge . the restaurant , bar , casino nice . notice 's full & quot ; creepy people . & quot ; people choose place mix , normal people , various age , smart enough pay 3 time much less mile away strip , apparently . even gift shop full surprisingly nice item , usual Vegas tourist crap . we not go live music club dancing , around bit , , nice , normal people , decent drink price , good cover band . Dana , manager italian restaurant Tuscany Gardens , great . leave cell number accommodate large party want book . price good , normal town . pricing , would never know near strip ! service truly great well , handle big party wonderfully . dinner entree $ 13- $ 15 list . everyone party 20 quite pleased price quality , be pretty restaurant . I feel like discover hide gem right strip . 's great price , be also nice . 
 Nov 16 2009 	 Peaceful Gem 	 book room online excellent price satisfied value money . room huge ground beautiful well keep . 1 km strip yet hide noise city . pool area patio lovely relaxing . eat restaurant site meal reasonably price good food service . ample free parking . would nice free internet room free wireless lobby around pool . 
 Nov 16 2009 	 would definately go back 	 great weekend price HUGE well maintain room . fridge , sink , sofa bed , separate shower , tub toilet room make perfect family even couple . parking breeze , food resturant average well price . casino well lay clean . employee encounter polite knowlegable . walk Strip long , bit perilous due construction seedy bunch local . unusual strip local , bad . lot nice place visit eat within block strip . Vegas need improve look safety street adjacent strip . side walk , crosswalk street lighting joke city size much tax revenue , think big hotel fight keep people wander away spend every dime rip - off super hotel , home $ 13.00 hamburger . 
 Nov 12 2009 	 training 	 nice room , large , good location , block Strip 
 Nov 11 2009 	 new spacious gracious quiet 	 hotel absolutely good world . 's block half strip E. Flamingo , entire world away craziness . pay $ 79 Saturday night $ 35 ( ! ! ! ) Sunday night flee pre - pay pigstye Imperial Dump ( aka Imperial Palace ) . SUITE Tuscany easily 3 time size room Imperial Dump . huge , new , blissfully quiet . bed luxury - hotel style sheer heaven lump rock pass bed Imperial Dump . eat Marilyn 's Tuscany - food excellent , nearly half price Imperial Dump , service fantastic . lady front desk , concierge everyone , service Tuscany top notch . even well , not compete cigarette - toke , half - drunk partygoer get want go hotel . great casino hop night , smoke - free guest room situate well away noise . hotel walk distance ( short cab ride ) away action , heaven come back night . oh , parking easy , free directly front hotel ( walk mile get car use valet , although valet readily available Tuscany ) . also free wi - fi , excellent conference banquet facility , well absolutely beautiful wedding chapel . paritcularly enjoy oasis centre - court garden swimming pool - feel like have arrive caribbean resort , hotel middle Vegas . make hotel absolute number one pick next time be LV . 
 Nov 9 2009 	 watch price change 	 love stay charge different rate travel companion . seven call send one person another can not explain pay friend type room . refuse budge never stay ! careful make reservation ! ! ! rip one willing help . 
 Nov 6 2009 	 great hotel great rate 	 beat stay strip . 's 10 minute walk middle strip ( Bellagio ) . staff wonderful . really pleasant ready help . always smile polite . restaurant great value good food . exceptionally clean room HUGE . staff really work hard keep clean . quiet respite Strip . easily walk would not walk late night - street people . walk back show 10:00 problem . drive travel , be convenient car near room , rather walk parking structure . 
 Oct 31 2009 	 great place - great price 	 hotel reasonably price . spacious clean room clean ground / facility / casino . conference hold room meeting clean , food service good , hot cold . food Marilynn 's Cafe Cantina excellent price , Tuscany Garden 's bit rate . walk distance strip need cab , one easily find . 
 Oct 28 2009 	 hide semi - emaculate gem 	 book room couple week arrival , search online find decent deal . upon arrival , since memorial day weekend lot people discover deal . check short wait , bland helpful front desk associate . ask particular section , make great recommendation . parking easy , fairly close room , problem garage . summer month ( 10 mo year ) car set hell ! ! upon enter room , clean crisp , clean smell . girlfriend notice , would need pillow . call housekeeping within 10 min , abundance pillow bring room . diva , notice need hanger well . 10 supply . request make , could not hang phone knock hear door . housekeeper smile face fist full hanger . happy happy tip . bathroom counter space large , enough room bathroom nick - nack , toothbrush . shower tub separate nice surprise , since standard room strip shower / tub combo . also water closet , house toilet . problem door properly align . overall size room , bathroom bed , great . bed comfortable , could stay hour hour . yes t.v lack channel home . pay 200 weekend watch tv , vegas . room first floor , unlike everyone else stay extremely quiet , make noise test thickness wall . walk ground hotel relax , feel vegas nature . resort like feel , nice subtle earth tone , nice quaint italian feel . casino short walk right main building . get free player club fed machine . first meal Mexican restaurant , food good nice cost . enough take back room fridge later . n enjoy stay upon leave lady assist we check extremely helpful give we great tip next time . hop back onto strip girlfriend notice forgot ipod check book . immediately call hotel , confirm find would wait we return . head back cali , make stop back pick ipod check book . would recommend everyone ! love much , make another reservation next month . see ! 
