dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Nov 26 2009 	 strong perfume smell pervasive throughout property 	 stay hotel phantom show last year last night blue man group show . time notice strong perfume smell hit walk property parking garage . seem come directly ventilation system pervasive throughout entire property . stick clothe leave , like cigarette smoke . 's pretty hotel casino would like walk around smell place make nauseous . frankly would much rather deal linger cigarette smell awful perfume smell . someone tell management stop perfume . property visit strip ( Bellagio , Palms , Mirage , Mandalay Bay ) . allergic perfume like smell please think book property . dinner along grand canal spend several hour property clothe smell perfume . 
 Nov 25 2009 	 fabulous hotel ! ! 	 stay venetian hotel gorgeous , front desk staff helpful everytime pass member staff friendly ! ! room gorgeous massive bed , equally huge bathroom ! ! totally enjoy would stay ! 
 Nov 25 2009 	 great ever hear fabric softener ? 	 stay four night November regular suite - room Venezia tower . hotel prime location middle everything . room massive - feel like small apartment , hotel room . service excellent personable . yes , could always ' smell ' close lobby perfume , not permeate clothe , not allergic reaction . complaint linen / towel rough ( like dry two hour long ) . know 's desert 's humidity , towel robe feel stiff hard . even get little rug - burn ear move head pillow overnight . odd . - everything else exceptional come back LV , would stay - buy room humidifier . 
 Nov 25 2009 	 good stay 30 day US holiday 	 almost not stay venetian ... book MGM Grand seem good round hotel chatting lady recently online chat site convince look venetian bit . overlook first place think bit posh mum dad & amp ; 2 young kid , would feel place , neither case . yes , posh much feel awkward . greet friendly staff front desk whole stay perfect . suite amazing ... well ever stayed travel world quite substantially . price pay , feel , reasonable standard size . location awesome ... could walk everything worth visit short 3 day stay . plan another US trip couple year incorporate trip Vegas . stay anywhere else - settle second good ! ! ? ? Book - will not sorry . 
 Nov 23 2009 	 still nice ... 's loosing 's luster 	 second time venetian . first time two year ago . still love hotel , loosing 's luster . couch , etc . really look worn . 24211 . check take age ... try get upgrade either room view , suite . actually opt upgrade room view $ 45 night , yes , rip , beautiful view mountain , Mirage , pool part Treasure Island ( heck dang half finish building blocking view ? & quot ; sign instruction get Monorail lacking , quite hike , truly good wayi get LV Convention Center . hotel business , although husband come along , three group friend also come . one group stay Venetian , another Wynn third strip somewhere . go Wynn . omg place gorgeous . top shelf . husband visit friend room , say although nice , compare venetian room ( ok , yea ! ) dinner one night Bellagio Buffet friend ... be ok ... would not . dinner one night San Marco ( ? ? ) venetian ST . mark square . omg great location much fun ( albeit quite pricey ) . dinner Ellis Island recommendation tv show watch . place little dumpy , quite hike ( although take cab , walk back ) . food incredible . would go . yes , absolutely yes . Hubby rent car venetian conference . buddy go Hoover Damn thing fire . conference end , we drive Red Rock Canyon . unbelievable . spectacular . remind little Grand Canyon ( 10 year ago ) , albeit big ... breathtaking . get back room , discover could see Red Rock Canyon hotel room ( binocular ) .Saw Jersey Boys first night . Great Show . advice : never never never see show first night , especially fly East Coast . see Cirque de Soleil & quot ; & quot ; . beyond word . fifth Cirque show , know expect . absolutely incredible . hint : buy limited view seat see money .... view bad all . Continental Airlines : flight go back home . pay $ 6 watch tv . yes , $ 6 watch show normally would get free , plus movie suppopse get free . tie Direct TV not want . , really bad flying , swipe credit card watch stuff get free . go regular Direct tv show , LOADED mean LOADED commercial .... heck ? ? ? take $ 6 make watch commercial ? kid . bad , bad continental airline . oh , yea , thank cold cereal 7:30am flight . people want , cold cereal . crazy ? least give we cold bagel ..... something cereal ? be . great trip . couple go think go next year . convention November , want go early like September get pool weather ( oh yea , way , bit chilly Vegas November 10 - 15th .... defintely pool weather ) 
 Nov 23 2009 	 Venetian Resorts 	 's big hotel . get lose twice . love room hotel staff nice . 
 Nov 22 2009 	 amazing experience 	 expect something top even , check alone ornate , gold everywhere , mural ceiling , room suit nothing spare , also position great spot strip 
 Nov 20 2009 	 Glitz Glamour Venetian 	 moment arrive , 5 star vacation way . registration desk welcome expeditious . grandeur lobby intricate chandelier , beautiful ceiling painting , marble floor , elaborate sculpture , elegant marble column stunning luxury suite sink living room elegant decor , world class experience . Grand Canal Shoppes unique spectacular canal run throughout experience authentic italian gondola . love stand around take beauty St. Mark 's Square . treat ticket Blue Man Group show afterwards dinner Canaletto truly remarkable . I visit Concierge Services go well way ensure request take care . cell phone battery low AC charger 2 different occasion , willing charge . overall , stay venetian world class experience would recommend everyone visit Las Vegas stay fabulous hotel . 
 Nov 20 2009 	 Awesome ! 	 Las Vegas several time stay many hotel strip . venetian always one come back . suite great , service could not well , location amenity hotel convenient restaurant wonderful . we usually get offer hotel not wait line check way book seem much well wait long line front desk . otherwise would check hour leave bag bellhop valet go gelato shop around check later convenience . also , suite bit walk elevator might want try ask suite close elevator possible . never bad meal hotel . perhaps one good meal life Aquaknox close main casino . Delmonico 's , Zefferino 's Canallettos wonderful . Cafe du Lux also great almost time meal . sandwich shop near main casino one good tuna sandwich ever . gelato perfect ... except close fairly early Vegas time . Canyon Ranch Spa nice bit walk ... like thing Vegas . ' ve good hair cut informative ( maybe much ) pedicurist teach quite lot callouse . Phantom Opera production impressive well worth seeing even see . show worth see Le Reve , Ka Cirque show . however , would definitely stay away Chris Angel 's show ... can not even remember name trying forget rest . casino offer wide range slot table play . however , minimum usually bit high get bit personalize service dealer even not play big buck . seem pay attention bit glassy - eye early morning really help . all great place stay ... 
 Nov 19 2009 	 great facility room filthy 	 advertised , entire Venetian / Pallazzo complex offer lot explore . impressive ! favor casino Pallazzo side , seem spacious less smokey . restaurant selection throughout tremendous . our room venetian major disappointment . checking , find decorative cushion place pillow stained vomit , smell linger even linen change . also find soil facecloth cushion couch . Nasty ! ! vent bathroom let second - hand smoke , bathroom stink first two day , subside complain . also excessive dust suite , suppose filter change overdue . while room issue disappointing , resort facility outstanding ( raise overall rating 3 4 ) . staff clientele friendly , respectful make pleasant time ( although & quot ; time - share ambush & quot ; entrance Grand Canal Shops strong ) . would probably recommend people try new Pallazzo side , be will next Vegas trip . 
