pleasantly 	 wife travel Thanksgiving weekend get - away . choose Whiskey Pete ' pet - friendly hotel bring along Boston Terrier we . little concerned room service would read review Trip Advisor , figure " heck – let ' give try anyway . " arrive , five couple front we check well . one hotel clerk working , process take little long start long holiday weekend , 15 - 20 minute make hotel desk . young woman work extremely friendly efficient , get we check problem delay . explain put we room set - aside people pet course expect , think sure mean old , dirty , stinky room . but get room , discover fear unwarranted . room large , clean ( carpet , bathroom etc ) , great view outside pool , good , smell like completely deodorized . certainly Ritz – great room – especially low price pay . the casino staff also friendly helpful . give wife T - shirt pick player card also compe we ticket Country Superstars Tribute show nice little gesture really start weekend well . we highly recommend try place next time ' look inexpensive get - away . 
 Oct 31 2009 	 always pleasure come back 	 stay hotel year . not always 35 mile outside Vegas , trip include go California make point stop . Whiskey Petes ( own Terrible 's ) basic comfort Vegas hotel / casino . hotel room Holiday Inn style quality , buffet 24 hr cafe resturant good food , although little small casino floor always busy . one nicer feature outdoor pool / spa open 24x7 . 
 Oct 15 2009 	 awesome 	 place good place stay be budget . not underestimate price place BEST . regret . PROMISE ! ! ! ! 
 Oct 8 2009 	 inexpensive lodging can not beat deal ! 	 casino floor generally keep clean . personnel encounter always friendly good satisfy . yet see place busy ... price night , be hard beat . I say Mega Cafe place eat . one gentleman working register seat guest . certainly not friendly employee come contact , not work possibly . two waiter , run table table keep customer happy . courteous aplogetic delay get food . apparently severly short staff cooking area . wait time food unacceptable . dirty table around we over - work waiter not time clear ... would ' ve perfect project lazy host . admit , late evening ( 10'ish ) , be Vegas ... city never sleep . food not bad - get . would say big complaint stay . the room well clean spacious . stock instant coffee , shampoo , conditioner soap . room decorate nicely ... bathroom granite countertop . 
 Oct 8 2009 	 ok need lot update Outdated ! 	 third time visit Primm Valley Resorts family . first two time stay Buffalo Bills , first time 2003 second July 2009 . 2003 nice property long . stay Whiskey Pete 's time September 2009 . first two visit visit three resort Primm . three time extremely long wait check - in . property severe decline since 2003 . everything outdate need serious upgrading . carpet wear , wallpaper peeling , bathroom need repair . half restaurant close , etc . etc .. look expensive way place stay Vegas . not expect quality would find strip . be ok price want nice amenity nice room go elsewhere . fun kid though . 
 Aug 26 2009 	 not expect much . 	 stay one night way Vegas . check - in slow even though line not long . although date , room not bad . casino nothing special . Stopped McDonalds late night - dirty Mickey 's planet . one bright spot pool . good size nice area . slide impressive unfortunately closed . cheap place , want cheap something nice go across Buffalo Bill 's . well casino , food stuff teenager . 
 Aug 10 2009 	 know room free 	 receive free room part concert promotion . Whiskey Pete 's definitely step - child three hotel state line . arrive Saturday morning early could get concert ticket . Whiskey Pete 's bell service store luggage need chance leave vehicle check . luggage cart assistance prepare haul bring . Valet close . 2 towel room need call . cleanliness mediocre mainly room old splatter wall , stain bedding , etc . housekeep ok need maintain room bit well . ice maker floor break start search floor . find 3 break call front desk assistance . transfer we 3 different department keep try transfer we back previous people . help ! maybe not ability keep thing cold location order beer gambling , come warm . try stay Buffalo Bills Primm . 
 Jul 6 2009 	 outdate 	 stay one night way vegas . everything hotel outdate , room elevator . drain bathroom sink slow , even brush tooth . next person use bathroom wait minute water go . room dark lack lighting , perhaps conceal filthy carpet . perhaps good thing sheet clean smell stale smoke . service check - in lack courtesy- even & quot ; hello May Help & quot ; . read roach room , fortunately not see , see plenty water bug around pool area ( big one ) . Slept one eye open . oh yes , one thing- take shuttle across casino , man shuttle 2 cockroach crawl shirt , daughter take shoe try stomp everyone whatche . wonder come . usually try make good everything , laugh , swore never return . 
 Jul 5 2009 	 not even stop ... drive 	 food awful , place disgusting . not eat , not sleep , place close . 
 Jun 26 2009 	 Room service equal NYC flophouse ! ! ! 	 cheap price withstanding , place go way downhill . close door , depend two hotel revenue . dirty room , minimum food service , valet bell service , beginning , top carpeting sholuld replace year ago . WOW .... give 
 Jun 25 2009 	 cockroach ! 	 stay Whiskey Petes way San Diego , Ca . room 1st floor .. Grossest stay ever ! room full roach , cricket insect ! check late maid finish cleaning room ! call front desk apologize say dang bug ! can not keep ? ? 
 may 26 2009 	 Jost week end nigh 	 Hotel locate Primm 45 minute vegas I15 LA rate good hotel nothing fancy simple casino fun across highway nice Factory Outlets Mall casino entertainment family well - consider low rate not expect give ok couple night ... food .. suggest drive Vegas food hall Outlet Mall - casino good group play good music probably week end 
 May 15 2009 	 new owner ..... new rule guess ! ! 	 Whiskey Pete 's many time year . every time ' ve , not real issue . one thing notice ever since Terrible 's Resort take Primm property , everything go hill . ' m guess 's Terrible 's bankrupt bank step take control property ( tell several hotel / casino employee throughout 3 property ) . ever since happen , quality service dramatictly reduce . not operate table game except Friday , Saturday Sunday . buffet steak house & quot ; Closed notice & quot ; . cafe close 3 week outside company come ( Mega Cafe ) rent space honestly say happen long time ago ! cafe 's food actually taste good , price quite reasonable staff amazing ! warn however , since outside vendor , can not accept voucher coupon Players Club Casino . top , raise room rate ! use able go stay Whiskey Pete 's $ 21.99 p / night week . go last week , charge $ 34.99 p / night . mind not special event convention town nearby could find warrant increase . hopefully economy turn around , either Terrible be buy new owner , remodel property bring back service know be capable . 
 Apr 21 2009 	 Motel 6 Golden Nugget price 	 first pick Whiskey Petes due 's close proximity off - road race hold Primm , Nv . drive 40 minute stay vegas . first check take 70 minute , line probably 30 people deep get 1:00 pm , two clerk work check - in.2nd , get check inform restaraunt close would use resturaunt one hotel area , ( 3 hotel sell expect use resturaunt ) . lastly , get ready use shower realize show head , arrggh ... call maintenance get repair 30 minute . travel bit work pleasure honestly say bad experiance year . 
 Mar 23 2009 	 bad . service . ever . 	 even begin explain nightmare & quot ; Whiskey Pete 's . & quot ; sincerely , guest consumer , say never treat poorly service provider staff hole hotel . Jim Daniels ( be one front desk look like Cabbage Patch Doll ) rude person planet -- , wife , friend guest see interact . fire . supervisor , Seth , much well . make reservation Whiskey Pete 's stop - over trip Los Angeles . arrive hotel 2 a.m. force wait nearly 3 hour ( end check 5 ) . especially dishearten leave 7 a.m. make way L.A. wait despite fact reservation one person ahead we ( believe , conduct informal poll ) . staff front desk falsify information claim everyone else reservation ( tell know lie would speak rest simply mumble continue refuse even offer apology problem ) . even try break ice get front desk wait friendly joke , Jim Daniels instead say & quot ; sick stupid guest . & quot ; hang three people call slamming phone . woman poke head attempt get room tell supervisor , Seth , 84 - year - old mother nearly oxygen need butt line get room restore oxygen , Seth debate whether let jump ahead line eventually concede & quot ; give circumstance guess can not really say no . & quot ; reason long delay : front we ( behind ) ask walk Whiskey Pete be completely book Buffalo Bills . Whiskey Pete 's adjust ( inflated ) rate anticipation rush newcomer attempt charge we ( although reservation advance ) new rate . room , book $ 49 one night , end charge rate $ 250 . attempt charge we $ 125 per night , although check 2 hour checking , yes , incompetent staff charge we two night ( guess hour constitute night mind ) . take week get enormous error adjust , everyone along every step way rude beyond belief . never get much apology wait drastic overcharge , thank goodness week pester leave message machine , get charge drop $ 250 $ 49 . room compe begin . pay we nightmare endure . 
 Nov 16 2008 	 love hot tub 	 past 6 year thereabout , group Land Sailors stay Whiskey Pete 's accessible Ivanpah Dry Lake sail . year give room face mountain . housekeep ser vice greatly decrease housekeeping provide one ... gladly provide request ( available ) food menu price greatly increase less help . Whiskey Pete 's advertise & quot ; Prime Rib $ 6.95 & quot ; anymore . also , buffet may open weekend , also , huge hot dog beer special $ 1.00 . thus , dine Silver Spur food pricey ( $ 20 + ) excellent service food+ . oatmeal raisin reasonably price . also , T - Bone steak special ... ASK MENU ! Buffalo Bill 's buffet good , reasonable locate close Outlet Mall . also , be good variety food Mall . next Spring will take additional : coffee , shampoo etc . , price - wise 's affordable , convenient clean cover parking . also , short drive downtown LAS ( 40 mile ) . , economical place around ! . 's dog / pet friendly ! 
 Nov 11 2008 	 Easy Whiskey 	 late night , last minute trip Vegas stop get zzzz 's . 's smokey date , job tired eye . open door room notice belonging pair boot edge bed ! quickly walk right head back downstairs . glad see naked body ! minor filing system error assign another room . the second room decent , pink , 80 's , clean , serve 's purpose . basically , can not picky price pay . 
 Oct 24 2008 	 absolutely awesome 	 stay whim . decide Monday morning go Vegas . check hotels.com get room 22 dollar night . tower room , 15th floor . room immaculate , a / c work perfect ( fact freeze ) park plentiful service excellent ever . must say saw negative review worry , GREAT stay . definitely will go back next trip Vegas . 
 Oct 9 2008 	 Disgusting ! ! unless happen enjoy stomp cockroach 	 Blech . old wing hotel dog . fear would urinate rug many & quot ; scents & quot ; mark . room smell like stale smoke , course , window not open . morme find four -- yes four -- cockroach scamper around bathroom floor . travel companion room new tower cockroache nice carpet , find beetle hair upon wake morning . ' m surprised place not get condemme . 
 Oct 1 2008 	 good value hotel 	 modest hotel casino way LA Vegas . room ok . many truck driver stop . area safe friendly . nice fashion outlet , pool , slide , ride attraction restaurant . reccomend steakhouse ! 
 Sep 30 2008 	 much Better would Anticipated ... 	 read previous review go hotel 9/24/-27/2008 give anxiety would find due negative review . husband attend 3 day conference / seminar work , work book pay room want check get . , negative experience , write postive review : see 3 dead big bug hallway lead check - in desk parking garage , bug see inside facility ( look like cricket -- sign good luck , alive : ) ) . bug kind see hear room . front desk staff duty 4 pm We d 9/24 cheerful friendly . least 6 behind counter , 4 window open help people , another 4 people ahead us get line . present confirmation number get window , less 10 min . stand elevator 3rd floor room overlook pool . the room bad . smokeless room -- stale odor . & quot ; room judgement & quot ; also include bedspread look : look new . & quot ; limp & quot ; wear - out broken quilting thread -- ( still fold not sit sleep ... ya never know 's sit them bare - bunne ! : ) ) leave room day 11:30a return 3 pm , find room attend . bathroom keep well - stock fresh towel / wash clothe everyday . wall either sound - proof , quiet neighbor ; hear voice either room , tv noise ... usual shower running noise share pipe wall . air conditioner -- old style -- work well . 's thermostat turn set .... 's 1 negative thing room -- 3015 -- happen home : toilet need new flapper , would allow slow leak tank 's fresh water 's not good & quot ; whooosh & quot ; flushed . sometimes take 3 - 4 flush toilet paper , be big waste water ( ironic seminar husband attend waste - water treatment business ! ) frequently make ' little flush ' be refill ... negative : co - worker tell wi - fi access . , FEE . take laptop normal surfing entertainment keep email , $ 6.95 1 hr . access thru cheetah.com , decide not worth ( & quot ; bargain price & quot ; time online ... still worth ... ) would stay . dog , 3 hotel Stateline , Whiskey Pete 's dog friendly , even though not see anyone dog . 2 hotel advertise Pete 's dog friendliness big display casino . 2 dog , know dog policy , could keep company ( post policy state : dog 50 pound ; must crate be room ; excessive barking room ; be responsible clean - up , inside outside hotel ; Pit - bull P / Bull mix -- P / bull get bad rap , IMHO -- previous dog Pit ... sweetheart ... ) 's review ... hope help decide whether stay . 
 Sep 27 2008 	 free deal not free 	 live Las Vegas since Terrible be take Primm Resorts get lot offer go Primm . offer 2 free night 2 ticket concert . well stand line hour , finally turn , tell even though room free would need give credit card $ 50.00 deposit case damage . assure $ 50.00 would double like gas station etc . mad offer say would need pay $ 50.00 . attendant say money would go room ok leave . go room sign roach , man hallway say bunch live bug room not go . get home find charge card $ 126.00 . week worth call return call , get run around call . free OFFERS Primm joke ! 
 Aug 26 2008 	 look wait front desk check - in 	 first time stay change ownersand disappoint front desk staff . we waitie one hour half check - in thefront staff friendly . staff member wereworke check - in guest slow andconstantly ask lead staff member question , lead long wait time . back . 
 Aug 10 2008 	 good hotel budget ! be ok ! 	 husband get back stateline first time stay Primm hotel , always tend stay strip . overall experience good decent & quot ; budget & quot ; trip . hotel clean , service great ok . food drink AWESOME ! ! ( $ 1.75 beer cocktail $ 1 hot dog ! ) , entertainment ( good nightly band ) slot ok , TERRIBLE 's CASINO across street well slot good outlet ( Neiman Marcus , Coach , etc ) walk distance . hotel price Fri Sat $ 81 total ! ! ! get well deal . on Sat go strip see & quot ; & quot ; Bellagio even though nice , trendy , new hotel ... people stick , price ridiculous ( $ 7 beer ! ! ) huge line food place everything toooo snobby ! needless say husband likely stay Primm hotel next time ! recommend ! 
 Jul 21 2008 	 usually expect 	 get Primm around 10:30 11:00 pm , finally get room around 11:30 pm . come find entertainment center push tv unplugged . call maintenance ask tv problem could possibly fix tonight , around 12:30 maintance finally come . take understand problem , polite , get tv work within minute . next night come back hotel room cricket hotel room . hear cricket whole night , could find bug anywhere . rough night . next evening relative drive Primm join we rest stay . sister , check husband kid wait wait area away machine . , 11 year old daughter big girl , know , try lose weight . worker casino go father , said & quot ; wow , big girl ! like eat alot chicken ! & quot ; proceed make rude comment gesture towards . idea name worker , terrible thing say little girl weight problem . self esteem obviously low rest stay . also , take daughter gift shop look dice , encounter rude employee unhelpful . usually love stay Whisky Pete 's trip feel unwelcome . accomodation usually warm , welcome disappointed time . 
 Jul 18 2008 	 stay far away ! ! ! 	 book stay i4vegas get confirmation letter everything . arrive Primm around 9 pm , 10 pm us 3 tired kid car ready bed . husband stay car run inside check we . know- not reservation ! give copy confirmation letter still could not anything . every room Primm book not one room open- even hotel ( be own people ) . keep try make phone call ' housekeeping ' try figure could get room . finally say wait 45 minute would room ready we . happy , not really choice , sit wait hour half bother tell we not work . ask manager talk along keep say not one available . give piece mind tell want talk somebody else , finally manager call office wait 20 minute show even angered way treat we . unprofessional seem less knowledgeable worker . tell going tell have almost 2 hour could ' ve drive well California , want money back ( refund card ) could way . well , tell since book online nothing could would get refund website . get charge room not get waste 2 hour time show concern we go . seriously ruin day cry time leave rude pathetic whole situation ! would stay far away primm . either drive onto Vegas onto California ! know room good price , money worth put we waste 2 hour time give we empty promise , give we room , ' ve pay we stand late night 3 cry kid . 
 Jun 22 2008 	 Cucarachas ! 	 start ? ? ? first , never receive email confirmation . call ask question late could check confirm reservation , hotel rep not understand question & quot ; want confirm reservation , late check in . & quot ; tough right ? , upon arrival , wait line 15 minute two people ahead we . , another hotel rep not speak english well not would consider friendly helpful . check , head room 8th floor , last room suffocatingly hot hallway . ok room bit old , date . whatever , expect . want get ice head back hallway get . find ice machine measure perfect amount ice fill assign bucket also need room key get . since want run quickly , key room , ice . 9 pm headed buffet . buffet three choice eat . hungry eat . within minute feeling nauseate good . feel subside able play couple hour casino . finally get back room greet little friend ... big , black , shiny cockroach ! pillow , inch head . call front desk immediately tell come room would switch . another lengthy walk hallway hell . another line front desk . time get another person would yet unhelpful rude . reserve non - smoking king minus cockroach . evidently last room two queen pawn we . point irritate ask manager , Adrian . gladly fix problem give we king nonsmoke handicap room 18th floor second hall . room roach - free ! luckily end scary evening Whiskey Petes . give check 1 pm appreciate honestly , want get fast . need someplace quick cheap stay , stay bring raid pepto . 
 Jun 2 2008 	 good deal budget traveler 	 since like spend extra cash shopping / eat instead , cut back extravagence room stay . usually stay hotel travel Vegas rate cheap ( usually around $ 40 - 50 weekend day ) compare pricy rate ( $ 100 + weekend day ) Vegas Strip . room basic , clean , safe . would recommend check room later 5 pm . last time reserve non smoking room , time check 9 pm , take give we smoke one instead . catch would drive 30 minute go Vegas Strip . would drive vegas strip morning , park car one large casino , spend whole day , be tired , drive back hotel night time . save extra $ 100 shopping outlet next day . 
 may 29 2008 	 great lied price 	 arrive hotel Primm , Nevada way Utah memorial day weekend . naturally raise price bit . tell desk price would high $ 38 . get back credit card statement say $ 56 . even , still good deal . everything need bathroom , even blow dryer . room clean , spacious luxor excalibur room Vegas . hot tub suite Luxor , -- room big ! ! great deal ! angry lie price -- -but would still go back . arrive rediculous band play main lobby . guest watching seem drunk . seem like keep everyone entertain well . problem price mistake . also , area not infest tootheless heroin addict drug dealer nice difference PLAZA hotel CASINO uptown vegas -- also decent inside clean , worth stress walk bus stop outside . chase every 2 second bum ask would like sell gun crack . kid . woman man alike harrasse constantly . be look cheap , would go place instead , deal half hour drive vegas . 
