Nice 	 stay 40th b - day . got Studio King Suite great rate . nice big room , hardwood floor balcony . comfortable bed great shower pressure . 2 elevator hotel , one big barely enough 2 people luggage . Bellman Front desk staff great helpfull . food , Starbucks , train , Whole Foods , Central Park within step hotel . overall great hotel plan stay future . 
 Nov 9 2009 	 great hotel great service ! 	 stay one night celebrate special birthday . surprised upgrade penthouse suite due cancellation ! suite amazing ! clean , spacious , nice amentitie . everything could need , staff always willing help anything would want need . location awesome , across street Central Park Time Warner Bldg . the staff 6 Columbus young , attentive , courteous , friendly , helpful , professional . staff hotel make visit well expect definately return . we not try hotel restaurant room service - continental breakfast time , satisfy . great place start end visit nyc.there store right corner forget anything want cold drink / snack / etc . 
 Nov 1 2009 	 really nice hotel 	 stay one night . haggle price room put 60 $ . hotel room lovely . get king room.really clean big .. load room . big bathroom bath . comfortable bed . tv ipod dock wardrobe . would recommend hotel . nice quiet . reception wer really nice . small hotel conteporary design ! great room.we breakfast next morning restaurant really nice . great location 
 Oct 21 2009 	 friendly staff great location 	 contemporary - style standard room small lack chair , desk dresser one might expect , hotel make perfect location Lincoln Center , theater district Central Park . smile talkative doorman speedy check check receptionist friendly capable housekeeper , staff way average . 
 Oct 14 2009 	 Awesome ! 	 Great Hotel , nice employee , modern 50 's - 60 's design next Central Park . for first time NY 's good place stay , Uptown . 
 Oct 12 2009 	 Perfect New York hotel 	 book hotel quikbook.com unbelievable rate $ 270 / night , 2 3 night arrival . everything else look $ 300 . turn good place ' ve ever stay New York . room call Pod Room , mean bedroom bathroom . seat area desk ! be never room anyway , perfect . see many photo , room clean , stylish , modern . love Starbucks right next door , Columbus Circle subway station , major subway stop many intersecting line , right across street ! be across street Time Warner Center high - end shopping . , plus low rate , add perfect New York hotel . 
 Oct 8 2009 	 great hotel- need desk room breakfast option improve . 	 Great Location , beautiful room , however need desk work on . the breakfast serve japanese restaurant standard expect . 
 Oct 6 2009 	 beware booking system ! 	 recently stay New York originally book hotel go review , still bit sceptical room size . personal trip , hope use hotel add list accommodate business client staff . anyway , week stay find much well deal decide cancel booking . rang hotel airport way another trip everything sort ( thought .. ) .I get back stay find email thanking stay , ask fill questionnaire ! check credit card sure enough ' ve charge $ 290 first night . email hotel tell blankly would refunded not keep cancellation number ( hell keep anyway ) . expect hotel send email confirm cancellation nothing arrive . like say airport would not able check return . so stay careful making booking . know dodgy booking system might ! whilst NY call hotel read sushi restaurant , obviously find have rip . overprice much nice sushi bar door away . hotel actually Columbus Circle , side street , view back high - rise shopping centre . 's walk Time Square . be much well NY hotel room 37th floor view Empire State Building less money . 
 Sep 21 2009 	 great location contemporary interior design 	 boyfriend stay standard queen room two night . room well decorate contemporary minimalist style great artwork wall . size room big , standard ny . room clean , designer toiletry bathroom . pity not trash room , bathroom . wish could improve lighting , bit dark . find location convenient , right next subway huge shopping center Whole Foods , get breakfast . sushi restaurant downstair look good busy every night . cab easy catch right next hotel . staff polite helpful , well good looking . overall , enjoy stay . 
 Sep 8 2009 	 Good Hotel - extremely friendly Staff 	 good hotel great location extremely friendly helpful staff . would not think would make difference . hotel staff definitely make place worth try . 
 Sep 7 2009 	 good hotel ..... 	 husband book hotel Jan 09 50th birthday Aug , book queen superior & amp ; also put book form & quot ; special birthday & quot ; could room nice view . arrive allocate room 79 - it smallest room even see , look small window view large white soil pipe run middle window , challenge porter grade room , said & quot ; pod & quot ; room , explain booked queen superior suddenly change mind say yes queen superior ! get move well room complain front desk ( still nice view certainly grade , lot people seem get review ) 4 day 1 2 elevator work & amp ; 7th floor . apart hotel great location clean & amp ; tidy . feel hotel style & amp ; substance , look classy web site . 
 Aug 16 2009 	 trendy nice ... 	 persuade stay boss instead Parker Meridien count one favorite hotel NYC . come meeting stay weekend partner . think charming hotel well - choose decor amenity - mid - century furniture lobby fur - cover wall elevator . room cozy teak wall , great magazine , small free - stand wardrobe blue - tile bathroom complete Kiehls bath product . location right across TimeWarner Center ( Columbus Circle subway stop ) . Time Square block away , well great restaurant . would definitely stay . 
 Jul 23 2009 	 still well 	 first stay 6 Columbus November 2007 long open enjoy much . since occasion return time not enter review , thought would provide current thought . recent stay July 1 - 4 year . virtually booking Quikbook $ 200 night Pod Queen room . not spend much time Manhattan hotel room outside sleep , ' m pretty easy please thing like enough space swing cat tend focus thing like comfortable bed , overall cleanliness , quiet place put head clean functional bathroom . 6 Columbus never disappoint front stay . , quite simply , become hotel choice Manhattan . I can not say enough location - Time Warner shop , restaurant bar one Bkn - Brx subway stop literally right across street , Bkn - Qns subway stop around corner , Central Park close get money . ' m lover cities without green space might go shop Soho , be not stay . hotel 's bar nice place gather troop start nightcap . Staff continue helpful , ' ve one negative check - in experience nature room available arrive 15 promise minute become 45 , definitely exception . there be nothing yet serious enough send elsewhere . 
 Jun 24 2009 	 fundamentally unacceptable 	 6 Columbus disappointing recent two - week stay . travel consultant non - profit , client understandably want keep hotel expense reasonable , 6 Columbus 's rate accomplish . content hotel fall far short luxury , 6 columbus meet basic need . room small , include & quot ; suite , & quot ; , surprisingly , really suit rather single room like other . room remind college dorm room . closet small armoire , regrettably deep enough hold clothe hanger back front , wide enough hold shirt suit . inquire front desk , alert two cupboard build one side base bed , see since duvet hung . help , mean get knee retrieve anything . single traveler ; imagine one person could negotiate room . course hotel find plenty space in - room mini - bar , food , souvenir concession . duvet , way , clean ( show organic remnant previous guest ) , finally laundered replace fourth day , despite early request . duvet bed - covering : 's sheet , sleep duvet ( , , become unbearably hot ) nothing . soon realize bad thing . noise level high ( especially staff hallway -- even near elevator ) , effective strategy turn AC way run much possible drown noise night , be cold room duvet perfect . large roach water - bug ground carpet remain several day arrival ( impossible miss ) force clean person deal stand watch . clean staff invariably pleasant ; one day , however , return room 5 afternoon find starting room , inconvenient . room telephone receive call , could dial retrieve message leave ( though announce presence blink light ) . manager come room try fix confess hotel 's whole phone system & quot ; total mess . & quot ; two week phone never fix . one night call front desk , via cell phone , arrange early wake - up call next morning call arrive request . next morning someone staff bang door early hour , shout wake - up call phone not work . ( unfortunately , sleep - in day . ) room quite dark , even light full , window give deep air - shaft let little light . bathroom usual small - hotel standard . Hallways narrow make difficult navigate room - service tray , spend entire day without collect . sometimes sit stairwell , must surely safety violation . in - room information book say deliver NY Times every morning , instead deliver NY Post , entirely different species newspaper . point front desk , although staff - person seem grasp saying , deliver Times ( along Post ) next day day thereafter . front - desk staff generally cold unhelpful . concierge pleasant doorman eager cheerful . entry hallway lead lobby elevator keep dark ( sexy mysterious , guess ) find impossible see enter brightness street ( often via small homeless encampment outside ) guest forever collide dark hallway . 6 Columbus cultivate chic high - attitude veneer address essential hotel must minimally provide . internet $ 10 per day ; might expect hotel try trade trendiness would offer free , many . respond somewhat nudging . still , two - week stay grow depressing , recommend hotel . 
 Jun 21 2009 	 Fabulous Upgrade great stay good NY location 	 arrive Tuesday 16th 3 night stay , book think good deal via Quickbook studio suite work $ 203+taxes , pleasantly suprise upgrade huge duplex loft suite great view Time Warner . room two flat screen tv 's , great shower bathroom facility , comfy bed pillow great fridge freezer Microwave hob need it . so great start good break . the Location uptown superb , MTA cross road , minute walk central park 5 - 10 minute across 5th Avenue 's many numerous shop . whole food basement Time Warner building across road good buy grocery breakfast . hotel staff friendly , keep good humour unseasonal wet weather New York , good recommendation lunch staffreally enjoy stay 6 Columbus would happy return 
 Jun 20 2009 	 Hmmm boutique attitude ? 	 book via quikbook 3 night stay June . quikbook add say free upgrade . upon arrival ( around 1630 check 1500 ) , tell ( tersely say least ) 1 . room ready , would 15 minute wait 2 . upgrade hotel full . we wait ( apology drink / anything offer ) patiently , 20 minute finally feel pretty ignore question whether room ready . & quot ; not know & quot ; come reply & quot ; hotel full know ! & quot ; . since hotel full guest fault ! ! ! ! huffily give upgrade ( amazing since hotel full ! ! ! ! presumably someone late get downgrade ? ) .only complaint room view grotty back apartment block ( not expect panaroma ! ) . bed comfy . on plus location great . reception attitude get arrival really sour thing we . would not stay unless exceptionally good deal . 
