would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Nov 26 2009 	 totally Faultless ! ! .. : ) 	 last couple year use TripAdvisor totally book accomodation . trip exception . Affinia Dumont brilliant review even BETTER could expect . hotel absolute must . totally fantastic . arrive long delay flight 2.5 hour custom check greet friendly smile staff . room 2nd top floor amazing view New York . room really large 2 double bed kitchenette . have book online directly get good rate . 2nd visit New York , first time stay Tribecca think good , would def . go back time time tell other . clean , towel change daily bed make / change . staff could not helpful . location fab . near subway walkable distance sight . genuinely problem encounter . would not consider hotel New York . simply fab . : ) hotel spa admittedly do not ' get use short trip , quick look look lovely . maybe next time . 
 Nov 25 2009 	 exceed expectation 	 travel New York Mum early November . first visit , 7th . hotel far well stay , New York . hotel tall 30 odd floor particularly attractive outside not expect usual lounge , restaurant , large reception area hotel , really not need accommodation friendliness helpfulness staff compensate . hotel Murray Hill area , really nice neighbourhood three block Empire State , also close Metro stop go downtown , room New York standard huge ! bathroom , small kitchen , full size fridge cooker , plus microwave room two comfortable double bed complete pillow menu . bark Dog restaurant attach recommend hotel fantastic breakfast . must also commend concierge - David - get we Radio City Music Hall Xmas Extravaganza ticket last minute untrue ! right welcome bright sunny receptionist courteous helpful doorman , can not recommend hotel highly enough , even ask would like floor 32 view low . end 14 , understand view spectacular . 14 good floor , actually high enough miss New York traffic noise , daunt someone keen height ! look comfort great value place . 
 Nov 22 2009 	 great weekend getaway 	 Wife go weekend retreat ... hotel wonderful . hotel exceed expectation , staff , room , location excellent . would definetly recommend hotel . 
 Nov 21 2009 	 quite good - minor issue 	 stay 11 day 4th trip ny . upon arrival ask room high floor view , tell 12th floor enough ( whatfor ? germans ? 30 + couple ? ) . anyway . room spacy , real spacy . furniture litte wear , bed comfy . roomservice quite good , fresh towel ( even do not request ) every day . neighborhood none afraid . 5min next metro . good breakfast facility around ( try timesquare bagel 33th ) . overall bit disappointed staff , would consider stay , althoug $ 270 night isn´t cheap ... 
 Nov 20 2009 	 Good Hotel Good Location spacious room NY 	 stay Affinia Dumont 5 night . book Junior suite suprise spaciousness room . staff friendly , service good . lovely restaurant bar nearby . the hotel offer shuttle service back airport may worth consider price recently rise ( $ 76 from / to Newark airport taxi ) , shuttle service $ 23 pp . I would defnitely stay . 
 Nov 18 2009 	 Affinia Dumont excellent choice 	 choose Affinia Dumont close workshop attend base positive Tripadvisor review . experience exceed expectation ! room huge nicely appoint , good thing hotel staff . friendly , helpful make feel welcome entire stay . first part trip stay alone feel safe comfortable . husband join weekend work do kitchen come handy extended stay . also enjoy walk kit fitness center , like room spotless . ' m return two week another workshop look forward spend time fitness center spa ! husband agree would not want stay anywhere else NYC . 
 Nov 15 2009 	 pay 6.553 $ get : low value 	 hotel good long stau New York room quite big kitchen . however hotel taste . location actually good problem . problem alot small detail . room high floor fantastic view - get view . get backyard . ask 3 time 17 night stay move fthe front reject every time . rainy day ask umbrella . yeah could get umbrella 15 $ . come - pay 6.500 staying . room little worn . tv channel . curtain miss , tv 1970 's think change room ( clean 17 night stay ) . really kind hotel amentie . conclusion : stay long time bring family might benefit kitchen big room / aparment . case many trendy hotel choose . stay INK48 month staying would definetely choose ink48 compare place . 
 Nov 15 2009 	 Excellent Location Hotel 	 11 we stay Affinia Dumont 6th November 9 November long weekend . hotel excellent , check departure . check problem even although 9 room check , staff friendly always available help . stay 31st floor nice view city - although not room long . room massive , functional kitchen , mean could make tea whenever like , husband could cold beer fridge . be nice wee bar / diner next hotel use meet , great breakfast place round corner - Murray Hill Diner - pancake amazing . would highly recommend hotel , fault staff , nice , would book hotel New York . 
 Nov 12 2009 	 Excellent hotel - stay 	 hotel wonderful ! first time stay neighborhood hotel never go back time square ( except show ) . neighborhood safe ton place eat hang local bar . meet lot different people everyone friendly . the hotel room good size . bathroom little small we 2 girl , make work . favorite part kitchen . store left over get grocery corner market save we money eat . also give we chance relax cup tea bed without walk starbuck coffee shop . the paint bathroom tub peel , water pressure good . wonderful corner room 25th floor view river . although could not see empire state chrystler building room , city light wonderful night . the bed comfortable coat rack extremely helpful . pillow little hard unless request hypo allergenic pillow . room quiet . elevator quick neighborhood crowede . the conceirge friendly helpful . make dinner reservation we . front desk also helpful friendly . time leave , hug doorman good bye . this New York experience . 
 Nov 12 2009 	 really comfy convienient friendly hotel 	 return 4 day New York stay hotel . staff friendly helpful . even tell subway entrance take get particular station ! studio room fine , clean , plenty room . huge bed fabulous cotton sheet ! kitchen great , coffee machine provide . bathroom always really clean , masse towel toiletry provide good quality ! spa look fine , steam room gym , not get time use . lot coffee shop deli buy food nearby . good convienient restaurant little Italian call Squisito , hill East 34th street hotel make great pizza thick soup etc . people really friendly funny ! almost two day find New York really easy place walk around take subway . hotel give good map . Book Hop Hop City Bus line go really good deal well worth commentary funny informative , extra include online deal make good value money . have lot tip , hotel make whole visit really pleasure , single lady New York ! 
