always 	 stay wife 5 night early Nov. 2009 . always , room clean well maintain , hotel staff always pleasant . appreciate extra help receive Pedro , assistant manager . residential hotel nice neighborhood , able walk place want visit . room large , fully equip kitchenette . probably stay Affinia 20 time last 5 year . 
 Affinia Gardens Great Hotel 	 room service Affinia Gardens terrific . location ( E. 64th near 3rd Avenue ) perfect . staff people encounter various trip -- Krys , Latoya , Sam , Rhonda , Pedro Sal -- pleasant helpful . hotel configure like residential building hotel . like small , intimate reception area put directly onto 64th Street leave . fact , experience Affinia Gardens like residential hotel live Manhattan . highly recommend . 
 Nov 26 2009 	 Unforgettable Service 	 stay affinia garden early month , must say stay unforgettable . make transition hometown Boston New York , work purpose . come mother day , melissa person check we Michael take bag room . stay day stay staff helpful pleasant . Glenda night person resourceful , make sure get extra pillow towel late night hour . like area much , new apartment 3 block away hotel . family definitely come hotel offen , impressed oasis Upper East Side . people make stay great , Jennifer , Shefi , Caprice 
 Nov 26 2009 	 Glenda go way 	 overall clean quiet space middle hectic city . problem room Glenda , front desk representative , go way find room meet expectation . 
 Nov 23 2009 	 wonderful . 	 town museum weekend Affinia perfect . spacious room ( especially NYC ) , staff accommodate arrive little early expect want check early . clean room up - to - date furnishing , comfortable bed , close good restaurant shopping . would stay minute . 
 Nov 22 2009 	 Excellent hotel . enjoy stay . 	 affinia gardens wonderful place relax upmost accommondate need , Pedro call manage hotel high standard extremely helpful great attitude smile every problem request . would give hotel high rating recommend great place stay feel comfortable home . 
 Nov 21 2009 	 Exceptional NYC hotel 	 room 1001 . clean , absolutely huge exceptionally quiet . ( not afraid next elevator ... never hear ) ' ve stay Manhattan Hotels 30 + year though one not & quot ; big name & quot ; not fancy , solid value respect , & quot ; get , pay . & quot ; staff unforgettable way . Sal , Krys , Sam , LaToya , Rhonda Pedro go way help . pleased . 
 Nov 20 2009 	 another great Stay ! 	 stay Marriott , horrible hotel , appreciate Affinia Gardens 100x '' . price right , location central everything , room huge staff wonderful . Melissa , Jennifer , Glenda , Caprice , Shefi , MIchael top line ! see January ... 
 Nov 18 2009 	 great place stay 	 hotel situate walk range lot great place . staff helpful care people , professional . always give good advice need . stay 6 week , enjoie everything . 
 Nov 18 2009 	 wish stay long Affinia Gardens 	 ' ve spend five week New York year . tomorrow ' m leave would like thank much staff hotel stay - Affinia Gardens ( locate 64th street 3 2 avenue ) . special thank Latoya , Rhonda , Sam , Sal , Krys , Shefy . real professional . everything perfect . real pleasure . thing make upset stay long . look forward see , guy , future . 
 Nov 17 2009 	 great people room location go extra mile 	 August 2009 visit 10th Affinia Gardens ( previously Lyden Gardens ) cnr 64th 3rd , feel like come home ! Michael excellent doorman Latoya front desk , everyone helpful bit . Sydney generally long flight exhausted arrival . come back Affinia Gardens help we relax quickly . room spacious , good linen , Aveda product kitchen well equip . , neighbood safe convenient good food shopping close . like friendliness although cheap , 's good ' ve find decade visit . Elizabeth 
 Nov 17 2009 	 great hotel great service great location 	 Location great - close midtown shopping restaurant . excellent , professional , friendly staff service good part stay . hotel plush show little wear serviceable roomy . room clean Love full kitchen . would great family . stay many time always level great service front desk , bellman , maintenance cleaning personnel . always quick follow request . definitely stay recommend hotel other . 
 Nov 16 2009 	 wonderful 	 beautiful hotel , wonderful staff ! Latoya , Sam , Krys , helpful pleasant , make we feel @ home everytime walk door ! tea bar nice add treat love Affinia blend . 
 Nov 13 2009 	 Love place ! 	 third time stay Affinia Gardens . room tranquil , clean spacious . staff friendly accomodate . Chris , bellman always remember we . shefi front desk always get we right away . location well . look forward return . 
 Nov 8 2009 	 fantastic hotel include frontdesk staff 	 hotel guest November 1st November 5th huge amazing 1 bedroom suit , much large imagine . problem internet lucky nice gentle man name Shefi save day . wife problem pillow room . amazed Jennifer offer try 6 different pillow suitable wife . can not recall many name employee Melissa Glenda good customer service far see hotel stay . 
 Nov 3 2009 	 great hotelexcellent location 	 choose hotel nearness museum / art gallery , Central Park . we upgrade suite - nice . room smart comfortable , staff exceptionally helpful friendly . 
 Nov 2 2009 	 Loved ! ! 	 recently spend 4 night Affinia Gardens . initially worry since room book ( 1 bedroom suite ) & quot ; unable & quot ; night check check Junior Suite ( 3 we ) . pleasantly surprised room group decide stay Junior Suite rather move another room rest stay . the service amazing ! ! staff include Latoya , Melissa Sal ( hard work man Manhattan ) awesome ! ! location great . loved neighbourhood feel ... great restaurant within walking distance ! 
