excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Nov 25 2009 	 great location staff room 	 slightly nervous stay Affinia Manhattan would read poor review Tripadvisor . however partner think excellent would recommend anyone , especially first visit New York . hotel fab location - road Penn station - be fly Newark hop train airport straight Penn . reception staff extremely helpful give we choice room , explain would noisy . room back 6th floor , large fully function kitchen bathroom tub shower - sleep window open could hear traffic noise not disturb we . fab trip look forward return next year . 
 Nov 21 2009 	 stay ! 	 room : hotel room spacious living room area ( office desk ) , decent - sized bedroom , small kitchen , two terribly small washroom . blind break , furniture extremely old , washrooms & quot ; appear & quot ; rusty . hotel room directly face another building , could see other ' window . hallway seem outdated , overall vibe hotel terrible . touch phone next bed , smell hand -- stink ! Smelt phone confirm stink not something else . Disgusting ! give reasonably high mark ' service ' category since janitor helpful guide underground washing / drier machine . although second thought , make way room service would pick laundry hour . expect extra charge internet well . check room 1 am , 11 am next day ( cancel remain night ' stay ) one employee knock door ask leave . test fire alarm background , start 9 am . ' ve stay many hotel , one deserve 's ranking . feel nothing like hotel ; like rundown apartment would rent . check hotel demand refund , move another one location -- Affinia Dumont , MUCH well location . ' ve already book , highly suggest get refund unless not mind stay ridiculously overprice , outdated , poorly maintain hotel . be consider stay hotel -- RUN , not ! ! 
 Nov 21 2009 	 great spot - kitchen bonus ! 	 excellent location . 2 block Macy 's , 4 block Times Square across Penn Station . studio room 3rd floor . room huge ! full kichen , decent sized full bathroom king size bed . downfall noise . close street level , night time noise awful . ask high - level room ! kitchen handy breakfast . deli downstairs pick bit . good hotel great value money . 
 Nov 19 2009 	 Location hard beat 	 recommend hotel friend although time book able find cheap accomodation , regret whatsoever . hotel ideal location across madison Square garden , ten min walk time square Empire state . bus across road bring Battery city park ferry statue liberty Ellis Island . room spacious , kitchenette full size fridge , huge bed , pillow menu , although ensuite bit small side . spotlessly clean . reception staff , doorman , conceirge excellent . nothing much bother . give helpful info restaurant visit tourist site . will back . 
 Nov 17 2009 	 not use parking facility 	 let valet take car park garage . next day ready leave , pull car front hotel . I notice car rinse , could still notice foot long scratch driver side fender . I try wipe get close view . it look like driver scrape side beam garage something . the valet people came wipe buff cloth tell like that . I argue not , husband assure not there . they tell fill report front desk , do . I never stay not admit damaging car . the fact hose dead giveaway something wrong . 
 Nov 16 2009 	 Excellent Location NYC 	 Husband return 4 night stay Affinia Manhatten hotel 3rd visit NYC . location hotel fantastic , many city top attraction Empire State building , Times Square , Fifth Avenue etc within easy reach , fact plan Visit Maddison Square Garden , hotel right across street . not read review hotel prior book book travel agent , previously stay Affinia Shelbourne last visit year ago . disapointe ! ' m surprised critical review hotel , yes bathroom bit cosy , stay Shelbourne hotel , bathroom tiny , may big city hotel . yes decor room hallway look little date , bed comfy lovely quality bed , shower hot powerful , way well shower home ! good bit kitchen area , include fridge , always chill water whatever need . amount time spend room city , acceptable we , regular traveller . say agree comment noise however , room third floor , traffic fire crew head could rather loud , not disturb , light sleeper . overall , would recommend hotel look great location , friendly helpful staff , good value money . would certainly stay . 
 Nov 16 2009 	 great people pet ! 	 Affinia classy clean staff provide we great service . boyfriend stay Affinia Manhattan two night March Golden Retriever . we not interested spend ton money stay unnecessarily fancy place . $ 119 night studio suite . one get huge , also plain basic . super comfortable king - sized bed , small kitchen , high - speed connection . there plenty room dog , Barney walk around . want make sure pick place Barney could good time . location great , right next Madison Square Garden . be also 5 - minute walk dog park . restaurant bar nearby ( , New York ) ! drink bar hotel . good fruity specialty drink $ 10 . 's nice place get drink night . 
 Nov 15 2009 	 beware booking discounter .... 	 book trip discounter - name begin price end line decent rate . call right booking speak someone make sure would 2 bed room travel child . say problem . funny thing check & quot ; nice & quot ; attendant say order two bed would need upgrade room would & quot ; give we & quot ; discount $ 100 $ 50 . mention call & quot ; Steve & quot ; not mention upgrade charge . say would not know ... find hard believe . room spacious 's positive thing could say hotel . arrive room - service man still equipment ( one container appear fumigation spray ) . quickly leave . NYC , room spacious . 21st floor . unfortunately , give old window , high enough away city noise . we two full size bed kitchenette . bed hard uncomfortable though sheet nice . floor underneath bed sport leave behind sock really nasty look debris . bathroom small clean little mildew tub grout . carpet wear wall furniture . tv old school clock radio hair dryer . iron ironing board also provide . drapery dingy around edge . warn supply coffee room coffee maker , toaster , microwave , stove , full size fridge along sink . also provide basic plate , glass , pot pan . dish soap dish towel . bell staff helpful could find lobby pretty much nicely appoint area see building . will go back hotel . 
 Nov 11 2009 	 Hotel gut job need new decor furniture 	 Excellent location , great staff . room huge . furniture beat , need new wallpaper carpeting ( fact remove carpet put modern flooring ) actually linoleum kitchen ? furniture scuff , dent , scratch . door moulding beat . wallpaper old can not get clean . carpet ancient . curtain something like would expect Granny 's . tv old fuzzy remote not work . toilet look like belong school lavoratory . ice cube bucket , ice machine could see . old hotel need modernize . worth money . maybe good ny , not know case stick Vegas get something money . go small room something modern find one . terrible money . 
 Nov 11 2009 	 absolutely 31/2 star hotel 	 lobby bad minute hit hallway know big trouble . think something shine . bathroom incredibly small , furniture old chip , carpet old lump bump , overall musty smell topper . oh window stick open , could not close . waste time money matter good deal get , ' ve stay nice EconoLodge . run Waldorf , great anymore way well 
