great 	 small hotel clean , roomy , well maintain , good staff free breakfast . can not beat price NYC . Chinatown / Little Italy . 
 great value hotel new york 	 stay bowery hanbee thanksgiving , hotel lovely , room large modern , hotel locate close little Italy chinatown great dining , short walk get subway ( green line ) find great getting sight , hotel provide self service breakfast enough get start morning , area hotel locate seem bit dodge problem . really enjoy stay value hotel toward standard hotel price rangeis unbeliveable stay . 
 Nov 19 2009 	 Excelent value hotel NYC 	 hotel great choice stay NYC be look near SOHO area ( chinatown boundary actually ) . area bit noisy crowd pedestrian yet safe interesting too . room super clean spacious NYC standard , plasma tv basic ammenitie . staff friendly always look help , free internet 2 pc share qith printer complimentary breakfast modest enough . overall superb hotel stay reasonable rate , con will either walk extra block two take subway access restaurant tourist - friendly neighborhood city , although not problem since subway entrance right across street . 
 Nov 12 2009 	 Location may everyone good basic hotel good price 	 location might everyone love . right heart Chinatown stone throw Little Italy . hotel short walk two subway stop ( Grand St. Bowery ) .this quite basic hotel come price match . lobby small ( locate second floor ) small breakfast area nearby . exercise room top floor amenity ' m aware . still , look decent place stay good price hotel well worth look . front desk staff friendly helpful . the king room decent size everything need include iron ironing board , hair dryer , coffee maker small safe . mini - bar room . flat screen tv mount wall opposite bed good selection channel nice clear reception . one favourite thing room hardwood floor instead carpet . bathroom extremely clean well lay . think bathroom shower huge . there free Wifi hotel , find rather unreliable . connection speed would fine minute drop . also times coul not connect . might want consider take cat5 cable avoid wireless . I would avoid room 1 floor right beside elevator across ice vending machine . high room number hall . number 15 right end hall . like hotel ' ve stay New York , expect hear street noise . will also hear noise hall time time certainly nothing bother I . the area seem safe keep mind business area close around 8:00 street get rather quiet . still feel comfortable walk around alone even quite late . 
 Nov 2 2009 	 good hotel good location awful customer service 	 ' m tempt never stay best western experience would shame check , enjoy stay hotel . location good . room nice cramp like many NYC hotel . however , front desk completely incompetent . screw credit card room , improperly bill we , make we wait forever try sort . ultimately , drive back hotel afterwards deal yet could start drive home . forget post review remember notice ..... also never post point stay . customer service rep call directly deal , say refuse give point ( would ever refuse point customer ? ... hotel pay point give ? ? ? ) . customer service rep deal owner tell ridiculous . be bad enough waste considerable amount customer 's time mistake , deny point afterwards ? understand people give 5 - star review value goodcustomer service , need careful booking . 
 Nov 1 2009 	 Best western .. good hotel low Manhattan 	 hotel locate funky part low Manhattan . bowery door . light sale store everywhere , China town surround . West Little Italy . North Soho many shop count . hotel brand new . stylish nice . staff make yous feel welcome moment pull door . price room make hotel bargain expensive New York market . safe street area since almost alwayys something go . check hotel . really like . oh room large . bathroom great . 
 oct 26 2009 	 another great stay 	 stay 4 night king suite canada / new england cruise . suite spacious king bed , sofa bed , table 4 , bar fridge , microwave 2 flat screen tv . friend stay sofa bed say comfortable . the subway great ( b , line 1.5 blk away ) . line available Canal station need . the hotel 100 % non smoke decent breakfast . ' ve add waffle make machine since last visit March 2009.my one complaint fan bathroom . window open good weather , however see problem winter . the staff great accomodating . will look next time come back NYC . 
 Oct 24 2009 	 good bad experience 	 good bad experience hotel . begin good one , hotel good location . room clean , good size good facility . bad one husband arrive night around 8 pm . officer notice 's husband birthday . nice enough say Happy Birthday , put we room 701 corner small room right next lift ice make machine . ask change room one away . say room fully book next 3 day ( period would stay ) . knew lie , ask even one room available . time say .. well .. would one , come get room next morning 11 . lie . could get room 11 check time 11.30 ? truth available room time , want make convenient we . next morning come downstairs meet another officer . talk , know fact room available last night , morning . pack stuff , leave suitcase , go sightseeing , come back afternoon get new room ( guest already check around 11.30 ) .so , would like stay hotel ( still recommend ) , make sure not get small room right next lift noisy ice make machine . , everything good . 
 Oct 19 2009 	 ` ` good '' Best Western ever ! 	 beautiful spotless room bathroom ! friendly helpful staff . great location ! good value Manhattan ! new residence New York ! 
 Oct 8 2009 	 clean room friendly staff great location 	 group 4 stay best western September . room , though small , adequate clean . bathroom modern , though counter space store toothbrushe personal item . hotel staff friendly accomodate , smile around . ask get high 7th floor room . noise nothing one would lose sleep . breakfast adequate , nothing special enough fill stomach full day ahead . plenty chinese , vietnamese , italian restaurant around area get tired breakfast . Cafe Habana , must - try cuban restaurant , block away . delivery get munchie late night . location - wise , right smack Chinatown step away Little Italy . subway station 5 - 10 minute away , extremely convenient . 
 Oct 6 2009 	 good great 	 choose Best Western Hanbee Bowery Grand location great review stay nine day . overall impression : rather good location bustle Chinatown , minute walk charming street , shop restaurant Little Italy . easy access subway good connection up- downtown , walk tribeca , Soho , Greenwich , Midtown south financial district not bad . the hotel brand new room good shape , though bit dark - second floor window kind build outrcrop sort . very nice bathroom , great bed , problem - even overall design bit heavy dark wood , brass ( faux ? ) marble ... thing drag rate five four : breakfast bit boring , self service paper plate etc , feel like highschool canteen , especially handful people there . also , ( free ! ) wifi rather shaky . seldom get hundred K , often connection would drop . the advertised fitness room also dissappointment - small room 10th floor step machine , bike treadmill break ... gripe apart , would not hesitate visit hotel . 
 Sep 28 2009 	 well worth visit would stay . 	 stay 3 day night Sept. 22nd . first night get king room second floor face Bowery street turn quite noisy despite double glazing . ask move throught effort staff ( Hugh ) able get queen room ninth floor face Grand street perfect room comparable . the room spotless space not bad NY . large flat screen tv bonus . could do complimentary shower gel though small bar soap provide quite difficult use otherwise shower pleasure use . include breakfast adequate start day although do not leave late want full choice food . free internet printer usage ideal also . the Chinatown atmosphere add bonus stay subway station less 5 min away . would hesitation stay . 
