okay 	 Liked hotel eventhough funny area . 24 hr auto shop across street , stable Central Park Horse street high rise building construction one side . look like 's middle nowhere fact close everything . felt safe enough go smoke night . big room clean staff friendly recommande excellent restaurant dinner . 
 Nov 10 2009 	 space - heater - heat cold smokey room alarm repeatedly sound 	 Best Western Convention Center Hotel confirm rent room room well without work heating system overnight low temperature 42 degree New York City . management say , & quot ; tell simply unacceptable guest stay hotel without heat . & quot ; unbelievably , management rent room small space - heater without respect customer brand . I pay king - size - bed room . without warning , sleep twin - sized bed cold smokey space - heater cause smoke alarm repeatedly wake . important trip adversely impact . management say twin bed space heater 42 degree outside temperature keep Best Western 's brand . smokey room slightly inconvenient . offer 10 % discount . I stay no - name extremely inexpensive hotel wintertime mainland China standard quality vastly exceed Best Western 's . Manhattan reason ever willingly accept situation . if force stay check two twin bed ( set sheet ) deceptively hide single king - sized bedspread . complain , management call idea & quot ; California King . & quot ; seem like simply illegal bait switch . immediately check make sure heating cool system work . immediately verify smoke alarm repeatedly sound night . wait , believe impossible , advise stay plethora hotel heat least modicum concern guest reputation . 
 Nov 6 2009 	 Central Convenient Location - Lovely Hotel 	 first time NY find hotel . reasonably price centre ny . everything really convenient - couple block Times Square , Subway Station bus centre . room really clean quite good size friend . reasonable breakfast include price ( choice cereal , toast , pastry etc ) . appeal outlook garage building site beside , complaint noise . quiet location . hotel service good staff sort everything request . 
 Oct 15 2009 	 nice location 	 nice location one block Times Square , hotel ok , good week end ... nice room curtain hard sleep BIG sign hotel front window ... 
 Oct 14 2009 	 need close Javits place fine . 	 completely adequate hotel . room small clean , Wifi work okay , tv not zillion channel , CNN Weather . continental breakfast fine not need sausage egg pancake . location : need close Javits center , can not get close . street totally industrial , fact never empty since 's 24 - hour auto body shop across street ( cater taxicab ) . not feel unsafe . plenty cab 10th Avenue time . also 24 - hour Dunkin Donuts ( gas station ) great little bar / restaurant , Hudson Yards , 10th 35th . amazingly quiet hotel -- street bit noisy , make sure get room back . couple year , area fill high rise different , , hotel definitely recommend need spot . 
 oct 9 2009 	 expect 	 hotel weird area , 2 3 block ok walk night , hotel block ! room small , even though bed big . matress old , would hurt back everynight .. be not lot space walk room . room smell like cigarette even hotel 100 % non - smoking . breakfast thw weird thing ! come plastic ! tasty ... not many channel choose tv , wireless inet room . bathroom quite ok . reception also . 
 oct 8 2009 	 Pros Cons 	 recently spend 3 night hotel attend conference Javits Convention Center midtown Manhattan . experience : 's weird - but scary - neighborhood . be big 24 hour taxi repair place right across street , build construction right horse barn kind ( ' m kid ! ) leave . walk around til 11 pm every night not feel unsafe all . it noisy . noise not room hallway , outside . ' m mountain girl , maybe ' m bit sensitive point . anyway , always travel earplug , not big deal . there be nothing fancy , be clean everything need , plus little , like pc printer lobby guest use . the staff really nice helpful , always big plus book . they feed continental breakfast -nothe fancy , will find something hold - cereal , toast , muffin , jiuce , etc . the absolutely good thing location . truly half block 11th Avenue entrance Convention Center ! be also 7 - 8 block Times Square - maybe 20 minute trek foot . the in - room wifi free well ' ve experience hotel . clientelle average folk budget world seem happy . half price hotel area disappoint . 
 Oct 5 2009 	 NYC : expensive 	 one assume convention nearby , great place stay . casual visitor New York City ... much . location great transportation train , plenty taxi 's . across street must 24 hour auto shop , seem like drilling night . also train track next door day place shudder train go . treat first day elevator second day , hot water 12 - 3 pm . inside , large room , money surely find small . actually great view . feel little lonely 10th Avenue may big drawback . 
 Sep 26 2009 	 good value money 15 minuse walk form subway 	 book hotel use bet option priceline.com . get room high season September 120 $ /night – good value money hotel Manhattan . hotel clean . room small , good enough walk day . include continental breakfast . one disadvantage location . locate west 38th street . 15 minute walk form subway station . safe walk around night . there train pass near hotel . sometimes noisy . 
 Aug 3 2009 	 Clean Comfortable .... Great Bargain ! 	 never NYC , not expect alot hotel price . pleasantly surprised ! location look little funky , inside , front desk staff courteous friendly lobby clean cheerful . room , small , clean comfortable bed . feel safe excellent experience ! would stay sure ! 
 Jul 30 2009 	 Pay Location 	 38th block Javits Ctr . , able park company van Javits Hotel unloading exhibit . able access multiday stay w/o extra charge . great walk Javits morning without find car show shuttle . associate able go back room show take break make confidential phone call . walk nearbly restaurant get gift time square . overall good , new foam style mattress , internet cell coverage dependable . difficulty rate add drop reservation week day prior show . one $ 200 dollar room go approx . $ 500 , ouch ! Continental Breakfast ok . 
