Fantastic 	 stay Blue Moon Hotel November great time . the hotel lovely little bit history place . our room lovely plenty room , also small balcony look Williamsburg Bridge . bed firm ensure great night sleep . bathroom well appoint , flush toilet time clear . shower powerful , towel dry small side . the front house guy meet first day , Paul , fantastic . friendly full information . really make difference stay . we would definitely stay . hotel great location get around New York neighbour hood lovely restaurant stroll distance . 
 Nov 17 2009 	 Excellent service cosy hotel 	 moment walked greet warm friendly atmosphere . fresh coffee available 24/7 . Staff , Andy , Anotella Kathleen particular could not helpful welcoming , presence improve stay . room spacious comfortable , bathroom fresh towel everyday want , free WiFi available room . good choice bagel pastry 's breakfast even though serve plastic plate . little thing like able order takeaway eat room , check , still offer we place leave luggage whilst last minute shopping , coffee wait taxi . hotel locate right many place eat drink , subway round corner Broadway SoHo reach foot/ hotel excellent place stay great trip New York . 
 Nov 11 2009 	 Authentic NY Orchard Street 	 Blue Moon Hotel locate Lower East Side historic Orchard Street heart bargain shopping district . ' say enough staff friendly , accommodate people ' ever meet hotel . really feel like ' come home time enter . special thank Paul patiently describe room available weekend would ny ; thank Brandon help , wear green honor Irish ( ha ! ) , great story tell real New Yorker ; Cathleen big smile make sure everything go well stay offer reserve car various departure . staff 24 hour day store luggage check - out late train / plane departure day . GENERAL INFO : hotel renovate eight story historic tenement house 22 room . woodworke outside & amp ; inside hotel beautiful . walk lobby feast eye artsy painting , decorative floor tile cozy seating area table . person receive complimentary glass wine upon arrival free continental breakfast morning 7 am 10 am . one small elevator two stairwell get room . check 11 am , option pay additional $ 25 check 12 Noon notify staff advance . ROOM DETAILS : room name 1930 ' 1940 ' celebrity include Al Jolson , Benny Goodman , etc . room decorate time period , ' see frame memorabilia pertain room ' celebrity . room large NY standard , small 320 sq ft . the good keep secret place beautiful view high floor . People pay big buck Midtown Manhattan view Empire State building . else stay 750 sq ft Penthouse ( 8th Floor ) sweeping view New York City $ 500 – $ 600 ? bed room queen size -- probably build old simply ' get king mattress stairwell . stay Mickey Katz Room 7th Floor hall much large Molly Picon Room . fantastic view Empire State Building one window . two set french door open outdoor Terrace view Williamsburg Bridge East River toward Brooklyn . window kitchenette view Wall Street area . fridge , microwave . Wolfgang Puck coffee provide . bathroom immaculate , black white vintage look tile pedestal sink Kohler fixture . room temperature control work great . two recommendation hotel would 1 ) upgrade mattress 2 ) add microwave . place nearby : hotel locate south DeLancey Street . main shopping area , Orchard Street north DeLancey , block two away hotel . ' look nice leather jacket coat , ' find less $ 100 . also , see Ted ' Formal Wear house suit jacket back vintage rock - n - roll t - shirt front . sell drink coaster make actual old vinyl record label . New York . directly next door hotel Tenement Museum Gift Shop . ' find good quality New York souvenir .... junkie stuff find everywhere else . one block Houston St. find Katz ' Deli Yonah Schimmel Knishes . establishment people line outside door get . yes , ' good . near hotel Orchard St. three recommend place eat : 1 ) Orchard 88 , popular neighborhood cafe serve breakfast lunch coffee , various tea , bagel , sandwich salad , 2 ) little Giant 85 Orchard St. serve upscale fresh food 3 ) Cafe Katja , small cozy Austrian Restaurant 79 Orchard St. see many walk tour historical neighborhood . , Lower East side much authentic New York City experience . close Little Italy , SoHo , West Village , chinatown short cab ride Brooklyn Heights across Brooklyn Bridge . good ' welcome warm staff . 
 Nov 11 2009 	 Great New York experience 	 place stay look authentic New York experience . hotel unlike place ever stay . archetecture authentic work make part neighborhood . staff unbelievably helpful . Paul , night manager , always available anything need . sure look art lobby . owner paint . 
 Nov 5 2009 	 Perfect Location ! 	 boyfriend recently stay Blue Moon Hotel . pleased . room spacious , bathroom , shower / tub spacious , clean . leave brunch morning , come back shortly , room clean , fresh towel bed make every morning . people friendly helpful , especially thank Paul restaurant recommendation . great location Little Italy , Soho , one block away train . recommend cute , quaint boutique hotel . 
 Oct 19 2009 	 Awesome stay ! ! ! 	 key BM staff friendly , personable plain great . also , renovation meticulously do absolute taste fine detail respect building & quot ; era & quot ; . 
 Oct 13 2009 	 Blue Moon Hotel ; Lower East Side gem New York city 	 Hague , NetherlandsOctober 2009my wife wonderful stay Manhattan , October 8 October 12 2009 , weekend Blue Moon Hotel , 100 Orchard Street , New York , NY . hotel beautifully lovingly restore old tenement build part art restoration project make hotel cosy romantic . hotel conveniently locate within come area Lower East side , North downtown Manhattan walk distance hip trendy area like Little Italy , Soho , tribeca , West Greenwhich village Meatpacking district . like hotel locate away tourist traps madness downtown midtown area . the hotel well maintain , full character lot attention detail radiate ambiance , history atmosphere originally yiddish neighborhood ( Lower East Side ) New york general . stay Louis Armstrong room , overlook Orchard Street , overly comfortable , clean spacious lot tasteful stylish decoration line history building . visitor welcome complementary glass wine , morning breakfast good New York style juice , fruit , bagel , pastry , tea coffee . hotel staff friendly , provide excellent service especially thank Paul Sheesley cheerful chat , assistance , knowledge wonderful recommendation daily excursion place wine dine . Paul , make New York trip unique experience one never forget ! ! return New York look forward next stay Blue Moon Hotel recommend hotel anybody visit New York like experience unique , boutique style hotel Lower East Side , New York . 
 Sep 27 2009 	 Great Hotel Colourful Area 	 spend 4 day New York want stay area character- Blue Moon Lower Eastside perfect . hotel friendly staff helpful ( particular thank Paul ! ) room full character . nice breakfast fresh bagel round corner . be block away chinese , vietnamese residential market/ restaurant area Little Italy 's couple block away . 5min walk train take Times Square wherever .... half hour walk Finance / World Trade area Greenwich Village / Soho . really exciting area still close cosmopolitan stuff . if be interested history successive wave immigration , check Tenement Museum literally next door . guide take round tenement flat would 1880 , 1930 , etc . give chain hotel try slice life real New York . 
 Sep 20 2009 	 definitely worth ! 	 stay two night . cheap available hotel NY fashion week . owner friendly , room spacious , clean quiet . artsy element fun fancy . 5 star linen pay 5 star hotel . safe area , bite funky though . would highly recommend ! 
 Sep 9 2009 	 fabulous hotel low east side - clean friendly fun 	 hotel one favorite ever ! away hustle bustle times square mid - town , Blue Moon fun low - key . greet wine smile walk lobby always feel welcome . block Little Italy Chinatown hip / trendy hangout ludlow . room nice clean , good sized ( stay comfort room - Abbott Costello ) comfortable . recommend nearby restaurant Tre ( Ludlow St ) , Il Cortile ( Mulberry St Little Italy ) Nolita House Houston ( near Mulberry ) Bluegrass Brunch . look forward go back ! 
 Aug 10 2009 	 artistic blue moon hotel hide gem 	 stay four - day weekend blue moon hotel ny ny.renovated artistic former tenement building , artist / developer living site family . warm friendly staff . check - in start glass wine , morning coffee begel . room - clean , pretty , bathroom new bright . homelike feeling.would stay ! mark 
 Jul 29 2009 	 Excellent hotel ! 	 hotel sound quaint charming not disappoint . current manager , Larry , go way make sure comfortable stay hotel . one nice hotel manager ' ve ever encounter . employee quite pleasant , . hotel room large , elegant flat screen tv , dvd player , queen bed trundle bed . bathroom large amenity include shampoo , conditioner , lotion , toothbrush toothpaste . the lobby straight Paris beautiful . delightful continental breakfast fresh pastry , bagel , juice coffee serve every morning . there also convenient subway station 2 block away Delancy Essex . it also quiet hotel quiet neighborhood . free in - room wifi fast . would highly , highly recommend hotel . 
 Jul 26 2009 	 Unique Hotel Friendly Staff 	 Blue Moon Hotel hide gem , particularly comparison frill basic cookie - cutter hotel highly overpriced hotel area . look comfortable place stay night , book room day prior extremely pleased stay . besides hotel aesthetically beautiful interesting , staff friendly welcoming . Blue Moons staff make guest feel like guest oppose customer . highly recommend hotel , especially look comfortable welcoming establishment . plus , be locate great area . 
 Jul 14 2009 	 Amazing Home Away home 	 mother , sister feel incredibly fortunate stumble upon Blue Moon Hotel low east side . find hotel online attract historical flavor , positive review location . could not perfect ! room immaculate large charming balcony , $ 250 night ! concierge , Larry , super patient , helpful friendly rest staff whose suggestion go really enrich stay . staff owner welcome really feel like home away home . stay generic hotel , enjoy personalize service warm , friendly historicall significant atmosphere instead ? another bonus chance bond guest free coffee , bagel rugala breakfast morning . outstanding experience . final word location hotel : Lower East Side really city 's well keep secret . be away crowd center vibrant area within walk distance SOHO , East Village , NOHO , Chinatown Little Italy . interested jewish history immigrant history , walk next door Lower East Side Tenement Museum tour preserve tenement building locate across street ; tour one city 's old synagog 's http : //www.eldridgestreet.org/ ; walk street East Village ancestor grow . not miss chance eat Katz 's Deli http : //www.katzdeli.com/ check $ 10 lunch Il - Carollo Trattoria SOHO ( 172 - 176 Prince Street get delicious homemade pasta , soup large salad bread $ 10 ! miss opportunity visit extraodinary place . truly make visit . 
 Jul 6 2009 	 Blue Moon Heavens Musician Road 	 amazing hotel , Perfect location artist , musician , family . fan Jeff Buckley hotel block Jeff Pilgrimage . fan Chinatown / Little Italy couple block away . Katz 's Deli , St. Marks Place . clean , Historic , Charm , Mystic , Value , else could say ? stayed & quot ; George Raft & quot ; room perfect . image site say all . we stay pied - a - terre perfect couple . will back time time , Special Note : Larry well well never kind , thoughtful , person make New York visit simple problem free . 
 Jul 1 2009 	 Blue Moon EXCELLENT value slice LES history ! 	 three us couple stay cheap room , pleased . room clean , bathroom spotless , ( take 2 bath deep gorgeous tub ) . be quite clear owner skimp refurbish hotel . everything good quality . bed be not great , aunt say 's feel like go bite dust . 's thing negative say , although price , location , etc .. should not deter little gem . stay city three time price well . area great area exlplore , do not miss Tenament Museum adorable shop right next door lot little thing indulge buy ( although pricey ) concierge friendly helpful owner interesting person beautiful family . would definitely stay recomme other . 
 Jul 1 2009 	 great find 	 love hotel . great location like home away home . love use laptop lobby watch world go . stay Marx Brothers room perfect . 500 sq ft huge balcony . besides queen size bed , pull sofa . love comfortable seat hotel room instead restrict hard chair bed . concierge / manager Larry earth welcome guest ... great asset ambiance . look stuffy self important hotel , place . want interesting comfortable room great location , try Blue Moon . 
 Jun 26 2009 	 disappointing ... 	 location price hotel quite good , disappointed quality room , cleanliness , , service . perhaps catch day , find previous occupant 's dirty sock closet concierge glum unhelpful . sure hotel get many positive review TripAdvisor , would definitely recommend . 
 Jun 15 2009 	 atmosphere remember 	 nice time ..... staff friendly , room gorgeous location well ! ! ! 
 Jun 14 2009 	 delightful surprise 	 Prior plan fell check quaint . welcome boutique hotel 12:30 .. Larry check staff provide outstanding , care service room lovely decor unusual . the owner restorer interesting young man . stay 
 Jun 7 2009 	 Bryan well ! ! ! 	 stay Blue Moon Thanksgiving weekend 2008 . boutique style hotel close 2 subway lot trendy bar restaurant . lovingly restore tenement build unique room name old movie star . staff helpful special mention must go Bryan always willing go extra mile day night . would recommend hotel anyone look something dfferent range chain hotel can get New York . 
 Jun 3 2009 	 gem experience 	 definitely ' same old , old ' . hotel uncommonly charming something proprietor rightfully proud stand lobby chat leisure . Larry , concierge extraordinaire , hand seemingly hour meet every need . good food abundant neighborhood . delightful experience . one would not hesitate repeat recommend . 
 May 19 2009 	 great experience great hotel . 	 hotel clean decor excellent . Larry work desk three day really add experience . friendly , helpful great person around . really asset hotel . 
 May 19 2009 	 Bumps road still nice trip . 	 love quaint little historic hotel much first visit last year decide splurge Penthouse Suite come back year . unfortunately , elevator first day stay hike 8 flight stair ; room A / c function well sunny day large room top floor ; whirlpool tub cease work second day . , still good time Larry staff informative accommodate , always . 
