great 	 great hotel location transport link . room large New York , clean , large clean bathroom . use iron board free safe room - would definitely return next NYC . 
 Nov 24 2009 	 definitively cheap hotel 	 good thing hotel room large -- decor come hotel 6 otherwise decent . one major complaint hot water one late morning manager not seem care -- go figure be NY ! recommend place 's last resort , otherwise , favor skip . 
 Nov 18 2009 	 little hidden gem 	 not blink wou will miss place . not big street entrance well worth effort go . staff excellent . room extremely comfy roomy . wish stay entire stay New Yor , next hotel not anywhere near standard place . thank Broadway Plaza great welcome big apple . 
 Nov 14 2009 	 ' Great Location ' 	 stay honeymoon , staff friendly arrival , show room room large large bathroom - nice suprise . location great Empire State Building Macy 's touristy location . breakfast poor , suppose continental buffet , occasion go morning muffin room small breakfast serve . decide go breakfast little cafe oposite hotel right hand side ... fab go everyday cheap . complaint have hotel evening could hear kind rodent scratch ceiling tile running tile . report reception send someone look . would not beleive we hear anything assure we poision pellet roof tile . anyway go everynight whole stay ..... make feel bit uncomfortable end week . 
 oct 8 2009 	 Great 	 Location okay -- garment district . big complaint tv , internet ( yes , pay ) , elevator work well hotel . complain finally get internet free . be okay shape , basic . bed small pretty firm . be much right around hotel find thing block . would give 2.5 5 rating . 
 Oct 8 2009 	 excellent room excellent service ! 	 stay Broadway two different trip city perfect service accomodation time . highly recommend hotel back . 
 Sep 30 2009 	 Value money 	 stay one night fly city . last minute booking get huge room two queen bed $ 150 , include breakfast . decor bit drab old fashioned , comfortable clean . coffee / tea room , coffee soft drink 24/7 floor . Wifi extra . neighbourhood bit dingy evening , garment district ( Broadway 27th ) shop close . however , be two street Madison Sq Garden bar restaurant , mean isolatedand 's , make quiet night . staff friendly helpful . breakfast bit simple , bagel machine coffee , hey , $ 150 , steal . 
 Sep 29 2009 	 Excellent Value ! clean ! Fresh Towels 	 27 year old young son & amp ; travel NYC 5 day 26 -31st August 2009 pre - booked hotel Australia , March year . time booking ( expedia.com ) Broadway Plaza Hotel offer special promotion refurbishment premise . we arrive 10 pm , first disconcert appearance - either side hotel 's smart entrance - dingy roller door line street , give appearance down - market , ' low - rent ' area . * * * ( quite different vista day - roller door go & amp ; shop window display give totally different perspective ) however , meet doorman , check - in seamless - room large & amp ; comfortable good sized bathroom . LOVELY fresh , white TOWELS.Every day room ' make ' - bed make , fresh towel toiletry ; quite humid NYC time , effective air conditioning wonderful . the continental breakfast consist pile bagel , doughnut pastry - fresh fruit provide ( apple orange ) juice tea & amp ; coffee 4th floor dining area . ( Reminiscent hostel style ) - quite satisfying . they also source room service good breakfast , supply item list evening meal - burger , chip salad available - delicious ! son & amp ; thoroughly enjoy stay ... centrally locate attraction service seamless stay . the hotel also arrange hotel airport transport car - highly recommend - set fee - comfortable & amp ; affordable option ( US $ 60 approx ) - taxis shuttle bus . my rating - ( think 3 star hotel ) excellent - value Money ! 
 Sep 18 2009 	 clean hotel 20 minute walk Times Square 	 bad hotel . one available New York serve breakfast include price . free coffee also available throughout night . slightly long walk Times Square long day sight seeing , walk also whole sale district . generally clean friendly staff depend duty . 
 Sep 18 2009 	 Perfect Hotel NYC Vacation ! 	 spend 4 night Broadway Plaza girl 's trip shop sightsee NY . location ideal , 1 block subway . superb service start finish , receive helpful info via email even check . room roomy NY standard , 3 we fit comfortably queen superior even shop 4 day ! view room tenth floor incredible , Empire State Building change color light almost every night . continental b'fast also ideal , perfect grab bagel coffee heading . doorman helpful arrange car service return we airport end stay . would absolutely stay ! 
 Sep 16 2009 	 Decent hotel ok area . big room 	 hotel ok , stop one night . room large ( give 1st one lift machinery could not stop noisey - not let give one 8th floor near lift machinery ) really good swap another room straight away 3rd floor . complimentary breakfast choice basic , plentiful clean prep area . staff really helpful & amp ; friendly . area great single female traveller , ok day not fancy walk night - 's cab ! 
