location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Nov 20 2009 	 nice hotel good light sleeper business traveler 	 agree reviewer staff wonderfully solicitous lounge breakfast happy hour lovely . however , find small & quot ; deluxe & quot ; room really small , even NYC , queen bed suspiciously wee well . could hear door hallway night long , interrupt sleep . try work well , internet connection , free , slow really not practical use , look single item interwebs occasionally . the price really quite high thought , non peak stay wee room view . appreciate staff 's effort , well option price . 
 Nov 20 2009 	 Awesome Hotel 	 staff really go way everything , cute small hotel round corner times square , room lovely , include breakfast , tea , coffee & amp ; biscuit @ time , & amp ; wine & amp ; cheese evening ... could not stay well hotel . 
 Nov 19 2009 	 lovely Stay ! 	 location great . staff attentive . room good , little modernizing would well . would recommend ! 
 Nov 16 2009 	 Perfect location great atmosphere 	 love location hotel . walk front entrance , turn right one minute later Tmes Square ! love complimentary breakfast evening cheese wine - fantastic way start evening ! staff really friendly . room particularly luxurious , spend time hotel room NY ? overall , well worth book 
 Nov 15 2009 	 jewel New York crown hide gem 	 daughter stay Casablanca five night . rate hotel highly . welcome , service , friendliness helpfulness could fault . room delightful service amenity , plentiful . breakfast , day beverage pastrie wonderful atomsphere cheese wine evening really nice touch busy day . location central , totally aware street bustle outside , room well soundproof . yes , back , hopefully , distant future ! Mum ( Lynn ) daughter Helen 
 Nov 14 2009 	 delightful charming ambience tiny cramp room 	 hotel attractive ; personnel helpful , attentive pleasant . hotel host morning breakfast early evening cheese wine buffet pleasant reminiscent B B 's rather large city hotel . another unusual feature coffee , roll cookie avaulable common room throughout day . lobby small , wait time spend second floor common room tastefully decorate north african motif . shortcomme size room . interior room small cramp ; luggage place chair room floor luggage room walk ; bathroom similarly tiny could accomodate personal item two adult . corner exterior room large , management advise interior room standard hotel . planning spend much tiome individual room , rather large comfortable common room , ideal place . 
 Nov 9 2009 	 recommend 	 Excellent location Times Square noise problem . Ricks Cafe useful snack meal place chill long day shopping . free internet also . room little small worn job . staff nice . expensive worth overall package . location unbeatable . 
 Nov 8 2009 	 great ! 	 enjoy service , clean room , complimentary breakfast weekend trip ! 
 Nov 7 2009 	 Perfect 	 moment arrive depart service exceptional . everyone friendly helpful . room extremely comfortable , bed plush , bath room large . especially like delicious snack fresh coffee available 24 hour . near great dining , broadway , everything fun . could well experience price . way could well could stayed long . 
 Nov 5 2009 	 another Excellent Stay ! 	 return Casablanca three year stay couple wedding anniversary . enjoy much promise son would take one day . stayed four lovely night . hotel excellent standard service maintain - like would never away ! kid ( teenager ) enjoy too . there be need repeat reviewer comment regard contintental breakfast , free cheese wine , endless free coffee biscuit etc - 's true welcome heavy day 's sightseeing . our room fine , back quieter -last time front come late night early morning noise -but central Manhattan ! not expect view though whichever part hotel . location make though - sooo peaceful relaxing even though 's yard Times Square . overall great small hotel good service friendly staff . nothing much trouble , whether be sightseeing advice , umbrella rainy day , help airport transfersetc . issue car company book hotel take we back JFK . email Casablanca get back UK resolve problem within 24 hour even though not fault way . return New York , be one place would stay ! 
 Nov 5 2009 	 great spot great sevice 	 want close action , clean , quiet room service genuine friendly attitude , ! want great view window cold impersonal sterile cookie cutter chain hotel , look elsewhere , , do not bar restaurant , will not go hungry thirsty time . ( see emenetie ) walk door , fall , depend direction fall , bar , restaurant Times square . within walking distance major attraction NYC , bring comfortable footwear . ashphalt cement number foot day . bring $ $ $ . NYC ! , never , never cheap ! 
 Nov 4 2009 	 great place stay 	 got upgrade room queen - sized bed . room comfortable size bathroom . find room hotel clean . service outstanding . breakfast morning excellent wine cheese early evening convenient we . complaint ? room face street couple night awaken construction noise one adjacent building . first trip NYC travel fair bit throughout world . definitely stay hotel . 
 Nov 2 2009 	 expensive get 	 consider fantastic review unique postion hotel near Times Square , deceide book 5 night hotel start 7 week holiday northeast USA Canada . enter hotel must say rather disappointed see modest lobby bit worn interior . photo website expect see elegant hotel definitively ! disappointment worsen enter ( standard ) room , situate small , dark courtyard airco 's singing tune . room absolutely small bathroom . two suitcase could find proper room storage . bed small , , bad . suppose room front hotel disadvantage ( streetnoise ) besides , appear room available . plus small hotel size ( small boutique hotel ) 's nice sitting- annex breakfast room . watch tv computer available guest well . afternoon glas wine cheese nice extra breakfast ( include ) good . however , look price charge room+breakfast , expensive hotel . experience NY hotel suppose price / quality city bad city . admit hotel splendid position , right nextdoor Times Square size make attractive compare big touristhotel . however , 's price , , say , steep . 
