great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Nov 19 2009 	 fine dandy ! 	 4th visit Chelsea Lodge 3 year never let . Paul staff helpful location great action NYC offer . 
 Nov 16 2009 	 clean good value nice location quiet - feel slightly cheat 	 Chelsea Lodge Hotel clean excellent value . doubt brother could got separate room price anywhere else Centre New York . location mean easy travel subway , manage many time day without trouble . also excellent restaurant cafe within easy walk distance small convenience store right street corner . HighLine also 5 minute walk away , recommend early morning strollshowever - book room 10 month advance , arrive receptionist huff puff seem inconvenience book we . state one room single room since room fully book . sour stay . 6 foot well suit single bed . bed also wheel mean try sit bed would move across floortheir website clearly state room double bed - obviously untrue . know say something time . email concern let know disappointmentDespite , would stay recommend , price good . make sure get ask 
 Nov 13 2009 	 great value money 	 stay night last March love . Chelsea Lodge locate nice , quiet surrounding good connection subway . room small , shower & quot ; closet & quot ; kind funny heating not work well ie . night pretty cold . luckily bed small well , two people easy keep warm . ; ) anyway adorable place could consider stay already recommend good friend . 
 Oct 29 2009 	 Perfect Price ! 	 could not ask well place ! hostel & quot ; lost & quot ; reservation 4 day departure scrambling find something budget safe neighborhood . email Chelsea Lodge one room leave book . owner incredibly nice helpful , let print boarding pass would not go internet cafe , wonderful direction suggestion . yes , room tiny , go NYC hang hotel room ? room second floor Saturday night quite lot street noise , weekday night nice quiet . share bathroom never see another person use , hallway matter . like place . neighborhood fantastic . within walk distance restaurant shop subway 14th 23rd . 
 Oct 28 2009 	 Chelsea Suites -- Garden Apartment Warning 	 former New Yorker , like stay apartmentsand Chelsea Suites , door theChelsea Lodge seem good option rather thana vacation rental Criagslist . want dailyroom service . disappointed find & quot ; Garden Suite & quot ; Garden Suiteon website , actually small apartment , low ceilingsbeneath web site room -- high ceiling , large window price . complain tothe young woman front desk apologize forthe & quot ; bait switch & quot ; say room wasbooke week . make sure getthe upstairs Garden Suite decide stay . niceto tenant walk softly . upstairstenant wake every morning clomp around thehard wood floor . maidsdid make bed clean bathroom , butthey never sweep floor . end week waslittere leave garden usual dirt . hall old wallpaperwith dirty carpeting overall little depressing . bedwas hard feel like cardboard paper thin sheet . quilt bedspread wear , fade look dirty . lovely lie bed look verdant , private garden nice tree hadchange 's leave gold . 's hard find kindof garden apartment pretty chelsea street price reason alone , would consider go back . but ' m going look close craigslist vacationrental apartment first -- half price . 
 Oct 11 2009 	 great value 	 fantastic value guesthouse . be cheap little anxious came highly recommend . find room front hotel ground floor little noisy though prepare share toilet , not prepare walk across reception get . would recommend request room upper floor one back . 
 oct 9 2009 	 small nice 	 stay night honeymoon . staff deal pleasant , let we keep luggage office day leave since leave check time . not know room come private bathroom , kind basement private bathroom . everything clean window AC unit room . good price New York , not mind small room bathroom . also want somewhere ' with character ' not chain hotel , perfect . neighborhood seem safe , quiet night . think area popular gay crowd see lot gay couple . hotel couple short block subway stop , convenient . overall , enjoy stay ! 
 Sep 24 2009 	 lovely little guesthouse great local area 	 Chelsea Lodge charming , brownstone step quirky room . room big expect NYC , toilet hall problem , clean always free . neighbourhood lovely - recommend Cookshop restaurant two block away 10th 20th , fantastic food . if look inexpensive accommodation safe , charming , clean , convenient . 
 Sep 23 2009 	 Perfect ! highly recommend ! 	 newly marry couple Germany . ny first time . we stay Chelsea Lodge 5 days/ night absolutely enjoy stay . room small cute , especially , clean . sink shower room , 2 bathroom next door . the restroom always clean never wait one enough . stuff friendly helpful ; room service great : fresh towel every day , could floor vacume twice . chelsea nice stay ; nice especially quite part ny city . Grocery store , drugstore , delis , restaurant metro station around corner . all : wil ever NY , would definitely stay Chelsea Lodge ! ! ! 
 Sep 18 2009 	 fulfil purpose 	 love location Chelsea area Manhattan . easy walk subway station , well shop , restaurant , etc . chelsea market bit disappointment though , far market go . well close hotel , otherwise would little upset make way way midtown/ uptown . stay room top floor . stair steep , creak lot ! issue share toilet , keep fairly clean . room quite small , worst see . room shower bit awkward use . next time , probably pay stay somewhere comfortable . 
 Aug 25 2009 	 Small room Great Location Chelsea 	 stay 6 night total either side bus trip New York . great base explore Big Apple . Lodge convert brownstone 20th St 8th 9th Avenue . room small quite comfortable . small shower / wash basin share bathroom hall outside . room downstairs , next door first night 1st floor room much quieter 5 night . room clean service daily . helpful staff hand . location 50 m numerous restaurant Chelsea 's GBLT district . reasonably price New York accommodation . 
 Aug 20 2009 	 would definitely stay though could well ! 	 stay one basement flat , request garden flat however give street face one , bit confusing initially confirm unavailable . guy reception deal particularly helpful apologetic . room spacious , air condition amenity require . charming kind feel decor reasonable . due street facing , however noisy hour day night street level bit dull even day . daily room service good high standard . good shower excellent wardrobe space . surprised low level security flat door , small lock- push button kind . security building however well least two door get through . location amazing , couple block subway neighbourhood feel safe . beautiful tree line street , friendly area good selection restaurant bar close by . overall would recommend stay , mainly due space location 
 Aug 13 2009 	 Best 	 Chelsea Lodge hand favorite hotel . ever . fact 's situate NYC help , still , be great place stay . last March second time NYC second time one Chelsea Lodge suite . feel like stay apartment , really place come home day sightseeing , shop whatever want NYC . chelsea great neighbourhood ; three girl age 19 - 21 - 22 never feel unsafe . stay CL definitely add wonderful experience NYC , be hope return soon . 
 Jul 28 2009 	 absolutely lovely place great location 	 repeat reviewer say : good value money , safe area , close subway interesting area - feel like local staying place like ! yes , room small , lovingly decorate everything need ( maybe bar bit wardrobe space ) mostly spend time , suppose bound NY . share toilet problem whatsoever , hardly saw hear anyone else , shower work perfectly , bed comfy . someone else say , light sink would helpful , otherwise complaint . friendly staff help carry luggage upstairs . would definitely come back stay ! ! ! 
 Jun 24 2009 	 love Chelsea Lodge want go back ! ! 	 first not sure right place sign . soon step , love . lovely little hallway olde worlde feel . love pictures wall green paint bannister . lift lovely guy reception room ( sorry not catch name ) help we bag . top floor look onto 20th Street , lovely leafy . room quite small not find problem everything need hardly spend time . bit apprehensive first share toilet problem whatsoever . 2 clean toilet floor , not see even hear anyone else . great location 7th 8th avenue , street subway . would recommend anyone stay ' m lucky enough visit New York . 
 Jun 20 2009 	 hesitate let folk know great palce 	 honor beat Author , Jack Kerouac , adventurer . would happy give rest place horrible review order save myself- , , would fair . room small , call " modest " elevator . purpose comfortable place rest city adventure , whether theatre , literature , music , walk around , great rest place . nearby breakfast bistro small reason stay well . need excellent café ' morning . , say nice ? nay- horrible- enslave often . 
 Jun 1 2009 	 Great Location Good Value 	 hotel lovely leafy street 8th Avenue , close 23rd Street Subway useful e line connect direct JFK plus line . the area feel safe day night good bar resutrant nearby although close early compare NYC standard . supermarket corner couple starbuck nearby . the hotel nice although feel room little small open large suticase little tight , light mirror sink would also useful . however spend much time hotel bed comfy , reminder guest closing door do quietly ! within walking distance several main attraction area . 
 may 15 2009 	 ultimate ' hello live ' - experience 	 really recommend Chelsea Lodge ! location perfect , feel safe home area feel like local time . room cozy well mentaine shower sink . problem walk hall toilet . always free clean . you get good value money ! 
 Apr 30 2009 	 Chelsea Lodge live reputation ! 	 2nd stay Chelsea Lodge ( 18 month later ) make welcome room cozy warm . thank Chelsea Lodge make we feel home ! 
 Apr 30 2009 	 great value good staff good room noisy cleaner 	 stay couple year ago one delux room downstairs , really like . time , room next door ( DR2 , think ? ) , bit small , equally pleasant . last stay , great , except time room right next cleaner ' room . mean , every morning 7 am , would wake cleaner clatter around call loudly . owner place would sometimes wander around singe loudly around sort time , . minor gripe , though , probably would choose wake much later , little annoying . everything else hotel fine . I would definitely try breakfast Murray 's Bagels 8th Ave 22nd 23rd St . good bagel ' ve ever mile , go breakfast almost every day . 
 Apr 20 2009 	 highly recommend 	 husband two 25 year old first time NYC.If want hotel , stay ! 's wonderful home away home instead . stay 10 night want place sleep , without bell boy run we cheesy greeting every time show face room . the staff friendly ask advise prompt pass phone message . fresh towel quick wipe sink provide daily , would appreciate change linen least , well sweep floor , fairly dusty time leave .. worry . share toilet problem , always free always clean . Chelsea wonderful area , e train go town 5 minute walk away , Murray 's Bagels , frequent we daily . great value money - highly recommend want fuss free place stay . the con mention poor internet signal inside room 3rd floor ( sit step use ) average , squeaky bed . 
 Apr 17 2009 	 great location good value 	 get back weeklong stay herea room two share loo $ 150 include taxis - cheap NYC . choose Chelsea Lodge want able save little accommodation enable we spend eat . read previous review , know room would small , surprised . however , adequate need , clean daily , freshly laundre towel . plentiful supply hot water pressure shower good . two loo share floor find always one free clean . room back building , pleased , away loo associated noise night . Staff keep , polite helpful ask advice . WiFi access . the location great - section W20th Street 8th 9th avenue lot restaurant / upmarket delis vicinity , 15 min walk get Union Square , West Village . 3 subway station within five minute walk : 18th/7th line 1,2 3 ; 23rd/8th line c E 14th/8th line , C , E L . 
 Apr 15 2009 	 great base explore Big Apple 	 come back one - week 's stay Chelsea Lodge . friend go NYC 1st time eager save money accomodation spend elsewhere . check tripadvisor.com , quickly become clear Chelsea Lodge place stay . read review , know expect . course , Hilton , want , would go pay accordingly . Chelsea Lodge provide we cozy room ( wake bird song morning ) , small clean efficient . even catch saying & quot ; let us go home & quot ; want take break sightseeing . location nice , Chelsea charming quarter , explore city , several subway station nearby . share toilet never problem , shower room enough hot water water pressure , fresh towel provide daily . also like clean wooden floor room . lot personal attendance , whenever need something , someone we sufficient . return NYC ( sure ) , stay Chelsea Lodge . P.S . room book early , make sure book advance . reserve room last October stay Easter en - suite room already go ! 
 Apr 8 2009 	 Bed without breakfast 	 Chelsea Lodge easy find . breakfast provide , however plenty choice locally find healthy smoothie breakfast around corner . entrance tube 23rd Street 5 minute walk away Chelsea Lodge well place explore Manhattan . share toilet clean every day never problem share basin shower room . room small Lodge run young girl friendly typically New York little way introduction explanation . 
 Apr 6 2009 	 home away home ! 	 partner always stay Chelsea Lodge visit NYC . stay suite , usually garden suite , soon arrive settle back life Big Apple . place homely cosy comfortable . okay facility not always well always feel relaxed safe staying . staff friendly helpful good leave alone enjoy trip . stay one suite like stay someone 's home key come go please . everything Manhattan accessible Chelsea great area stay lot bar restaurant . could not imagine stay anywhere else New York place gold ! 
 Mar 26 2009 	 Fantastic Location ! authentic NYC experience . 	 spend March Break 14 - year - old daughter love ! stay one parlour suite face street , ground level . big window , lot light . spacious . Kitchenette everything might need make meal -- make breakfast day save time . radiator heat two setting : , however like warm , not mind . feel safe , be say , come home subway night -- be even police precinct street . nice neighbourhood , Chelsea Market -- FANTASTIC ! location could well ! two different subway line easily accessible location get major site within short period time . 's traditional hotel , immediately appeal we . feel like come home little New York apartment . sensitive noise , however , big city , could hear conversation street outside , well usual siren big - city noise . , be light sleeper , bring ear plug ( sleep fine ) . bottom line : great value money ! 
 Mar 16 2009 	 Cozy Quiet Clean 	 Booked place last minute trip see friend weekend find . place title say , cozy . room clean well bathroom across hall , two floor . I m pretty sure case floor far two floor . shower adequate clean bed comforatable . stay one night since stay friend first night use room take nap bring night place serve purpose perfectly . suprise expect anything . quiet street consider pleasant . do not want spend money parking block see plenty spot constantly open street . 
 Mar 5 2009 	 Cozy clean 	 problem - clean cozy . claustrophobic , room could get nerve . , time spend outside room anyway . neighborhood great . three block subway . great place eat . check Spice around corner 8th moderately price Thai , good ' ve ever . breakfast try Bread Stix Cafe corner 23rd 8th . good pastry ever ! try cheese danish . wonder thought process go put shower room , topic different venue . would prefer large comfy chair lounge surfing web , different stroke different folk . downside stair . apply NYC however . ask room rear first second floor accommodate , could ask . favorite place stay Embassy Suites N. End Ave . $ 149 night weekend . get suite full breakfast manager 's reception . can not beat . week $ 259 ! ouch ! much one person- 
 Mar 2 2009 	 Location location 	 right near subway , Chelsea Market , good restaurant , Atlantic Theater , movie theater , lot ! ! ! price reasonable . room small adequate clean shower , sink , small tv . ( toilet hall , felt never meet anyone else come go -- pun intend ) , phone room . pay phone lobby , not matter anyone technopeasant . intend stay , staff wonderful lodge right taste . 
 Mar 1 2009 	 great location helpful staff 	 stay friend 5 night . location great - lot local cafe , restaurant , supermarket / pharmacy , close subway . downstair suite , access share garden . bed comfortable unfortunately , couch not make good bed . friend take couch say uncomfortable ( although not say end stay ) . apart , bathroom great ( newly renovate surprisingly large ! ) convenient kitchenette fridge drinking water . owner ( not know name ) help we luggage get we extra towel request - pleasant prompt . would stay - could even walk Manhattan - 10 - 15 min . 
 Feb 28 2009 	 bad experience 	 bathroom 3 4 day stay either soap paper towel . mattress sleep awful . lay middle side would fold around . get bite bed bug , time leave Chelsea Lodge cover welt . would never recommend place anyone . 
 Feb 28 2009 	 Charm value NYC . 	 absolutely satisfied stay . staff overly friendly , not necessarily see bad thing . room small , comfortable . share toilet problem . great young couple go spend lot time room . well worth every penny . 
 Feb 11 2009 	 's home away home 	 go NYC , one great city earth , choose nice place stay : Chelsea Lodge . whether business pleasure trip : charming hotel absolutely great . housed brownstone Chelsea , nice neighboorhood central : close Meatpacking District good restaurant gallery , near Midtown aka Shopping Paradise . also close trendy clublife . 20th Street quiet beautiful lot tree beautiful house . but good Chelsea Lodge cozy hotel . room clean offer essential need : shower , sink , nice bed , wireless internet . and staff .... James other friendly helpful know service ! want sightseeing suggestion , give great recommmendation will not find tourist guide . little chat , make feel home . need help , get right away . and thing , respect privacy . anyway : get picture : place great bargain ! every year make least two visit , since 1999 . 's home away home ( Europe ) ... 
 Feb 9 2009 	 great reasonable find chelsea 	 hear good thing chelsea lodge friend LA stay last march . chelsea lodge great little hotel nice block chelsea . room small clean well appoint . chelsea area wonderful moderately price place eat right block along 8th avenue . la bergamont 9th ave great suggestion great coffee french pastry . cuold think btter place get away city Chelsea lodge surround area 
 Jan 29 2009 	 good location price ! 	 one week . room small anyway enough space two person main goal see NYC . room toilet clean . area good it´ pretty close everything . first 2 day room street side noise come room . earplug help . chance room silent satisfied hotel . summary ; good : location , price , clean , .i visit ! 
 Jan 29 2009 	 small original clean cheap hotel . 	 look like home . sign outside hotel , say little & quot ; spirit & quot ; house , decorate ( duck everywhere ) .It 's old brownstone building , small room . lovely decoration , showser ans sink , share WC . 's clean . well locate . say ? oh yes , price ok New - York , Chelsea . bargain . conclusion : staff cold , go , good choice . breakfast . Benj . 
 Jan 27 2009 	 Perfect purpose ! 	 sister ( twenty ) stay four night . loved cozy room cold week November ; love secure building ( must key enter ring doorbell ) ; stay room main floor quiet part ... could hear noise late night people get ( go bed early ) ; room clean ( frill ) ; share restroom never issue ; staff helpful finding restaurant ( Lasagne Ristorante AMAZING ) question . subway convenient . must go Dish , restaurant nearby . look luxury , go somewhere else , budget look place always remember , place . great experience Overall . 
 Jan 8 2009 	 lovely affordable hotel 	 friend stay 2 night . perfect base trip . room small ( expect ) charming . 2nd floor room face street . quiet ( window closed ) minor noise window open . place clean . wall bit thin ( could hear friend talk phone hall ) never experience problem people noisy not really matter . overall , perfect place stay reasonable price NYC . neighborhood nice . nice restaurant around feel safe . short walk 23rd St ACE Subway stop . would feel comfortable recommend place friend . fact , already do . 
