trendy 	 hotel well romantic getaway type deal . would give 4 star loud crack noise heating system . regular rate $ 200 + petite , overprice unless get upgrade queen large . sleek , dark , masculine , modern / trendy style 's . be classic , warmth , coziness , try something else . excellent location . get special deal hotels.com last minute . upgrade queen room terrace , awesome , probably worth money ( ~ $ 160 ) . also let check 2 hour early . look dark , masculine , romantic . television behind mirror , nice entertainment system . nice bath product , sexy bathroom set ( dark wall , mirror wall , etc . ) would suit people 's taste , 's modern & quot ; cold & quot ; . staff helpful , friendly . loud crack / drilling noise tell due heating generator . turn heat get rid noise . order room service breakfast neither generous tasty . give cookie , nice . overall , would say good young , trendy set 's look weekend away together . like bathroom . would pay $ 200 stay - price , could find something nice . 
 Nov 24 2009 	 great location price ... room flaw 	 boutique hotel stone 's throw Time 's Square . lovely , somewhat quiet street next beautiful historic property .. Algonquin , Iroqouis next door . large Brooks Brothers store door . look inexpensive place drop night Time 's square taking theater , could . got 175 night Hotwire ... hotel mention start room rate 399 night . sofitel also street ( 600 night ) .. place & quot ; bargain & quot ; say .. real problem room . dark .. lighting make impossible shave make - up ... go hallway . bedroom SOOO tiny trip baseboard every time go bathroom . bathroom lovely ( almost size bedroom ) ... poor lighting make impossible anything there . there & quot ; bell whistle & quot ; nice ... Frette linen ipod docking station . clean . wonderful cookie pillow bedtime . but not know would stay . maybe would ... upgrade ( another 150 ) big room . 
 Nov 22 2009 	 staff could less helpful 	 forgot wallet back home toronto plenty cash credit card we . arrive hotel manager front desk tell we need credit card could bend rule we . plead ten minute say see go back make call . leave girl work front desk say happen time think problem . shortly manager come say could anything we . get late tired . make long story short family back home come rescue staff accomodate . would never stay deff recommend anyone 
 Nov 10 2009 	 Lovely Hotel great staff fantastic location 	 travel long await weekend break NY husband . fly Newark Airport get express Bryant Square short walk Hotel . staff friendly arrival store bag could check in . room lovely , clean bed exceptionally comfy . wardrobe / mini bar / safe / dvd player small closet wall provide we ample space stuff . lovely sofa / table chair drawer either side bed . tv hide behind picture , plenty wall light handy dimmer bathroom slide door , lovely large shower , plenty toiletries/ towel . huge basin , plenty mirror , towel dress gown . morning newspaper door room clean really high standard out . staff could not enough help , free internet pass request , prompt efficient room service one night use . not go DB restaurant whilst look lovely . check check fast efficient , staff member encounter pleasant without overbear . location hotel fabulous husband first time Manhattan - short walk Times Square Grand Central either way 5th Avenue . usual street noise 6th floor room nothing noisey . we ' ve recommend hotel two people already would definately stay want right midtown . 
 Oct 29 2009 	 City Gem 1 drawback 	 City Club hotel offer eclectic style old City . building history . City Club not . take old holel give different feel . love staff GREAT ! . spran ankle visit quick respond ice . room safe need new battery quickly fix well . bed linen also top line . never sleep well town . great location - close Times Square , shopping Theaters . I enjoy small hotel seem personable City Club fit model . 65 room fairly quiet city difficult find way around . here drawback . room small . balcony witha decent view make size . realize NY lot room small size . stay extended period lot clothe hard press find someplace put . closet space share refrigerator small night stand 3 small drawer . make recommendatation hotel , could find way create bit storage belonging would top notch . 
 Oct 25 2009 	 stay - many 3 star hotel NYC 	 3 star service size hotel try maintain 4 star image - not hang together . frontdesk check - in staff amazing - slow consistantly fall apart . issue plumbing room confirm engineer first night - apparently day manager new hot cold water I. stay 4 night - leave 2 ( would stay 1 tired move late evening 2nd day ) Day Manager ( also seem double doorman ) rude - ultimately leave hotel . capitalism great - judge recent review would say City Club real problem hand . stay Jeff Klein 's ( owner ) hotel West Hollywood , Sunset Tower - 's amazing - skip City Club , worth . 
 Oct 23 2009 	 awful room good location 	 hotel advertise & quot ; deluxe king & quot ; room . say open , airy etc . tiny barely enough space get around bed . pocket door bathroom difficult open close . lighting room antiquate elevator almost impossible use read get correct floor . not worry air light , window face brick wall . otherwise , location good employee helpful price value bad ' ve experience world . ' ve much well value city Europe Asia , mention rest U.S . 
 Oct 23 2009 	 Great Location 	 nice hotel , great location . good value money 
 Oct 15 2009 	 Teeny Tiny Room ! 	 get place hotel priceline search four star hotel midtown / theater district . know room NYC small - stay - ridiculous ! room would BARELY hold double ( queen ) bed . literally 3 foot side bed suitcase , etc . bathroom nice , bit outdate bidet black marble . hotel definitely try bit hard & quot ; trendy / boutique & quot ; . hallway PITCH black weird accent lighting . elevator well . hotel tiny - lobby basically one room tiny desk . our service pretty non - existent can not really comment . basically end would call 4 star hotel . like 3 . 
 Oct 5 2009 	 shocka pleasant stay ! 	 book hotel book agent , expect two bed room . exceptionally small room contain one double bed , chair , table ... small ... negative . bed comfortable , room clean shower amazing ... especially appreciate long day sightseeing theater - go ny ! staff friendly , clearly good accommodate customer . location perfect hotel quiet ! would stay ! 
 Sep 17 2009 	 great price good location excellent hotel 	 stay City Club 2 night business trip . initially pick location ( right across street need go ) , pleasantly surprise nice hotel price pay ( ~ $ 180 night corporate rate ) .ROOM : decoration room modern . super - comfortable bed , spacious bathroom nice shower . room little small - open door bed pretty much right ; step bed , pretty much bathroom . even though be petite , contain essential comfort need ( unless want desk work - case , really not one ) .LOCATION : location central . 44th Street , be block Times Square one side , block Grand Central . subway stop within walk distancemiscellaneous : reception booklet pick free dvd , tired work borrow anything , nice - to - have . since dvd player room , guess bring dvd watch too . every night come back , plate two cookie await - think nice gesture . first arrive ( arrive really early ) allow check right , nice . not gym , think pay pass use NY Sports Club nearby . although not think open late . 
 Sep 9 2009 	 be like ? 	 stay City Club August colleague two day meeting . honestly , travel alot work . ' m hotels home . natrually , ' m easily impressed . admit impressed City Club . staff great- helpful , upbeat , nice honest go . room nice size- front ( usually like stay noise ) . room bright bed really comfortable . not noisy expect ... great shower .. housekeep great job , turndown treat- freshly bake chocolate chip cookie ! get free pass gym not hotel block . internet fast . location good , prefer downtown . room service prompt . stay meeting bring midtown . 
