say 	 travel Time : November 2006reviewer : Gaurav KumarI happen stay hotel business trip New York . stay month . convenient stay hotel close office , 1180 Avenue Americas . the location hotel excellent walking distance Times Square , plus Manhattan lot eat option around it . the comfortable although staff not courteous ( time even rude ) . check discover phone room work properly . unable take call room , complain tell problem could handle next two day holiday , would do third day . they could change room room available category booking . run reception take call . anyways two day guy finally come , tell wiring problem would take another day two . finally put foot lot argument finally upgrade high category room : ) leave aside stay ok . 
 Nov 25 2009 	 will stay 	 spend 3 night hotel complete Trans - atlantic crossing board Queen Mary 2 . arrange booking.com . our first impression great location , near Fifth Avenue , Times Square , etc . , within walking distance . give free upgrade 10th floor Executive Suite , good round facility separate lounge . comfortable public lounge downstairs free WIFI computer / printer access , complimentary cookie , hot snack chill water . one minor criticism unhelpfulness Barman refusing serve we drink lounge . go bar get drink ! receptionist friendly helpful . would regard place good value money , thereby enable we great time NY . would hesitation recommede other . 
 Nov 4 2009 	 ok value pay 	 mediocre room . bathtub . tv far small , basic cabel . cheap intenet deal good location . Breakfest bad . 
 Oct 27 2009 	 Great Location worth frill 	 wife friend stay weekend catch sight footy ( round ball type ) . use company 's corporate discount book room friend 's room 12th floor half decent view room 3rd floor right beside air conditioning unit downstairs lobby 4 foot dinge elevator . loud uncomfortable , since not spend much time room not enough bother move . another night though would ' ve insist change room . the service not bad , be great either . be encourage everything self service computer , fine work . room key stop work second day - little annoying . elevator slow 's busy will wait while . otherwise location really great . centrally locate Grand Central , Times Square , Central Park , Empire State Building , 5th Avenue safe neighbourhood . 
 Oct 26 2009 	 excellent location theater average hotel experience 	 stay girl ' weekend hotel company 's corporate discount , half price . not think 'd happy have pay much , need , fine . & quot ; Diplomat Suite & quot ; think simply mean two twin bed . bathroom , mention , tiny . not enough shelf / counter space two woman adequately spread . plenty linen though problem hot water . less 10 minute theater restaurant make reservation , helpful terribly rainy night . walk anywhere interest subway nearby well . the room average size clean , except stain one comforter . one elevator service , tiny ( barely hold two people luggage ) second elevator constantly use , wait lot get 8th floor . free WiFi throughout free use computer lounge , printer print boarding pass , etc . find front desk staff friendly not really go way anything . trouble hail cab LGA , offer car service $ 60 would call cab . finally hail cab cost $ 31 total Sunday evening . I would stay save money , would not recommend full price either business leisure traveler . ' ve stay agreeable hotel NYC . visitor would well - advise remember no - frill business hotel first foremost ; first - time visitor city may put lack tourist amenity personal assistance . 
 Oct 21 2009 	 Nice hotel great location . bad HOT WATER ! ! ! 	 can not beat location Club Quarters - Midtown hotel good value , nothing fancy , clean modern . service minimal , be Club Quarters operate . room Penthouse level , nothing special except top floor . room small quiet bed comfy . totally happy experience go take shower . hot water . call downstairs tell run water 5 minute heat . well , never heat . 15 minute later , water tepid warm , take quick , uncomfortable shower . figured one time deal , . next day thing happen . , run shower 15 minute try get hot . irony sign room & quot ; green & quot ; , ie : save water use sheet towel . could wash 10 load sheet towel water waste try get hot shower . Might 13th & quot ; Penthouse & quot ; floor problem , be pretty fundemental flaw can not even take hot shower . hope fix , would request low floor next time . 
 Oct 13 2009 	 can not beat location price ! 	 Front desk not anything special . room decent size NYC , bathroom quiet small , perfectly fine condition . price location , can not beat place . the location right outside Time Square could not perfect attraction event NYC see . Cafe Manhattan , across street , great coffee Perfect Pint great place grab drink . 
 oct 8 2009 	 Great Location - ok room . 	 place sort small location great room clean comfortable . bathroom tiny ! ! not spend alot time hotel room . within walking distance TimesSquare , Broadway , Rockafeller Center , transportation . safe , secure hotel without lot & quot ; extras & quot ; . 
 Oct 1 2009 	 Club Quarters : great location great price 	 stay 1 week 19th 26th September . we book back January get great deal executive suite . consist 2 room , one sit room sofa bed , desk , tv , fridge microwave . second room bedroom ensuite bathroom . bathroom small perfectly usable . good shower decent proper hairdryer . bedroom king size bed comfortable plus wardrobe , chest drawer space hang clothe . also TV . room airconditione . we never eat hotel instead breakfast Cafe Manhattan opposite nice indeed . first timer New York , location hotel could well . 5 minute Time Square broadway theatre , close fifth avenue Grand Central . surprisingly quiet , noise ever hear aircon . if look hotel room service , porter carry bag , concierge , shoe shine etc place hate . however , like want somewhere clean comfortable sleep wash Club Quarters ideal . would definitely hesitate stay . 
 Sep 27 2009 	 celebrate birthday 	 good place businessman stay . nice environment . Continental Breakfast downstair $ 10.75 . usually quiet , walk Time Square , feel heat NYC 
 Sep 26 2009 	 great location fun warm service hospitality . 	 room microscopic size service anything warm . staff seem robotic ... sure . entire hotel could automate experience would well . would stay - yes ... location rate good despite poor service . guess get pay . bottom line : room clearn , adequately appoint , bathroom immaculate , hotel seem safe . enough safetly deposit box . bed comfortable . use hotel good location wife tour shopping work downtown financial district . easy access subway station get work . 
