best 	 stay Monday morning Friday evening , complaint . with 5th Avenue second walk away , Rockefeller Plaza Centre road , Central Park less ten minute , could not choose well location . already read review , tell we hotel good business couple ( family ) room small . plan stay room much , New York , anyway ? ! check - in quick . hotel feel new really clean . clean service room , exceptional , -even though would ' ve save towel re - used , clean one daily , along new bottle shampoo , body lotion , mouth wash etc etc . not eat restaurant , comment , -only always , though , plan .... not even ever breakfast hotel . -we draw Concourse level Rockefeller , breakfast , several occasion , -as good variety , brilliant place sit , watch world go . pour many idea New York hotel , , end , pick one ideal . 
 Nov 22 2009 	 Club Quarters 	 get awsome deal Priceline.com pay half price . good location . nice clean room . 
 Nov 2 2009 	 sublime 	 excellent facility , cosy well maintain . business like , functional . space manage well gym good ! 
 Oct 27 2009 	 great location tidy clean friendly helpful staff . 	 lovely little room 23rd floor overlook 51st street , view towards west ( broadway ) , south ( rockefeller ) west ( st . patrick 's church ) . bedroom bathroom small , seem norm NY . need sleep clean clean well every day . always 2 staff front desk helpful friendly time . lovely dining / bar 7th floor cover outside heat balcony facing towards Rockefeller Centre - ideal want drink smoke , many place leave like around ! Johnny Utah 's bar / club next door . apparently get noisy , do not ' go hear nothing 23rd floor , usual hum ny.broadway 2 block west 5 minute walk , fantastic location . seem combination business leisure traveller . Club Quarters arrange ' taxi ' JFK $ 60 . bad , especially may end get stretch limo like do . would go back . 
 Oct 14 2009 	 Superb customer service great location room 	 partner arrive Club Quarters late one Wednesday night ( due flight delay ) . arrive hotel , meet two charming young staff member , one say , " would like good news bad news ? " explain hotel overbooke , room we new Club Quarters south Manhattan . would pay taxi ride hotel , return trip Club Quarters Rockefeller Center , would nice suite next three night stay . I say would prefer different option nearby area , early morning business meeting next day select particular Club Quarters 2 block meeting . arrive middle UN opening week , traffic chaotic ' know subway system well enough . the staff member say would try find nearby alternate . meantime , direct we nice all - night deli nearby could grab bite eat . return , inform we find room nice boutique hotel five block away . prepay reservation , decide give we exact cash payment room next morning . give envelope stuff cash . they also give we $ 20 taxi ride alternate hotel , pocket easy walk . give we gift certificate 2 night lodge Club Quarters US . conclude assurance would nice suite return next day last three night stay . we get alternate boutique hotel discover check room $ 450 per night rate . Club Quarters staff give we exactly right amount cash fully payfor room next morning . we return Club Quarters 1 pm next day . suite ready . 27th floor , promise corner suite lovely view St Patrick ' Cathedral . the room spacious , nicely appoint , clean . appreciate complimentary bottle water near elevator floor . computer printer seventh floor available we Sunday morning print boarding pass . there quirk : small lobby , quirky elevator , bit delay get luggage storage ( different floor lobby ) . , nice place stay . must commend management empower desk staff deal overbooke imaginative , though costly , way . speak highly Club Quarters many people ( already ) , definitely plan stay next visit NYC . 
 Oct 13 2009 	 great location ; modern convenient 	 situate across street Rockefeller Center , hotel provide great access local attraction , public transportation , easy walk 5th Ave . store Times Square area . room price reasonable ( ~ $ 200 / night ) hotel amenity excellent . highly recommend would stay without hesitation . 
 Oct 11 2009 	 great room excellent customer service 	 beat comfort , customer service location . 
 oct 8 2009 	 amazing location ! 	 boyfriend stay December 2008 could please hotel choice ! city decorate beautifully holiday season , stay hotel allow we within walk distance many wonderful sight . step outside hotel walk 10 step leave see ' the Tree ' Rockefeller Center ; also look street ( left ) see St. Patrick 's cathedral way ( right ) see Radio City Music Hall . addition , hotel right across street FDNY Fire Zone Store ... boyfriend ( soon firefighter ) impressed . hand , enjoy close proximity 5th Ave . : ) room wonderful two we ... plenty space comfy bed ! also enjoy free water bottle staff always willing give we direction / help we anything need . we would definitely stay would highly recommend hotel anyone look heart NYC . 
 Sep 13 2009 	 great location ; clean comfortable room . 	 spend 3 night NYC Club Quarters , Rockefeller Center . could not ask convenient location ( Radio City Music Hall , Rockefeller Center , Fifth Ave . , Central Park , St. Patrick 's Cathedral ) . room small well organize , clean , quiet ( except close door nearby ) , comfortable bed . elevator quirky intolerable . first hotel ' ve ever stay housekeeping staff leave thank note tip . appreciated free computer available print boarding pass check email . would definitely stay . 
 Aug 31 2009 	 convenient location great price 	 yes , room small , ' ve stay small hotel room cost . importantly , room clean , bed comfy , AC work , good water pressure , bathroom unexpectedly large NYC hotel . price unbeatable location - convenient midtown financial center , Rockefeller Center , subway . check - in could not easy self - serve kiosk . miss last day , be cute little lounge restaurant roof terrace . 
 Jul 30 2009 	 nice place close everything 	 Priceline always luck draw . never sure might put . time lucke . place definitely great buy NYC . check quick friendly . room clean , modern , small NYC , would consider average size . view room face 5th ave look upon St. Pat 's . bed cart request check bring within 5 minute . check request hold one bag could walk around city . graciously charge we nothing . complaint , really trying find something wrong place would elevator use room card access floor . get use choose floor quickly insert card right .. take something get use . going play Broadway look hang around Mid - Town , go wronger . highly recommend . 
