excellent 	 stay six night hotel price approx . 140 $ /night . bathroom , simple breakfast . time ' ve NYC , far good value money . location excellent , good starting point walk around city . addition , nearest subway pretty close . absolutely nothing complain . room ( experience NY standard ) large , clean , service good . excellent WiFi connection . 
 Oct 31 2009 	 great value 	 husband stay Comfort Inn Manhattan Bridge couple night early October . get corporate discount Choice Hotels able get hotel rate well hotel Manhattan ( $ 120 per night ) . hotel open month ago , room clean nice . get room queen size bed think room big NYC standard . bed really comfy , high , nice flat screen tv room . bathroom plenty big not problem fire alarm other have . the continental breakfast suit we fine . plenty choice good start day head explore town . the location good . room overlook Manhattan Bridge area park . fun look window every morning see local walk around track ! love Chinatown area , area have never stay NYC . two different subway stop block hotel , pretty easy get around town . one night , way home , get takeout couple place recommend TA - Excellent Dumpling House Dragonland Bakery . Yum ! would prefer midtown area , would definitely stay hotel difference price . 
 Oct 19 2009 	 Location Price Rooms- make trip great ! 	 research multiple hotel NYC ( many complaint bed bug ) find Comfort Inn . review great add newness hotel sell . hotel edge Chinatown will get full experience driving . staff great knowledgeable area direct subway stop , etc . hotel clean well manage . room expect small enough space two we . nicely decorate , bathroom modern fixture divine shower head would take home could . complaint would fire alarm would go random time . not full blown alarm terribly loud- never wake husband . also , window look Chrystie street make really loud also expect loud NY time can not really complain . get use honk car alarm . price exactly want pay well . $ 200 also hard find NY hotel nice . 
 Oct 17 2009 	 great value money not - everyday safe location ! 	 location hotel Chinatown . glamorous Midtown , area excellent starting point explore whole Manhattan . hotel lie central area like South Street Seaport , Financial District , Greenwich Village , Brooklyn Heights Union Square easily reach subway . Midtown Upper Manhattan also take relatively short metro ride reach . chinatown busy , hectic sometimes smelly place , safe pack cheap restaurant serve great food much money . trick go local go let exterior interior place put . ten minute walk also get SoHo will find great shop good restaurant ( must - go pizza - lover : Lombardi 's ) . would advise everyone let location put whilst decide whether book hotel . chinatown safe , central cheap ! room good . not big certainly tiny either . room clean well daily - base private bathroom spacious modern . flatscreen TV also work really well . bed bit soft liking , 's personal course . experience already describe & quot ; fire - alarm & quot ; problem , though must admit fault . complimentary breakfast exist muffin , donut , bread , bagel , waffel , egg cereal . extremely varied , give good base explore city till lunchtime . breakfast area bit small , never wait place sit even though hotel fully book almost night . service hotel employee thing think complain . except one nice door - guy open door we wish we good day , never really recognise staff greeted greet . door - guy often find cell - phone free - internet computer instead next door . girl behind reception seem shy incapable say hello unless trigger greeting . , hotel great value money would definitely recommend . pay $ 900 ( include taxis ) 6 night . feel amount really worth visit . 
 Oct 16 2009 	 great find great price ! 	 husband stay Manhattan Bridge Comfort Inn six night October . first tell son , live Manhattan , make reservation chinatown hotel $ 125.99 night think cancel . tell travel China not think would bad ( like China much way ) say might surprised . great place stay son even think great find end trip . room small , comfortable . construction street area first night return hotel construction light jackhammer break street . little worried , not loud room sixth floor stop around 10:30 . happen one night staff helpful computer lobby great check email print boarding pass time leave . breakfast consist toast , muffin , donut , bagel , waffle , fruit , hard boil egg , juice , coffee , tea milk . complaint fire alarm . yes , go . someone take shower , not turn bathroom vent , leave bathroom door open , steam make smoke detector outside bathroom door go . happen five six morning twice night . buzz short time must way turn . concern would know alarm real steam . seem like problem hotel staff could easily solve would put kind notice room warn people check in . the street neighborhood busy little smelly ( fish market , fruit vegetable stand , etc ) love hustle bustle feel safe . neighborhood real New Yorkers live thing quiet night . the hotel close subway stop several restaurant within walk distance really enjoy . sichuan hot pot restaurant around corner Canal Street fantastic . visit Sichuan province China food authentic great , like really spicy food . accept cash . afterwards , go Chinatown Ice Cream Factory two block away fantastic ice cream help put fire ! north hotel Christie Street great dumple restaurant door two north place great $ 2.50 lunch special . every time go past line door . eat . pork great . if want find good restaurant area look see local eat there . little Italy three block away great italian restaurant there . if catch taxi LaGuardia , tell cabby take BQE Williamsburg Bridge . not know first trip ask get hotel tell take fast way . driver take we toll bridge lot traffic . fare $ 40 . way back son tell we go fare $ 21.50 . 
 Oct 13 2009 	 Good Value 	 New building . clean hotel nicely appoint room , comfortable bed , flat - screen tv , lot cable channel ( inc . HBO ) , great shower , etc . two computer available lobby free internet access . friendly helpful staff . typical free Comfort Inn breakfast -- lot carb ( pastry , waffle , cereal , etc . ) much else . Location Chinatown interesting , dirty sidewalk occasional trash might off - putting . complaint subway 20 - minute walk away . overall , excellent value will stay . 
 Oct 10 2009 	 easy access .. 	 convenient locoatio , easy access China town , Little Italy , subway . 
 oct 8 2009 	 Great Hotel Great Price Great Location ! 	 hotel great price . totally shop around far least expensive . room great view beautiful Manhattan Bridge . 's right Chinatown , block Little Italy & amp ; near subway . room clean & amp ; new complimentary breakfast huge variety food . 
 Oct 6 2009 	 good hotel great neighbourhood 	 Comfort Inn Manhattan Bridge open 2008 , time write , still new clean . 's small hotel ( 60 room ) 12 floor China Town . facility reception , breakfast corner 2 & quot ; free use & quot ; computer . 's affordable hotel New York . Breakfast include , 4 table ( 2 available , lie , utility room ) . ' r satisfied coffee , juice breadproduct , will fine . room , compare New York standard , pretty spacious . 1 2 queen size bed ( comfortably high , think ) coffee / tea make facility . advice book room floor 8th , due outside noise possible blind wall . disadvantage ( personal experience ) neighboorhood China Town ' r . busy unclean directly & quot ; downtown & quot ; . ( 2 block ) will find metro B en nearby . + /- 20 minute i.e 5th avenue/42nd Street . restaurant TIP : Tick Tock Diner , 24/7 open underneath hotel New Yorker ( 8th AVE/34 Street , metro C E ) . TIP : step away Manhattan visit Brooklyn ! 1 metro stop hotel reach Brooklyn . get metro Clark Street en walk Promenade , BEAUTIFUL view downtown Manhattan ! . Brooklyn historic home en give positive small town feeling . walk Montague street ( end Promenade ) . walk back Manhattan Brooklyn Bridge , nice experience . leave side bridge will find South Street Seaport : shop , boat tour en nice restaurant . 
 Sep 25 2009 	 not listen other ; area fun ! 	 hotel not open yet time booking , figure could not go wrong : fresh new hotel together acceptable pricetag . after first review publish Tripadvisor , people think area bit downturn . well , stay Midtown week early , think fun alternative ! hotel basic , much modern standard : free internet computer , complementary breakfast , good ac room nice flatscreen ( fridge ) . staff helpfull luggage storage last day well organise . size bed problem ( way small ) .my worry hotel look couple year 's new anymore . move sofa room pick something , get impression first person ever move . lot dirt underneath . also pill floor bedside table bed . bit attention detail please ! 
 Sep 24 2009 	 clean hotel great value 	 stay Comfort Inn Manhattan Bridge four night two separate occasion recent holiday US . room allocate clean fairly spacious New York . hotel open furniture fixture room new good quality . bed high , comfortable great pillow . breakfast include room price consist tea , coffee , doughnut , muffin , cereal , fruit juice , egg waffle . breakfast area little small , share table good way meet people . the staff helpful check check easy . chinatown fashionable area New York , safe number subway station close hotel . first room hotel three night Level 6 little bit street noise , die later night . second room back hotel extremely quiet . set fthe fire alarm shower , staff quick resolve . hotel free internet WIFI.My complaint want leave bag hotel two night go Toronto . stay back hotel return . staff initially say would ok , later informed staff policy . big issue . 
