excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Nov 15 2009 	 stay anywhere else ? excellent ! 	 stay October 15 year old daughter . step Times Square . perfect location . worry safety big city like NYC ( woman young girl ) never feel uneasy walk short distance Times Square hotel even 11 pm . check Stanlee quick extremely friendly ( even though 1 a.m. ) . room little small size view window brick wall . call Stanlee straight away ask another room , Saturday night fully book . make note re - room next morning remain 3 night trip . next morning , true word swiftly re - roomed Rodriguez . excellent service new room front face almost twice size first room . brilliant ! ! breakfast room always busy , people often share table , else New York get free breakfast ? share table one morning 4 last morning get breakfast bagel , donut / pastry coffee take room have . the room clean staff friendly helpful . go New York hotel first choice , without doubt ! ! road hotel John 's Shaghai . get take - away eat room one evening . food excellent . next door John 's Shanghai grocery shop get drink there . the hotel perfectly locate choose whether going eat hoof . I check online return flight problem free internet access hotel . check complete 10 minute . save us lot trouble airport flight overbooke not do , may put next flight instead ! ! ! ! tip air traveller check online ! ! ! fly Virgin Atlantic , know common practice lot airline overbook flight even though book seat , not check online seat book someone else ! ! ! learn lesson way NYC make check 1hour long would otherwise check online . 
 Nov 13 2009 	 Decent option cheap stay Manhattan 	 although rate steal give hotel 's unbeatable location ( literally one minute walk Times Sq Rockefeller center ) , not mask fact great place . lobby breakfast room smell terrible throughout stay breakfast spread frankly joke . fitness center gound floor far cramp , though give size hotel ( tiny ) 's bad . place really go wrong room . far ' m aware room extremely small , would fine hotel not try cram furnishing room twice size . huge body - length mirror hang unfortunate place , cabinet can not open due proximity bed ... be basically force walk sideway get bed bathroom . say , room clean , bed comfortable give fact room face away busy 46th St , be also quiet . decent place , good value , even well value stay nearby sister property , Hotel Times Square . 
 Nov 9 2009 	 affordable friendly clean 	 Located nearTimes Square , reasonably price ( NYC ) hotel clean , staff friendly responsive . could move around side bed desk room -- NYC , be roomy . free safe room , nice - sized flat screen tv , iron , ironingg board , small coffee pot continental breakfast . not despair not want carry laptop : business center 2 pc printer ( charge printing ) . be also small , pleasant fitness center . good staff . smile around hotel . front desk welcoming ! tell door room squeak ; 2 hour later , squeak . Hairdryer not work , return back new one . sixth floor room surprisingly quiet put big test , first night Yankees World Series loud celebrant Broadway 1/2 block hotel . every would hear whoop horn nothing loud enough annoying . I search search TripAdvisor reasonably price hotel good location could not find anything NY City affordable find Comfort Inn -- return ny , ' m stay . 
 Nov 7 2009 	 excellent value great location 	 staff hotel accommodate helpful . hotel great location . room stay small nice . second floor close street pretty noisy . light sleeper request room rear hotel away street . property offer free wireless internet business center also available charge . go city see show theater district excellent place stay . 
 Nov 3 2009 	 Value Convenience Nice Stay 	 select hotel base good review , price $ 200 closeness theater district . addition , Times Square fun area , close restaurant shop convenient subway . although restaurant row 8th Ave . , son find 9th Ave . ton less expensive good dining . cab trip hotel Laguardia Airport $ 27 plus $ 4 toll plus tip . hotel comfortable staff helpful . able use computer printer business room time want short wait . although large hotel , elevator slow full . check quick . breakfast room staff good keep orange juice coffee etc . flow . big plus coffee breakfast room available fresh day ! need use in - room pot . room also be iron board iron hair dryer work . plus room provide four comfy pillow per bed mattresse good - not extra firm soft . ask two bed room , later learn row floor view street . window high anyway not important location quiet . 6th floor hear traffic neighbor . the negative find door bathroom mostly glass could see ! amazing , huh ? ! bring garment bag wedding clothe hook door bathroom side could hang cover glass . otherwise privacy bathroom - beware ! also , like place , could use upgrade toilet paper tissue . like design sink mirror bathroom sleep area . I would definately stay able walk theater dinner . saving comparable hotel probably $ 50 day . great find ! 
 Nov 1 2009 	 Great Value 	 modest hotel , would rather spend money sightseeing , good food , entertainment shopping room , stay Comfort Inn . bit nervous would bit dodgey give low cost comparison New York hotel , wrong . hotel spotlessly clean , room ( bed ) comfortable , staff helpful pleasant , free breakfast basic plenty location first time New York tourist could not well . terrific close Time Square , hop on / hop bus , Broadway show , subway fabulous restaurant Restaurant row among thing . two computer guest use also helpful . this glamorous hotel , be ' careful ' spending money , could not go past Comfort Inn Midtown . stay expensive hotel 2nd half trip , honest , be ever able return New York , would certainly happy stay . 
 Nov 1 2009 	 good value 	 Manhattan , recommend hotel value location . room size high - price Times Square place ( small ) , plus save money eat breakfast right hotel start day . two block Times Square , 5 block major theater , three block 1 Train ( subway ) downtown ( catch Ellis Island Ferry ) . 's no - brainer recommend one friend . easily save $ 100 night staying , plus breakfast money save . bellman concierge , really need anyway ? 
 Oct 27 2009 	 comfortable room great location 	 read many positive review hotel , even well expect . check - in quick efficient . room # 906 king size bed . though small , comfortable nicely decorate . small desk chair , bedside table , large unit include television . good thing bed - one comfortable ' ve ever sleep ; wanted take home . minor irritation flat screen tv mount side bed , good position view . bathroom clean everything need . location hotel excellent- one block Times Square 3 block subway . yet 46th Street quiet noise issue . several restaurant within one block , along two deli 's . enjoy St Andrew 's Pub Restaurant , right across street . continental breakfast hotel usual item , toast bagel , couple cereal , pastry , yogurt , hard boil egg . everything fresh breakfast attendant keep everything clean stock . drawback breakfast room could use table - suspect simply room expand . overall , happy hotel would not hesitate return . 
 Oct 20 2009 	 2nd stay disappoint 	 Comfort Inn Midtown gem ! comfortable bed , everything need room . lets face , want stay room NY . right times square perfect location get anywhere . area safe staff helpful . particular mention guy check . originally India , fun go successful aussie cricket team . nice discuss something familiar . car organise front desk take airport . $ 55 tip , toll everything . free internet fitness centre continental breakfast make good place stay . 
 Oct 20 2009 	 great hotel fantastic location well appoint highly recommend 	 highlight trip . expect old room old hotel , find modern room , great service perfect location . we within 2 minute walk Times Square , another 2 Subway , restaurant galore dozen shop . obvious hotel professional refurbishment long ago , work . hotel feel old world classy downstair , room comfortable contemporary . we can not recommend hotel enough , pick one , will not disappoint . 
