money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Nov 26 2009 	 Perfect location - Perfect Hotel 	 stay Nov 19 - 23 . hotel right Times square everything want need right side door . lobby check 3rd floor . everybody talk friendly help full question . stay room 3211 suite pull bed . friend could believe size room NY early year say living room area big room hotel . travel party not want cramp place stay . outside noise never problem never cause lose sleep . elevator fast never wait long get one . watch door close fast . thing find wrong tv program high definition . friend use weight room every day love . go look everything need good work . place look stay return NYC . 
 Nov 25 2009 	 Great Value 	 every time stay amazed size room get price location . doubletree offer two room suite heart Times Square half price hotel 's single room . hotel offer amenity , Times Square , 10 minute walk direction literally hundred restaurant , bar night club , need hotel amenity large , clean room ? take kid city , definitely place stay . 
 Nov 24 2009 	 great location clean comfy room 	 stay 4 night hotel November . room spacious comfortably hold we 3 girl luggage plus buy ! check quick , easy friendly considering arrive midnight . girl give we choice room go one view times square . 9th floor view not great also could not see ground due ledge / balcony window not affect stay way . warm welcome cookie nice touch arrival . sofa bed room particularly comfortable 3 we fit easily one double bed extremely comfy . room keep clean nice sized bathroom , could access bedroom living area . also 2 tv , fridge , microwave coffee machine . guy bell desk helpful keep case day check thank Miguel Jordan service . hotel great location easy reach everything . find nightlife surround area bit touristy - bit like go Saturday night Leicester Sq picadilly live London . find West Village area last day wish find soon look like well night could less posey people around . book Sex City tour Viator.com well worth fan show try early stay guide point load sight give we special offer discount unable visit use last day . also , try go Carmine 's - italian restaurant really great food near hotel . serve everything big family portion get one starter main dish everyone share . 3 we eat around $ 60 much food left could feed another 3 people . ' m sure exact address concierge able tell hotel . not let concierge tell will not get table though . 's tell we get dress go . ask we wait bar 20 minute table would available not problem not book . would definitely recommend hotel anyone look good location reasonable price . 's luxury clean , spacious comfortable good service , really need short break . 
 Nov 21 2009 	 Great Staff make Great Visit 	 Trip start front door Marco Charlie M. get Front Desk Danny , Michael , Carla , Demarris , Jenny take great care . great security system place 
 Nov 19 2009 	 Unexpected Gem Times Square 	 walk around hustle bustle Times Square daunt , soon arrive third floor lobby Doubletree , serenely calm . room , however , really make exceptional value New York . suite spacious recently renovate . mine two double bed flat screen tv bedroom . sizable , separate sitting room sofa , table , chair tv . room also wet bar , microwave oven refrigerator . sizable bathroom two sink open either room . comfy bed bed , . another plus -- arrive train bus Penn Station , Grand Central Station , Port Authority terminal , Doubletree manageable walk not carry much luggage . would gladly stay . 
 Nov 18 2009 	 SUPERLATIVE 	 book another hotel weekend , upon check Hotwire.com day plan New York trip see 4 - star Times Square suite hotel post $ 148 . obvious without much research Doubletree Guest Suites . needless say , hastily cancel previous reservation book immediately . impressed entire experience . greet warmly front desk staff put we 36th floor suite spectacular cityscape view . suite spacious beautiful nice , well maintain furniching , abundant lamp warm lighting , elegant window treatment , great bed luxury linen . suite pristinely keep thoughtful touch every turn . huge , amenity laden bathroom double vanity entrance bedroom living room . forget pack shaving cream quick phone call request deliver within 5 minute . spacious wetbar microwave , small refrigerator coffee maker . experience absolutely noise street adjacent hotel neigbor . 's readily apparent staff hotel unifomly service hospitality orient . public area , include elevator , appear newly renovate . , outstanding hotel experience . highly recommend ! 
 Nov 16 2009 	 pleasantly Surprised Doubletree 	 come back one night stay Doubletree . say - great stay ! other report , room large , two - room suite . king 42nd floor amazing view Time 's Square way Central Park . room clean , comfortable could easily see spend long weekend . loved mircro mini fridge well . my son dinner Ginger , hotel 's restaurant , enjoy steak . not NY steakhouse , decor nice not compete noise , restaurant dine at . also really like reception / bar area . find hotel good security place . we will definitely back . 
 Nov 16 2009 	 Magic . 	 well say already say , stunning view 34th Floor Timeas Square , nice spacious suite perfect . staff fantastic especially Andrew ground reception , take care item leave friend collect great care attention . back sure , go treat ... stay , dissapointe . one tip however call home , use mobile £ 62 call , honeslty say make many call , seem little overpriced call international . 
 Nov 15 2009 	 absolutely amazing hotel 	 I ve come back 6 day break stay Hotel - go two friend choose Hotel separate bedroom sofa bed front room - room spacious King size bed extremely comfortable , two flat screen tvs room . bathroom spacious include bath - also , sink , fridge coffee facility lounge come really handy two peopke could get ready go one worry wait bathroom use mirror / bruch tooth etcWe stay 21st floor view room amazing , look onto neon light Times Square - could not stop look hypnotise ! although say wireless broadband small cost , free connection want check emailsAll fault Hotel - location could beat - walk door right onto light madness Broadway ! 
 Nov 10 2009 	 fantastic locationcould not ask 	 really fantastic time hotel . close everything . Perfect girly shopping trip . staff excellent willing help time . Daniel reception good we Charlie colleague go great lenght get we hugh taxi Newark airport friday eveve rush hour traffic . time call housekeeping obliging . thing slightly systenm channel tv . show pay per view channel advise get music channel without pay . say another bad word hotel , even though time square noise fron outside , room spacious reasonably price cosidere location . woiuld definitely stay return big apple . thank staff help , could not ask 
 Nov 10 2009 	 beautiful hotel disappointing customer service 	 reserve hotel use Hotwire request two room would accommodate 8 adult altogether . two day arrival , call hotel confirm would double bed room tell could make request check ... . naturally , upon check tell double bed room speak party 8 would need settle two room king size bed pull couch . exactly expect ( pay ) ... 8 adult . add insult injury , pull bed hotel barely passable & quot ; sleep accommodation . & quot ; mattress mere 4 inch thick fraught squeaky spring jabbed linen . fast forward check Sunday request speak day manager ( Carla Ortiz ) much & quot ; script & quot ; repeatedly inform we intentionally select accommodation . explain Hotwire reservation system Ms. Ortiz ( not include option select number bed , indicate number people party ) state call ahead request double bed . argument not work favor , look Hilton script point finger Hotwire . evidently , Hilton hotel chain think completely appropriate guest sleep pull bed ... think give chocolate chip cookie replacement actual customer service . 
 Nov 9 2009 	 great location ! excellent hotel staff especially Michael ! 	 excellent stay . room spacious small living room , microwave fridge . clean quiet , . front desk staff friendly accommodate , especially Michael . night , return long day touring - Michael welcome we warm smile delicious cookie ! location perfect .... right across street half price ticket broadway , close Rockefeller Center , 15 minute walk Central Park . duck boat tour exactlly 5 step outside door . get hotel easy . take express bus Manhattan . stop first Grand Central Port Authority ( 42nd Eighth ) . get second stop walk Times Square . hotel leave side big Coke sign . double Tree hotel Times Square top list New York hotel recommendation . look forward stay again . PS : TGIF restaurant electronic shop next door . look surveillance camera call someone know cell phone ! www.earthcam.com/ 
 Nov 9 2009 	 Excellent Hotel ! 	 pleasantly surprised hotel . service excellent , right arrival hotel check - out . NYC quite often first time stay Times Square . location hotel great noise minimal . room little tired may need renovation , happy decision stay . 
 Nov 8 2009 	 good value NYC ! 	 four friend one hotel room . place town could fit comfortably stay within budget . fridge , coffee maker sit area addition two double bed convenient location central sight - see . amenity like one would expect all - suite hotel ( like free - WiFi continental breakfast ) ability cram 4 us room price one room double bed W would cost totally worth . 
 Nov 5 2009 	 every stay like go back home ! 	 stay dozen hotel New York City , far , hotel offer MAXIMUM service . say want 10 , MEAN . get point Hyatt Starwood Hotels ( Westin ) service not come close Doubletree choose stay travel city business . feel comfortable , feel secure , every request grant - reason stay anywhere else ! Marcos , number one bell hop always welcome back . Hanna , sweet beautiful hostess restaurant make feel customer place . say enough fine people . remember treat kindly everytime return RARE GEM large hotel . 
 Nov 1 2009 	 fabulous hotel location holiday 	 travel New York two teenage child October half term , choose Doubletree Guestsuites want somewhere central . not disappoint one bit . location could not well . right middle Times Square really not sleep . however , hotel room locate high floor heavy drape helped shield noise light not affect sleep finally decide lie head . also great location able walk see show evening , walk range restaurant includng TGI Fridays Planet Hollywood , walk Macy 's , Fith Avenue good shopping area without exhaust get blister . hotel even walk distance Empire State Building , Rockerfellers Central Park . would definitely advise people stay hotel walk location much possible , soon get find way around also see much . besides , traffic hectic , often enough , probably quick walk take cab . times need grab taxi absolutely pour need get harbour get boat take we tour . want sightsee , would recommend Rockerfellers observation deck , well Empire State Building . go Rockerfellers daytime Empire night . not close 2 am go midnight . brilliant choice - queue light New York night breath - taking . get , offer limosine ride back hotel mere $ 20 . needless say , accept great . would also recommend Circle Line cruise , take Hudson , see Manhattan Island , well Statue Liberty , Brooklyn Bridge many main attraction . buy New York Pass use get attraction . not work yet manage save money , probably save we little time queue . although , honestly , never experience major long queue anywhere . love shop , great variety . top class store search , also find reasonable price discount store . something everyone would not say would able find anything cheap England . love Macys . go eat . not think particularly cheap probably would expect pay restaurant London . alcoholic drink , find overpriced . remember pay anything $ 16- $ 22 double Baileys . think buy bottle , horrified find hotel could supply bottle $ 110 . one great thing hotel , location , excellent room , facility service , allow bring food drink . particularly useful two teenager able nip late night bring MacDonalds next door feel peckish . even morning , fancy MacDonalds pancake breakfast . room fridge microwave , mean want cater little save money , . certainly help two teenager constantly want snack . , wonderful time . thinking go , . really fantastic place visit . oh go Central Park , would definitely recommend little bicycle cab ride take hour guide tour . fantastic time , guide hilarious show we many landmark could tell we practically every location within park scene numerous film tv show . cost $ 80 guide really earn great fun Central Park Autumn truly stunning . three we love New York . child want move . would not go far plan go back couple year , would like make next visit Christmas time . 
 Nov 1 2009 	 great hotel 	 wow ! 7th trip Times Square 3 year . would never stay Doubletree , be member another chain 's reward program . , last minute opportunity travel NYC book really reasonably price room area . upon arrival 10 , delighted find room available . get room , blow away view , overlook Times Square , mention size room , huge NYC standard . bit concerned since locate elevator , hallway lead door bedroom , elevator noise factor . I would definately recommend hotel friend , well stay opportunity present . 
 Nov 1 2009 	 friendly helpful staff spacious room great location 	 return second visit New York City 3 friend . could highly recommend hotel traveller . moment arrive make feel welcome staff esp Daniel . suite adequate fridge , microwave etc etc . clean house keep staff helpful nice . room spotless arrive service every day . the criticism switch tv , entertainment package come automatically pay use - we not aware end buy music package not want . I def return hotel would highly recommend fellow traveller . PS welcome cookie delicious- thank Daniel : - ) 
 Oct 31 2009 	 good location heart NY 	 first time NY . research online month decide stay Doubletree Times Square . not regret . although pricey can not beat location . double decker red tour bus right across street hotel . also , fairly new Walgreens along Metro station within easy walk distance . location excellent . room clean service great . would recommend suite style room family . stay suite sofa - bed two double bed separate room . comfortable room , understand roomy NY standard . 
 Oct 30 2009 	 recommend family hotel good location 	 clean , safe excellent location . would recommend Doubletree family , since room big , fridge location good . whenever travel family return . 
 Oct 28 2009 	 truly outstanding - avoid concierge ! ! ! 	 hotel excellent virtually every way - would advise anyone give concierge miss . the room huge ny standard , pretty much silent ( low floor face Times Square would guess would noisiest part hotel ) .The location perfect want bustle square , pretty vibrant around hotel , particularly late night think this . the employee hotel truly outstanding . ask & quot ; anything make stay enjoyable ? & quot ; , number occasion . not . breakfast buffet comprehensive skip lunch day - team restaurant really friendly single Steve , egg stand one morning . wife order waffle , Steve talk two . mention birthday - Steve 's face immediately light wish happy birthday . dash door reappear moment later clutch bag couple tin Doubletree cookie - tell wife entire team hotel wish happy birthday . truly lovely gesture outstanding ambassador hotel . the bell - hop team excellent well ( tend leave NY luggage arrive ) ... bad bit - hotel appear & quot ; outsource & quot ; concierge third party company call Continental Guest Services whose team poor . firstly , mexican restaurant & quot ; booked & quot ; we not table arrive , tell we not fact accept reservation . offer chance wait table decline . on day departure , book car Newark airport - pay $ 114 . one team arrange , could not help overhear female member team , tell junior member team sell theatre ticket unsuspecte guest . & quot ; tip trade & quot ; make think would never , ever buy ticket hotel concierge , immediately make think 'd rip off . one buddy tell way odd , arrange alternative 1/3 less . book confirmation arrange hotel concierge state booking could cancel two hour ' notice team initially claim sale final non - refundable . prompt , debate woman mention , agree refund money . so .... , excellent hotel . great room brilliant staff want & quot ; go extra mile & quot ; . tip would avoid concierge like plague , tip hotel management would get rid outsource concierge company employ people tune rest staff . 
 Oct 26 2009 	 LEVELS service EXCEPTIONAL 	 arrival check receive exceptional service everyone Doubletree . freindly accomodate staff . clean comfortable room beautiful view . cookie delicious treat . wonderful 7 day vacation heart New York ! 
 Oct 26 2009 	 check - in great concierge desk pleasant 	 Daniel provide we wonderful check service great way introduce welcome we NYC . however , concierge desk unplesant experience . wrong direction , address , general lack knowledge city . main focus sell bus tour . 
 Oct 26 2009 	 WOW - hotel awesome ! ! ! 	 season business traveler high expectation . reason book doubletree mid - town hotel could find offer true Suites ( total closed bedroom living area ) . book notice rate 3 1/2 star hotel , expectation high . great surprise , drive city give perfect driving instruction , pull handed key car taking valet ( $ 35 per night pick car garage end trip ) baggage handle Bell Hop . lobby nice Front desk staff amazing ( Daniel - love Spain btw ) check we professional freindly funny super accomondating need . think business pleasure awesome spot . would recomend high floor remove Times Squre buzz . 
 Oct 26 2009 	 Daniel AWESOME ! 	 Daniel front desk extremely helpful & quot ; concierge & quot ; type advice - help we get priority ticket visit Empire State Building , recommend show , touristy activity , wonderful restaurant . employee like Daniel invaluable infrequent traveler , especially wonderful . thank , Doubletree Daniel , make trip even wonderful efficient ! 
 Oct 25 2009 	 simply outstanding ! 	 family ( 2 adult & amp ; 2 boy 11 7 ) stay Doubletree October . arrive taxi airport ( efficient organise ) thrill pull right middle Times Square . check speedy delighted warm cookie receive . room 14th floor view Times Square . room clean , comfortable ammentie family 4 require comfortable stay include small refrigerator microwave . shame wifi include , however not really time sit computer anyway . the location hotel brilliant . right corner 7th 47th street TKTS booth outside subway station next door . hop on / off bus tour start right across street well . Times Square area feel completely safe hour day night . security check elevator ensure safety well . great restaurant Times Square would recommend eat quite expensive ( $ 90 breakfast shock ! ) . however , Rays pizza 48th amazing ! kid like hot dog vendour like city always well eat local eat . New York amazing city husband ( yes kid next time ) return 2010 definitely stay . 
 Oct 24 2009 	 great hotel - near everything 	 hotel right Times Square . Broadway discount center right across street . Subway West Side story theater next door . breakfast buffet great ! Lights Times Square see window . room clean housekeeping friendly . walk distance Broadway theater many good restaurant . 
 Oct 23 2009 	 Doubletree Guest Suites good Hotel Times Square 	 long time Hilton Honors member ( Diamond vip ) , hotel awesome . since Diamond vip , check room doorman first floor , mean stand line . suite 29th floor commanding view neon Times Square world famous . even though much hustle bustle noise street , could anything suite . great able stretch much space . breakfast buffet one well encounter . find employee hotel customer - service orient . location central New York 's great tourist attraction . would defintely stay hotel . 
 Oct 23 2009 	 great midtown location . bit expensive . 	 stay Oct 16 - 19 Doubletree Times Square . woman check - in accommodate give we King suite 31st floor . warm cookie check - in . even though center NYC action , lobby floor 3 , away noise traffic Times Square . the room clean , spacious ( NYC ) large window give kid perfect view overlooking & amp ; World north . elevator fast never wait long one , matter time day . location convenient theater Rockefeller Center . overall give high mark , probably look something less expensive next time . spend time explore city , would fine stay hotel less amenity order save money . 
