Clean 	 stay 1yr anniversary . comparison hotel Manhattan ( expensive ! ) , relatively reasonable , though still expensive yet expected- hey , Manhattan ! locate block subway , make perfect travel anywhere ! even take train airport , straight hotel ( via AirTrain ) .. LOT fast ton cheap taking cab- alone make worth ! staff helpful , hotel TINY ! look like carve side building . lobby area small , not much surprise queen bed room equally small . literally , open door , restroom half foot right , 6 - 8 step straight bed , probably foot half bed tv . place small , not even room regular closet , separate wooden closet unit room . make , not stay room ( even want , way small & quot ; romantic lounging - in - the - room day ) .. make we get . , overall , good location , clean safe . , be look average size room , romantic ambience room , place comfortably lounge stay , PLACE . be go , want place crash , big room big deal ... will fine . 
 modern friendly staff ; easy walk Penn Station - tiny room 	 stay Doubletree hotel several night early November , combination business / leisure trip . overall , modern , clean , comfortable feature new amenity & amp ; digital tv , etc . room high floor , 2 ( comfortable ) double bed , quiet , gorgeous view Empire state building . really nice ! 's easy walk Macy 's shopping , subway , Penn station . ( , attend concert MSG , be great location ! ) breakfast include room , lovely restaurant . staff great - incredibly friendly helpful . also , experience problem elevator , talk staff , understand weekend ( busy day ) , problem ....... however , main issue , tiny room . live NYC often stay city , room extremely small - even one person . bathroom tight . keep cosmetic bathtub absolutely room keep anything bathroom . believe , barely space keep toothbrush sink , shelf around sink almost non - existent . closet extremely compact , since different event attend night , could keep clothe . recommendation ? one ( maybe two ) person , not lot clothe bag , deal . otherwise , stay hotel large sized room , like doubletree time square feature suite -- least try get hotel slightly big room . hope hotel renovate & amp ; merge two room one . might solve size problem ! 
 Nov 23 2009 	 nice one night stay Doubletree 	 stay hotel one night early November . hotel short walk Penn Station convenient . hotel locate boring sidestreet . 5 block Macys shop Herald Square . enjoy fact new hotel , clean good repair . room one small stay New York City . short stay fine . never wait long use elevator . service friendly . mom comment bed one comfortable sleep . room high floor decent view . would stay price right . 
 Nov 23 2009 	 Great Deal Good Location 	 hotel great deal price location . room clean , staff helpful Chelsea fun area stay . room not huge 's give NYC . complaint elevator . take FOREVER . 20 something floor take stair couple time wait . request room low floor avoid issue . also , be new hotel take taxi make sure driver know be go Chelsea Times Square . 
 Nov 17 2009 	 nice hotel . friendly staff 	 stay 4 night November . bit wary reading negative review pleasantly surprised arrive . 29th st much look inside hotel forget . staff really helpful nothing much trouble . room 21st floor 2 double bed extremely comfortable 4 pillow , lovely . bathroom small spotless nice fresh towel daily . hotel short walk Macys Times Square , quite central really . take yellow cab Ground Zero ( 8 dollar ) go shopping Syms son buy lovely leather coat $ 149 great bargain one Century 21 . also nearby . $ 390 . would return hotel ! 
 Nov 9 2009 	 good find 	 big luxurious room good sized , clean comfortable brand new bed . staff pleasant helpful . could use another elevator two serve quite number floor . good location - close macy 's , empire state building , madison sq garden , city hall 15 minute walk time square . close lot good asian restaurant . really good value money . 
 Nov 1 2009 	 please add another elevator 	 get ( reasonably ) good rate $ 240 per night . hotel kind odd area , ton around except place sell hat purse bulk import / export place . staff helpful professional . every time bump someone ask stay , etc . first night return room key long work . 3 night stay hear 2 people complain thing obviously issue . room ( 1006 ) spotless decently sized new york hotel room . the real issue lack elevator . 2 entire hotel well staff . wait elevator always minute 2 , sometimes 5 . not sound long , ' ve never wait elevator long . arrive inevitably pack sometimes also maid room service cart take 1/2 space . can not imagine would like upper floor , probably 15 minute commute front door entrance hotel include elevator wait stop every floor . know hotel almost full ( 2 room open ) obviously major problem . would not stay reason 
 Oct 26 2009 	 Great Hotel 	 stay hotel Friday Saturday night . be new , modern clean . take Amtrak New York . hotel short 3 block walk 7th avenue leave 29th . turn 29th get little concerned . 's one area 's city slowly gentrified . 's full old trading company hold over year past . get half way 29th street see hotel feel well . check quick room 5 minute warm chocolate chip cookie ( treat give check - in ) . 22nd floor king size bed . room small , NY standard would say average . room feel new modern beech furniture , good size flat screen tv crisp sheet . room face 29th street could see int Empire State building . bathroom small clean feature Neutrogena product . find hotel quiet comfortable . location good , could get everywhere 10 minute taxi . cab fare $ 10 less . hotel business center gym . not use either see .. nothing ordinary . staff nice helpful . would recommend hotel especially catch show game garden . 
 Oct 21 2009 	 mod clean convenient near Times Square . 	 suppose stay Affinia Manhattan hotel travel agent , muck ! ! anyway , offer hotel must say nice . girl , would walk 29th street dark however , someone fine . great location . room lovely . 1103 spacious New York hotel go ensuite really nice - bath though do not spend much time hotel . 
 Oct 20 2009 	 pleased 	 stay one night , book room morning . room small extremely clean adequate two we looked recently refurbish . pay $ 200 . night real bargain . would definitely stay , especially rate . thing somewhat problem inadequate elevator morning rush . husband say wait least 15 minute , pleased since delay arrival work . leave later , annoyed racket maid seem make hallway . plan sleep late , would definitely annoy ! 
 Oct 10 2009 	 good launching point NYC adventure 	 two block away Madison Square Garden 3 - 4 block empire State Building . actual street location could better real complaint . room small ( 2 people max ) new . real closet unit . comfy bed . elevator get busy morning checkout . staff hospitable accommodate . 
 Sep 27 2009 	 small room . ridiculously small . 	 yes ny , yes room somewhat small . place ridiculous . room big enough bed desk 's . would expect no - name local hotel , DoubleTree . also , hotel 23 story . 2 small elevator hold maybe 6 people time . mean peak time , like 8:30am , wait forever . one day wait 5 minute elevator . one finally show ... full get . ridiculous . Room Service : order burger fry . arrive , fry cold ketchup / mustard provide . end world , still be pay $ 25 burger , least could warm bringing room throw bottle ketchup . the hotel new everything look good , clean , etc . pretty good location want see sight , several subway station within 5 minute walk . still would stay give room size . 
