agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Nov 23 2009 	 go elsewhere 	 hotel currently renovation ( fail mention ) . room small cramp , bad particulary clean . hot ask fan . top , cehck ask leave baggage cgarge $ 2 per bag ! ! ! ! ! ! 
 Nov 22 2009 	 Toilets throw water bun wall . kid . 	 horrible . will never back.- internet free.- Secret & quot ; Hilton free internet & quot ; not work.- renovation , bar area fugly.- Prices beer bar absurd.- Toilet throw water bum seat toilet throw water WALL . - hdtv low quality , buy HDTV blocky crap ? Letterman get film like half mile away picture stunk . - shower water pressure shower head stunk.- Minibar EMPTY , fridge - nothing . I hate place . rip . nothing good stay not get mug steal , build not fall . consider lucky guess . $ 300 / night . absurd . 
 Nov 22 2009 	 Great Hotel Good Price 	 location hotel excellent want right heart midtown . staff extremely helpful accomodating . room old side could use general redecorating , clean extremely spacious ny standard . 1st time I ve hotel room NYC large private terrace . I stay certainly stay . 
 Nov 17 2009 	 Hilton standard 	 great location -- walk distance many Manhattan 's great tourist attraction . warm cookie check nice , however , service less great . upon enter lobby bag , 6 bellman stand watch we ... offer help , greet ... discuss something else amongst . check quick efficient little effort hospitality put gal working desk . lobby construction , bar makeshift portable bar table chair surround . notification construction booking room -- head would nice . room nice clean , minus peel wallpaper bathroom . housekeeping staff outstanding , friendly willing go beyond . stay Hilton Hotels many time never poor service . disappointed price pay . firmly believe staff hotel make break experience , one leave pretty sour taste mouth . 
 Nov 17 2009 	 Neutrogena bath product warm cookie 	 travel NYC frequently lately ' ve stay hotel two simple reason - warm cookie hand check lovely ' m big fan Neutrogena bath product , include face moisturizer not bring home . hotel certain class / price level basically - 's little touch distinguish one other . two little touch keep come back . silly , ! oh , one criticism fitness center small hotel size . times ' ve try use , not cardio machine available . 
 Nov 15 2009 	 great location really worth price 	 disappointed hotel . location awesome could walk great site nearby . staff friendly , bit turn - off . construction go hotel take away ambience lobby always pretty busy since wifi free room . let water run near trickle stay hot , annoying . okay stay price , expect well okay . 
 Nov 10 2009 	 good location price 	 good location price . walk Central Park , Times Sq , 5th Ave shopping , Empire State Building , Radio City Hall , Rockerfeller Ctr , plus . staff friendly , make . CONSTRUCTION , pretty inside . room small , need sleep . bed comfy . bathroom need re - haul , pretty clean . overall clean , feel use / date . take advantage parking package - 's totally worth . 
 Nov 10 2009 	 Perfect less perfect world 	 highly recommend need convenient , clean , respectable place stay mid - town . amenity need fingertip . great breakfast hhonor gold member . responsive special request . despite construction small lobby , comfortable . wi - fi extra room , explain many people park lobby corner work . 
 Nov 5 2009 	 construction good location mediocre hotel 	 short , one night business nearby . check - in quick , efficient friendly warm cookie offer . lobby area construction November 2009 hallway elevator constrict . & quot ; bar & quot ; consist table portable bar shove say hallway ; congestion constant hallway . room service & amp ; dining hour restrict due renovation , none advertise arrival . room 10th floor average size New York standard , bathroom definitely sub - par . ceiling paint peel tub worn base metal place . bedding & amp ; furniture quality clean . staff friendly accommodate . overall fine quick trip near top list . 
 Oct 26 2009 	 Great Location ... horrible hotel 	 family ( 2 adult 2 child ) stay hotel 5 night . condition room significantly well standard Hilton hotel brand . room dirty dusty , common area hotel , break closet door room , mildew shower serious complaint SERIOUS infestation flea and/or bed bug . 2 young child ( age 6 9 ) crying , itch return home bite welt body . miserable 5 day . we travel extensively business pleasure stay many Hilton hotel Venice Italy Napa California South Florida never past disappointed hotel experience . result hotel stay New York City , seriously consider boycott future stay Hilton Hotels . 
